SEF	0.0.1
ID	Albany
Name	Albany
Lat	-33.3106
Lon	26.5256
Alt	
Source	C3S_SouthAfrica
Repo	
Var	dd
Units	degree
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1821	3	1		0	202	Orig=SSW
1821	3	2		0	270	Orig=W
1821	3	3		0	270	Orig=W
1821	3	4		0	135	Orig=SE
1821	3	5		0	135	Orig=SE
1821	3	6		0	270	Orig=W
1821	3	7		0	225	Orig=SW
1821	3	8		0	270	Orig=W
1821	3	9		0	315	Orig=NW
1821	3	10		0	202	Orig=SSW
1821	3	11		0	180	Orig=S
1821	3	12		0	135	Orig=SE
1821	3	13		0	90	Orig=E
1821	3	14		0	45	Orig=NE
1821	3	18		0	90	Orig=E
1821	3	19		0	225	Orig=SW
1821	3	20		0	45	Orig=NE
1821	3	21		0	45	Orig=NE
1821	3	22		0	135	Orig=SE
1821	3	23		0	90	Orig=E
1821	3	24		0	45	Orig=NE
1821	3	25		0	45	Orig=NE
1821	3	26		0	135	Orig=SE
1821	3	27		0	135	Orig=SE
1821	3	28		0	135	Orig=SE
1821	3	29		0	180	Orig=S
1821	3	30		0	225	Orig=SW
1821	7	1		0	270	Orig=W,t=AM
1821	7	2		0	135	Orig=SE,t=PM
1821	7	3		0	248	Orig=WSW,t=AM
1821	7	3		0	202	Orig=SSW,t=PM
1821	7	4		0	248	Orig=WSW,t=AM
1821	7	4		0	180	Orig=S,t=PM
1821	7	6		0	45	Orig=NE,t=PM
1821	7	7		0	225	Orig=SW,t=PM
1821	7	8		0	22	Orig=NNE,t=AM
1821	7	8		0	22	Orig=NNE,t=PM
1821	7	13		0	45	Orig=NE,t=AM
1821	7	13		0	270	Orig=W,t=PM
1821	7	14		0	315	Orig=NW,t=AM
1821	7	16		0	338	Orig=NNW,t=AM
1821	7	16		0	315	Orig=NW,t=PM
1821	7	17		0	338	Orig=NNW,t=AM
1821	7	18		0	270	Orig=W,t=AM
1821	7	18		0	270	Orig=W,t=PM
1821	7	19		0	90	Orig=E,t=AM
1821	7	19		0	112	Orig=ESE,t=PM
1821	7	20		0	90	Orig=E,t=AM
1821	7	20		0	90	Orig=E,t=PM
1821	7	21		0	90	Orig=E,t=PM
1821	7	22		0	315	Orig=NW,t=AM
1821	7	23		0	315	Orig=NW,t=AM
1821	7	23		0	315	Orig=NW,t=PM
1821	7	24		0	270	Orig=W,t=AM
1821	7	24		0	270	Orig=W,t=PM
1821	7	26		0	270	Orig=W,t=AM
1821	7	29		0	225	Orig=SW,t=AM
1821	7	29		0	225	Orig=SW,t=PM
1821	7	30		0	315	Orig=NW,t=AM
1821	7	30		0	315	Orig=NW,t=PM
1821	7	31		0	180	Orig=S,t=AM
1821	11	1		0	225	Orig=SW,t=AM
1821	11	2		0	270	Orig=W,t=AM
1821	11	2		0	135	Orig=SE,t=PM
1821	11	4		0	135	Orig=SE,t=AM
1821	11	5		0	202	Orig=SSW,t=AM
1821	11	5		0	225	Orig=SW,t=PM
1821	11	6		0	270	Orig=W,t=AM
1821	11	6		0	270	Orig=W,t=PM
1821	11	7		0	112	Orig=ESE,t=AM
1821	11	8		0	135	Orig=SE,t=AM
1821	11	8		0	112	Orig=ESE,t=PM
1821	11	9		0	270	Orig=W,t=AM
1821	11	9		0	315	Orig=NW,t=PM
1821	11	10		0	225	Orig=SW,t=AM
1821	11	10		0	270	Orig=W,t=PM
1821	11	11		0	270	Orig=W,t=AM
1821	11	11		0	270	Orig=W,t=PM
1821	11	12		0	112	Orig=ESE,t=AM
1821	11	12		0	112	Orig=ESE,t=PM
1821	11	13		0	135	Orig=SE,t=AM
1821	11	13		0	135	Orig=SE,t=PM
1821	11	15		0	270	Orig=W,t=AM
1821	11	15		0	270	Orig=W,t=PM
1821	11	16		0	270	Orig=W,t=AM
1821	11	16		0	180	Orig=S,t=PM
1821	11	17		0	0	Orig=N,t=AM
1821	11	18		0	90	Orig=E,t=AM
1821	11	18		0	90	Orig=E,t=PM
1821	11	19		0	248	Orig=WSW,t=AM
1821	11	19		0	248	Orig=WSW,t=PM
1821	11	20		0	225	Orig=SW,t=AM
1821	11	20		0	225	Orig=SW,t=PM
1821	11	21		0	90	Orig=E,t=AM
1821	11	21		0	90	Orig=E,t=PM
1821	11	22		0	270	Orig=W,t=AM
1821	11	22		0	270	Orig=W,t=PM
1821	11	23		0	248	Orig=WSW,t=PM
1821	11	24		0	135	Orig=SE,t=AM
1821	11	24		0	158	Orig=SSE,t=PM
1821	11	25		0	180	Orig=S,t=AM
1821	11	25		0	135	Orig=SE,t=PM
1821	11	26		0	225	Orig=SW,t=PM
1821	11	27		0	135	Orig=SE,t=AM
1821	11	27		0	112	Orig=ESE,t=PM
1821	11	28		0	135	Orig=SE,t=AM
1821	11	28		0	135	Orig=SE,t=PM
1821	11	29		0	135	Orig=SE,t=AM
1821	11	29		0	135	Orig=SE,t=PM
1821	11	30		0	158	Orig=SSE,t=PM
1821	12	1		0	135	Orig=SE,t=AM
1821	12	1		0	135	Orig=SE,t=PM
1821	12	2		0	135	Orig=SE,t=AM
1821	12	2		0	112	Orig=ESE,t=PM
1821	12	3		0	135	Orig=SE,t=AM
1821	12	3		0	135	Orig=SE,t=PM
1821	12	4		0	135	Orig=SE,t=AM
1821	12	4		0	135	Orig=SE,t=PM
1821	12	5		0	112	Orig=ESE,t=AM
1821	12	6		0	90	Orig=E,t=AM
1821	12	6		0	90	Orig=E,t=PM
1821	12	7		0	135	Orig=SE,t=AM
1821	12	7		0	112	Orig=ESE,t=PM
1821	12	8		0	90	Orig=E,t=AM
1821	12	8		0	135	Orig=SE,t=PM
1821	12	9		0	90	Orig=E,t=AM
1821	12	9		0	135	Orig=SE,t=PM
1821	12	10		0	135	Orig=SE,t=AM
1821	12	10		0	135	Orig=SE,t=PM
1821	12	11		0	202	Orig=SSW,t=AM
