SEF	0.0.1
ID	Albany
Name	Albany
Lat	-33.3106
Lon	26.5256
Alt	
Source	C3S_SouthAfrica
Repo	
Var	ta
Units	C
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1821	3	1		0	30	Orig=86F
1821	3	2		0	22.2	Orig=72F
1821	3	3		0	15.6	Orig=60F
1821	3	4		0	23.3	Orig=74F
1821	3	5		0	28.9	Orig=84F
1821	3	6		0	28.9	Orig=84F
1821	3	7		0	25.6	Orig=78F
1821	3	8		0	21.1	Orig=70F
1821	3	9		0	21.7	Orig=71F
1821	3	10		0	22.8	Orig=73F
1821	3	11		0	21.1	Orig=70F
1821	3	12		0	24.4	Orig=76F
1821	3	13		0	21.7	Orig=71F
1821	3	14		0	24.4	Orig=76F
1821	3	15		0	28.9	Orig=84F
1821	3	16		0	30	Orig=86F
1821	3	17		0	27.8	Orig=82F
1821	3	18		0	23.3	Orig=74F
1821	3	19		0	16.7	Orig=62F
1821	3	20		0	17.8	Orig=64F
1821	3	21		0	24.4	Orig=76F
1821	3	22		0	25.6	Orig=78F
1821	3	23		0	23.3	Orig=74F
1821	3	24		0	23.3	Orig=74F
1821	3	25		0	25.6	Orig=78F
1821	3	26		0	27.8	Orig=82F
1821	3	27		0	32.2	Orig=90F
1821	3	28		0	31.7	Orig=89F
1821	3	29		0	20.6	Orig=69F
1821	3	30		0	17.8	Orig=64F
1821	3	31		0	22.2	Orig=72F
1821	7	1		0	17.8	Orig=64F,t=AM
1821	7	1		0	20	Orig=68F,t=PM
1821	7	2		0	15.6	Orig=60F,t=AM
1821	7	2		0	18.9	Orig=66F,t=PM
1821	7	3		0	15.6	Orig=60F,t=AM
1821	7	3		0	15.6	Orig=60F,t=PM
1821	7	4		0	15.6	Orig=60F,t=AM
1821	7	4		0	15.6	Orig=60F,t=PM
1821	7	5		0	12.2	Orig=54F,t=AM
1821	7	5		0	13.3	Orig=56F,t=PM
1821	7	6		0	12.2	Orig=54F,t=AM
1821	7	6		0	13.3	Orig=56F,t=PM
1821	7	7		0	14.4	Orig=58F,t=AM
1821	7	7		0	16.7	Orig=62F,t=PM
1821	7	8		0	17.8	Orig=64F,t=AM
1821	7	8		0	18.9	Orig=66F,t=PM
1821	7	9		0	15.6	Orig=60F,t=AM
1821	7	9		0	17.8	Orig=64F,t=PM
1821	7	10		0	16.7	Orig=62F,t=AM
1821	7	10		0	17.8	Orig=64F,t=PM
1821	7	11		0	15.6	Orig=60F,t=AM
1821	7	11		0	17.8	Orig=64F,t=PM
1821	7	12		0	14.4	Orig=58F,t=AM
1821	7	12		0	18.9	Orig=66F,t=PM
1821	7	13		0	17.8	Orig=64F,t=AM
1821	7	13		0	21.1	Orig=70F,t=PM
1821	7	14		0	18.9	Orig=66F,t=AM
1821	7	14		0	22.2	Orig=72F,t=PM
1821	7	15		0	21.1	Orig=70F,t=AM
1821	7	15		0	23.3	Orig=74F,t=PM
1821	7	16		0	18.9	Orig=66F,t=AM
1821	7	16		0	21.1	Orig=70F,t=PM
1821	7	17		0	16.7	Orig=62F,t=AM
1821	7	17		0	18.9	Orig=66F,t=PM
1821	7	18		0	22.2	Orig=72F,t=AM
1821	7	18		0	23.3	Orig=74F,t=PM
1821	7	19		0	16.7	Orig=62F,t=AM
1821	7	19		0	16.7	Orig=62F,t=PM
1821	7	20		0	18.9	Orig=66F,t=AM
1821	7	20		0	21.1	Orig=70F,t=PM
1821	7	21		0	17.8	Orig=64F,t=AM
1821	7	21		0	22.2	Orig=72F,t=PM
1821	7	22		0	23.3	Orig=74F,t=AM
1821	7	22		0	26.1	Orig=79F,t=PM
1821	7	23		0	16.7	Orig=62F,t=AM
1821	7	23		0	16.7	Orig=62F,t=PM
