SEF	0.0.1
ID	Cape_Good_Hope
Name	Cape of Good Hope
Lat	
Lon	
Alt	
Source	C3S_SouthAfrica
Repo	
Var	Tn
Units	C
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1819	1	1			23.9	Orig=75F
1819	1	2			24.4	Orig=76F
1819	1	3			23.9	Orig=75F
1819	1	4			20	Orig=68F
1819	1	5			20.6	Orig=69F
1819	1	6			20	Orig=68F
1819	1	7			21.1	Orig=70F
1819	1	8			21.1	Orig=70F
1819	1	9			22.2	Orig=72F
1819	1	10			21.1	Orig=70F
1819	1	11			23.3	Orig=74F
1819	1	12			21.1	Orig=70F
1819	1	13			21.1	Orig=70F
1819	1	14			21.7	Orig=71F
1819	1	15			22.2	Orig=72F
1819	1	16			21.1	Orig=70F
1819	1	17			17.2	Orig=63F
1819	1	18			21.1	Orig=70F
1819	1	19			23.3	Orig=74F
1819	1	20			24.4	Orig=76F
1819	1	21			22.8	Orig=73F
1819	1	22			23.3	Orig=74F
1819	1	23			21.1	Orig=70F
1819	1	24			21.7	Orig=71F
1819	1	25			21.7	Orig=71F
1819	1	26			21.1	Orig=70F
1819	1	27			21.1	Orig=70F
1819	1	28			22.2	Orig=72F
1819	1	29			21.1	Orig=70F
1819	1	30			23.3	Orig=74F
1819	1	31			22.2	Orig=72F
1819	2	1			23.3	Orig=74F
1819	2	2			22.8	Orig=73F
1819	2	3			23.3	Orig=74F
1819	2	4			22.8	Orig=73F
1819	2	5			23.3	Orig=74F
1819	2	6			23.9	Orig=75F
1819	2	7			23.9	Orig=75F
1819	2	8			23.3	Orig=74F
1819	2	9			22.2	Orig=72F
1819	2	10			18.3	Orig=65F
1819	2	11			22.8	Orig=73F
1819	2	12			23.9	Orig=75F
1819	2	13			24.4	Orig=76F
1819	2	14			25.6	Orig=78F
1819	2	15			24.4	Orig=76F
1819	2	16			23.9	Orig=75F
1819	2	17			26.1	Orig=79F
1819	2	18			24.4	Orig=76F
1819	2	19			23.9	Orig=75F
1819	2	20			23.9	Orig=75F
1819	2	21			24.4	Orig=76F
1819	2	22			22.8	Orig=73F
1819	2	23			21.7	Orig=71F
1819	2	24			21.1	Orig=70F
1819	2	25			21.7	Orig=71F
1819	2	26			20.6	Orig=69F
1819	2	27			21.1	Orig=70F
1819	2	28			21.1	Orig=70F
1819	3	1			20.6	Orig=69F
1819	3	2			20	Orig=68F
1819	3	3			20.6	Orig=69F
1819	3	4			21.7	Orig=71F
1819	3	5			23.3	Orig=74F
1819	3	6			21.7	Orig=71F
1819	3	7			21.1	Orig=70F
1819	3	8			21.1	Orig=70F
1819	3	9			20	Orig=68F
1819	3	10			20.6	Orig=69F
1819	3	11			20.6	Orig=69F
1819	3	12			20	Orig=68F
1819	3	13			20	Orig=68F
1819	3	14			20.6	Orig=69F
1819	3	15			20	Orig=68F
1819	3	16			20.6	Orig=69F
1819	3	17			21.1	Orig=70F
1819	3	18			20.6	Orig=69F
1819	3	19			19.4	Orig=67F
1819	3	20			20	Orig=68F
1819	3	21			21.1	Orig=70F
1819	3	22			20	Orig=68F
1819	3	23			20.6	Orig=69F
1819	3	24			21.1	Orig=70F
1819	3	25			16.7	Orig=62F
1819	3	26			16.7	Orig=62F
1819	3	27			13.3	Orig=56F
1819	3	28			17.8	Orig=64F
1819	3	29			20	Orig=68F
1819	3	30			17.2	Orig=63F
1819	3	31			15	Orig=59F
1819	4	1			16.7	Orig=62F
1819	4	2			17.8	Orig=64F
1819	4	3			16.7	Orig=62F
1819	4	4			17.2	Orig=63F
1819	4	5			18.3	Orig=65F
1819	4	6			17.8	Orig=64F
1819	4	7			17.2	Orig=63F
1819	4	8			15.6	Orig=60F
1819	4	9			14.4	Orig=58F
1819	4	10			16.7	Orig=62F
1819	4	11			16.7	Orig=62F
1819	4	12			16.7	Orig=62F
1819	4	13			13.3	Orig=56F
1819	4	14			12.2	Orig=54F
1819	4	15			14.4	Orig=58F
1819	4	16			13.3	Orig=56F
1819	4	17			12.2	Orig=54F
1819	4	18			12.2	Orig=54F
1819	4	19			11.1	Orig=52F
1819	4	20			12.2	Orig=54F
1819	4	21			11.7	Orig=53F
1819	4	22			11.7	Orig=53F
1819	4	23			13.3	Orig=56F
1819	4	24			13.3	Orig=56F
1819	4	25			13.3	Orig=56F
1819	4	26			15.6	Orig=60F
1819	4	27			12.2	Orig=54F
1819	4	28			15	Orig=59F
1819	4	29			13.3	Orig=56F
1819	4	30			14.4	Orig=58F
1819	5	1			14.4	Orig=58F
1819	5	2			15.6	Orig=60F
1819	5	3			17.2	Orig=63F
1819	5	4			17.2	Orig=63F
1819	5	5			17.8	Orig=64F
1819	5	6			17.8	Orig=64F
1819	5	7			17.8	Orig=64F
1819	5	8			16.1	Orig=61F
1819	5	9			16.1	Orig=61F
1819	5	10			16.1	Orig=61F
1819	5	11			13.9	Orig=57F
1819	5	12			13.3	Orig=56F
1819	5	13			13.9	Orig=57F
1819	5	14			13.3	Orig=56F
1819	5	15			13.3	Orig=56F
1819	5	16			13.3	Orig=56F
1819	5	17			13.9	Orig=57F
1819	5	18			13.3	Orig=56F
1819	5	19			13.3	Orig=56F
1819	5	20			12.8	Orig=55F
1819	5	21			12.2	Orig=54F
1819	5	22			12.2	Orig=54F
1819	5	23			12.2	Orig=54F
1819	5	24			12.2	Orig=54F
1819	5	25			12.8	Orig=55F
1819	5	26			12.8	Orig=55F
1819	5	27			12.2	Orig=54F
1819	5	28			11.7	Orig=53F
1819	5	29			11.1	Orig=52F
1819	5	30			11.7	Orig=53F
1819	5	31			10	Orig=50F
1819	6	1			7.2	Orig=45F
1819	6	2			10.6	Orig=51F
1819	6	3			8.3	Orig=47F
1819	6	4			9.4	Orig=49F
1819	6	5			9.4	Orig=49F
1819	6	6			11.1	Orig=52F
1819	6	7			11.7	Orig=53F
1819	6	8			11.7	Orig=53F
1819	6	9			12.2	Orig=54F
1819	6	10			12.8	Orig=55F
1819	6	11			8.9	Orig=48F
1819	6	12			11.7	Orig=53F
1819	6	13			12.8	Orig=55F
1819	6	14			13.9	Orig=57F
1819	6	15			10.6	Orig=51F
1819	6	16			11.1	Orig=52F
1819	6	17			10.6	Orig=51F
1819	6	18			10.6	Orig=51F
1819	6	19			11.1	Orig=52F
1819	6	20			12.8	Orig=55F
1819	6	21			13.9	Orig=57F
1819	6	22			12.2	Orig=54F
1819	6	23			11.7	Orig=53F
1819	6	24			12.2	Orig=54F
1819	6	25			10	Orig=50F
1819	6	26			8.9	Orig=48F
1819	6	27			9.4	Orig=49F
1819	6	28			8.9	Orig=48F
1819	6	29			9.4	Orig=49F
1819	6	30			10	Orig=50F
1819	7	1			10.6	Orig=51F
1819	7	2			11.1	Orig=52F
1819	7	3			11.1	Orig=52F
1819	7	4			11.1	Orig=52F
1819	7	5			11.7	Orig=53F
1819	7	6			10	Orig=50F
1819	7	7			11.7	Orig=53F
1819	7	8			12.2	Orig=54F
1819	7	9			10	Orig=50F
1819	7	10			12.8	Orig=55F
1819	7	11			13.3	Orig=56F
1819	7	12			12.8	Orig=55F
1819	7	13			12.8	Orig=55F
1819	7	14			12.8	Orig=55F
1819	7	15			11.1	Orig=52F
1819	7	16			10	Orig=50F
1819	7	17			12.2	Orig=54F
1819	7	18			11.1	Orig=52F
1819	7	19			7.8	Orig=46F
1819	7	20			10.6	Orig=51F
1819	7	21			12.2	Orig=54F
1819	7	22			12.2	Orig=54F
1819	7	23			12.8	Orig=55F
1819	7	24			8.9	Orig=48F
1819	7	25			8.9	Orig=48F
1819	7	26			8.9	Orig=48F
1819	7	27			8.3	Orig=47F
1819	7	28			8.9	Orig=48F
1819	7	29			11.1	Orig=52F
1819	7	30			10	Orig=50F
1819	7	31			16.1	Orig=61F
1819	8	1			10.6	Orig=51F
1819	8	2			12.2	Orig=54F
1819	8	3			12.2	Orig=54F
1819	8	4			12.8	Orig=55F
1819	8	5			11.7	Orig=53F
1819	8	6			12.8	Orig=55F
1819	8	7			12.2	Orig=54F
1819	8	8			12.8	Orig=55F
1819	8	9			12.8	Orig=55F
1819	8	10			12.8	Orig=55F
1819	8	11			13.9	Orig=57F
1819	8	12			13.9	Orig=57F
1819	8	13			13.3	Orig=56F
1819	8	14			12.8	Orig=55F
1819	8	15			11.1	Orig=52F
1819	8	16			11.1	Orig=52F
1819	8	17			11.1	Orig=52F
1819	8	18			11.1	Orig=52F
1819	8	19			11.1	Orig=52F
1819	8	20			11.1	Orig=52F
1819	8	21			11.7	Orig=53F
1819	8	22			11.7	Orig=53F
1819	8	23			12.2	Orig=54F
1819	8	24			11.7	Orig=53F
1819	8	25			11.1	Orig=52F
1819	8	26			11.7	Orig=53F
1819	8	27			12.2	Orig=54F
1819	8	28			12.2	Orig=54F
1819	8	29			11.1	Orig=52F
1819	8	30			12.8	Orig=55F
1819	8	31			11.1	Orig=52F
1819	9	1			11.1	Orig=52F
1819	9	2			11.7	Orig=53F
1819	9	3			11.1	Orig=52F
1819	9	4			12.2	Orig=54F
1819	9	5			12.2	Orig=54F
1819	9	6			12.2	Orig=54F
1819	9	7			11.7	Orig=53F
1819	9	8			10.6	Orig=51F
1819	9	9			10	Orig=50F
1819	9	10			11.7	Orig=53F
1819	9	11			11.1	Orig=52F
1819	9	12			11.7	Orig=53F
1819	9	13			12.2	Orig=54F
1819	9	14			11.1	Orig=52F
1819	9	15			11.7	Orig=53F
1819	9	16			8.9	Orig=48F
1819	9	17			7.2	Orig=45F
1819	9	18			8.9	Orig=48F
1819	9	19			10	Orig=50F
1819	9	20			12.8	Orig=55F
1819	9	21			11.1	Orig=52F
1819	9	22			8.9	Orig=48F
1819	9	23			7.2	Orig=45F
1819	9	24			10.6	Orig=51F
1819	9	25			8.3	Orig=47F
1819	9	26			7.8	Orig=46F
1819	9	27			11.1	Orig=52F
1819	9	28			11.7	Orig=53F
1819	9	29			11.1	Orig=52F
1819	9	30			11.7	Orig=53F
1819	10	1			12.8	Orig=55F
1819	10	2			11.7	Orig=53F
1819	10	3			12.8	Orig=55F
1819	10	4			14.4	Orig=58F
1819	10	5			11.7	Orig=53F
1819	10	6			12.2	Orig=54F
1819	10	7			12.8	Orig=55F
1819	10	8			12.2	Orig=54F
1819	10	9			12.2	Orig=54F
1819	10	10			10	Orig=50F
1819	10	11			11.1	Orig=52F
1819	10	12			12.2	Orig=54F
1819	10	13			14.4	Orig=58F
1819	10	14			14.4	Orig=58F
1819	10	15			13.9	Orig=57F
1819	10	16			13.3	Orig=56F
1819	10	17			12.8	Orig=55F
1819	10	18			15.6	Orig=60F
1819	10	19			18.9	Orig=66F
1819	10	20			19.4	Orig=67F
1819	10	21			17.2	Orig=63F
1819	10	22			18.3	Orig=65F
1819	10	23			16.7	Orig=62F
1819	10	24			15.6	Orig=60F
1819	10	25			16.1	Orig=61F
1819	10	26			15	Orig=59F
1819	10	27			16.1	Orig=61F
1819	10	28			14.4	Orig=58F
1819	10	29			15.6	Orig=60F
1819	10	30			15	Orig=59F
1819	10	31			15.6	Orig=60F
1819	11	1			17.8	Orig=64F
1819	11	2			15.6	Orig=60F
1819	11	3			12.8	Orig=55F
1819	11	4			13.9	Orig=57F
1819	11	5			15.6	Orig=60F
1819	11	6			15.6	Orig=60F
1819	11	7			13.3	Orig=56F
1819	11	8			15.6	Orig=60F
1819	11	9			20	Orig=68F
1819	11	10			23.9	Orig=75F
1819	11	11			21.1	Orig=70F
1819	11	12			21.1	Orig=70F
1819	11	13			21.1	Orig=70F
1819	11	14			18.3	Orig=65F
1819	11	15			18.9	Orig=66F
1819	11	16			18.3	Orig=65F
1819	11	17			18.9	Orig=66F
1819	11	18			21.1	Orig=70F
1819	11	19			18.3	Orig=65F
1819	11	20			18.9	Orig=66F
1819	11	21			20	Orig=68F
1819	11	22			18.3	Orig=65F
1819	11	23			20	Orig=68F
1819	11	24			17.8	Orig=64F
1819	11	25			17.8	Orig=64F
1819	11	26			18.9	Orig=66F
1819	11	27			21.1	Orig=70F
1819	11	28			21.1	Orig=70F
1819	11	29			21.1	Orig=70F
1819	11	30			17.8	Orig=64F
1819	12	1			16.1	Orig=61F
1819	12	2			13.3	Orig=56F
1819	12	3			13.9	Orig=57F
