SEF	0.0.1
ID	Cape_Good_Hope
Name	Cape of Good Hope
Lat	
Lon	
Alt	
Source	C3S_SouthAfrica
Repo	
Var	Tx
Units	C
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1819	1	1			31.1	Orig=88F
1819	1	2			34.4	Orig=94F
1819	1	3			32.8	Orig=91F
1819	1	4			30.6	Orig=87F
1819	1	5			26.7	Orig=80F
1819	1	6			22.2	Orig=72F
1819	1	7			25.6	Orig=78F
1819	1	8			32.2	Orig=90F
1819	1	9			26.1	Orig=79F
1819	1	10			32.2	Orig=90F
1819	1	11			25	Orig=77F
1819	1	12			22.2	Orig=72F
1819	1	13			25.6	Orig=78F
1819	1	14			30	Orig=86F
1819	1	15			35.6	Orig=96F
1819	1	16			25.6	Orig=78F
1819	1	17			25.6	Orig=78F
1819	1	18			26.1	Orig=79F
1819	1	19			31.1	Orig=88F
1819	1	20			31.1	Orig=88F
1819	1	21			28.3	Orig=83F
1819	1	22			30	Orig=86F
1819	1	23			26.1	Orig=79F
1819	1	24			27.2	Orig=81F
1819	1	25			30	Orig=86F
1819	1	26			32.2	Orig=90F
1819	1	27			30	Orig=86F
1819	1	28			25	Orig=77F
1819	1	29			32.8	Orig=91F
1819	1	30			31.1	Orig=88F
1819	1	31			30.6	Orig=87F
1819	2	1			32.2	Orig=90F
1819	2	2			28.9	Orig=84F
1819	2	3			27.2	Orig=81F
1819	2	4			31.1	Orig=88F
1819	2	5			31.1	Orig=88F
1819	2	6			31.7	Orig=89F
1819	2	7			32.2	Orig=90F
1819	2	8			31.7	Orig=89F
1819	2	9			31.1	Orig=88F
1819	2	10			31.7	Orig=89F
1819	2	11			31.1	Orig=88F
1819	2	12			32.2	Orig=90F
1819	2	13			34.4	Orig=94F
1819	2	14			33.3	Orig=92F
1819	2	15			31.7	Orig=89F
1819	2	16			32.2	Orig=90F
1819	2	17			33.3	Orig=92F
1819	2	18			32.2	Orig=90F
1819	2	19			32.2	Orig=90F
1819	2	20			31.7	Orig=89F
1819	2	21			32.2	Orig=90F
1819	2	22			30	Orig=86F
1819	2	23			27.8	Orig=82F
1819	2	24			27.2	Orig=81F
1819	2	25			26.1	Orig=79F
1819	2	26			27.8	Orig=82F
1819	2	27			28.9	Orig=84F
1819	2	28			27.8	Orig=82F
1819	3	1			23.9	Orig=75F
1819	3	2			24.4	Orig=76F
1819	3	3			23.9	Orig=75F
1819	3	4			28.9	Orig=84F
1819	3	5			33.3	Orig=92F
1819	3	6			28.9	Orig=84F
1819	3	7			25.6	Orig=78F
1819	3	8			25.6	Orig=78F
1819	3	9			25	Orig=77F
1819	3	10			25.6	Orig=78F
1819	3	11			25.6	Orig=78F
1819	3	12			25	Orig=77F
1819	3	13			25.6	Orig=78F
1819	3	14			26.7	Orig=80F
1819	3	15			27.2	Orig=81F
1819	3	16			27.8	Orig=82F
1819	3	17			28.9	Orig=84F
1819	3	18			26.7	Orig=80F
1819	3	19			24.4	Orig=76F
1819	3	20			26.7	Orig=80F
1819	3	21			26.1	Orig=79F
1819	3	22			25.6	Orig=78F
1819	3	23			25.6	Orig=78F
1819	3	24			25	Orig=77F
1819	3	25			18.9	Orig=66F
1819	3	26			21.7	Orig=71F
1819	3	27			18.9	Orig=66F
1819	3	28			23.3	Orig=74F
1819	3	29			25.6	Orig=78F
1819	3	30			26.1	Orig=79F
1819	3	31			25	Orig=77F
1819	4	1			23.9	Orig=75F
1819	4	2			28.3	Orig=83F
1819	4	3			22.8	Orig=73F
1819	4	4			27.8	Orig=82F
1819	4	5			27.8	Orig=82F
1819	4	6			22.2	Orig=72F
1819	4	7			20.6	Orig=69F
1819	4	8			18.9	Orig=66F
1819	4	9			20	Orig=68F
1819	4	10			23.9	Orig=75F
1819	4	11			24.4	Orig=76F
1819	4	12			25	Orig=77F
1819	4	13			20	Orig=68F
1819	4	14			18.9	Orig=66F
1819	4	15			20.6	Orig=69F
1819	4	16			22.2	Orig=72F
1819	4	17			25	Orig=77F
1819	4	18			22.2	Orig=72F
1819	4	19			17.8	Orig=64F
1819	4	20			18.3	Orig=65F
1819	4	21			18.3	Orig=65F
1819	4	22			21.1	Orig=70F
1819	4	23			22.2	Orig=72F
1819	4	24			21.1	Orig=70F
1819	4	25			21.1	Orig=70F
1819	4	26			21.1	Orig=70F
1819	4	27			20.6	Orig=69F
1819	4	28			22.2	Orig=72F
1819	4	29			17.8	Orig=64F
1819	4	30			18.9	Orig=66F
1819	5	1			20	Orig=68F
1819	5	2			23.3	Orig=74F
1819	5	3			25.6	Orig=78F
1819	5	4			25.6	Orig=78F
1819	5	5			25.6	Orig=78F
1819	5	6			30	Orig=86F
1819	5	7			26.1	Orig=79F
1819	5	8			23.3	Orig=74F
1819	5	9			21.7	Orig=71F
1819	5	10			18.9	Orig=66F
1819	5	11			22.2	Orig=72F
1819	5	12			20	Orig=68F
1819	5	13			21.7	Orig=71F
1819	5	14			23.9	Orig=75F
1819	5	15			23.3	Orig=74F
1819	5	16			24.4	Orig=76F
1819	5	17			26.1	Orig=79F
1819	5	18			27.8	Orig=82F
1819	5	19			25.6	Orig=78F
1819	5	20			23.3	Orig=74F
1819	5	21			23.9	Orig=75F
1819	5	22			16.7	Orig=62F
1819	5	23			21.1	Orig=70F
1819	5	24			15	Orig=59F
1819	5	25			16.1	Orig=61F
1819	5	26			16.7	Orig=62F
1819	5	27			13.9	Orig=57F
1819	5	28			17.8	Orig=64F
1819	5	29			14.4	Orig=58F
1819	5	30			16.1	Orig=61F
1819	5	31			15.6	Orig=60F
1819	6	1			16.7	Orig=62F
1819	6	2			16.1	Orig=61F
1819	6	3			14.4	Orig=58F
1819	6	4			15.6	Orig=60F
1819	6	5			16.1	Orig=61F
1819	6	6			17.2	Orig=63F
1819	6	7			19.4	Orig=67F
1819	6	8			18.3	Orig=65F
1819	6	9			17.8	Orig=64F
1819	6	10			17.2	Orig=63F
1819	6	11			15	Orig=59F
1819	6	12			13.3	Orig=56F
1819	6	13			15.6	Orig=60F
1819	6	14			17.2	Orig=63F
1819	6	15			16.7	Orig=62F
1819	6	16			13.9	Orig=57F
1819	6	17			13.3	Orig=56F
1819	6	18			15	Orig=59F
1819	6	19			14.4	Orig=58F
1819	6	20			16.7	Orig=62F
1819	6	21			18.3	Orig=65F
1819	6	22			15.6	Orig=60F
1819	6	23			15	Orig=59F
1819	6	24			15.6	Orig=60F
1819	6	25			12.8	Orig=55F
1819	6	26			12.8	Orig=55F
1819	6	27			13.3	Orig=56F
1819	6	28			12.2	Orig=54F
1819	6	29			13.9	Orig=57F
1819	6	30			16.1	Orig=61F
1819	7	1			16.1	Orig=61F
1819	7	2			17.8	Orig=64F
1819	7	3			14.4	Orig=58F
1819	7	4			16.7	Orig=62F
1819	7	5			18.9	Orig=66F
1819	7	6			15.6	Orig=60F
1819	7	7			17.8	Orig=64F
1819	7	8			17.8	Orig=64F
1819	7	9			15.6	Orig=60F
1819	7	10			18.3	Orig=65F
1819	7	11			18.3	Orig=65F
1819	7	12			17.8	Orig=64F
1819	7	13			18.9	Orig=66F
1819	7	14			18.3	Orig=65F
1819	7	15			15.6	Orig=60F
1819	7	16			15.6	Orig=60F
1819	7	17			16.1	Orig=61F
1819	7	18			16.1	Orig=61F
1819	7	19			15.6	Orig=60F
1819	7	20			16.1	Orig=61F
1819	7	21			16.1	Orig=61F
1819	7	22			15	Orig=59F
1819	7	23			14.4	Orig=58F
1819	7	24			12.8	Orig=55F
1819	7	25			12.8	Orig=55F
1819	7	26			15.6	Orig=60F
1819	7	27			15.6	Orig=60F
1819	7	28			19.4	Orig=67F
1819	7	29			18.9	Orig=66F
1819	7	30			18.3	Orig=65F
1819	7	31			8.9	Orig=48F
1819	8	1			18.9	Orig=66F
1819	8	2			20	Orig=68F
1819	8	3			19.4	Orig=67F
1819	8	4			18.9	Orig=66F
1819	8	5			18.9	Orig=66F
1819	8	6			21.1	Orig=70F
1819	8	7			20.6	Orig=69F
1819	8	8			21.1	Orig=70F
1819	8	9			20	Orig=68F
1819	8	10			21.1	Orig=70F
1819	8	11			20.6	Orig=69F
1819	8	12			20.6	Orig=69F
1819	8	13			20	Orig=68F
1819	8	14			17.2	Orig=63F
1819	8	15			19.4	Orig=67F
1819	8	16			20	Orig=68F
1819	8	17			18.3	Orig=65F
1819	8	18			20	Orig=68F
1819	8	19			18.9	Orig=66F
1819	8	20			18.3	Orig=65F
1819	8	21			20	Orig=68F
1819	8	22			19.4	Orig=67F
1819	8	23			16.7	Orig=62F
1819	8	24			19.4	Orig=67F
1819	8	25			18.3	Orig=65F
1819	8	26			20	Orig=68F
1819	8	27			20.6	Orig=69F
1819	8	28			18.3	Orig=65F
1819	8	29			20	Orig=68F
1819	8	30			19.4	Orig=67F
1819	8	31			20	Orig=68F
1819	9	1			15.6	Orig=60F
1819	9	2			15	Orig=59F
1819	9	3			15.6	Orig=60F
1819	9	4			16.7	Orig=62F
1819	9	5			18.9	Orig=66F
1819	9	6			18.3	Orig=65F
1819	9	7			19.4	Orig=67F
1819	9	8			18.9	Orig=66F
1819	9	9			17.2	Orig=63F
1819	9	10			18.9	Orig=66F
1819	9	11			15	Orig=59F
1819	9	12			18.3	Orig=65F
1819	9	13			20	Orig=68F
1819	9	14			21.7	Orig=71F
1819	9	15			21.1	Orig=70F
1819	9	16			18.3	Orig=65F
1819	9	17			17.8	Orig=64F
1819	9	18			21.7	Orig=71F
1819	9	19			20.6	Orig=69F
1819	9	20			21.1	Orig=70F
1819	9	21			20	Orig=68F
