SEF	0.0.1
ID	Cape_Good_Hope
Name	Cape of Good Hope
Lat	
Lon	
Alt	
Source	C3S_SouthAfrica
Repo	
Var	ta
Units	C
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1822	12	1		0	13.9	Orig=57F,t=AM
1822	12	1		0	21.7	Orig=71F,t=M
1822	12	1		0	18.3	Orig=65F,t=PM
1822	12	2		0	17.2	Orig=63F,t=AM
1822	12	2		0	22.8	Orig=73F,t=M
1822	12	2		0	20	Orig=68F,t=PM
1822	12	3		0	16.7	Orig=62F,t=AM
1822	12	3		0	25.6	Orig=78F,t=M
1822	12	3		0	20.6	Orig=69F,t=PM
1822	12	4		0	17.8	Orig=64F,t=AM
1822	12	4		0	22.2	Orig=72F,t=M
1822	12	4		0	20.6	Orig=69F,t=PM
1822	12	5		0	17.8	Orig=64F,t=AM
1822	12	5		0	22.2	Orig=72F,t=M
1822	12	5		0	19.4	Orig=67F,t=PM
1822	12	6		0	18.3	Orig=65F,t=AM
1822	12	6		0	21.7	Orig=71F,t=M
1822	12	6		0	18.9	Orig=66F,t=PM
1822	12	7		0	17.2	Orig=63F,t=AM
1822	12	7		0	25	Orig=77F,t=M
1822	12	7		0	21.1	Orig=70F,t=PM
1822	12	8		0	19.4	Orig=67F,t=AM
1822	12	8		0	23.9	Orig=75F,t=M
1822	12	8		0	19.4	Orig=67F,t=PM
1822	12	9		0	17.2	Orig=63F,t=AM
1822	12	9		0	21.1	Orig=70F,t=M
1822	12	9		0	18.3	Orig=65F,t=PM
1822	12	10		0	17.8	Orig=64F,t=AM
1822	12	10		0	22.8	Orig=73F,t=M
1822	12	10		0	18.9	Orig=66F,t=PM
1822	12	11		0	17.2	Orig=63F,t=AM
1822	12	11		0	25	Orig=77F,t=M
1822	12	11		0	20.6	Orig=69F,t=PM
1822	12	12		0	17.2	Orig=63F,t=AM
1822	12	12		0	23.3	Orig=74F,t=M
1822	12	12		0	21.1	Orig=70F,t=PM
1822	12	13		0	18.3	Orig=65F,t=AM
1822	12	13		0	23.9	Orig=75F,t=M
1822	12	13		0	20.6	Orig=69F,t=PM
1822	12	14		0	18.9	Orig=66F,t=AM
1822	12	14		0	26.7	Orig=80F,t=M
1822	12	14		0	22.8	Orig=73F,t=PM
1822	12	15		0	21.1	Orig=70F,t=AM
1822	12	15		0	26.1	Orig=79F,t=M
1822	12	15		0	24.4	Orig=76F,t=PM
1822	12	16		0	20.6	Orig=69F,t=AM
1822	12	16		0	30	Orig=86F,t=M
1822	12	16		0	26.1	Orig=79F,t=PM
1822	12	17		0	19.4	Orig=67F,t=AM
1822	12	17		0	28.9	Orig=84F,t=M
1822	12	17		0	23.9	Orig=75F,t=PM
1822	12	18		0	22.2	Orig=72F,t=AM
1822	12	18		0	27.8	Orig=82F,t=M
1822	12	18		0	23.9	Orig=75F,t=PM
1822	12	19		0	23.3	Orig=74F,t=AM
1822	12	19		0	27.8	Orig=82F,t=M
1822	12	19		0	23.3	Orig=74F,t=PM
1822	12	20		0	22.8	Orig=73F,t=AM
1822	12	20		0	26.7	Orig=80F,t=M
1822	12	20		0	22.2	Orig=72F,t=PM
1822	12	21		0	18.9	Orig=66F,t=AM
1822	12	21		0	27.2	Orig=81F,t=M
1822	12	21		0	22.8	Orig=73F,t=PM
1822	12	22		0	22.8	Orig=73F,t=AM
1822	12	22		0	27.8	Orig=82F,t=M
1822	12	22		0	21.7	Orig=71F,t=PM
1822	12	23		0	22.2	Orig=72F,t=AM
1822	12	23		0	28.9	Orig=84F,t=M
1822	12	23		0	22.8	Orig=73F,t=PM
1822	12	24		0	18.9	Orig=66F,t=AM
1822	12	24		0	23.9	Orig=75F,t=M
1822	12	24		0	21.1	Orig=70F,t=PM
1822	12	25		0	21.1	Orig=70F,t=AM
1822	12	25		0	25	Orig=77F,t=M
1822	12	25		0	20.6	Orig=69F,t=PM
1822	12	26		0	21.1	Orig=70F,t=AM
1822	12	26		0	25	Orig=77F,t=M
1822	12	26		0	20.6	Orig=69F,t=PM
1822	12	27		0	21.1	Orig=70F,t=AM
1822	12	27		0	24.4	Orig=76F,t=M
1822	12	27		0	20	Orig=68F,t=PM
1822	12	28		0	22.2	Orig=72F,t=AM
1822	12	28		0	28.3	Orig=83F,t=M
1822	12	28		0	20	Orig=68F,t=PM
1822	12	29		0	21.1	Orig=70F,t=AM
1822	12	29		0	26.7	Orig=80F,t=M
1822	12	29		0	21.1	Orig=70F,t=PM
1822	12	30		0	20	Orig=68F,t=AM
1822	12	30		0	25.6	Orig=78F,t=M
1822	12	30		0	22.2	Orig=72F,t=PM
1822	12	31		0	17.8	Orig=64F,t=AM
1822	12	31		0	25	Orig=77F,t=M
1822	12	31		0	21.7	Orig=71F,t=PM
1823	1	1		0	19.4	Orig=67F,t=AM
1823	1	1		0	24.4	Orig=76F,t=M
1823	1	1		0	20	Orig=68F,t=PM
1823	1	2		0	20	Orig=68F,t=AM
1823	1	2		0	24.4	Orig=76F,t=M
1823	1	2		0	21.1	Orig=70F,t=PM
1823	1	3		0	18.9	Orig=66F,t=AM
1823	1	3		0	23.9	Orig=75F,t=M
1823	1	3		0	19.4	Orig=67F,t=PM
1823	1	4		0	20	Orig=68F,t=AM
1823	1	4		0	28.9	Orig=84F,t=M
1823	1	4		0	20.6	Orig=69F,t=PM
1823	1	5		0	22.2	Orig=72F,t=AM
1823	1	5		0	30.6	Orig=87F,t=M
1823	1	5		0	26.1	Orig=79F,t=PM
1823	1	6		0	25	Orig=77F,t=AM
1823	1	6		0	30.6	Orig=87F,t=M
1823	1	6		0	24.4	Orig=76F,t=PM
1823	1	7		0	24.4	Orig=76F,t=AM
1823	1	7		0	31.1	Orig=88F,t=M
1823	1	7		0	24.4	Orig=76F,t=PM
1823	1	8		0	24.4	Orig=76F,t=AM
1823	1	8		0	31.7	Orig=89F,t=M
1823	1	8		0	27.8	Orig=82F,t=PM
1823	1	9		0	22.8	Orig=73F,t=AM
1823	1	9		0	33.3	Orig=92F,t=M
1823	1	9		0	23.3	Orig=74F,t=PM
1823	1	10		0	24.4	Orig=76F,t=AM
1823	1	10		0	27.8	Orig=82F,t=M
1823	1	10		0	26.7	Orig=80F,t=PM
1823	1	11		0	24.4	Orig=76F,t=AM
1823	1	11		0	28.3	Orig=83F,t=M
1823	1	11		0	23.3	Orig=74F,t=PM
