SEF	0.0.1
ID	Cape_Town
Name	Cape Town
Lat	-33.926
Lon	18.423
Alt	25
Source	C3S_SouthAfrica
Repo	
Var	dd
Units	degree
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1819	1	1		0	135	Orig=SE,t=AM
1819	1	1		0	158	Orig=SSE,t=PM
1819	1	2		0	158	Orig=SSE,t=AM
1819	1	2		0	180	Orig=S,t=PM
1819	1	3		0	225	Orig=SW,t=AM
1819	1	3		0	292	Orig=WNW,t=PM
1819	1	4		0	315	Orig=NW,t=AM
1819	1	4		0	292	Orig=WNW,t=PM
1819	1	5		0	338	Orig=NNW,t=AM
1819	1	5		0	338	Orig=NNW,t=PM
1819	1	6		0	315	Orig=NW,t=AM
1819	1	6		0	202	Orig=SSW,t=PM
1819	1	7		0	202	Orig=SSW,t=AM
1819	1	7		0	180	Orig=S,t=PM
1819	1	8		0	315	Orig=NW,t=AM
1819	1	8		0	225	Orig=SW,t=PM
1819	1	9		0	292	Orig=WNW,t=AM
1819	1	9		0	158	Orig=SSE,t=PM
1819	1	10		0	158	Orig=SSE,t=AM
1819	1	10		0	180	Orig=S,t=PM
1819	1	11		0	158	Orig=SSE,t=AM
1819	1	11		0	158	Orig=SSE,t=PM
1819	1	12		0	180	Orig=S,t=AM
1819	1	12		0	180	Orig=S,t=PM
1819	1	13		0	292	Orig=WNW,t=AM
1819	1	13		0	338	Orig=NNW,t=PM
1819	1	14		0	315	Orig=NW,t=AM
1819	1	14		0	270	Orig=W,t=PM
1819	1	15		0	158	Orig=SSE,t=AM
1819	1	15		0	315	Orig=NW,t=PM
1819	1	16		0	315	Orig=NW,t=AM
1819	1	16		0	158	Orig=SSE,t=PM
1819	1	17		0	225	Orig=SW,t=AM
1819	1	17		0	225	Orig=SW,t=PM
1819	1	18		0	202	Orig=SSW,t=AM
1819	1	18		0	158	Orig=SSE,t=PM
1819	1	19		0	135	Orig=SE,t=AM
1819	1	19		0	158	Orig=SSE,t=PM
1819	1	20		0	180	Orig=S,t=AM
1819	1	20		0	202	Orig=SSW,t=PM
1819	1	21		0	270	Orig=W,t=AM
1819	1	21		0	158	Orig=SSE,t=PM
1819	1	22		0	158	Orig=SSE,t=AM
1819	1	22		0	225	Orig=SW,t=PM
1819	1	23		0	292	Orig=WNW,t=AM
1819	1	23		0	225	Orig=SW,t=PM
