SEF	1.0.0
ID	Cape_Town
Name	Cape Town
Lat	-33.926
Lon	18.423
Alt	25
Source	C3S_SouthAfrica
Link	
Vbl	dd
Stat	point
Units	degree
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1819	1	1	NA	NA	0	135	Orig=SE,t=AM
1819	1	1	NA	NA	0	158	Orig=SSE,t=PM
1819	1	2	NA	NA	0	158	Orig=SSE,t=AM
1819	1	2	NA	NA	0	180	Orig=S,t=PM
1819	1	3	NA	NA	0	225	Orig=SW,t=AM
1819	1	3	NA	NA	0	292	Orig=WNW,t=PM
1819	1	4	NA	NA	0	315	Orig=NW,t=AM
1819	1	4	NA	NA	0	292	Orig=WNW,t=PM
1819	1	5	NA	NA	0	338	Orig=NNW,t=AM
1819	1	5	NA	NA	0	338	Orig=NNW,t=PM
1819	1	6	NA	NA	0	315	Orig=NW,t=AM
1819	1	6	NA	NA	0	202	Orig=SSW,t=PM
1819	1	7	NA	NA	0	202	Orig=SSW,t=AM
1819	1	7	NA	NA	0	180	Orig=S,t=PM
1819	1	8	NA	NA	0	315	Orig=NW,t=AM
1819	1	8	NA	NA	0	225	Orig=SW,t=PM
1819	1	9	NA	NA	0	292	Orig=WNW,t=AM
1819	1	9	NA	NA	0	158	Orig=SSE,t=PM
1819	1	10	NA	NA	0	158	Orig=SSE,t=AM
1819	1	10	NA	NA	0	180	Orig=S,t=PM
1819	1	11	NA	NA	0	158	Orig=SSE,t=AM
1819	1	11	NA	NA	0	158	Orig=SSE,t=PM
1819	1	12	NA	NA	0	180	Orig=S,t=AM
1819	1	12	NA	NA	0	180	Orig=S,t=PM
1819	1	13	NA	NA	0	292	Orig=WNW,t=AM
1819	1	13	NA	NA	0	338	Orig=NNW,t=PM
1819	1	14	NA	NA	0	315	Orig=NW,t=AM
1819	1	14	NA	NA	0	270	Orig=W,t=PM
1819	1	15	NA	NA	0	158	Orig=SSE,t=AM
1819	1	15	NA	NA	0	315	Orig=NW,t=PM
1819	1	16	NA	NA	0	315	Orig=NW,t=AM
1819	1	16	NA	NA	0	158	Orig=SSE,t=PM
1819	1	17	NA	NA	0	225	Orig=SW,t=AM
1819	1	17	NA	NA	0	225	Orig=SW,t=PM
1819	1	18	NA	NA	0	202	Orig=SSW,t=AM
1819	1	18	NA	NA	0	158	Orig=SSE,t=PM
1819	1	19	NA	NA	0	135	Orig=SE,t=AM
1819	1	19	NA	NA	0	158	Orig=SSE,t=PM
1819	1	20	NA	NA	0	180	Orig=S,t=AM
1819	1	20	NA	NA	0	202	Orig=SSW,t=PM
1819	1	21	NA	NA	0	270	Orig=W,t=AM
1819	1	21	NA	NA	0	158	Orig=SSE,t=PM
1819	1	22	NA	NA	0	158	Orig=SSE,t=AM
1819	1	22	NA	NA	0	225	Orig=SW,t=PM
1819	1	23	NA	NA	0	292	Orig=WNW,t=AM
1819	1	23	NA	NA	0	225	Orig=SW,t=PM
1819	1	24	NA	NA	0	225	Orig=SW,t=AM
1819	1	24	NA	NA	0	180	Orig=S,t=PM
1819	1	25	NA	NA	0	180	Orig=S,t=AM
1819	1	25	NA	NA	0	158	Orig=SSE,t=PM
1819	1	26	NA	NA	0	158	Orig=SSE,t=AM
1819	1	26	NA	NA	0	158	Orig=SSE,t=PM
1819	1	27	NA	NA	0	180	Orig=S,t=AM
1819	1	27	NA	NA	0	158	Orig=SSE,t=PM
1819	1	28	NA	NA	0	180	Orig=S,t=AM
1819	1	28	NA	NA	0	158	Orig=SSE,t=PM
1819	1	29	NA	NA	0	158	Orig=SSE,t=AM
1819	1	29	NA	NA	0	202	Orig=SSW,t=PM
1819	1	30	NA	NA	0	135	Orig=SE,t=AM
1819	1	30	NA	NA	0	158	Orig=SSE,t=PM
1819	1	31	NA	NA	0	158	Orig=SSE,t=AM
1819	1	31	NA	NA	0	180	Orig=S,t=PM
1819	2	1	NA	NA	0	158	Orig=SSE,t=AM
1819	2	2	NA	NA	0	158	Orig=SSE,t=PM
1819	2	3	NA	NA	0	158	Orig=SSE,t=AM
1819	2	3	NA	NA	0	158	Orig=SSE,t=PM
1819	2	4	NA	NA	0	225	Orig=SW,t=AM
1819	2	4	NA	NA	0	270	Orig=W,t=PM
1819	2	5	NA	NA	0	158	Orig=SSE,t=AM
1819	2	5	NA	NA	0	180	Orig=S,t=PM
1819	2	6	NA	NA	0	158	Orig=SSE,t=AM
1819	2	6	NA	NA	0	158	Orig=SSE,t=PM
1819	2	7	NA	NA	0	158	Orig=SSE,t=AM
1819	2	7	NA	NA	0	158	Orig=SSE,t=PM
1819	2	8	NA	NA	0	158	Orig=SSE,t=AM
1819	2	8	NA	NA	0	180	Orig=S,t=PM
1819	2	9	NA	NA	0	225	Orig=SW,t=AM
1819	2	9	NA	NA	0	180	Orig=S,t=PM
1819	2	10	NA	NA	0	225	Orig=SW,t=AM
1819	2	10	NA	NA	0	158	Orig=SSE,t=PM
1819	2	11	NA	NA	0	158	Orig=SSE,t=AM
1819	2	11	NA	NA	0	292	Orig=WNW,t=PM
1819	2	12	NA	NA	0	135	Orig=SE,t=AM
1819	2	12	NA	NA	0	90	Orig=E,t=PM
1819	2	13	NA	NA	0	45	Orig=NE,t=AM
1819	2	13	NA	NA	0	158	Orig=SSE,t=PM
1819	2	14	NA	NA	0	315	Orig=NW,t=AM
1819	2	14	NA	NA	0	180	Orig=S,t=PM
1819	2	15	NA	NA	0	315	Orig=NW,t=AM
1819	2	15	NA	NA	0	158	Orig=SSE,t=PM
1819	2	16	NA	NA	0	158	Orig=SSE,t=AM
1819	2	16	NA	NA	0	158	Orig=SSE,t=PM
1819	2	17	NA	NA	0	158	Orig=SSE,t=AM
1819	2	17	NA	NA	0	158	Orig=SSE,t=PM
1819	2	18	NA	NA	0	158	Orig=SSE,t=AM
1819	2	18	NA	NA	0	158	Orig=SSE,t=PM
1819	2	19	NA	NA	0	158	Orig=SSE,t=AM
1819	2	19	NA	NA	0	135	Orig=SE,t=PM
1819	2	20	NA	NA	0	180	Orig=S,t=AM
1819	2	20	NA	NA	0	180	Orig=S,t=PM
1819	2	21	NA	NA	0	158	Orig=SSE,t=AM
1819	2	22	NA	NA	0	158	Orig=SSE,t=AM
