SEF	0.0.1
ID	Cape_Town
Name	Cape Town
Lat	-33.926
Lon	18.423
Alt	25
Source	C3S_SouthAfrica
Repo	
Var	p
Units	Pa
Meta	PTC=F,PGC=T
Year	Month	Day	HHMM	TimeF	Value	Meta
1822	12	1		0	101891	Orig=30.1in,t=AM
1822	12	1		0	101992	Orig=30.1in,t=M
1822	12	1		0	102060	Orig=30.2in,t=PM
1822	12	2		0	101992	Orig=30.1in,t=AM
1822	12	2		0	101891	Orig=30.1in,t=M
1822	12	2		0	101789	Orig=30.1in,t=PM
1822	12	3		0	101485	Orig=30in,t=AM
1822	12	3		0	101316	Orig=29.9in,t=M
1822	12	3		0	101350	Orig=30in,t=PM
1822	12	4		0	101417	Orig=30in,t=AM
1822	12	4		0	101519	Orig=30in,t=M
1822	12	4		0	101553	Orig=30in,t=PM
1822	12	5		0	101620	Orig=30in,t=AM
1822	12	5		0	101789	Orig=30.1in,t=M
1822	12	5		0	101992	Orig=30.1in,t=PM
1822	12	6		0	102060	Orig=30.2in,t=AM
1822	12	6		0	101992	Orig=30.1in,t=M
1822	12	6		0	102195	Orig=30.2in,t=PM
1822	12	7		0	102094	Orig=30.2in,t=AM
1822	12	7		0	101755	Orig=30.1in,t=M
1822	12	7		0	101688	Orig=30.1in,t=PM
1822	12	8		0	101350	Orig=30in,t=AM
1822	12	8		0	101248	Orig=29.9in,t=M
1822	12	8		0	101586	Orig=30in,t=PM
1822	12	9		0	101755	Orig=30.1in,t=AM
1822	12	9		0	101823	Orig=30.1in,t=M
1822	12	9		0	101925	Orig=30.1in,t=PM
1822	12	10		0	101789	Orig=30.1in,t=AM
1822	12	10		0	101722	Orig=30.1in,t=M
1822	12	10		0	101519	Orig=30in,t=PM
1822	12	11		0	101350	Orig=30in,t=AM
1822	12	11		0	101147	Orig=29.9in,t=M
1822	12	11		0	101316	Orig=29.9in,t=PM
1822	12	12		0	101350	Orig=30in,t=AM
1822	12	12		0	101823	Orig=30.1in,t=M
1822	12	12		0	101654	Orig=30.1in,t=PM
1822	12	13		0	101755	Orig=30.1in,t=AM
1822	12	13		0	101789	Orig=30.1in,t=M
1822	12	13		0	101755	Orig=30.1in,t=PM
1822	12	14		0	101654	Orig=30.1in,t=AM
1822	12	14		0	101519	Orig=30in,t=M
1822	12	14		0	101350	Orig=30in,t=PM
1822	12	15		0	101383	Orig=30in,t=AM
1822	12	15		0	101451	Orig=30in,t=M
1822	12	15		0	101383	Orig=30in,t=PM
1822	12	16		0	101451	Orig=30in,t=AM
1822	12	16		0	101451	Orig=30in,t=M
1822	12	16		0	101417	Orig=30in,t=PM
1822	12	17		0	101383	Orig=30in,t=AM
1822	12	17		0	101383	Orig=30in,t=M
1822	12	17		0	101147	Orig=29.9in,t=PM
1822	12	18		0	101248	Orig=29.9in,t=AM
1822	12	18		0	101214	Orig=29.9in,t=M
1822	12	18		0	101383	Orig=30in,t=PM
1822	12	19		0	101350	Orig=30in,t=AM
1822	12	19		0	101383	Orig=30in,t=M
1822	12	19		0	101214	Orig=29.9in,t=PM
1822	12	20		0	101350	Orig=30in,t=AM
1822	12	20		0	101417	Orig=30in,t=M
1822	12	20		0	101553	Orig=30in,t=PM
1822	12	21		0	101553	Orig=30in,t=AM
1822	12	21		0	101586	Orig=30in,t=M
1822	12	21		0	101620	Orig=30in,t=PM
1822	12	22		0	101654	Orig=30.1in,t=AM
1822	12	22		0	101620	Orig=30in,t=M
1822	12	22		0	101654	Orig=30.1in,t=PM
1822	12	23		0	101451	Orig=30in,t=AM
1822	12	23		0	101147	Orig=29.9in,t=M
1822	12	23		0	101011	Orig=29.9in,t=PM
1822	12	24		0	101654	Orig=30.1in,t=AM
1822	12	24		0	101857	Orig=30.1in,t=M
1822	12	24		0	102060	Orig=30.2in,t=PM
1822	12	25		0	102026	Orig=30.2in,t=AM
1822	12	25		0	101925	Orig=30.1in,t=M
1822	12	25		0	101857	Orig=30.1in,t=PM
1822	12	26		0	101857	Orig=30.1in,t=AM
1822	12	26		0	101925	Orig=30.1in,t=M
1822	12	26		0	102060	Orig=30.2in,t=PM
1822	12	27		0	102060	Orig=30.2in,t=AM
1822	12	27		0	101958	Orig=30.1in,t=M
1822	12	27		0	101891	Orig=30.1in,t=PM
1822	12	28		0	101688	Orig=30.1in,t=AM
1822	12	28		0	101586	Orig=30in,t=M
1822	12	28		0	101350	Orig=30in,t=PM
1822	12	29		0	101316	Orig=29.9in,t=AM
1822	12	29		0	101282	Orig=29.9in,t=M
1822	12	29		0	101620	Orig=30in,t=PM
1822	12	30		0	101688	Orig=30.1in,t=AM
1822	12	30		0	101925	Orig=30.1in,t=M
1822	12	30		0	101519	Orig=30in,t=PM
1822	12	31		0	101350	Orig=30in,t=AM
1822	12	31		0	101316	Orig=29.9in,t=M
1822	12	31		0	101485	Orig=30in,t=PM
1823	1	1		0	101553	Orig=30in,t=AM
1823	1	1		0	101553	Orig=30in,t=M
1823	1	1		0	101722	Orig=30.1in,t=PM
1823	1	2		0	101789	Orig=30.1in,t=AM
1823	1	2		0	101688	Orig=30.1in,t=M
1823	1	2		0	101755	Orig=30.1in,t=PM
1823	1	3		0	101823	Orig=30.1in,t=AM
1823	1	3		0	102094	Orig=30.2in,t=M
1823	1	3		0	102060	Orig=30.2in,t=PM
1823	1	4		0	101823	Orig=30.1in,t=AM
1823	1	4		0	101553	Orig=30in,t=M
1823	1	4		0	101316	Orig=29.9in,t=PM
1823	1	5		0	101180	Orig=29.9in,t=AM
1823	1	5		0	101282	Orig=29.9in,t=M
1823	1	5		0	101214	Orig=29.9in,t=PM
1823	1	6		0	101417	Orig=30in,t=AM
1823	1	6		0	101350	Orig=30in,t=M
1823	1	6		0	101316	Orig=29.9in,t=PM
1823	1	7		0	101180	Orig=29.9in,t=AM
1823	1	7		0	101214	Orig=29.9in,t=M
1823	1	7		0	101214	Orig=29.9in,t=PM
1823	1	8		0	101350	Orig=30in,t=AM
1823	1	8		0	101383	Orig=30in,t=M
1823	1	8		0	101485	Orig=30in,t=PM
1823	1	9		0	101553	Orig=30in,t=AM
1823	1	9		0	101519	Orig=30in,t=M
1823	1	9		0	101417	Orig=30in,t=PM
1823	1	10		0	101485	Orig=30in,t=AM
1823	1	10		0	101485	Orig=30in,t=M
1823	1	10		0	101485	Orig=30in,t=PM
1823	1	11		0	101553	Orig=30in,t=AM
1823	1	11		0	101553	Orig=30in,t=M
1823	1	11		0	101620	Orig=30in,t=PM
1823	1	12		0	101654	Orig=30.1in,t=AM
1823	1	12		0	101383	Orig=30in,t=M
1823	1	12		0	101316	Orig=29.9in,t=PM
1823	1	13		0	101350	Orig=30in,t=AM
1823	1	13		0	101417	Orig=30in,t=M
1823	1	13		0	101350	Orig=30in,t=PM
1823	1	14		0	101316	Orig=29.9in,t=AM
1823	1	14		0	101214	Orig=29.9in,t=M
1823	1	14		0	101147	Orig=29.9in,t=PM
1823	1	15		0	101383	Orig=30in,t=AM
1823	1	15		0	101350	Orig=30in,t=M
1823	1	15		0	101586	Orig=30in,t=PM
1823	1	16		0	101620	Orig=30in,t=AM
1823	1	16		0	101688	Orig=30.1in,t=M
1823	1	16		0	101722	Orig=30.1in,t=PM
1823	1	17		0	101722	Orig=30.1in,t=AM
1823	1	17		0	101654	Orig=30.1in,t=M
1823	1	17		0	101553	Orig=30in,t=PM
1823	1	18		0	101383	Orig=30in,t=AM
1823	1	18		0	101180	Orig=29.9in,t=M
1823	1	18		0	101147	Orig=29.9in,t=PM
1823	1	19		0	101214	Orig=29.9in,t=AM
1823	1	19		0	101316	Orig=29.9in,t=M
1823	1	19		0	101654	Orig=30.1in,t=PM
1823	1	20		0	102195	Orig=30.2in,t=AM
1823	1	20		0	102060	Orig=30.2in,t=M
1823	1	20		0	101958	Orig=30.1in,t=PM
1823	1	21		0	101823	Orig=30.1in,t=AM
1823	1	21		0	101620	Orig=30in,t=M
1823	1	21		0	101654	Orig=30.1in,t=PM
1823	1	22		0	101688	Orig=30.1in,t=AM
1823	1	22		0	101722	Orig=30.1in,t=M
1823	1	22		0	101688	Orig=30.1in,t=PM
1823	1	23		0	101654	Orig=30.1in,t=AM
1823	1	23		0	101620	Orig=30in,t=M
1823	1	23		0	101519	Orig=30in,t=PM
1823	1	24		0	101553	Orig=30in,t=AM
1823	1	24		0	101553	Orig=30in,t=M
1823	1	24		0	101519	Orig=30in,t=PM
1823	1	25		0	101553	Orig=30in,t=AM
1823	1	25		0	101451	Orig=30in,t=M
1823	1	25		0	101688	Orig=30.1in,t=PM
1823	1	26		0	101857	Orig=30.1in,t=AM
1823	1	26		0	101958	Orig=30.1in,t=M
1823	1	26		0	101992	Orig=30.1in,t=PM
1823	1	27		0	101823	Orig=30.1in,t=AM
1823	1	27		0	101688	Orig=30.1in,t=M
