SEF	0.0.1
ID	Cape_Town_Obs
Name	Cape Town (Observatory)
Lat	-33.9344
Lon	18.4773
Alt	12
Source	C3S_SouthAfrica
Repo	
Var	wind_force
Units	Beaufort
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1834	2	1	1751	0	5	Orig=5,t=Sunset
1834	2	2	1750	0	9	Orig=9,t=Sunset
1834	2	2	2301	0	2	Orig=2,t=Midnight
1834	2	3	1749	0	1	Orig=1,t=Sunset
1834	2	4	1101	0	2	Orig=2,t=Noon
1834	2	4	1748	0	1	Orig=1,t=Sunset
1834	2	5	0415	0	1	Orig=1,t=Sunrise
1834	2	5	1101	0	1	Orig=1,t=Noon
1834	2	5	1747	0	2	Orig=2,t=Sunset
1834	2	5	2301	0	5	Orig=5,t=Midnight
1834	2	6	0416	0	4	Orig=4,t=Sunrise
1834	2	6	1101	0	4	Orig=4,t=Noon
1834	2	6	1746	0	5	Orig=5,t=Sunset
1834	2	6	2301	0	6	Orig=6,t=Midnight
1834	2	7	1745	0	5	Orig=5,t=Sunset
1834	2	7	2301	0	5	Orig=5,t=Midnight
1834	2	8	0418	0	4	Orig=4,t=Sunrise
1834	2	8	1101	0	5	Orig=5,t=Noon
1834	2	9	1101	0	4	Orig=4,t=Noon
1834	2	9	1743	0	5	Orig=5,t=Sunset
1834	2	9	2301	0	4	Orig=4,t=Midnight
1834	2	10	0420	0	1	Orig=1,t=Sunrise
1834	2	10	1101	0	2	Orig=2,t=Noon
1834	2	11	1101	0	1	Orig=1,t=Noon
1834	2	14	0424	0	2	Orig=2,t=Sunrise
1834	2	14	1101	0	2	Orig=2,t=Noon
1834	2	15	1101	0	5	Orig=5,t=Noon
1834	2	17	0427	0	1	Orig=1,t=Sunrise
1834	2	18	1101	0	3	Orig=3,t=Noon
1834	2	18	1734	0	2	Orig=2,t=Sunset
1834	2	19	1101	0	1	Orig=1,t=Noon
1834	2	19	2301	0	3	Orig=3,t=Midnight
1834	2	20	1100	0	2	Orig=2,t=Noon
1834	2	22	2300	0	2	Orig=2,t=Midnight
1834	2	24	1727	0	3	Orig=3,t=Sunset
1834	2	25	1100	0	2	Orig=2,t=Noon
1834	2	25	1726	0	6	Orig=6,t=Sunset
1834	2	25	2300	0	8	Orig=8,t=Midnight
1834	2	27	1059	0	3	Orig=3,t=Noon
1834	2	27	1723	0	4	Orig=4,t=Sunset
1834	2	28	0436	0	10	Orig=10,t=Sunrise
1834	2	28	1059	0	10	Orig=10,t=Noon
1834	2	28	1722	0	8	Orig=8,t=Sunset
1834	3	1	0437	0	3	Orig=3,t=Sunrise
1834	3	1	2259	0	4	Orig=4,t=Midnight
1834	3	2	1059	0	2	Orig=2,t=Noon
1834	3	2	1719	0	3	Orig=3,t=Sunset
1834	3	2	2259	0	8	Orig=8,t=Midnight
1834	3	3	1058	0	2	Orig=2,t=Noon
1834	3	3	1718	0	2	Orig=2,t=Sunset
1834	3	6	0441	0	3	Orig=3,t=Sunrise
1834	3	6	1714	0	3	Orig=3,t=Sunset
1834	3	6	2258	0	8	Orig=8,t=Midnight
1834	3	7	0442	0	8	Orig=8,t=Sunrise
1834	3	7	1057	0	7	Orig=7,t=Noon
1834	3	7	1713	0	4	Orig=4,t=Sunset
1834	3	7	2257	0	7	Orig=7,t=Midnight
1834	3	8	0443	0	8	Orig=8,t=Sunrise
1834	3	8	1057	0	5	Orig=5,t=Noon
1834	3	8	1712	0	1	Orig=1,t=Sunset
1834	3	8	2257	0	2	Orig=2,t=Midnight
1834	3	9	1057	0	1	Orig=1,t=Noon
1834	3	9	2257	0	2	Orig=2,t=Midnight
1834	3	10	1057	0	2	Orig=2,t=Noon
1834	3	10	2257	0	1	Orig=1,t=Midnight
1834	3	12	0446	0	3	Orig=3,t=Sunrise
1834	3	12	1056	0	3	Orig=3,t=Noon
1834	3	12	1706	0	3	Orig=3,t=Sunset
1834	3	12	2256	0	4	Orig=4,t=Midnight
1834	3	13	1056	0	5	Orig=5,t=Noon
1834	3	13	1705	0	5	Orig=5,t=Sunset
1834	3	13	2256	0	7	Orig=7,t=Midnight
1834	3	14	0447	0	3	Orig=3,t=Sunrise
1834	3	14	2255	0	4	Orig=4,t=Midnight
1834	3	15	0448	0	4	Orig=4,t=Sunrise
1834	3	15	1055	0	6	Orig=6,t=Noon
1834	3	15	1702	0	3	Orig=3,t=Sunset
1834	3	15	2255	0	3	Orig=3,t=Midnight
1834	3	16	0449	0	3	Orig=3,t=Sunrise
1834	3	16	1055	0	9	Orig=9,t=Noon
1834	3	16	1701	0	3	Orig=3,t=Sunset
1834	3	16	2255	0	4	Orig=4,t=Midnight
1834	3	17	0450	0	1	Orig=1,t=Sunrise
1834	3	18	1054	0	3	Orig=3,t=Noon
1834	3	18	1658	0	7	Orig=7,t=Sunset
