SEF	0.0.1
ID	Cape_Town_Obs
Name	Cape Town (Observatory)
Lat	-33.9344
Lon	18.4773
Alt	12
Source	C3S_SouthAfrica
Repo	
Var	ta
Units	C
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1834	2	1	1751	0	20.7	Orig=69F,t=Sunset
1834	2	2	0412	0	22.4	Orig=72F,t=Sunrise
1834	2	2	1101	0	28.6	Orig=84F,t=Noon
1834	2	2	1750	0	21.6	Orig=71F,t=Sunset
1834	2	2	2301	0	22.8	Orig=73F,t=Midnight
1834	2	3	0413	0	22.3	Orig=72F,t=Sunrise
1834	2	3	1101	0	32.1	Orig=90F,t=Noon
1834	2	3	1749	0	27.2	Orig=81F,t=Sunset
1834	2	3	2301	0	30	Orig=86F,t=Midnight
1834	2	4	0414	0	28.6	Orig=84F,t=Sunrise
1834	2	4	1101	0	34.7	Orig=94F,t=Noon
1834	2	4	1748	0	27.5	Orig=82F,t=Sunset
1834	2	4	2301	0	18.3	Orig=65F,t=Midnight
1834	2	5	0415	0	20.6	Orig=69F,t=Sunrise
1834	2	5	1101	0	27.1	Orig=81F,t=Noon
1834	2	5	1747	0	23.1	Orig=74F,t=Sunset
1834	2	5	2301	0	22.3	Orig=72F,t=Midnight
1834	2	6	0416	0	23.4	Orig=74F,t=Sunrise
1834	2	6	1101	0	27.2	Orig=81F,t=Noon
1834	2	6	1746	0	22.1	Orig=72F,t=Sunset
1834	2	6	2301	0	20.8	Orig=70F,t=Midnight
1834	2	7	0417	0	23.7	Orig=75F,t=Sunrise
1834	2	7	1101	0	25.7	Orig=78F,t=Noon
1834	2	7	1745	0	20.9	Orig=70F,t=Sunset
1834	2	7	2301	0	19.4	Orig=67F,t=Midnight
1834	2	8	0418	0	19.7	Orig=67F,t=Sunrise
1834	2	8	1101	0	25.3	Orig=78F,t=Noon
1834	2	9	0419	0	23.3	Orig=74F,t=Sunrise
1834	2	9	1101	0	25.8	Orig=78F,t=Noon
1834	2	9	1743	0	21.1	Orig=70F,t=Sunset
1834	2	9	2301	0	20.1	Orig=68F,t=Midnight
1834	2	10	0420	0	19.7	Orig=68F,t=Sunrise
1834	2	10	1101	0	27.5	Orig=82F,t=Noon
1834	2	10	1743	0	23.5	Orig=74F,t=Sunset
1834	2	10	2301	0	20.6	Orig=69F,t=Midnight
1834	2	11	1101	0	29.7	Orig=86F,t=Noon
1834	2	11	2301	0	17.2	Orig=63F,t=Midnight
1834	2	12	0422	0	18.9	Orig=66F,t=Sunrise
1834	2	12	1101	0	28.1	Orig=82F,t=Noon
1834	2	12	1741	0	22.9	Orig=73F,t=Sunset
1834	2	13	0423	0	17.3	Orig=63F,t=Sunrise
1834	2	13	1101	0	27.4	Orig=81F,t=Noon
