SEF	0.0.1
ID	Cape_Town_Obs
Name	Cape Town (Observatory)
Lat	-33.9344
Lon	18.4773
Alt	12
Source	C3S_SouthAfrica
Repo	
Var	p
Units	Pa
Meta	PTC=T,PGC=T
Year	Month	Day	HHMM	TimeF	Value	Meta
1834	2	1	1751	0	100372	Orig=30.067in,atb=72.4F,t=Sunset
1834	2	2	0412	0	100324	Orig=30.046in,atb=71.2F,t=Sunrise
1834	2	2	1101	0	100253	Orig=30.053in,atb=76.3F,t=Noon
1834	2	2	1750	0	100219	Orig=30.028in,atb=73.6F,t=Sunset
1834	2	2	2301	0	100169	Orig=30.01in,atb=73.1F,t=Midnight
1834	2	3	0413	0	100010	Orig=29.958in,atb=72.3F,t=Sunrise
1834	2	3	1101	0	99973	Orig=29.968in,atb=76.1F,t=Noon
1834	2	3	1749	0	99809	Orig=29.935in,atb=79F,t=Sunset
1834	2	3	2301	0	99786	Orig=29.928in,atb=79F,t=Midnight
1834	2	4	0414	0	99841	Orig=29.928in,atb=76F,t=Sunrise
1834	2	4	1101	0	99884	Orig=29.97in,atb=81.3F,t=Noon
1834	2	4	1748	0	99905	Orig=29.977in,atb=81.4F,t=Sunset
1834	2	4	2301	0	99981	Orig=29.978in,atb=77.5F,t=Midnight
1834	2	5	0415	0	100372	Orig=30.086in,atb=75.8F,t=Sunrise
1834	2	5	1101	0	100330	Orig=30.08in,atb=77F,t=Noon
1834	2	5	1747	0	100312	Orig=30.069in,atb=76F,t=Sunset
1834	2	5	2301	0	100286	Orig=30.058in,atb=75.4F,t=Midnight
1834	2	6	0416	0	100242	Orig=30.047in,atb=75.8F,t=Sunrise
1834	2	6	1101	0	100081	Orig=30.012in,atb=78.2F,t=Noon
1834	2	6	1746	0	99972	Orig=29.97in,atb=76.5F,t=Sunset
1834	2	6	2301	0	99993	Orig=29.97in,atb=75.4F,t=Midnight
1834	2	7	0417	0	100089	Orig=29.994in,atb=74.5F,t=Sunrise
1834	2	7	1101	0	100066	Orig=29.992in,atb=75.4F,t=Noon
1834	2	7	1745	0	99944	Orig=29.955in,atb=75.3F,t=Sunset
1834	2	7	2301	0	100029	Orig=29.972in,atb=73.8F,t=Midnight
1834	2	8	0418	0	100117	Orig=29.994in,atb=73F,t=Sunrise
1834	2	8	1101	0	100270	Orig=30.051in,atb=75F,t=Noon
1834	2	9	0419	0	100539	Orig=30.115in,atb=72F,t=Sunrise
1834	2	9	1101	0	100504	Orig=30.121in,atb=75F,t=Noon
1834	2	9	1743	0	100526	Orig=30.12in,atb=73.6F,t=Sunset
1834	2	9	2301	0	100677	Orig=30.155in,atb=71.8F,t=Midnight
1834	2	10	0420	0	100669	Orig=30.151in,atb=71.5F,t=Sunrise
1834	2	10	1101	0	100620	Orig=30.167in,atb=77F,t=Noon
1834	2	10	1743	0	100488	Orig=30.114in,atb=74.6F,t=Sunset
1834	2	10	2301	0	100504	Orig=30.11in,atb=73F,t=Midnight
1834	2	11	1101	0	100334	Orig=30.07in,atb=75F,t=Noon
1834	2	11	2301	0	100026	Orig=29.97in,atb=73.6F,t=Midnight
1834	2	12	0422	0	100034	Orig=29.969in,atb=73F,t=Sunrise
1834	2	12	1101	0	99958	Orig=29.969in,atb=77.1F,t=Noon
1834	2	12	1741	0	99975	Orig=29.968in,atb=76F,t=Sunset
1834	2	13	0423	0	100192	Orig=30.018in,atb=73.3F,t=Sunrise
1834	2	13	1101	0	100237	Orig=30.041in,atb=75F,t=Noon
1834	2	13	1739	0	100233	Orig=30.041in,atb=75.2F,t=Sunset
1834	2	14	0424	0	100348	Orig=30.06in,atb=72.4F,t=Sunrise
1834	2	14	1101	0	100359	Orig=30.072in,atb=74F,t=Noon
