SEF	0.0.1
ID	Cape_Town_Obs
Name	Cape Town (Observatory)
Lat	-33.9344
Lon	18.4773
Alt	12
Source	C3S_SouthAfrica
Repo	
Var	Tx
Units	C
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1834	6	25	1547	13	19.4	Orig=67F,t=Sunset
1834	7	5	1551	13	22.8	Orig=73F,t=Sunset
1834	12	14	1755	13	31.3	Orig=88F,t=Sunset
1834	12	15	1756	13	25.3	Orig=78F,t=Sunset
1834	12	27	1801	13	31.7	Orig=89F,t=Sunset
1834	12	30	1801	13	30.6	Orig=87F,t=Sunset
1835	1	4	2253	13	27.8	Orig=82F,t=Midnight
1835	1	8	1802	13	30.6	Orig=87F,t=Sunset
1835	1	11	1801	13	31.4	Orig=88F,t=Sunset
1835	1	13	1801	13	31.7	Orig=89F,t=Sunset
1835	1	17	1759	13	24.4	Orig=76F,t=Sunset
1835	1	18	1759	13	24.6	Orig=76F,t=Sunset
1835	1	19	1759	13	22.9	Orig=73F,t=Sunset
1835	1	20	1758	13	25	Orig=77F,t=Sunset
1835	1	21	1758	13	23.9	Orig=75F,t=Sunset
1835	1	23	1059	13	31.1	Orig=88F,t=Noon
1835	1	25	0404	13	28.3	Orig=83F,t=Sunrise
1835	1	26	0405	13	28.3	Orig=83F,t=Sunrise
1835	1	26	1755	13	28.3	Orig=83F,t=Sunset
1835	1	27	1754	13	22.3	Orig=72F,t=Sunset
1835	1	28	1754	13	27.8	Orig=82F,t=Sunset
1835	1	29	1753	13	28.9	Orig=84F,t=Sunset
1835	1	30	1100	13	21.7	Orig=71F,t=Noon
1835	1	31	1751	13	27.2	Orig=81F,t=Sunset
1835	2	2	1101	13	26.8	Orig=80F,t=Noon
1835	2	3	1749	13	26.1	Orig=79F,t=Sunset
1835	2	4	1748	13	21.7	Orig=71F,t=Sunset
1835	2	5	1747	13	23.6	Orig=74F,t=Sunset
1835	2	6	1747	13	22.5	Orig=72F,t=Sunset
1835	2	7	1746	13	22.2	Orig=72F,t=Sunset
1835	2	8	1745	13	20.3	Orig=69F,t=Sunset
1835	2	10	1743	13	23.4	Orig=74F,t=Sunset
1835	2	11	1742	13	23.6	Orig=74F,t=Sunset
1835	2	12	1741	13	21.7	Orig=71F,t=Sunset
1835	2	13	1740	13	23.3	Orig=74F,t=Sunset
1835	2	14	1739	13	22.2	Orig=72F,t=Sunset
1835	2	15	2301	13	22.6	Orig=73F,t=Midnight
1835	2	16	1737	13	21.7	Orig=71F,t=Sunset
1835	2	18	1734	13	29.2	Orig=84F,t=Sunset
1835	2	19	1101	13	26.7	Orig=80F,t=Noon
1835	2	20	1732	13	26.7	Orig=80F,t=Sunset
1835	2	21	1731	13	20.8	Orig=70F,t=Sunset
1835	2	22	1730	13	23.6	Orig=74F,t=Sunset
1835	2	23	1729	13	26.7	Orig=80F,t=Sunset
1835	2	24	1727	13	21.7	Orig=71F,t=Sunset
1835	2	25	1726	13	22.2	Orig=72F,t=Sunset
1835	2	27	1724	13	23.1	Orig=74F,t=Sunset
1835	2	28	1722	13	23.9	Orig=75F,t=Sunset
1835	3	1	1721	13	21.9	Orig=72F,t=Sunset
1835	3	2	1720	13	24.4	Orig=76F,t=Sunset
1835	3	3	1058	13	24.4	Orig=76F,t=Noon
1835	3	4	1717	13	23.9	Orig=75F,t=Sunset
1835	3	5	1716	13	32.3	Orig=90F,t=Sunset
1835	3	6	1715	13	25.8	Orig=78F,t=Sunset
1835	3	7	1713	13	23.1	Orig=74F,t=Sunset
1835	3	8	1712	13	24.1	Orig=75F,t=Sunset
1835	3	9	1711	13	24.4	Orig=76F,t=Sunset
1835	3	10	1709	13	23.9	Orig=75F,t=Sunset
1835	3	11	1708	13	27.2	Orig=81F,t=Sunset
1835	3	12	1707	13	24.7	Orig=76F,t=Sunset
1835	3	13	1705	13	28.3	Orig=83F,t=Sunset
1835	3	14	1704	13	26.4	Orig=80F,t=Sunset
1835	3	15	1702	13	25.3	Orig=78F,t=Sunset
1835	3	16	1701	13	23.6	Orig=74F,t=Sunset
1835	3	17	1700	13	22.5	Orig=72F,t=Sunset
1835	3	18	1658	13	23.1	Orig=74F,t=Sunset
1835	3	19	1657	13	22.4	Orig=72F,t=Sunset
1835	3	20	1656	13	22.5	Orig=72F,t=Sunset
1835	3	21	1654	13	23.1	Orig=74F,t=Sunset
1835	3	22	1653	13	32.2	Orig=90F,t=Sunset
1835	3	23	1651	13	29.1	Orig=84F,t=Sunset
1835	3	24	1650	13	23.1	Orig=74F,t=Sunset
1835	3	25	1649	13	23.9	Orig=75F,t=Sunset
1835	3	26	1647	13	23.9	Orig=75F,t=Sunset
1835	3	27	1646	13	22.1	Orig=72F,t=Sunset
1835	3	28	1645	13	21.2	Orig=70F,t=Sunset
1835	3	29	1643	13	20.6	Orig=69F,t=Sunset
1835	3	30	1642	13	19.2	Orig=66F,t=Sunset
1835	3	31	1641	13	21.7	Orig=71F,t=Sunset
1835	4	1	1639	13	22.2	Orig=72F,t=Sunset
