SEF	0.0.1
ID	Cape_Town_Obs
Name	Cape Town (Observatory)
Lat	-33.9344
Lon	18.4773
Alt	12
Source	C3S_SouthAfrica
Repo	
Var	tb
Units	C
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1835	2	18	1101	0	21.6	Orig=71F,t=Noon
1835	2	21	0430	0	13.9	Orig=57F,t=Sunrise
1835	2	21	1100	0	17.8	Orig=64F,t=Noon
1835	2	22	0431	0	12.8	Orig=55F,t=Sunrise
1835	2	23	1100	0	19.4	Orig=67F,t=Noon
1835	2	25	1100	0	16	Orig=61F,t=Noon
1835	2	26	1100	0	16.4	Orig=62F,t=Noon
1835	2	27	1059	0	17.7	Orig=64F,t=Noon
1835	2	28	1059	0	18.9	Orig=66F,t=Noon
1835	3	1	1059	0	16.4	Orig=62F,t=Noon
1835	3	2	1059	0	17.8	Orig=64F,t=Noon
1835	3	3	1058	0	18.6	Orig=65F,t=Noon
1835	3	5	1716	0	20.7	Orig=69F,t=Sunset
1835	3	6	1058	0	21.4	Orig=71F,t=Noon
1835	3	7	1057	0	15.8	Orig=60F,t=Noon
1835	3	8	1057	0	16.9	Orig=62F,t=Noon
1835	3	9	1057	0	18.3	Orig=65F,t=Noon
1835	3	10	1057	0	17.8	Orig=64F,t=Noon
1835	3	11	1056	0	19.7	Orig=67F,t=Noon
1835	3	13	1056	0	19.4	Orig=67F,t=Noon
1835	3	14	1055	0	18.6	Orig=66F,t=Noon
1835	3	15	1055	0	20.3	Orig=68F,t=Noon
1835	3	16	1055	0	20.6	Orig=69F,t=Noon
1835	3	17	1055	0	19.4	Orig=67F,t=Noon
1835	3	18	1054	0	19.3	Orig=67F,t=Noon
1835	3	19	1054	0	20.3	Orig=69F,t=Noon
1835	3	20	1054	0	18.3	Orig=65F,t=Noon
1835	3	21	1053	0	18.1	Orig=64F,t=Noon
1835	3	22	1053	0	21.3	Orig=70F,t=Noon
1835	3	22	2253	0	20.1	Orig=68F,t=Midnight
1835	3	23	1053	0	21.3	Orig=70F,t=Noon
1835	3	24	1052	0	17.5	Orig=64F,t=Noon
1835	3	25	1052	0	20.3	Orig=68F,t=Noon
1835	3	26	1052	0	17.5	Orig=64F,t=Noon
1835	3	27	1051	0	18.6	Orig=65F,t=Noon
1835	3	28	1051	0	19.3	Orig=67F,t=Noon
1835	3	30	1051	0	15.8	Orig=60F,t=Noon
1835	4	1	1050	0	16.7	Orig=62F,t=Noon
1835	4	2	1050	0	16	Orig=61F,t=Noon
1835	4	5	1049	0	15.9	Orig=61F,t=Noon
1835	4	6	1048	0	13.8	Orig=57F,t=Noon
1835	4	7	1048	0	15.7	Orig=60F,t=Noon
1835	4	9	1048	0	18.1	Orig=65F,t=Noon
1835	4	10	1047	0	19.2	Orig=66F,t=Noon
1835	4	11	1047	0	15.6	Orig=60F,t=Noon
1835	4	12	1047	0	16	Orig=61F,t=Noon
1835	4	13	1047	0	14.4	Orig=58F,t=Noon
1835	4	16	1046	0	14.2	Orig=58F,t=Noon
1835	4	17	1046	0	14	Orig=57F,t=Noon
1835	4	18	1046	0	16.2	Orig=61F,t=Noon
1835	4	19	1045	0	12.9	Orig=55F,t=Noon
1835	4	22	1045	0	14	Orig=57F,t=Noon
1835	4	25	1044	0	16.2	Orig=61F,t=Noon
1835	4	27	1044	0	16.9	Orig=62F,t=Noon
1835	4	28	1044	0	17.9	Orig=64F,t=Noon
1835	4	29	1044	0	17.8	Orig=64F,t=Noon
1835	4	30	1044	0	14.8	Orig=59F,t=Noon
1835	5	1	1044	0	13.9	Orig=57F,t=Noon
1835	5	2	1044	0	14.4	Orig=58F,t=Noon
1835	5	3	1044	0	15.6	Orig=60F,t=Noon
1835	5	4	1043	0	16	Orig=61F,t=Noon
1835	5	6	1043	0	10.6	Orig=51F,t=Noon
1835	5	7	1043	0	15.3	Orig=60F,t=Noon
1835	5	9	1043	0	16.4	Orig=62F,t=Noon
1835	5	11	1043	0	14.3	Orig=58F,t=Noon
1835	5	13	1043	0	15.3	Orig=60F,t=Noon
1835	5	14	1043	0	13.3	Orig=56F,t=Noon
1835	5	15	1043	0	15.3	Orig=60F,t=Noon
1835	5	16	1043	0	14.9	Orig=59F,t=Noon
1835	5	17	2244	0	15.8	Orig=60F,t=Midnight
1835	5	18	1044	0	15.6	Orig=60F,t=Noon
1835	5	20	1044	0	13.6	Orig=56F,t=Noon
1835	5	21	1044	0	14	Orig=57F,t=Noon
1835	5	22	1044	0	12.8	Orig=55F,t=Noon
1835	5	23	1044	0	10	Orig=50F,t=Noon
1835	5	24	1044	0	12.1	Orig=54F,t=Noon
1835	5	25	1044	0	13.9	Orig=57F,t=Noon
1835	5	26	1044	0	14.6	Orig=58F,t=Noon
1835	5	27	1045	0	15	Orig=59F,t=Noon
1835	5	29	1045	0	14.4	Orig=58F,t=Noon
1835	5	31	1045	0	17	Orig=63F,t=Noon
1835	6	1	1045	0	15.8	Orig=60F,t=Noon
1835	6	2	1045	0	16.2	Orig=61F,t=Noon
1835	6	3	1046	0	17.9	Orig=64F,t=Noon
1835	6	4	1046	0	16.2	Orig=61F,t=Noon
1835	6	5	1046	0	13.8	Orig=57F,t=Noon
1835	6	6	1046	0	14.2	Orig=58F,t=Noon
1835	6	7	1046	0	13.8	Orig=57F,t=Noon
1835	6	8	1046	0	16.2	Orig=61F,t=Noon
1835	6	9	1047	0	15.4	Orig=60F,t=Noon
1835	6	10	1047	0	14.7	Orig=58F,t=Noon
1835	6	11	1047	0	16	Orig=61F,t=Noon
1835	6	12	1047	0	14.9	Orig=59F,t=Noon
1835	6	13	1047	0	14.3	Orig=58F,t=Noon
1835	6	14	1048	0	12	Orig=54F,t=Noon
1835	6	15	1048	0	10.7	Orig=51F,t=Noon
1835	6	16	1048	0	13.6	Orig=56F,t=Noon
1835	6	18	1048	0	13.4	Orig=56F,t=Noon
1835	6	19	1049	0	13.6	Orig=56F,t=Noon
1835	6	20	1049	0	13.6	Orig=56F,t=Noon
1835	6	21	1049	0	11.1	Orig=52F,t=Noon
1835	6	22	1049	0	11.9	Orig=53F,t=Noon
1835	6	25	1050	0	14.2	Orig=58F,t=Noon
1835	6	27	1050	0	12.7	Orig=55F,t=Noon
1835	6	28	1050	0	14.4	Orig=58F,t=Noon
1835	6	29	1051	0	17.2	Orig=63F,t=Noon
1835	6	30	1051	0	14.2	Orig=58F,t=Noon
1835	7	4	1051	0	13.1	Orig=56F,t=Noon
1835	7	5	1052	0	13.6	Orig=56F,t=Noon
1835	7	6	1052	0	14	Orig=57F,t=Noon
1835	7	7	1052	0	15.3	Orig=60F,t=Noon
1835	7	9	1052	0	13.7	Orig=57F,t=Noon
1835	7	10	1052	0	13.3	Orig=56F,t=Noon
1835	7	13	1053	0	11.1	Orig=52F,t=Noon
1835	7	14	1053	0	13.3	Orig=56F,t=Noon
1835	7	15	1053	0	9.2	Orig=48F,t=Noon
1835	7	16	1053	0	10.3	Orig=50F,t=Noon
1835	7	17	1053	0	13.1	Orig=56F,t=Noon
1835	7	18	1053	0	12.8	Orig=55F,t=Noon
1835	7	19	1053	0	13.9	Orig=57F,t=Noon
1835	7	20	1053	0	15	Orig=59F,t=Noon
1835	7	21	1053	0	15.4	Orig=60F,t=Noon
1835	7	22	1053	0	14.4	Orig=58F,t=Noon
1835	7	23	1053	0	14.3	Orig=58F,t=Noon
1835	7	24	0544	0	12.8	Orig=55F,t=Sunrise
1835	7	24	1053	0	13.4	Orig=56F,t=Noon
1835	7	25	1053	0	13.1	Orig=56F,t=Noon
1835	7	27	1053	0	10.6	Orig=51F,t=Noon
1835	7	28	1053	0	13.6	Orig=56F,t=Noon
1835	7	29	1053	0	13.3	Orig=56F,t=Noon
1835	7	31	1053	0	10.3	Orig=50F,t=Noon
1835	8	1	1053	0	11.8	Orig=53F,t=Noon
1835	8	2	1053	0	13.9	Orig=57F,t=Noon
1835	8	3	1053	0	18.3	Orig=65F,t=Noon
1835	8	4	1053	0	11	Orig=52F,t=Noon
1835	8	5	1053	0	14.4	Orig=58F,t=Noon
1835	8	6	1053	0	13.9	Orig=57F,t=Noon
1835	8	7	1052	0	13.1	Orig=56F,t=Noon
1835	8	8	1052	0	13.9	Orig=57F,t=Noon
1835	8	9	1052	0	14.2	Orig=58F,t=Noon
1835	8	10	1052	0	14.4	Orig=58F,t=Noon
1835	8	11	1052	0	14.4	Orig=58F,t=Noon
1835	8	12	1052	0	11.1	Orig=52F,t=Noon
1835	8	13	1051	0	13	Orig=55F,t=Noon
1835	8	14	1051	0	13.6	Orig=56F,t=Noon
1835	8	15	1051	0	16.8	Orig=62F,t=Noon
1835	8	16	1051	0	14.9	Orig=59F,t=Noon
1835	8	16	1619	0	14.4	Orig=58F,t=Sunset
1835	8	17	1051	0	14.4	Orig=58F,t=Noon
1835	8	18	1050	0	14.4	Orig=58F,t=Noon
1835	8	19	1050	0	11.7	Orig=53F,t=Noon
1835	8	22	1049	0	12.8	Orig=55F,t=Noon
1835	8	23	1049	0	13.7	Orig=57F,t=Noon
1835	8	24	1049	0	11.1	Orig=52F,t=Noon
1835	8	25	1049	0	13.9	Orig=57F,t=Noon
