SEF	1.0.0
ID	Cape_Town_Obs
Name	Cape Town (Observatory)
Lat	-33.9344
Lon	18.4773
Alt	12
Source	C3S_SouthAfrica
Link	https://data-rescue.copernicus-climate.eu/lso/1086290
Vbl	w
Stat	mean
Units	m/s
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1860	2	14	23	46	p1day	7.7	Orig=17.31mph|orig.time=0100
1860	2	15	3	46	p1day	5.8	Orig=12.88mph|orig.time=0500
1860	2	15	7	46	p1day	5.9	Orig=13.25mph|orig.time=0900
1860	2	15	15	46	p1day	3.4	Orig=7.63mph|orig.time=1700
1860	2	15	19	46	p1day	2.3	Orig=5.1mph|orig.time=2100
1860	2	15	23	46	p1day	4.5	Orig=10.1mph|orig.time=0100
1860	2	16	3	46	p1day	4	Orig=8.93mph|orig.time=0500
1860	2	16	7	46	p1day	1.5	Orig=3.25mph|orig.time=0900
1860	2	16	16	46	p1day	4.2	Orig=9.5mph|orig.time=1800
1860	2	16	19	46	p1day	9.4	Orig=21.1mph|orig.time=2100
1860	2	16	23	46	p1day	9.9	Orig=22.08mph|orig.time=0100
1860	2	17	3	46	p1day	10.5	Orig=23.41mph|orig.time=0500
1860	2	17	7	46	p1day	10.5	Orig=23.56mph|orig.time=0900
1860	2	17	15	46	p1day	3.7	Orig=8.25mph|orig.time=1700
1860	2	17	23	46	p1day	1.5	Orig=3.3mph|orig.time=0100
1860	2	18	3	46	p1day	4.8	Orig=10.7mph|orig.time=0500
1860	2	18	7	46	p1day	3.3	Orig=7.3mph|orig.time=0900
1860	2	18	15	46	p1day	0.5	Orig=1.1mph|orig.time=1700
1860	2	18	19	46	p1day	0.2	Orig=0.5mph|orig.time=2100
1860	2	18	23	46	p1day	3.4	Orig=7.5mph|orig.time=0100
1860	2	19	3	46	p1day	5.9	Orig=13.3mph|orig.time=0500
1860	2	19	7	46	p1day	2.7	Orig=6mph|orig.time=0900
1860	2	19	15	46	p1day	3.5	Orig=7.9mph|orig.time=1700
1860	2	19	19	46	p1day	5.4	Orig=12mph|orig.time=2100
1860	2	19	23	46	p1day	4.2	Orig=9.3mph|orig.time=0100
1860	2	20	3	46	p1day	5.8	Orig=13mph|orig.time=0500
1860	2	20	7	46	p1day	0.3	Orig=0.75mph|orig.time=0900
1860	2	20	15	46	p1day	0.6	Orig=1.25mph|orig.time=1700
1860	2	20	19	46	p1day	1.9	Orig=4.25mph|orig.time=2100
1860	2	20	23	46	p1day	4.7	Orig=10.5mph|orig.time=0100
1860	2	21	3	46	p1day	3.5	Orig=7.8mph|orig.time=0500
1860	2	21	7	46	p1day	3.6	Orig=8mph|orig.time=0900
1860	2	21	15	46	p1day	5.5	Orig=12.25mph|orig.time=1700
1860	2	21	19	46	p1day	6.1	Orig=13.75mph|orig.time=2100
1860	2	21	23	46	p1day	6.8	Orig=15.25mph|orig.time=0100
1860	2	22	3	46	p1day	4.7	Orig=10.5mph|orig.time=0500
1860	2	22	7	46	p1day	3.2	Orig=7.25mph|orig.time=0900
1860	2	22	15	46	p1day	1	Orig=2.25mph|orig.time=1700
1860	2	22	19	46	p1day	1.5	Orig=3.25mph|orig.time=2100
1860	2	22	23	46	p1day	3.1	Orig=7mph|orig.time=0100
1860	2	23	3	46	p1day	6.3	Orig=14mph|orig.time=0500
1860	2	23	7	46	p1day	3.2	Orig=7.25mph|orig.time=0900
1860	2	23	15	46	p1day	0.8	Orig=1.88mph|orig.time=1700
1860	2	23	19	46	p1day	2.5	Orig=5.5mph|orig.time=2100
1860	2	23	23	46	p1day	2.7	Orig=6mph|orig.time=0100
1860	2	24	3	46	p1day	4.6	Orig=10.25mph|orig.time=0500
1860	2	24	7	46	p1day	5.8	Orig=13mph|orig.time=0900
1860	2	24	15	46	p1day	5.8	Orig=12.88mph|orig.time=1700
1860	2	24	19	46	p1day	6.5	Orig=14.5mph|orig.time=2100
1860	2	24	23	46	p1day	5.7	Orig=12.75mph|orig.time=0100
1860	2	25	3	46	p1day	4.4	Orig=9.75mph|orig.time=0500
1860	2	25	7	46	p1day	2.8	Orig=6.25mph|orig.time=0900
1860	2	25	15	46	p1day	0.5	Orig=1.06mph|orig.time=1700
1860	2	25	19	46	p1day	0	Orig=0mph|orig.time=2100
1860	2	25	23	46	p1day	1.3	Orig=2.85mph|orig.time=0100
1860	2	26	3	46	p1day	2.6	Orig=5.75mph|orig.time=0500
1860	2	26	7	46	p1day	1.3	Orig=2.9mph|orig.time=0900
1860	2	26	15	46	p1day	2.9	Orig=6.4mph|orig.time=1700
1860	2	26	19	46	p1day	0.7	Orig=1.5mph|orig.time=2100
1860	2	26	23	46	p1day	1.9	Orig=4.25mph|orig.time=0100
1860	2	27	3	46	p1day	2	Orig=4.38mph|orig.time=0500
1860	2	27	7	46	p1day	3.6	Orig=8.13mph|orig.time=0900
1860	2	27	15	46	p1day	0.7	Orig=1.5mph|orig.time=1700
1860	2	27	19	46	p1day	0.3	Orig=0.75mph|orig.time=2100
1860	2	27	23	46	p1day	2.3	Orig=5.25mph|orig.time=0100
1860	2	28	3	46	p1day	5.1	Orig=11.5mph|orig.time=0500
1860	2	28	7	46	p1day	6.5	Orig=14.5mph|orig.time=0900
1860	2	28	15	46	p1day	2.7	Orig=6mph|orig.time=1700
1860	2	28	19	46	p1day	4.6	Orig=10.25mph|orig.time=2100
1860	2	28	23	46	p1day	2	Orig=4.5mph|orig.time=0100
1860	2	29	3	46	p1day	5.6	Orig=12.5mph|orig.time=0500
1860	2	29	7	46	p1day	6.3	Orig=14mph|orig.time=0900
1860	2	29	15	46	p1day	3.9	Orig=8.8mph|orig.time=1700
1860	2	29	19	46	p1day	0.8	Orig=1.88mph|orig.time=2100
1860	2	29	23	46	p1day	4.9	Orig=11mph|orig.time=0100
1860	3	1	3	46	p1day	7.3	Orig=16.25mph|orig.time=0500
1860	3	1	7	46	p1day	6.9	Orig=15.5mph|orig.time=0900
1860	3	1	15	46	p1day	4.3	Orig=9.63mph|orig.time=1700
1860	3	1	19	46	p1day	2.7	Orig=6mph|orig.time=2100
1860	3	1	23	46	p1day	5.9	Orig=13.25mph|orig.time=0100
1860	3	2	3	46	p1day	6.9	Orig=15.5mph|orig.time=0500
1860	3	2	7	46	p1day	5	Orig=11.25mph|orig.time=0900
1860	3	2	15	46	p1day	5.9	Orig=13.09mph|orig.time=1700
1860	3	2	23	46	p1day	6.8	Orig=15.25mph|orig.time=0100
1860	3	3	3	46	p1day	11.1	Orig=24.75mph|orig.time=0500
1860	3	3	7	46	p1day	10.6	Orig=23.75mph|orig.time=0900
1860	3	3	15	46	p1day	8.5	Orig=19mph|orig.time=1700
1860	3	3	19	46	p1day	6	Orig=13.5mph|orig.time=2100
1860	3	3	23	46	p1day	11.3	Orig=25.25mph|orig.time=0100
1860	3	4	3	46	p1day	9.5	Orig=21.25mph|orig.time=0500
1860	3	4	7	46	p1day	8.8	Orig=19.6mph|orig.time=0900
1860	3	4	15	46	p1day	9	Orig=20.14mph|orig.time=1700
1860	3	4	19	46	p1day	7.3	Orig=16.25mph|orig.time=2100
1860	3	4	23	46	p1day	8.5	Orig=19mph|orig.time=0100
1860	3	5	3	46	p1day	7	Orig=15.75mph|orig.time=0500
1860	3	5	7	46	p1day	8.4	Orig=18.75mph|orig.time=0900
1860	3	5	15	46	p1day	6.9	Orig=15.35mph|orig.time=1700
1860	3	5	19	46	p1day	3.6	Orig=8mph|orig.time=2100
1860	3	5	23	46	p1day	5.6	Orig=12.5mph|orig.time=0100
1860	3	6	3	46	p1day	4.4	Orig=9.75mph|orig.time=0500
1860	3	6	7	46	p1day	2.6	Orig=5.75mph|orig.time=0900
1860	3	6	15	46	p1day	3.9	Orig=8.63mph|orig.time=1700
1860	3	6	19	46	p1day	3	Orig=6.75mph|orig.time=2100
1860	3	6	23	46	p1day	3.8	Orig=8.5mph|orig.time=0100
1860	3	7	3	46	p1day	6.4	Orig=14.25mph|orig.time=0500
1860	3	7	7	46	p1day	1	Orig=2.17mph|orig.time=0900
1860	3	7	19	46	p1day	0.9	Orig=2mph|orig.time=2100
1860	3	7	23	46	p1day	1.2	Orig=2.75mph|orig.time=0100
1860	3	8	4	6	p1day	4.1	Orig=9.25mph|orig.time=0520
1860	3	8	7	46	p1day	4.1	Orig=9.25mph|orig.time=0900
1860	3	8	15	46	p1day	3.6	Orig=8.13mph|orig.time=1700
1860	3	8	19	46	p1day	0.6	Orig=1.4mph|orig.time=2100
1860	3	8	23	46	p1day	4.1	Orig=9.25mph|orig.time=0100
1860	3	9	3	46	p1day	5.7	Orig=12.75mph|orig.time=0500
1860	3	9	7	46	p1day	3	Orig=6.75mph|orig.time=0900
1860	3	9	15	46	p1day	4.2	Orig=9.5mph|orig.time=1700
1860	3	9	19	46	p1day	3.8	Orig=8.5mph|orig.time=2100
1860	3	9	23	46	p1day	7	Orig=15.75mph|orig.time=0100
1860	3	10	3	46	p1day	9.2	Orig=20.5mph|orig.time=0500
1860	3	10	7	46	p1day	10.2	Orig=22.75mph|orig.time=0900
1860	3	10	15	46	p1day	11.2	Orig=25mph|orig.time=1700
1860	3	10	19	46	p1day	6.8	Orig=15.25mph|orig.time=2100
1860	3	10	23	46	p1day	9.7	Orig=21.75mph|orig.time=0100
1860	3	11	3	46	p1day	11.3	Orig=25.25mph|orig.time=0500
1860	3	11	7	46	p1day	12	Orig=26.75mph|orig.time=0900
1860	3	11	15	46	p1day	10.3	Orig=23.13mph|orig.time=1700
1860	3	11	19	46	p1day	6.8	Orig=15.25mph|orig.time=2100
1860	3	11	23	46	p1day	7.2	Orig=16mph|orig.time=0100
1860	3	12	3	46	p1day	6.7	Orig=15mph|orig.time=0500
1860	3	12	7	46	p1day	4.8	Orig=10.75mph|orig.time=0900
1860	3	12	15	46	p1day	8.4	Orig=18.88mph|orig.time=1700
1860	3	12	19	46	p1day	5.8	Orig=13mph|orig.time=2100
1860	3	12	23	46	p1day	3.9	Orig=8.75mph|orig.time=0100
1860	3	13	3	46	p1day	5.9	Orig=13.15mph|orig.time=0500
1860	3	13	7	46	p1day	7.8	Orig=17.46mph|orig.time=0900
1860	3	13	15	46	p1day	6.1	Orig=13.75mph|orig.time=1700
1860	3	13	23	46	p1day	9.1	Orig=20.25mph|orig.time=0100
1860	3	14	3	46	p1day	9.7	Orig=21.75mph|orig.time=0500
1860	3	14	7	46	p1day	11.4	Orig=25.5mph|orig.time=0900
1860	3	14	15	46	p1day	12.6	Orig=28.13mph|orig.time=1700
1860	3	14	19	46	p1day	5.9	Orig=13.25mph|orig.time=2100
1860	3	14	23	46	p1day	7.7	Orig=17.25mph|orig.time=0100
1860	3	15	3	46	p1day	7.7	Orig=17.25mph|orig.time=0500
1860	3	15	7	46	p1day	7.5	Orig=16.75mph|orig.time=0900
1860	3	15	15	46	p1day	10.3	Orig=23.13mph|orig.time=1700
1860	3	15	19	46	p1day	5.7	Orig=12.75mph|orig.time=2100
1860	3	15	23	46	p1day	14.2	Orig=31.75mph|orig.time=0100
1860	3	16	3	46	p1day	13.6	Orig=30.5mph|orig.time=0500
1860	3	16	7	46	p1day	10.3	Orig=23mph|orig.time=0900
1860	3	16	15	46	p1day	10.4	Orig=23.33mph|orig.time=1700
1860	3	16	19	46	p1day	12.8	Orig=28.67mph|orig.time=2100
1860	3	16	23	46	p1day	11.5	Orig=25.75mph|orig.time=0100
1860	3	17	3	46	p1day	15.5	Orig=34.75mph|orig.time=0500
1860	3	17	7	46	p1day	8.7	Orig=19.5mph|orig.time=0900
1860	3	17	15	46	p1day	8.2	Orig=18.25mph|orig.time=1700
1860	3	17	19	46	p1day	5.4	Orig=12mph|orig.time=2100
1860	3	17	23	46	p1day	5.3	Orig=11.75mph|orig.time=0100
1860	3	18	3	46	p1day	5.9	Orig=13.25mph|orig.time=0500
1860	3	18	7	46	p1day	7.7	Orig=17.25mph|orig.time=0900
1860	3	18	15	46	p1day	6.1	Orig=13.63mph|orig.time=1700
1860	3	18	19	46	p1day	8.4	Orig=18.75mph|orig.time=2100
1860	3	18	23	46	p1day	9.7	Orig=21.75mph|orig.time=0100
1860	3	19	3	46	p1day	8.7	Orig=19.5mph|orig.time=0500
1860	3	19	7	46	p1day	6.5	Orig=14.5mph|orig.time=0900
1860	3	19	15	46	p1day	5.7	Orig=12.75mph|orig.time=1700
1860	3	19	19	46	p1day	5.9	Orig=13.25mph|orig.time=2100
1860	3	19	23	46	p1day	5.9	Orig=13.25mph|orig.time=0100
1860	3	20	3	46	p1day	4.9	Orig=11mph|orig.time=0500
1860	3	20	7	46	p1day	8.9	Orig=20mph|orig.time=0900
1860	3	20	15	46	p1day	3.6	Orig=8.13mph|orig.time=1700
1860	3	20	19	46	p1day	1.3	Orig=3mph|orig.time=2100
1860	3	20	23	46	p1day	5.4	Orig=12mph|orig.time=0100
1860	3	21	3	46	p1day	5.1	Orig=11.5mph|orig.time=0500
1860	3	21	7	46	p1day	3.8	Orig=8.5mph|orig.time=0900
1860	3	21	15	46	p1day	4.4	Orig=9.75mph|orig.time=1700
1860	3	21	15	46	p1day	1.3	Orig=3mph|orig.time=1700
1860	3	21	19	46	p1day	5.8	Orig=13mph|orig.time=2100
1860	3	21	23	46	p1day	7.2	Orig=16mph|orig.time=0100
1860	3	22	3	46	p1day	9.8	Orig=22mph|orig.time=0500
1860	3	22	7	46	p1day	9.6	Orig=21.5mph|orig.time=0900
