SEF	0.0.1
ID	Cape_Town_Obs
Name	Cape Town (Observatory)
Lat	-33.9344
Lon	18.4773
Alt	12
Source	C3S_SouthAfrica
Repo	
Var	w
Units	m/s
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1860	2	14	2346	0	7.7	Orig=17.31mph
1860	2	15	0346	0	5.8	Orig=12.88mph
1860	2	15	0746	0	5.9	Orig=13.25mph
1860	2	15	1546	0	3.4	Orig=7.63mph
1860	2	15	1946	0	2.3	Orig=5.1mph
1860	2	15	2346	0	4.5	Orig=10.1mph
1860	2	16	0346	0	4	Orig=8.93mph
1860	2	16	0746	0	1.5	Orig=3.25mph
1860	2	16	1646	0	4.2	Orig=9.5mph
1860	2	16	1946	0	9.4	Orig=21.1mph
1860	2	16	2346	0	9.9	Orig=22.08mph
1860	2	17	0346	0	10.5	Orig=23.41mph
1860	2	17	0746	0	10.5	Orig=23.56mph
1860	2	17	1546	0	3.7	Orig=8.25mph
1860	2	17	2346	0	1.5	Orig=3.3mph
1860	2	18	0346	0	4.8	Orig=10.7mph
1860	2	18	0746	0	3.3	Orig=7.3mph
1860	2	18	1546	0	0.5	Orig=1.1mph
1860	2	18	1946	0	0.2	Orig=0.5mph
1860	2	18	2346	0	3.4	Orig=7.5mph
1860	2	19	0346	0	5.9	Orig=13.3mph
1860	2	19	0746	0	2.7	Orig=6mph
1860	2	19	1546	0	3.5	Orig=7.9mph
1860	2	19	1946	0	5.4	Orig=12mph
1860	2	19	2346	0	4.2	Orig=9.3mph
1860	2	20	0346	0	5.8	Orig=13mph
1860	2	20	0746	0	0.3	Orig=0.75mph
1860	2	20	1546	0	0.6	Orig=1.25mph
1860	2	20	1946	0	1.9	Orig=4.25mph
1860	2	20	2346	0	4.7	Orig=10.5mph
1860	2	21	0346	0	3.5	Orig=7.8mph
1860	2	21	0746	0	3.6	Orig=8mph
1860	2	21	1546	0	5.5	Orig=12.25mph
1860	2	21	1946	0	6.1	Orig=13.75mph
1860	2	21	2346	0	6.8	Orig=15.25mph
1860	2	22	0346	0	4.7	Orig=10.5mph
1860	2	22	0746	0	3.2	Orig=7.25mph
1860	2	22	1546	0	1	Orig=2.25mph
1860	2	22	1946	0	1.5	Orig=3.25mph
1860	2	22	2346	0	3.1	Orig=7mph
1860	2	23	0346	0	6.3	Orig=14mph
1860	2	23	0746	0	3.2	Orig=7.25mph
1860	2	23	1546	0	0.8	Orig=1.88mph
1860	2	23	1946	0	2.5	Orig=5.5mph
1860	2	23	2346	0	2.7	Orig=6mph
1860	2	24	0346	0	4.6	Orig=10.25mph
1860	2	24	0746	0	5.8	Orig=13mph
1860	2	24	1546	0	5.8	Orig=12.88mph
1860	2	24	1946	0	6.5	Orig=14.5mph
1860	2	24	2346	0	5.7	Orig=12.75mph
1860	2	25	0346	0	4.4	Orig=9.75mph
1860	2	25	0746	0	2.8	Orig=6.25mph
1860	2	25	1546	0	0.5	Orig=1.06mph
1860	2	25	1946	0	0	Orig=0mph
1860	2	25	2346	0	1.3	Orig=2.85mph
1860	2	26	0346	0	2.6	Orig=5.75mph
1860	2	26	0746	0	1.3	Orig=2.9mph
1860	2	26	1546	0	2.9	Orig=6.4mph
1860	2	26	1946	0	0.7	Orig=1.5mph
1860	2	26	2346	0	1.9	Orig=4.25mph
1860	2	27	0346	0	2	Orig=4.38mph
1860	2	27	0746	0	3.6	Orig=8.13mph
1860	2	27	1546	0	0.7	Orig=1.5mph
1860	2	27	1946	0	0.3	Orig=0.75mph
1860	2	27	2346	0	2.3	Orig=5.25mph
1860	2	28	0346	0	5.1	Orig=11.5mph
1860	2	28	0746	0	6.5	Orig=14.5mph
1860	2	28	1546	0	2.7	Orig=6mph
1860	2	28	1946	0	4.6	Orig=10.25mph
1860	2	28	2346	0	2	Orig=4.5mph
1860	2	29	0346	0	5.6	Orig=12.5mph
1860	2	29	0746	0	6.3	Orig=14mph
1860	2	29	1546	0	3.9	Orig=8.8mph
1860	2	29	1946	0	0.8	Orig=1.88mph
1860	2	29	2346	0	4.9	Orig=11mph
1860	3	1	0346	0	7.3	Orig=16.25mph
1860	3	1	0746	0	6.9	Orig=15.5mph
1860	3	1	1546	0	4.3	Orig=9.63mph
1860	3	1	1946	0	2.7	Orig=6mph
1860	3	1	2346	0	5.9	Orig=13.25mph
1860	3	2	0346	0	6.9	Orig=15.5mph
1860	3	2	0746	0	5	Orig=11.25mph
1860	3	2	1546	0	5.9	Orig=13.09mph
1860	3	2	2346	0	6.8	Orig=15.25mph
1860	3	3	0346	0	11.1	Orig=24.75mph
1860	3	3	0746	0	10.6	Orig=23.75mph
1860	3	3	1546	0	8.5	Orig=19mph
1860	3	3	1946	0	6	Orig=13.5mph
1860	3	3	2346	0	11.3	Orig=25.25mph
1860	3	4	0346	0	9.5	Orig=21.25mph
1860	3	4	0746	0	8.8	Orig=19.6mph
1860	3	4	1546	0	9	Orig=20.14mph
1860	3	4	1946	0	7.3	Orig=16.25mph
1860	3	4	2346	0	8.5	Orig=19mph
1860	3	5	0346	0	7	Orig=15.75mph
1860	3	5	0746	0	8.4	Orig=18.75mph
1860	3	5	1546	0	6.9	Orig=15.35mph
1860	3	5	1946	0	3.6	Orig=8mph
1860	3	5	2346	0	5.6	Orig=12.5mph
1860	3	6	0346	0	4.4	Orig=9.75mph
1860	3	6	0746	0	2.6	Orig=5.75mph
1860	3	6	1546	0	3.9	Orig=8.63mph
1860	3	6	1946	0	3	Orig=6.75mph
1860	3	6	2346	0	3.8	Orig=8.5mph
1860	3	7	0346	0	6.4	Orig=14.25mph
1860	3	7	0746	0	1	Orig=2.17mph
1860	3	7	1946	0	0.9	Orig=2mph
1860	3	7	2346	0	1.2	Orig=2.75mph
1860	3	8	0406	0	4.1	Orig=9.25mph
1860	3	8	0746	0	4.1	Orig=9.25mph
1860	3	8	1546	0	3.6	Orig=8.13mph
1860	3	8	1946	0	0.6	Orig=1.4mph
1860	3	8	2346	0	4.1	Orig=9.25mph
1860	3	9	0346	0	5.7	Orig=12.75mph
1860	3	9	0746	0	3	Orig=6.75mph
1860	3	9	1546	0	4.2	Orig=9.5mph
