SEF	1.0.0
ID	Cape_Town_Obs
Name	Cape Town (Observatory)
Lat	-33.9344
Lon	18.4773
Alt	12
Source	C3S_SouthAfrica
Link	https://data-rescue.copernicus-climate.eu/lso/1086290
Vbl	w
Stat	point
Units	m/s
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1860	2	14	23	30	0	7.7	Orig=17.31mph|orig.time=0100CMT
1860	2	15	3	30	0	5.8	Orig=12.88mph|orig.time=0500CMT
1860	2	15	7	30	0	5.9	Orig=13.25mph|orig.time=0900CMT
1860	2	15	15	30	0	3.4	Orig=7.63mph|orig.time=1700CMT
1860	2	15	19	30	0	2.3	Orig=5.1mph|orig.time=2100CMT
1860	2	15	23	30	0	4.5	Orig=10.1mph|orig.time=0100CMT
1860	2	16	3	30	0	4	Orig=8.93mph|orig.time=0500CMT
1860	2	16	7	30	0	1.5	Orig=3.25mph|orig.time=0900CMT
1860	2	16	16	30	0	4.2	Orig=9.5mph|orig.time=1800CMT
1860	2	16	19	30	0	9.4	Orig=21.1mph|orig.time=2100CMT
1860	2	16	23	30	0	9.9	Orig=22.08mph|orig.time=0100CMT
1860	2	17	3	30	0	10.5	Orig=23.41mph|orig.time=0500CMT
1860	2	17	7	30	0	10.5	Orig=23.56mph|orig.time=0900CMT
1860	2	17	15	30	0	3.7	Orig=8.25mph|orig.time=1700CMT
1860	2	17	23	30	0	1.5	Orig=3.3mph|orig.time=0100CMT
1860	2	18	3	30	0	4.8	Orig=10.7mph|orig.time=0500CMT
1860	2	18	7	30	0	3.3	Orig=7.3mph|orig.time=0900CMT
1860	2	18	15	30	0	0.5	Orig=1.1mph|orig.time=1700CMT
1860	2	18	19	30	0	0.2	Orig=0.5mph|orig.time=2100CMT
1860	2	18	23	30	0	3.4	Orig=7.5mph|orig.time=0100CMT
1860	2	19	3	30	0	5.9	Orig=13.3mph|orig.time=0500CMT
1860	2	19	7	30	0	2.7	Orig=6mph|orig.time=0900CMT
1860	2	19	15	30	0	3.5	Orig=7.9mph|orig.time=1700CMT
1860	2	19	19	30	0	5.4	Orig=12mph|orig.time=2100CMT
1860	2	19	23	30	0	4.2	Orig=9.3mph|orig.time=0100CMT
1860	2	20	3	30	0	5.8	Orig=13mph|orig.time=0500CMT
1860	2	20	7	30	0	0.3	Orig=0.75mph|orig.time=0900CMT
1860	2	20	15	30	0	0.6	Orig=1.25mph|orig.time=1700CMT
1860	2	20	19	30	0	1.9	Orig=4.25mph|orig.time=2100CMT
1860	2	20	23	30	0	4.7	Orig=10.5mph|orig.time=0100CMT
1860	2	21	3	30	0	3.5	Orig=7.8mph|orig.time=0500CMT
1860	2	21	7	30	0	3.6	Orig=8mph|orig.time=0900CMT
1860	2	21	15	30	0	5.5	Orig=12.25mph|orig.time=1700CMT
1860	2	21	19	30	0	6.1	Orig=13.75mph|orig.time=2100CMT
1860	2	21	23	30	0	6.8	Orig=15.25mph|orig.time=0100CMT
1860	2	22	3	30	0	4.7	Orig=10.5mph|orig.time=0500CMT
1860	2	22	7	30	0	3.2	Orig=7.25mph|orig.time=0900CMT
1860	2	22	15	30	0	1	Orig=2.25mph|orig.time=1700CMT
1860	2	22	19	30	0	1.5	Orig=3.25mph|orig.time=2100CMT
1860	2	22	23	30	0	3.1	Orig=7mph|orig.time=0100CMT
1860	2	23	3	30	0	6.3	Orig=14mph|orig.time=0500CMT
1860	2	23	7	30	0	3.2	Orig=7.25mph|orig.time=0900CMT
1860	2	23	15	30	0	0.8	Orig=1.88mph|orig.time=1700CMT
1860	2	23	19	30	0	2.5	Orig=5.5mph|orig.time=2100CMT
1860	2	23	23	30	0	2.7	Orig=6mph|orig.time=0100CMT
1860	2	24	3	30	0	4.6	Orig=10.25mph|orig.time=0500CMT
1860	2	24	7	30	0	5.8	Orig=13mph|orig.time=0900CMT
1860	2	24	15	30	0	5.8	Orig=12.88mph|orig.time=1700CMT
1860	2	24	19	30	0	6.5	Orig=14.5mph|orig.time=2100CMT
1860	2	24	23	30	0	5.7	Orig=12.75mph|orig.time=0100CMT
1860	2	25	3	30	0	4.4	Orig=9.75mph|orig.time=0500CMT
1860	2	25	7	30	0	2.8	Orig=6.25mph|orig.time=0900CMT
1860	2	25	15	30	0	0.5	Orig=1.06mph|orig.time=1700CMT
1860	2	25	19	30	0	0	Orig=0mph|orig.time=2100CMT
1860	2	25	23	30	0	1.3	Orig=2.85mph|orig.time=0100CMT
1860	2	26	3	30	0	2.6	Orig=5.75mph|orig.time=0500CMT
1860	2	26	7	30	0	1.3	Orig=2.9mph|orig.time=0900CMT
1860	2	26	15	30	0	2.9	Orig=6.4mph|orig.time=1700CMT
1860	2	26	19	30	0	0.7	Orig=1.5mph|orig.time=2100CMT
1860	2	26	23	30	0	1.9	Orig=4.25mph|orig.time=0100CMT
1860	2	27	3	30	0	2	Orig=4.38mph|orig.time=0500CMT
1860	2	27	7	30	0	3.6	Orig=8.13mph|orig.time=0900CMT
1860	2	27	15	30	0	0.7	Orig=1.5mph|orig.time=1700CMT
1860	2	27	19	30	0	0.3	Orig=0.75mph|orig.time=2100CMT
1860	2	27	23	30	0	2.3	Orig=5.25mph|orig.time=0100CMT
1860	2	28	3	30	0	5.1	Orig=11.5mph|orig.time=0500CMT
1860	2	28	7	30	0	6.5	Orig=14.5mph|orig.time=0900CMT
1860	2	28	15	30	0	2.7	Orig=6mph|orig.time=1700CMT
1860	2	28	19	30	0	4.6	Orig=10.25mph|orig.time=2100CMT
1860	2	28	23	30	0	2	Orig=4.5mph|orig.time=0100CMT
1860	2	29	3	30	0	5.6	Orig=12.5mph|orig.time=0500CMT
1860	2	29	7	30	0	6.3	Orig=14mph|orig.time=0900CMT
1860	2	29	15	30	0	3.9	Orig=8.8mph|orig.time=1700CMT
1860	2	29	19	30	0	0.8	Orig=1.88mph|orig.time=2100CMT
1860	2	29	23	30	0	4.9	Orig=11mph|orig.time=0100CMT
1860	3	1	3	30	0	7.3	Orig=16.25mph|orig.time=0500CMT
1860	3	1	7	30	0	6.9	Orig=15.5mph|orig.time=0900CMT
1860	3	1	15	30	0	4.3	Orig=9.63mph|orig.time=1700CMT
1860	3	1	19	30	0	2.7	Orig=6mph|orig.time=2100CMT
