SEF	1.0.0
ID	Cape_Town_Obs
Name	Cape Town (Observatory)
Lat	-33.9344
Lon	18.4773
Alt	12
Source	C3S_SouthAfrica
Link	https://data-rescue.copernicus-climate.eu/lso/1086289
Vbl	ta
Stat	mean
Units	C
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1879	1	1	NA	NA	day	15.9	Orig=60.6F|position=roof
1879	1	2	NA	NA	day	16.8	Orig=62.3F|position=roof
1879	1	3	NA	NA	day	13.4	Orig=56.2F|position=roof
1879	1	4	NA	NA	day	16.3	Orig=61.3F|position=roof
1879	1	5	NA	NA	day	19.7	Orig=67.5F|position=roof
1879	1	6	NA	NA	day	21.3	Orig=70.3F|position=roof
1879	1	7	NA	NA	day	18.6	Orig=65.4F|position=roof
1879	1	8	NA	NA	day	20.2	Orig=68.4F|position=roof
1879	1	9	NA	NA	day	18.8	Orig=65.8F|position=roof
1879	1	10	NA	NA	day	16.9	Orig=62.4F|position=roof
1879	1	11	NA	NA	day	15.9	Orig=60.6F|position=roof
1879	1	12	NA	NA	day	15.8	Orig=60.4F|position=roof
1879	1	13	NA	NA	day	18.3	Orig=64.9F|position=roof
1879	1	14	NA	NA	day	18.6	Orig=65.5F|position=roof
1879	1	15	NA	NA	day	19.3	Orig=66.7F|position=roof
1879	1	16	NA	NA	day	17.7	Orig=63.9F|position=roof
1879	1	17	NA	NA	day	17.3	Orig=63.2F|position=roof
1879	1	18	NA	NA	day	15.4	Orig=59.7F|position=roof
1879	1	19	NA	NA	day	17.2	Orig=63F|position=roof
1879	1	20	NA	NA	day	23.3	Orig=74F|position=roof
1879	1	21	NA	NA	day	22.3	Orig=72.1F|position=roof
1879	1	22	NA	NA	day	19.4	Orig=66.9F|position=roof
1879	1	23	NA	NA	day	17.9	Orig=64.3F|position=roof
1879	1	24	NA	NA	day	18.8	Orig=65.9F|position=roof
1879	1	25	NA	NA	day	18.4	Orig=65.1F|position=roof
1879	1	26	NA	NA	day	19.4	Orig=66.9F|position=roof
1879	1	27	NA	NA	day	17.3	Orig=63.2F|position=roof
1879	1	28	NA	NA	day	15.8	Orig=60.4F|position=roof
1879	1	29	NA	NA	day	16.8	Orig=62.2F|position=roof
1879	1	30	NA	NA	day	16.4	Orig=61.5F|position=roof
1879	1	31	NA	NA	day	15.9	Orig=60.7F|position=roof
1879	2	1	NA	NA	day	19.1	Orig=66.4F|position=roof
1879	2	2	NA	NA	day	21.8	Orig=71.3F|position=roof
1879	2	3	NA	NA	day	21.8	Orig=71.2F|position=roof
1879	2	4	NA	NA	day	19.3	Orig=66.7F|position=roof
1879	2	5	NA	NA	day	19.9	Orig=67.8F|position=roof
1879	2	6	NA	NA	day	17.9	Orig=64.2F|position=roof
1879	2	7	NA	NA	day	17.5	Orig=63.5F|position=roof
1879	2	8	NA	NA	day	19.7	Orig=67.4F|position=roof
1879	2	9	NA	NA	day	18.6	Orig=65.5F|position=roof
1879	2	10	NA	NA	day	21.8	Orig=71.3F|position=roof
1879	2	11	NA	NA	day	23.4	Orig=74.1F|position=roof
1879	2	12	NA	NA	day	20.2	Orig=68.3F|position=roof
1879	2	13	NA	NA	day	17.8	Orig=64F|position=roof
1879	2	14	NA	NA	day	20.9	Orig=69.6F|position=roof
1879	2	15	NA	NA	day	18.6	Orig=65.5F|position=roof
1879	2	16	NA	NA	day	15.3	Orig=59.5F|position=roof
1879	2	17	NA	NA	day	20.7	Orig=69.3F|position=roof
1879	2	18	NA	NA	day	18.4	Orig=65.2F|position=roof
1879	2	19	NA	NA	day	17.2	Orig=63F|position=roof
1879	2	20	NA	NA	day	19	Orig=66.2F|position=roof
