SEF	1.0.0
ID	Cape_Town_Obs
Name	Cape Town (Observatory)
Lat	-33.9344
Lon	18.4773
Alt	12
Source	C3S_SouthAfrica
Link	https://data-rescue.copernicus-climate.eu/lso/1086288
Vbl	p
Stat	mean
Units	hPa
Meta	PTC=Y|PGC=Y
Year	Month	Day	Hour	Minute	Period	Value	Meta
1879	1	1	NA	NA	day	1012.35	Orig=29.926in
1879	1	2	NA	NA	day	1009.78	Orig=29.85in
1879	1	3	NA	NA	day	1008.36	Orig=29.808in
1879	1	4	NA	NA	day	1017.83	Orig=30.088in
1879	1	5	NA	NA	day	1017.39	Orig=30.075in
1879	1	6	NA	NA	day	1011.13	Orig=29.89in
1879	1	7	NA	NA	day	1014.14	Orig=29.979in
1879	1	8	NA	NA	day	1016.24	Orig=30.041in
1879	1	9	NA	NA	day	1007.51	Orig=29.783in
1879	1	10	NA	NA	day	1012.15	Orig=29.92in
1879	1	11	NA	NA	day	1016.07	Orig=30.036in
1879	1	12	NA	NA	day	1016.98	Orig=30.063in
1879	1	13	NA	NA	day	1017.26	Orig=30.071in
1879	1	14	NA	NA	day	1011.03	Orig=29.887in
1879	1	15	NA	NA	day	1009	Orig=29.827in
1879	1	16	NA	NA	day	1013.57	Orig=29.962in
1879	1	17	NA	NA	day	1012.52	Orig=29.931in
1879	1	18	NA	NA	day	1017.19	Orig=30.069in
1879	1	19	NA	NA	day	1018.51	Orig=30.108in
1879	1	20	NA	NA	day	1012.86	Orig=29.941in
1879	1	21	NA	NA	day	1010.02	Orig=29.857in
1879	1	22	NA	NA	day	1009.37	Orig=29.838in
1879	1	23	NA	NA	day	1010.49	Orig=29.871in
1879	1	24	NA	NA	day	1010.32	Orig=29.866in
1879	1	25	NA	NA	day	1008.97	Orig=29.826in
1879	1	26	NA	NA	day	1011.37	Orig=29.897in
1879	1	27	NA	NA	day	1010.22	Orig=29.863in
1879	1	28	NA	NA	day	1008.87	Orig=29.823in
1879	1	29	NA	NA	day	1010.93	Orig=29.884in
1879	1	30	NA	NA	day	1009.64	Orig=29.846in
1879	1	31	NA	NA	day	1017.19	Orig=30.069in
1879	2	1	NA	NA	day	1019.12	Orig=30.126in
1879	2	2	NA	NA	day	1014.55	Orig=29.991in
1879	2	3	NA	NA	day	1008.39	Orig=29.809in
1879	2	4	NA	NA	day	1011.71	Orig=29.907in
1879	2	5	NA	NA	day	1011.06	Orig=29.888in
1879	2	6	NA	NA	day	1012.65	Orig=29.935in
1879	2	7	NA	NA	day	1015.16	Orig=30.009in
1879	2	8	NA	NA	day	1013.36	Orig=29.956in
1879	2	9	NA	NA	day	1014.58	Orig=29.992in
1879	2	10	NA	NA	day	1011.57	Orig=29.903in
1879	2	11	NA	NA	day	1008.05	Orig=29.799in
1879	2	12	NA	NA	day	1014.99	Orig=30.004in
1879	2	13	NA	NA	day	1019.62	Orig=30.141in
1879	2	14	NA	NA	day	1014.11	Orig=29.978in
1879	2	15	NA	NA	day	1011.13	Orig=29.89in
1879	2	16	NA	NA	day	1012.59	Orig=29.933in
1879	2	17	NA	NA	day	1010.52	Orig=29.872in
1879	2	18	NA	NA	day	1011.47	Orig=29.9in
1879	2	19	NA	NA	day	1009.41	Orig=29.839in
1879	2	20	NA	NA	day	1011.23	Orig=29.893in
1879	2	21	NA	NA	day	1013.13	Orig=29.949in
1879	2	22	NA	NA	day	1016.07	Orig=30.036in
1879	2	23	NA	NA	day	1014.38	Orig=29.986in
1879	2	24	NA	NA	day	1010.56	Orig=29.873in
1879	2	25	NA	NA	day	1009.37	Orig=29.838in
1879	2	26	NA	NA	day	1010.12	Orig=29.86in
1879	2	27	NA	NA	day	1011.88	Orig=29.912in
1879	2	28	NA	NA	day	1008.87	Orig=29.823in
1879	3	1	NA	NA	day	1012.05	Orig=29.917in
1879	3	2	NA	NA	day	1016.27	Orig=30.042in
1879	3	3	NA	NA	day	1015.02	Orig=30.005in
1879	3	4	NA	NA	day	1014.11	Orig=29.978in
1879	3	5	NA	NA	day	1009.98	Orig=29.856in
1879	3	6	NA	NA	day	1009.27	Orig=29.835in
1879	3	7	NA	NA	day	1014.45	Orig=29.988in
1879	3	8	NA	NA	day	1014.31	Orig=29.984in
1879	3	9	NA	NA	day	1011.74	Orig=29.908in
1879	3	10	NA	NA	day	1012.49	Orig=29.93in
1879	3	11	NA	NA	day	1016.65	Orig=30.053in
1879	3	12	NA	NA	day	1014.62	Orig=29.993in
1879	3	13	NA	NA	day	1016.75	Orig=30.056in
1879	3	14	NA	NA	day	1014.99	Orig=30.004in
1879	3	15	NA	NA	day	1013.91	Orig=29.972in
1879	3	16	NA	NA	day	1014.11	Orig=29.978in
1879	3	17	NA	NA	day	1019.15	Orig=30.127in
1879	3	18	NA	NA	day	1016.78	Orig=30.057in
1879	3	19	NA	NA	day	1014.92	Orig=30.002in
1879	3	20	NA	NA	day	1021.38	Orig=30.193in
1879	3	21	NA	NA	day	1017.93	Orig=30.091in
1879	3	22	NA	NA	day	1017.39	Orig=30.075in
1879	3	23	NA	NA	day	1017.05	Orig=30.065in
1879	3	24	NA	NA	day	1013.94	Orig=29.973in
1879	3	25	NA	NA	day	1014.48	Orig=29.989in
1879	3	26	NA	NA	day	1018.71	Orig=30.114in
1879	3	27	NA	NA	day	1019.42	Orig=30.135in
1879	3	28	NA	NA	day	1015.83	Orig=30.029in
1879	3	29	NA	NA	day	1010.79	Orig=29.88in
1879	3	30	NA	NA	day	1011.17	Orig=29.891in
1879	3	31	NA	NA	day	1018.3	Orig=30.102in
1879	4	1	NA	NA	day	1017.86	Orig=30.089in
1879	4	2	NA	NA	day	1014.45	Orig=29.988in
1879	4	3	NA	NA	day	1010.93	Orig=29.884in
1879	4	4	NA	NA	day	1010.22	Orig=29.863in
1879	4	5	NA	NA	day	1013.8	Orig=29.969in
1879	4	6	NA	NA	day	1013.84	Orig=29.97in
1879	4	7	NA	NA	day	1012.62	Orig=29.934in
1879	4	8	NA	NA	day	1008.87	Orig=29.823in
1879	4	9	NA	NA	day	1008.83	Orig=29.822in
1879	4	10	NA	NA	day	1020.37	Orig=30.163in
1879	4	11	NA	NA	day	1023.01	Orig=30.241in
1879	4	12	NA	NA	day	1015.33	Orig=30.014in
1879	4	13	NA	NA	day	1013.64	Orig=29.964in
1879	4	14	NA	NA	day	1021.86	Orig=30.207in
1879	4	15	NA	NA	day	1018.78	Orig=30.116in
1879	4	16	NA	NA	day	1008.87	Orig=29.823in
1879	4	17	NA	NA	day	1009.27	Orig=29.835in
1879	4	18	NA	NA	day	1020.94	Orig=30.18in
1879	4	19	NA	NA	day	1028.79	Orig=30.412in
1879	4	20	NA	NA	day	1024.9	Orig=30.297in
1879	4	21	NA	NA	day	1017.12	Orig=30.067in
1879	4	22	NA	NA	day	1014.04	Orig=29.976in
1879	4	23	NA	NA	day	1017.8	Orig=30.087in
1879	4	24	NA	NA	day	1019.42	Orig=30.135in
1879	4	25	NA	NA	day	1017.12	Orig=30.067in
