SEF	1.0.0
ID	Cape_Town_Obs
Name	Cape Town (Observatory)
Lat	-33.9344
Lon	18.4773
Alt	12
Source	C3S_SouthAfrica
Link	https://data-rescue.copernicus-climate.eu/lso/1086291
Vbl	Tn
Stat	minimum
Units	C
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1879	1	1	NA	NA	day	13.4	Orig=56.2F|position=ground
1879	1	2	NA	NA	day	9.8	Orig=49.7F|position=ground
1879	1	3	NA	NA	day	8.9	Orig=48F|position=ground
1879	1	4	NA	NA	day	11.8	Orig=53.3F|position=ground
1879	1	5	NA	NA	day	14.9	Orig=58.9F|position=ground
1879	1	6	NA	NA	day	18.3	Orig=65F|position=ground
1879	1	7	NA	NA	day	15.9	Orig=60.7F|position=ground
1879	1	8	NA	NA	day	17.3	Orig=63.2F|position=ground
1879	1	9	NA	NA	day	11.9	Orig=53.5F|position=ground
1879	1	10	NA	NA	day	8.9	Orig=48.1F|position=ground
1879	1	11	NA	NA	day	9.9	Orig=49.8F|position=ground
1879	1	12	NA	NA	day	13.3	Orig=56F|position=ground
1879	1	13	NA	NA	day	14.3	Orig=57.8F|position=ground
1879	1	14	NA	NA	day	15.9	Orig=60.6F|position=ground
1879	1	15	NA	NA	day	17.5	Orig=63.5F|position=ground
1879	1	16	NA	NA	day	11.7	Orig=53F|position=ground
1879	1	17	NA	NA	day	12.7	Orig=54.8F|position=ground
1879	1	18	NA	NA	day	12	Orig=53.6F|position=ground
1879	1	19	NA	NA	day	13.9	Orig=57F|position=ground
1879	1	20	NA	NA	day	16.9	Orig=62.5F|position=ground
1879	1	21	NA	NA	day	15.4	Orig=59.8F|position=ground
1879	1	22	NA	NA	day	11.7	Orig=53F|position=ground
1879	1	23	NA	NA	day	12.9	Orig=55.2F|position=ground
1879	1	24	NA	NA	day	11.1	Orig=52F|position=ground
1879	1	25	NA	NA	day	15.8	Orig=60.4F|position=ground
1879	1	26	NA	NA	day	14.2	Orig=57.6F|position=ground
1879	1	27	NA	NA	day	13	Orig=55.4F|position=ground
1879	1	28	NA	NA	day	13.9	Orig=57F|position=ground
