SEF	1.0.0
ID	Cape_Town_Obs
Name	Cape Town (Observatory)
Lat	-33.9344
Lon	18.4773
Alt	12
Source	C3S_SouthAfrica
Link	https://data-rescue.copernicus-climate.eu/lso/1086292
Vbl	Tx
Stat	maximum
Units	C
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1879	1	1	NA	NA	day	20.4	Orig=68.8F|position=roof
1879	1	2	NA	NA	day	21.2	Orig=70.2F|position=roof
1879	1	3	NA	NA	day	19	Orig=66.2F|position=roof
1879	1	4	NA	NA	day	19.4	Orig=67F|position=roof
1879	1	5	NA	NA	day	21.9	Orig=71.5F|position=roof
1879	1	6	NA	NA	day	28.6	Orig=83.4F|position=roof
1879	1	7	NA	NA	day	24.3	Orig=75.8F|position=roof
1879	1	8	NA	NA	day	25.1	Orig=77.1F|position=roof
1879	1	9	NA	NA	day	29.3	Orig=84.7F|position=roof
1879	1	10	NA	NA	day	27.8	Orig=82F|position=roof
1879	1	11	NA	NA	day	20.8	Orig=69.5F|position=roof
1879	1	12	NA	NA	day	21.4	Orig=70.5F|position=roof
1879	1	13	NA	NA	day	24.1	Orig=75.3F|position=roof
1879	1	14	NA	NA	day	22.3	Orig=72.2F|position=roof
1879	1	15	NA	NA	day	27.2	Orig=81F|position=roof
1879	1	16	NA	NA	day	23	Orig=73.4F|position=roof
1879	1	17	NA	NA	day	25.1	Orig=77.2F|position=roof
1879	1	18	NA	NA	day	20	Orig=68F|position=roof
1879	1	19	NA	NA	day	20.5	Orig=68.9F|position=roof
1879	1	20	NA	NA	day	23.9	Orig=75F|position=roof
1879	1	21	NA	NA	day	31.3	Orig=88.3F|position=roof
1879	1	22	NA	NA	day	28.3	Orig=83F|position=roof
1879	1	23	NA	NA	day	23.3	Orig=74F|position=roof
1879	1	24	NA	NA	day	24.9	Orig=76.8F|position=roof
1879	1	25	NA	NA	day	25.2	Orig=77.3F|position=roof
1879	1	26	NA	NA	day	24.8	Orig=76.7F|position=roof
1879	1	27	NA	NA	day	24.6	Orig=76.2F|position=roof
1879	1	28	NA	NA	day	22.7	Orig=72.8F|position=roof
1879	1	29	NA	NA	day	20.6	Orig=69.1F|position=roof
