SEF	1.0.0
ID	Cape_Town_Obs
Name	Cape Town (Observatory)
Lat	-33.9344
Lon	18.4773
Alt	12
Source	C3S_SouthAfrica
Link	NA
Vbl	ss
Stat	sum
Units	hours
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1900	1	2	6	29	day	12.5	Orig=12.5|orig.time=2016
1900	1	3	6	29	day	11	Orig=11|orig.time=2016
1900	1	4	6	29	day	12.75	Orig=12.75|orig.time=2016
1900	1	5	6	29	day	12.75	Orig=12.75|orig.time=2016
1900	1	6	6	29	day	11.25	Orig=11.25|orig.time=2016
1900	1	7	6	29	day	5.75	Orig=5.75|orig.time=2016
1900	1	8	6	29	day	12.75	Orig=12.75|orig.time=2016
1900	1	9	6	29	day	12.25	Orig=12.25|orig.time=2016
1900	1	10	6	29	day	10.5	Orig=10.5|orig.time=2016
1900	1	11	6	29	day	1.5	Orig=1.5|orig.time=2016
1900	1	12	6	29	day	11.25	Orig=11.25|orig.time=2016
1900	1	13	6	29	day	12.75	Orig=12.75|orig.time=2016
1900	1	14	6	29	day	11	Orig=11|orig.time=2016
1900	1	15	6	29	day	13	Orig=13|orig.time=2016
1900	1	16	6	29	day	12.75	Orig=12.75|orig.time=2016
1900	1	17	6	29	day	10	Orig=10|orig.time=2016
1900	1	18	6	29	day	12.75	Orig=12.75|orig.time=2016
1900	1	19	6	29	day	12.5	Orig=12.5|orig.time=2016
1900	1	20	6	29	day	10	Orig=10|orig.time=2016
1900	1	21	6	29	day	11.75	Orig=11.75|orig.time=2016
1900	1	22	6	29	day	12.25	Orig=12.25|orig.time=2016
1900	1	23	6	29	day	2.75	Orig=2.75|orig.time=2016
1900	1	24	6	29	day	12.5	Orig=12.5|orig.time=2016
1900	1	25	6	29	day	12.5	Orig=12.5|orig.time=2016
1900	1	26	6	29	day	5	Orig=5|orig.time=2016
1900	1	27	6	29	day	11	Orig=11|orig.time=2016
1900	1	28	6	29	day	12.5	Orig=12.5|orig.time=2016
1900	1	29	6	29	day	10	Orig=10|orig.time=2016
1900	1	30	6	29	day	9.5	Orig=9.5|orig.time=2016
1900	1	31	6	29	day	7	Orig=7|orig.time=2016
1900	2	1	6	29	day	10.25	Orig=10.25|orig.time=2016
1900	2	2	6	29	day	12.25	Orig=12.25|orig.time=2016
1900	2	3	6	29	day	12	Orig=12|orig.time=2016
1900	2	4	6	29	day	12.5	Orig=12.5|orig.time=2016
1900	2	5	6	29	day	12	Orig=12|orig.time=2016
1900	2	6	6	29	day	12.5	Orig=12.5|orig.time=2016
1900	2	7	6	29	day	12.25	Orig=12.25|orig.time=2016
1900	2	8	6	29	day	1	Orig=1|orig.time=2016
1900	2	9	6	29	day	12.5	Orig=12.5|orig.time=2016
1900	2	10	6	29	day	12	Orig=12|orig.time=2016
1900	2	11	6	29	day	1	Orig=1|orig.time=2016
1900	2	12	6	29	day	9	Orig=9|orig.time=2016
1900	2	13	6	29	day	12	Orig=12|orig.time=2016
1900	2	14	6	29	day	6.75	Orig=6.75|orig.time=2016
1900	2	15	6	29	day	12	Orig=12|orig.time=2016
1900	2	16	6	29	day	11.75	Orig=11.75|orig.time=2016
1900	2	17	6	29	day	11.75	Orig=11.75|orig.time=2016
1900	2	18	6	29	day	12	Orig=12|orig.time=2016
1900	2	19	6	29	day	12	Orig=12|orig.time=2016
1900	2	20	6	29	day	3.5	Orig=3.5|orig.time=2016
1900	2	21	6	29	day	11.75	Orig=11.75|orig.time=2016
1900	2	22	6	29	day	12	Orig=12|orig.time=2016
1900	2	23	6	29	day	10	Orig=10|orig.time=2016
1900	2	24	6	29	day	6.75	Orig=6.75|orig.time=2016
1900	2	25	6	29	day	11	Orig=11|orig.time=2016
1900	2	26	6	29	day	6	Orig=6|orig.time=2016
1900	2	27	6	29	day	11.5	Orig=11.5|orig.time=2016
1900	2	28	6	29	day	11.5	Orig=11.5|orig.time=2016
1900	3	1	6	29	day	11.5	Orig=11.5|orig.time=2016
1900	5	2	6	29	day	8.5	Orig=8.5|orig.time=2016
1900	5	3	6	29	day	9.75	Orig=9.75|orig.time=2016
1900	5	4	6	29	day	9.75	Orig=9.75|orig.time=2016
1900	5	5	6	29	day	9.5	Orig=9.5|orig.time=2016
1900	5	6	6	29	day	7.5	Orig=7.5|orig.time=2016
1900	5	7	6	29	day	9.5	Orig=9.5|orig.time=2016
1900	5	8	6	29	day	7	Orig=7|orig.time=2016
1900	5	9	6	29	day	9.5	Orig=9.5|orig.time=2016
1900	5	10	6	29	day	8.75	Orig=8.75|orig.time=2016
1900	5	11	6	29	day	8	Orig=8|orig.time=2016
1900	5	12	6	29	day	7	Orig=7|orig.time=2016
1900	5	13	6	29	day	8.25	Orig=8.25|orig.time=2016
1900	5	14	6	29	day	2	Orig=2|orig.time=2016
1900	5	15	6	29	day	1	Orig=1|orig.time=2016
1900	5	16	6	29	day	8.5	Orig=8.5|orig.time=2016
1900	5	17	6	29	day	2.5	Orig=2.5|orig.time=2016
1900	5	18	6	29	day	8.25	Orig=8.25|orig.time=2016
1900	5	19	6	29	day	1.25	Orig=1.25|orig.time=2016
1900	5	20	6	29	day	2	Orig=2|orig.time=2016
1900	5	21	6	29	day	8.75	Orig=8.75|orig.time=2016
1900	5	22	6	29	day	9.75	Orig=9.75|orig.time=2016
1900	5	23	6	29	day	7	Orig=7|orig.time=2016
1900	5	24	6	29	day	7	Orig=7|orig.time=2016
1900	5	25	6	29	day	5.5	Orig=5.5|orig.time=2016
1900	5	26	6	29	day	0	Orig=0|orig.time=2016
1900	5	27	6	29	day	4.75	Orig=4.75|orig.time=2016
1900	5	28	6	29	day	8	Orig=8|orig.time=2016
1900	5	29	6	29	day	9.25	Orig=9.25|orig.time=2016
1900	5	30	6	29	day	9.5	Orig=9.5|orig.time=2016
1900	5	31	6	29	day	5	Orig=5|orig.time=2016
1900	6	1	6	29	day	2.5	Orig=2.5|orig.time=2016
1900	6	2	6	29	day	8.25	Orig=8.25|orig.time=2016
1900	6	3	6	29	day	1	Orig=1|orig.time=2016
1900	6	4	6	29	day	5.5	Orig=5.5|orig.time=2016
1900	6	5	6	29	day	1.5	Orig=1.5|orig.time=2016
1900	6	6	6	29	day	4.25	Orig=4.25|orig.time=2016
1900	6	7	6	29	day	1	Orig=1|orig.time=2016
1900	6	8	6	29	day	1.25	Orig=1.25|orig.time=2016
1900	6	9	6	29	day	9.25	Orig=9.25|orig.time=2016
1900	6	10	6	29	day	8.25	Orig=8.25|orig.time=2016
1900	6	11	6	29	day	5.5	Orig=5.5|orig.time=2016
1900	6	12	6	29	day	0	Orig=0|orig.time=2016
1900	6	13	6	29	day	1	Orig=1|orig.time=2016
1900	6	14	6	29	day	7	Orig=7|orig.time=2016
1900	6	15	6	29	day	9	Orig=9|orig.time=2016
1900	6	16	6	29	day	7.5	Orig=7.5|orig.time=2016
1900	6	17	6	29	day	1	Orig=1|orig.time=2016
1900	6	18	6	29	day	1.5	Orig=1.5|orig.time=2016
1900	6	19	6	29	day	7.75	Orig=7.75|orig.time=2016
1900	6	20	6	29	day	1	Orig=1|orig.time=2016
1900	6	21	6	29	day	8.5	Orig=8.5|orig.time=2016
1900	6	22	6	29	day	9.25	Orig=9.25|orig.time=2016
1900	6	23	6	29	day	8	Orig=8|orig.time=2016
1900	6	24	6	29	day	8.75	Orig=8.75|orig.time=2016
1900	6	25	6	29	day	6.25	Orig=6.25|orig.time=2016
1900	6	26	6	29	day	9.25	Orig=9.25|orig.time=2016
1900	6	27	6	29	day	9	Orig=9|orig.time=2016
1900	6	28	6	29	day	9.25	Orig=9.25|orig.time=2016
1900	6	29	6	29	day	9.25	Orig=9.25|orig.time=2016
1900	6	30	6	29	day	3	Orig=3|orig.time=2016
1900	7	1	6	29	day	6	Orig=6|orig.time=2016
1900	7	2	6	29	day	0.5	Orig=0.5|orig.time=2016
1900	7	3	6	29	day	2.5	Orig=2.5|orig.time=2016
1900	7	4	6	29	day	1.75	Orig=1.75|orig.time=2016
1900	7	5	6	29	day	9	Orig=9|orig.time=2016
1900	7	6	6	29	day	9	Orig=9|orig.time=2016
1900	7	7	6	29	day	9	Orig=9|orig.time=2016
1900	7	8	6	29	day	7	Orig=7|orig.time=2016
1900	7	9	6	29	day	9	Orig=9|orig.time=2016
1900	7	10	6	29	day	5.5	Orig=5.5|orig.time=2016
1900	7	11	6	29	day	6.75	Orig=6.75|orig.time=2016
1900	7	12	6	29	day	2.75	Orig=2.75|orig.time=2016
1900	7	13	6	29	day	4	Orig=4|orig.time=2016
1900	7	14	6	29	day	0	Orig=0|orig.time=2016
1900	7	15	6	29	day	7.25	Orig=7.25|orig.time=2016
1900	7	16	6	29	day	0.25	Orig=0.25|orig.time=2016
1900	7	17	6	29	day	5	Orig=5|orig.time=2016
1900	7	18	6	29	day	2.25	Orig=2.25|orig.time=2016
1900	7	19	6	29	day	2.5	Orig=2.5|orig.time=2016
1900	7	20	6	29	day	9	Orig=9|orig.time=2016
1900	7	21	6	29	day	2.5	Orig=2.5|orig.time=2016
1900	7	22	6	29	day	0.75	Orig=0.75|orig.time=2016
1900	7	23	6	29	day	0.75	Orig=0.75|orig.time=2016
1900	7	24	6	29	day	0.25	Orig=0.25|orig.time=2016
1900	7	25	6	29	day	8.75	Orig=8.75|orig.time=2016
1900	7	26	6	29	day	9.5	Orig=9.5|orig.time=2016
1900	7	27	6	29	day	9.5	Orig=9.5|orig.time=2016
1900	7	28	6	29	day	0	Orig=0|orig.time=2016
1900	7	29	6	29	day	4	Orig=4|orig.time=2016
1900	7	30	6	29	day	7.75	Orig=7.75|orig.time=2016
1900	7	31	6	29	day	7	Orig=7|orig.time=2016
1900	8	1	6	29	day	1.5	Orig=1.5|orig.time=2016
1900	8	2	6	29	day	9.25	Orig=9.25|orig.time=2016
1900	8	3	6	29	day	9.75	Orig=9.75|orig.time=2016
1900	8	4	6	29	day	9.75	Orig=9.75|orig.time=2016
1900	8	5	6	29	day	7.25	Orig=7.25|orig.time=2016
1900	8	6	6	29	day	9.75	Orig=9.75|orig.time=2016
1900	8	7	6	29	day	3.5	Orig=3.5|orig.time=2016
1900	8	8	6	29	day	9.5	Orig=9.5|orig.time=2016
1900	8	9	6	29	day	10	Orig=10|orig.time=2016
1900	8	10	6	29	day	9.25	Orig=9.25|orig.time=2016
1900	8	11	6	29	day	0.75	Orig=0.75|orig.time=2016
1900	8	12	6	29	day	6.5	Orig=6.5|orig.time=2016
1900	8	13	6	29	day	8.5	Orig=8.5|orig.time=2016
1900	8	14	6	29	day	8	Orig=8|orig.time=2016
1900	8	15	6	29	day	10.25	Orig=10.25|orig.time=2016
1900	8	16	6	29	day	10	Orig=10|orig.time=2016
1900	8	17	6	29	day	4.25	Orig=4.25|orig.time=2016
1900	8	18	6	29	day	10	Orig=10|orig.time=2016
1900	8	19	6	29	day	10	Orig=10|orig.time=2016
1900	8	20	6	29	day	2.5	Orig=2.5|orig.time=2016
1900	8	21	6	29	day	6.75	Orig=6.75|orig.time=2016
1900	8	22	6	29	day	2	Orig=2|orig.time=2016
1900	8	23	6	29	day	1.25	Orig=1.25|orig.time=2016
1900	8	24	6	29	day	0	Orig=0|orig.time=2016
1900	8	25	6	29	day	8.5	Orig=8.5|orig.time=2016
1900	8	26	6	29	day	2.5	Orig=2.5|orig.time=2016
1900	8	27	6	29	day	4.5	Orig=4.5|orig.time=2016
1900	8	28	6	29	day	6.75	Orig=6.75|orig.time=2016
1900	8	29	6	29	day	10	Orig=10|orig.time=2016
1900	8	30	6	29	day	9.75	Orig=9.75|orig.time=2016
1900	8	31	6	29	day	4.5	Orig=4.5|orig.time=2016
1900	9	1	6	29	day	5	Orig=5|orig.time=2016
1900	9	2	6	29	day	10.5	Orig=10.5|orig.time=2016
1900	9	3	6	29	day	10.5	Orig=10.5|orig.time=2016
