SEF	1.0.0
ID	Cape_Town_Obs
Name	Cape Town (Observatory)
Lat	-33.9344
Lon	18.4773
Alt	12
Source	C3S_SouthAfrica
Link	NA
Vbl	w
Stat	maximum
Units	m/s
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1924	5	20	NA	NA	day	10.7	Orig=24mph|dir=S
1924	5	21	NA	NA	day	7.2	Orig=16mph|dir=SSE
1924	5	22	NA	NA	day	10.7	Orig=24mph|dir=WNW
1924	5	23	NA	NA	day	8.9	Orig=20mph|dir=NW
1924	5	24	NA	NA	day	3.1	Orig=7mph|dir=NW
1924	5	25	NA	NA	day	16.1	Orig=36mph|dir=NW
1924	5	26	NA	NA	day	12.5	Orig=28mph|dir=WNW
1924	5	27	NA	NA	day	8.9	Orig=20mph|dir=S
1924	5	28	NA	NA	day	9.4	Orig=21mph|dir=SSW
1924	5	29	NA	NA	day	11.2	Orig=25mph|dir=S
1924	5	30	NA	NA	day	15.2	Orig=34mph|dir=SSE
1924	5	31	NA	NA	day	8.5	Orig=19mph|dir=NNW
1924	6	1	NA	NA	day	11.2	Orig=25mph|dir=NNW
1924	6	2	NA	NA	day	13.4	Orig=30mph|dir=NNW
1924	6	3	NA	NA	day	11.2	Orig=25mph|dir=N
1924	6	4	NA	NA	day	2.7	Orig=6mph|dir=SSE
1924	6	5	NA	NA	day	4.5	Orig=10mph|dir=S
1924	6	6	NA	NA	day	19.2	Orig=43mph|dir=NNW
1924	6	7	NA	NA	day	19.2	Orig=43mph|dir=NNW
1924	6	8	NA	NA	day	14.3	Orig=32mph|dir=NNW
1924	6	9	NA	NA	day	20.1	Orig=45mph|dir=WNW
1924	6	10	NA	NA	day	19.7	Orig=44mph|dir=WNW
1924	6	11	NA	NA	day	19.7	Orig=44mph|dir=WNW
1924	6	12	NA	NA	day	4.5	Orig=10mph|dir=S
1924	6	13	NA	NA	day	9.4	Orig=21mph|dir=NW
1924	6	14	NA	NA	day	6.7	Orig=15mph|dir=S
1924	6	15	NA	NA	day	8.5	Orig=19mph|dir=S
1924	6	16	NA	NA	day	6.3	Orig=14mph|dir=S
1924	6	17	NA	NA	day	17.4	Orig=39mph|dir=N
1924	6	18	NA	NA	day	17.4	Orig=39mph|dir=WSW
1924	6	19	NA	NA	day	8.5	Orig=19mph|dir=SSE
1924	6	20	NA	NA	day	3.6	Orig=8mph|dir=SSE
1924	6	21	NA	NA	day	11.2	Orig=25mph|dir=NW
1924	6	22	NA	NA	day	9.8	Orig=22mph|dir=S
1924	6	23	NA	NA	day	14.3	Orig=32mph|dir=NW
1924	6	24	NA	NA	day	14.3	Orig=32mph|dir=N
1924	6	25	NA	NA	day	12.1	Orig=27mph|dir=NNW
1924	6	26	NA	NA	day	9.4	Orig=21mph|dir=NW
1924	6	27	NA	NA	day	11.2	Orig=25mph|dir=N
1924	6	28	NA	NA	day	13	Orig=29mph|dir=SSE
1924	6	29	NA	NA	day	5.4	Orig=12mph|dir=SSW
1924	6	30	NA	NA	day	3.6	Orig=8mph|dir=SSE
1924	7	1	NA	NA	day	7.6	Orig=17mph|dir=NW
1924	7	2	NA	NA	day	10.3	Orig=23mph|dir=NNW
1924	7	3	NA	NA	day	8	Orig=18mph|dir=NW
1924	7	4	NA	NA	day	11.2	Orig=25mph|dir=NNW
1924	7	5	NA	NA	day	6.3	Orig=14mph|dir=NNW
1924	7	6	NA	NA	day	9.8	Orig=22mph|dir=NW
1924	7	7	NA	NA	day	8	Orig=18mph|dir=SW
1924	7	8	NA	NA	day	15.2	Orig=34mph|dir=NW
1924	7	9	NA	NA	day	16.5	Orig=37mph|dir=W
1924	7	10	NA	NA	day	16.5	Orig=37mph|dir=W
1924	7	11	NA	NA	day	11.2	Orig=25mph|dir=NNW
1924	7	12	NA	NA	day	4.5	Orig=10mph|dir=SSE
1924	7	13	NA	NA	day	5.8	Orig=13mph|dir=SSE
1924	7	14	NA	NA	day	7.2	Orig=16mph|dir=SSE
1924	7	15	NA	NA	day	11.2	Orig=25mph|dir=WNW
1924	7	16	NA	NA	day	14.3	Orig=32mph|dir=WNW
1924	7	17	NA	NA	day	8.9	Orig=20mph|dir=WNW
1924	7	18	NA	NA	day	7.6	Orig=17mph|dir=NW
1924	7	19	NA	NA	day	4	Orig=9mph|dir=NNW
1924	7	20	NA	NA	day	15.6	Orig=35mph|dir=NW
1924	7	21	NA	NA	day	19.7	Orig=44mph|dir=WSW
1924	7	22	NA	NA	day	16.1	Orig=36mph|dir=SW
1924	7	23	NA	NA	day	4.5	Orig=10mph|dir=NNW
1924	7	24	NA	NA	day	19.2	Orig=43mph|dir=W
1924	7	25	NA	NA	day	7.2	Orig=16mph|dir=SSE
1924	7	26	NA	NA	day	15.2	Orig=34mph|dir=SSE
1924	7	27	NA	NA	day	12.1	Orig=27mph|dir=S
1924	7	28	NA	NA	day	11.6	Orig=26mph|dir=WNW
1924	7	29	NA	NA	day	11.2	Orig=25mph|dir=S
1924	7	30	NA	NA	day	11.6	Orig=26mph|dir=SSE
1924	7	31	NA	NA	day	10.3	Orig=23mph|dir=WNW
1924	8	1	NA	NA	day	8.5	Orig=19mph|dir=SSE
1924	8	2	NA	NA	day	7.6	Orig=17mph|dir=SSE
1924	8	3	NA	NA	day	4.5	Orig=10mph|dir=SSE
1924	8	4	NA	NA	day	9.4	Orig=21mph|dir=NW
1924	8	5	NA	NA	day	16.1	Orig=36mph|dir=NW
1924	8	6	NA	NA	day	10.7	Orig=24mph|dir=ESE
1924	8	7	NA	NA	day	8.9	Orig=20mph|dir=SE
1924	8	8	NA	NA	day	8	Orig=18mph|dir=SE
1924	8	9	NA	NA	day	7.6	Orig=17mph|dir=SE
1924	8	10	NA	NA	day	15.2	Orig=34mph|dir=SE
1924	8	11	NA	NA	day	21.5	Orig=48mph|dir=ESE
1924	8	12	NA	NA	day	13.4	Orig=30mph|dir=SE
1924	8	13	NA	NA	day	10.3	Orig=23mph|dir=W
1924	8	14	NA	NA	day	15.6	Orig=35mph|dir=W
1924	8	15	NA	NA	day	9.8	Orig=22mph|dir=WNW
1924	8	16	NA	NA	day	8	Orig=18mph|dir=WSW
1924	8	17	NA	NA	day	17	Orig=38mph|dir=NNW
1924	8	18	NA	NA	day	13.9	Orig=31mph|dir=NW
1924	8	19	NA	NA	day	10.7	Orig=24mph|dir=W
1924	8	20	NA	NA	day	1.3	Orig=3mph|dir=WNW
1924	8	21	NA	NA	day	9.8	Orig=22mph|dir=NW
1924	8	22	NA	NA	day	8	Orig=18mph|dir=WNW
1924	8	23	NA	NA	day	8.5	Orig=19mph|dir=SE
1924	8	24	NA	NA	day	8.9	Orig=20mph|dir=W
1924	8	25	NA	NA	day	12.1	Orig=27mph|dir=NW
1924	8	26	NA	NA	day	6.7	Orig=15mph|dir=NW
1924	8	27	NA	NA	day	21	Orig=47mph|dir=WSW
1924	8	28	NA	NA	day	11.6	Orig=26mph|dir=WSW
1924	8	29	NA	NA	day	6.3	Orig=14mph|dir=NW
1924	8	30	NA	NA	day	21.5	Orig=48mph|dir=SW
1924	8	31	NA	NA	day	18.8	Orig=42mph|dir=S
1924	9	1	NA	NA	day	7.6	Orig=17mph|dir=SE
1924	9	2	NA	NA	day	11.2	Orig=25mph|dir=WSW
1924	9	3	NA	NA	day	15.2	Orig=34mph|dir=SE
1924	9	4	NA	NA	day	16.1	Orig=36mph|dir=SSE
1924	9	5	NA	NA	day	16.5	Orig=37mph|dir=SE
1924	9	6	NA	NA	day	14.3	Orig=32mph|dir=S
1924	9	7	NA	NA	day	9.8	Orig=22mph|dir=SSE
1924	9	8	NA	NA	day	5.8	Orig=13mph|dir=SE
1924	9	9	NA	NA	day	14.3	Orig=32mph|dir=SSE
1924	9	10	NA	NA	day	18.8	Orig=42mph|dir=SE
1924	9	11	NA	NA	day	18.8	Orig=42mph|dir=SE
1924	9	12	NA	NA	day	21.5	Orig=48mph|dir=NW
1924	9	13	NA	NA	day	15.2	Orig=34mph|dir=W
1924	9	14	NA	NA	day	16.1	Orig=36mph|dir=WWN
1924	9	15	NA	NA	day	17.4	Orig=39mph|dir=NW
1924	9	16	NA	NA	day	6.7	Orig=15mph|dir=WSW
1924	9	17	NA	NA	day	16.1	Orig=36mph|dir=SE
1924	9	18	NA	NA	day	14.8	Orig=33mph|dir=SE
1924	9	19	NA	NA	day	17.4	Orig=39mph|dir=WNW
1924	9	20	NA	NA	day	15.6	Orig=35mph|dir=W
1924	9	21	NA	NA	day	11.6	Orig=26mph|dir=ESE
1924	9	22	NA	NA	day	14.3	Orig=32mph|dir=E
1924	9	23	NA	NA	day	12.5	Orig=28mph|dir=SE
1924	9	24	NA	NA	day	12.5	Orig=28mph|dir=SSE
1924	9	25	NA	NA	day	14.3	Orig=32mph|dir=SE
1924	9	26	NA	NA	day	15.6	Orig=35mph|dir=SSE
1924	9	27	NA	NA	day	14.8	Orig=33mph|dir=SSE
1924	9	28	NA	NA	day	14.8	Orig=33mph|dir=W
1924	9	29	NA	NA	day	17	Orig=38mph|dir=W
1924	9	30	NA	NA	day	11.2	Orig=25mph|dir=SW
