SEF	1.0.0
ID	Cape_Town_Obs
Name	Cape Town (Observatory)
Lat	-33.9344
Lon	18.4773
Alt	12
Source	C3S_SouthAfrica
Link	NA
Vbl	vv
Stat	point
Units	1-9
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1924	10	27	6	29	0	7	Orig=7|orig.time=1944
1924	10	28	6	29	0	6	Orig=6|orig.time=1944
1924	10	29	6	29	0	7	Orig=7|orig.time=1944
1924	10	30	6	29	0	8	Orig=8|orig.time=1944
1924	10	31	6	29	0	6	Orig=6|orig.time=1944
1924	11	1	6	29	0	4	Orig=4|orig.time=1944
1924	11	2	6	29	0	9	Orig=9|orig.time=1944
1924	11	3	6	29	0	7	Orig=7|orig.time=1944
1924	11	4	6	29	0	7	Orig=7|orig.time=1944
1924	11	5	6	29	0	7	Orig=7|orig.time=1944
1924	11	6	6	29	0	6	Orig=6|orig.time=1944
1924	11	7	6	29	0	7	Orig=7|orig.time=1944
1924	11	8	6	29	0	7	Orig=7|orig.time=1944
1924	11	9	6	29	0	8	Orig=8|orig.time=1944
1924	11	10	6	29	0	7	Orig=7|orig.time=1944
1924	11	11	6	29	0	7	Orig=7|orig.time=1944
1924	11	12	6	29	0	4	Orig=4|orig.time=1944
1924	11	13	6	29	0	7	Orig=7|orig.time=1944
1924	11	14	6	29	0	7	Orig=7|orig.time=1944
1924	11	15	6	29	0	6	Orig=6|orig.time=1944
1924	11	16	6	29	0	4	Orig=4|orig.time=1944
1924	11	17	6	29	0	6	Orig=6|orig.time=1944
1924	11	18	6	29	0	7	Orig=7|orig.time=1944
1924	11	19	6	29	0	7	Orig=7|orig.time=1944
1924	11	20	6	29	0	7	Orig=7|orig.time=1944
1924	11	21	6	29	0	7	Orig=7|orig.time=1944
1924	11	22	6	29	0	8	Orig=8|orig.time=1944
1924	11	23	6	29	0	8	Orig=8|orig.time=1944
1924	11	24	6	29	0	8	Orig=8|orig.time=1944
1924	11	25	6	29	0	7	Orig=7|orig.time=1944
1924	11	26	6	29	0	6	Orig=6|orig.time=1944
1924	11	27	6	29	0	5	Orig=5|orig.time=1944
1924	11	28	6	29	0	6	Orig=6|orig.time=1944
1924	11	29	6	29	0	7	Orig=7|orig.time=1944
1924	11	30	6	29	0	7	Orig=7|orig.time=1944
1924	12	1	6	29	0	7	Orig=7|orig.time=1944
1924	12	2	6	29	0	6	Orig=6|orig.time=1944
1924	12	3	6	29	0	7	Orig=7|orig.time=1944
1924	12	4	6	29	0	6	Orig=6|orig.time=1944
1924	12	5	6	29	0	7	Orig=7|orig.time=1944
1924	12	6	6	29	0	7	Orig=7|orig.time=1944
1924	12	7	6	29	0	8	Orig=8|orig.time=1944
1924	12	8	6	29	0	6	Orig=6|orig.time=1944
1924	12	9	6	29	0	8	Orig=8|orig.time=1944
1924	12	10	6	29	0	8	Orig=8|orig.time=1944
1924	12	11	6	29	0	7	Orig=7|orig.time=1944
1924	12	12	6	29	0	7	Orig=7|orig.time=1944
1924	12	13	6	29	0	6	Orig=6|orig.time=1944
