SEF	0.0.1
ID	Cape_Town_Port
Name	Cape Town (Port Office)
Lat	-33.9061
Lon	18.4232
Alt	0
Source	C3S_SouthAfrica
Repo	
Var	ta
Units	C
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1829	7	29	0746	0	18.3	Orig=65F
1829	7	29	1046	0	17.8	Orig=64F
1829	7	29	1346	0	17.2	Orig=63F
1829	7	30	0746	0	15.6	Orig=60F
1829	7	30	1046	0	16.7	Orig=62F
1829	7	30	1346	0	16.7	Orig=62F
1829	7	31	0746	0	15	Orig=59F
1829	7	31	1046	0	15.3	Orig=59.5F
1829	7	31	1346	0	15	Orig=59F
1829	8	1	0746	0	13.9	Orig=57F
1829	8	1	1046	0	13.9	Orig=57F
1829	8	1	1346	0	13.9	Orig=57F
1829	8	2	0746	0	15	Orig=59F
1829	8	2	1046	0	15.6	Orig=60F
1829	8	2	1346	0	15	Orig=59F
1829	8	3	0746	0	15	Orig=59F
1829	8	3	1046	0	15.6	Orig=60F
1829	8	3	1346	0	15	Orig=59F
1829	8	4	0746	0	15	Orig=59F
1829	8	4	1046	0	15.8	Orig=60.5F
1829	8	4	1346	0	15.8	Orig=60.5F
1829	8	5	0746	0	14.4	Orig=58F
1829	8	5	1046	0	15	Orig=59F
1829	8	5	1346	0	15.6	Orig=60F
1829	8	6	0746	0	14.4	Orig=58F
1829	8	6	1046	0	15	Orig=59F
1829	8	6	1346	0	15.3	Orig=59.5F
1829	8	7	0746	0	15.3	Orig=59.5F
1829	8	7	1046	0	16.1	Orig=61F
1829	8	7	1346	0	16.1	Orig=61F
1829	8	8	0746	0	15.6	Orig=60F
1829	8	8	1046	0	16.7	Orig=62F
1829	8	8	1346	0	16.7	Orig=62F
1829	8	9	0746	0	14.4	Orig=58F
1829	8	9	1046	0	15	Orig=59F
1829	8	9	1346	0	15	Orig=59F
1829	8	10	0746	0	15	Orig=59F
1829	8	10	1046	0	15.6	Orig=60F
1829	8	10	1346	0	15.6	Orig=60F
1829	8	11	0746	0	15	Orig=59F
1829	8	11	1046	0	15.3	Orig=59.5F
1829	8	11	1346	0	15	Orig=59F
1829	8	12	0746	0	14.7	Orig=58.5F
1829	8	12	1046	0	15.6	Orig=60F
1829	8	12	1346	0	15.6	Orig=60F
1829	8	13	0746	0	15	Orig=59F
1829	8	13	1046	0	14.7	Orig=58.5F
1829	8	13	1346	0	14.7	Orig=58.5F
1829	8	14	0746	0	14.4	Orig=58F
1829	8	14	1046	0	15	Orig=59F
1829	8	14	1346	0	15	Orig=59F
1829	8	15	0746	0	15.6	Orig=60F
1829	8	15	1046	0	16.4	Orig=61.5F
1829	8	15	1346	0	16.1	Orig=61F
1829	8	16	0746	0	15.6	Orig=60F
