SEF	1.0.0
ID	Cape_Town_Port
Name	Cape Town (Port Office)
Lat	-33.9061
Lon	18.4232
Alt	0
Source	C3S_SouthAfrica
Link	https://data-rescue.copernicus-climate.eu/lso/1086297
Vbl	dd
Stat	point
Units	degree
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1829	7	29	13	46	0	0	Orig=N|orig.time=1500
1829	7	30	10	46	0	315	Orig=NW|orig.time=1200
1829	7	30	13	46	0	315	Orig=NW|orig.time=1500
1829	7	31	7	46	0	22	Orig=NNE|orig.time=0900
1829	7	31	10	46	0	22	Orig=NNE|orig.time=1200
1829	7	31	13	46	0	0	Orig=N|orig.time=1500
1829	8	1	7	46	0	292	Orig=WNW|orig.time=0900
1829	8	1	10	46	0	292	Orig=WNW|orig.time=1200
1829	8	1	13	46	0	304	Orig=NWbW|orig.time=1500
1829	8	2	7	46	0	315	Orig=NW|orig.time=0900
1829	8	2	10	46	0	292	Orig=WNW|orig.time=1200
1829	8	2	13	46	0	292	Orig=WNW|orig.time=1500
1829	8	3	13	46	0	292	Orig=WNW|orig.time=1500
1829	8	4	7	46	0	292	Orig=WNW|orig.time=0900
1829	8	4	10	46	0	292	Orig=WNW|orig.time=1200
1829	8	4	13	46	0	315	Orig=NW|orig.time=1500
1829	8	5	13	46	0	292	Orig=WNW|orig.time=1500
1829	8	6	7	46	0	22	Orig=NNE|orig.time=0900
1829	8	6	10	46	0	315	Orig=NW|orig.time=1200
1829	8	6	13	46	0	338	Orig=NNW|orig.time=1500
1829	8	7	7	46	0	315	Orig=NW|orig.time=0900
1829	8	7	10	46	0	292	Orig=WNW|orig.time=1200
1829	8	7	13	46	0	270	Orig=W|orig.time=1500
1829	8	8	10	46	0	270	Orig=W|orig.time=1200
1829	8	8	13	46	0	270	Orig=W|orig.time=1500
1829	8	10	7	46	0	22	Orig=NNE|orig.time=0900
1829	8	10	10	46	0	0	Orig=N|orig.time=1200
1829	8	10	13	46	0	315	Orig=NW|orig.time=1500
1829	8	11	7	46	0	315	Orig=NW|orig.time=0900
1829	8	11	10	46	0	326	Orig=NWbN|orig.time=1200
1829	8	11	13	46	0	326	Orig=NWbN|orig.time=1500
1829	8	12	7	46	0	0	Orig=N|orig.time=0900
1829	8	12	10	46	0	11	Orig=NbE|orig.time=1200
1829	8	13	10	46	0	292	Orig=WNW|orig.time=1200
1829	8	13	13	46	0	281	Orig=WbN|orig.time=1500
1829	8	15	7	46	0	135	Orig=SE|orig.time=0900
1829	8	15	10	46	0	135	Orig=SE|orig.time=1200
1829	8	17	10	46	0	270	Orig=W|orig.time=1200
1829	8	18	7	46	0	22	Orig=NNE|orig.time=0900
1829	8	18	10	46	0	292	Orig=WNW|orig.time=1200
1829	8	18	13	46	0	315	Orig=NW|orig.time=1500
1829	8	19	7	46	0	292	Orig=WNW|orig.time=0900
1829	8	19	10	46	0	292	Orig=WNW|orig.time=1200
1829	8	19	13	46	0	270	Orig=W|orig.time=1500
1829	8	20	7	46	0	315	Orig=NW|orig.time=0900
1829	8	20	10	46	0	315	Orig=NW|orig.time=1200
1829	8	20	13	46	0	338	Orig=NNW|orig.time=1500
1829	8	21	7	46	0	22	Orig=NNE|orig.time=0900
1829	8	21	10	46	0	22	Orig=NNE|orig.time=1200
1829	8	21	13	46	0	11	Orig=NbE|orig.time=1500
1829	8	22	7	46	0	270	Orig=W|orig.time=0900
1829	8	22	10	46	0	270	Orig=W|orig.time=1200
1829	8	22	13	46	0	270	Orig=W|orig.time=1500
1829	8	23	7	46	0	225	Orig=SW|orig.time=0900
1829	8	23	10	46	0	180	Orig=S|orig.time=1200
1829	8	23	13	46	0	180	Orig=S|orig.time=1500
1829	8	25	7	46	0	135	Orig=SE|orig.time=0900
1829	8	25	13	46	0	135	Orig=SE|orig.time=1500
1829	8	26	7	46	0	135	Orig=SE|orig.time=0900
1829	8	26	10	46	0	135	Orig=SE|orig.time=1200
1829	8	27	7	46	0	0	Orig=N|orig.time=0900
1829	8	27	10	46	0	0	Orig=N|orig.time=1200
1829	8	27	13	46	0	11	Orig=NbE|orig.time=1500
1829	8	28	7	46	0	112	Orig=ESE|orig.time=0900
1829	8	28	10	46	0	112	Orig=ESE|orig.time=1200
1829	8	28	13	46	0	112	Orig=ESE|orig.time=1500
1829	8	29	7	46	0	0	Orig=N|orig.time=0900
1829	8	29	10	46	0	349	Orig=NbW|orig.time=1200
1829	8	29	13	46	0	0	Orig=N|orig.time=1500
1829	8	30	7	46	0	22	Orig=NNE|orig.time=0900
1829	8	30	10	46	0	22	Orig=NNE|orig.time=1200
1829	8	30	13	46	0	22	Orig=NNE|orig.time=1500
1829	8	31	7	46	0	315	Orig=NW|orig.time=0900
1829	8	31	10	46	0	315	Orig=NW|orig.time=1200
1829	8	31	13	46	0	315	Orig=NW|orig.time=1500
1829	9	1	13	46	0	270	Orig=W|orig.time=1500
1829	9	2	7	46	0	270	Orig=W|orig.time=0900
1829	9	2	10	46	0	315	Orig=NW|orig.time=1200
1829	9	2	13	46	0	270	Orig=W|orig.time=1500
1829	9	3	7	46	0	135	Orig=SE|orig.time=0900
1829	9	3	10	46	0	135	Orig=SE|orig.time=1200
1829	9	4	7	46	0	292	Orig=WNW|orig.time=0900
1829	9	4	10	46	0	315	Orig=NW|orig.time=1200
1829	9	4	13	46	0	135	Orig=SE|orig.time=1500
1829	9	5	7	46	0	338	Orig=NNW|orig.time=0900
1829	9	5	10	46	0	338	Orig=NNW|orig.time=1200
1829	9	5	13	46	0	315	Orig=NW|orig.time=1500
1829	9	6	10	46	0	135	Orig=SE|orig.time=1200
1829	9	6	13	46	0	135	Orig=SE|orig.time=1500
1829	9	8	7	46	0	315	Orig=NW|orig.time=0900
1829	9	8	10	46	0	315	Orig=NW|orig.time=1200
1829	9	8	13	46	0	315	Orig=NW|orig.time=1500
1829	9	9	7	46	0	315	Orig=NW|orig.time=0900
1829	9	9	10	46	0	292	Orig=WNW|orig.time=1200
1829	9	9	13	46	0	270	Orig=W|orig.time=1500
1829	9	10	7	46	0	0	Orig=N|orig.time=0900
1829	9	10	10	46	0	0	Orig=N|orig.time=1200
1829	9	11	7	46	0	0	Orig=N|orig.time=0900
1829	9	11	10	46	0	0	Orig=N|orig.time=1200
1829	9	11	13	46	0	349	Orig=NbW|orig.time=1500
1829	9	12	7	46	0	135	Orig=SE|orig.time=0900
1829	9	12	10	46	0	135	Orig=SE|orig.time=1200
1829	9	12	13	46	0	135	Orig=SE|orig.time=1500
