SEF	0.0.1
ID	Cape_Town_Port
Name	Cape Town (Port Office)
Lat	-33.933
Lon	18.477
Alt	0
Source	C3S_SouthAfrica
Repo	
Var	wind_force
Units	
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1904	1	1	0646	0	0	Orig=Calm
1904	1	1	1046	0	1	Orig=L
1904	1	1	1446	0	1	Orig=L
1904	1	2	0646	0	1	Orig=L
1904	1	2	1046	0	1	Orig=L
1904	1	2	1446	0	1	Orig=L
1904	1	3	0646	0	2	Orig=F
1904	1	3	1046	0	2	Orig=F
1904	1	3	1446	0	2	Orig=F
1904	1	4	0646	0	1	Orig=L
1904	1	4	1046	0	1	Orig=L
1904	1	4	1446	0	1	Orig=L
1904	1	5	0646	0	1	Orig=L
1904	1	5	1046	0	1	Orig=L
1904	1	5	1446	0	2	Orig=F
1904	1	6	0646	0	3	Orig=S
1904	1	6	1046	0	3	Orig=S
1904	1	6	1446	0	3	Orig=S
1904	1	7	0646	0	2	Orig=F
1904	1	7	1046	0	3	Orig=S
1904	1	7	1446	0	3	Orig=S
1904	1	8	0646	0	1	Orig=L
1904	1	8	1046	0	1	Orig=L
1904	1	8	1446	0	1	Orig=L
1904	1	10	0646	0	1	Orig=L
1904	1	10	1046	0	1	Orig=L
1904	1	10	1446	0	2	Orig=F
1904	1	11	0646	0	1	Orig=L
1904	1	11	1046	0	2	Orig=F
1904	1	11	1446	0	2	Orig=F
1904	1	12	0646	0	0	Orig=Calm
1904	1	12	1046	0	0	Orig=Calm
1904	1	12	1446	0	1	Orig=L
1904	1	13	0646	0	0	Orig=Calm
1904	1	13	1046	0	0	Orig=Calm
1904	1	13	1446	0	1	Orig=L
1904	1	14	0646	0	1	Orig=L
1904	1	14	1046	0	1	Orig=L
1904	1	14	1446	0	2	Orig=F
1904	1	15	0646	0	1	Orig=L
1904	1	15	1046	0	2	Orig=F
1904	1	15	1446	0	2	Orig=F
1904	1	16	0646	0	3	Orig=S
1904	1	17	0646	0	1	Orig=L
1904	1	17	1046	0	1	Orig=L
1904	1	17	1446	0	2	Orig=F
1904	1	18	0646	0	1	Orig=L
1904	1	18	1046	0	1	Orig=L
1904	1	18	1446	0	1	Orig=L
1904	1	19	0646	0	1	Orig=L
1904	1	19	1046	0	2	Orig=F
1904	1	19	1446	0	2	Orig=F
1904	1	20	0646	0	1	Orig=L
1904	1	20	1046	0	1	Orig=L
1904	1	20	1446	0	2	Orig=F
1904	1	21	0646	0	3	Orig=Strong
1904	1	21	1046	0	3	Orig=Strong
1904	1	21	1446	0	4	Orig=V Strong
1904	1	22	0646	0	3	Orig=Strong
1904	1	22	1046	0	1	Orig=Light
1904	1	22	1446	0	2	Orig=Fresh
1904	1	23	0646	0	0	Orig=Calm
1904	1	23	1046	0	2	Orig=Fresh
1904	1	23	1446	0	2	Orig=Fresh
