SEF	1.0.0
ID	Cape_Town_Port
Name	Cape Town (Port Office)
Lat	-33.9061
Lon	18.4232
Alt	0
Source	C3S_SouthAfrica
Link	https://data-rescue.copernicus-climate.eu/lso/1086298
Vbl	wind_force
Stat	point
Units	
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1904	1	1	6	46	0	0	Orig=Calm|orig.time=0800
1904	1	1	10	46	0	1	Orig=L|orig.time=1200
1904	1	1	14	46	0	1	Orig=L|orig.time=1600
1904	1	2	6	46	0	1	Orig=L|orig.time=0800
1904	1	2	10	46	0	1	Orig=L|orig.time=1200
1904	1	2	14	46	0	1	Orig=L|orig.time=1600
1904	1	3	6	46	0	2	Orig=F|orig.time=0800
1904	1	3	10	46	0	2	Orig=F|orig.time=1200
1904	1	3	14	46	0	2	Orig=F|orig.time=1600
1904	1	4	6	46	0	1	Orig=L|orig.time=0800
1904	1	4	10	46	0	1	Orig=L|orig.time=1200
1904	1	4	14	46	0	1	Orig=L|orig.time=1600
1904	1	5	6	46	0	1	Orig=L|orig.time=0800
1904	1	5	10	46	0	1	Orig=L|orig.time=1200
1904	1	5	14	46	0	2	Orig=F|orig.time=1600
1904	1	6	6	46	0	3	Orig=S|orig.time=0800
1904	1	6	10	46	0	3	Orig=S|orig.time=1200
1904	1	6	14	46	0	3	Orig=S|orig.time=1600
1904	1	7	6	46	0	2	Orig=F|orig.time=0800
1904	1	7	10	46	0	3	Orig=S|orig.time=1200
1904	1	7	14	46	0	3	Orig=S|orig.time=1600
1904	1	8	6	46	0	1	Orig=L|orig.time=0800
1904	1	8	10	46	0	1	Orig=L|orig.time=1200
1904	1	8	14	46	0	1	Orig=L|orig.time=1600
1904	1	10	6	46	0	1	Orig=L|orig.time=0800
1904	1	10	10	46	0	1	Orig=L|orig.time=1200
1904	1	10	14	46	0	2	Orig=F|orig.time=1600
1904	1	11	6	46	0	1	Orig=L|orig.time=0800
1904	1	11	10	46	0	2	Orig=F|orig.time=1200
1904	1	11	14	46	0	2	Orig=F|orig.time=1600
1904	1	12	6	46	0	0	Orig=Calm|orig.time=0800
1904	1	12	10	46	0	0	Orig=Calm|orig.time=1200
1904	1	12	14	46	0	1	Orig=L|orig.time=1600
1904	1	13	6	46	0	0	Orig=Calm|orig.time=0800
1904	1	13	10	46	0	0	Orig=Calm|orig.time=1200
1904	1	13	14	46	0	1	Orig=L|orig.time=1600
1904	1	14	6	46	0	1	Orig=L|orig.time=0800
1904	1	14	10	46	0	1	Orig=L|orig.time=1200
1904	1	14	14	46	0	2	Orig=F|orig.time=1600
1904	1	15	6	46	0	1	Orig=L|orig.time=0800
1904	1	15	10	46	0	2	Orig=F|orig.time=1200
1904	1	15	14	46	0	2	Orig=F|orig.time=1600
1904	1	16	6	46	0	3	Orig=S|orig.time=0800
1904	1	17	6	46	0	1	Orig=L|orig.time=0800
1904	1	17	10	46	0	1	Orig=L|orig.time=1200
1904	1	17	14	46	0	2	Orig=F|orig.time=1600
1904	1	18	6	46	0	1	Orig=L|orig.time=0800
1904	1	18	10	46	0	1	Orig=L|orig.time=1200
1904	1	18	14	46	0	1	Orig=L|orig.time=1600
1904	1	19	6	46	0	1	Orig=L|orig.time=0800
1904	1	19	10	46	0	2	Orig=F|orig.time=1200
1904	1	19	14	46	0	2	Orig=F|orig.time=1600
1904	1	20	6	46	0	1	Orig=L|orig.time=0800
1904	1	20	10	46	0	1	Orig=L|orig.time=1200
1904	1	20	14	46	0	2	Orig=F|orig.time=1600
1904	1	21	6	46	0	3	Orig=Strong|orig.time=0800
1904	1	21	10	46	0	3	Orig=Strong|orig.time=1200
1904	1	21	14	46	0	4	Orig=V Strong|orig.time=1600
1904	1	22	6	46	0	3	Orig=Strong|orig.time=0800
1904	1	22	10	46	0	1	Orig=Light|orig.time=1200
1904	1	22	14	46	0	2	Orig=Fresh|orig.time=1600
1904	1	23	6	46	0	0	Orig=Calm|orig.time=0800
1904	1	23	10	46	0	2	Orig=Fresh|orig.time=1200
1904	1	23	14	46	0	2	Orig=Fresh|orig.time=1600
1904	1	24	6	46	0	1	Orig=Light|orig.time=0800
1904	1	24	10	46	0	2	Orig=Fresh|orig.time=1200
1904	1	24	14	46	0	2	Orig=Fresh|orig.time=1600
1904	1	25	6	46	0	1	Orig=Light|orig.time=0800
1904	1	25	10	46	0	1	Orig=Light|orig.time=1200
1904	1	25	14	46	0	1	Orig=Light|orig.time=1600
1904	1	26	6	46	0	1	Orig=Light|orig.time=0800
1904	1	26	10	46	0	2	Orig=Fresh|orig.time=1200
1904	1	26	14	46	0	2	Orig=Fresh|orig.time=1600
1904	1	27	6	46	0	1	Orig=Light|orig.time=0800
1904	1	27	10	46	0	1	Orig=Light|orig.time=1200
1904	1	27	14	46	0	2	Orig=Fresh|orig.time=1600
1904	1	28	6	46	0	1	Orig=Light|orig.time=0800
1904	1	28	10	46	0	2	Orig=Fresh|orig.time=1200
1904	1	28	14	46	0	2	Orig=Fresh|orig.time=1600
1904	1	29	6	46	0	1	Orig=Light|orig.time=0800
1904	1	29	10	46	0	1	Orig=Light|orig.time=1200
1904	1	29	14	46	0	1	Orig=Light|orig.time=1600
1904	1	30	6	46	0	0	Orig=Calm|orig.time=0800
1904	1	30	10	46	0	1	Orig=Light|orig.time=1200
1904	1	30	14	46	0	1	Orig=Light|orig.time=1600
1904	1	31	6	46	0	1	Orig=Light|orig.time=0800
1904	1	31	10	46	0	1	Orig=Light|orig.time=1200
1904	1	31	14	46	0	0	Orig=Calm|orig.time=1600
1904	2	1	6	46	0	0	Orig=Calm|orig.time=0800
1904	2	1	10	46	0	1	Orig=Light|orig.time=1200
1904	2	1	14	46	0	3	Orig=Strong|orig.time=1600
1904	2	2	6	46	0	3	Orig=Strong|orig.time=0800
1904	2	2	10	46	0	2	Orig=Fresh|orig.time=1200
1904	2	2	14	46	0	3	Orig=Strong|orig.time=1600
1904	2	3	6	46	0	0	Orig=Calm|orig.time=0800
1904	2	3	10	46	0	0	Orig=Calm|orig.time=1200
1904	2	3	14	46	0	1	Orig=Light|orig.time=1600
1904	2	4	6	46	0	0	Orig=Calm|orig.time=0800
1904	2	4	10	46	0	3	Orig=Strong|orig.time=1200
1904	2	4	14	46	0	2	Orig=Fresh|orig.time=1600
1904	2	5	6	46	0	0	Orig=Calm|orig.time=0800
1904	2	5	10	46	0	1	Orig=Light|orig.time=1200
1904	2	5	14	46	0	1	Orig=Light|orig.time=1600
1904	2	6	6	46	0	0	Orig=Calm|orig.time=0800
1904	2	6	10	46	0	2	Orig=Fresh|orig.time=1200
1904	2	6	14	46	0	3	Orig=Strong|orig.time=1600
1904	2	7	6	46	0	1	Orig=Light|orig.time=0800
1904	2	7	10	46	0	2	Orig=Fresh|orig.time=1200
1904	2	7	14	46	0	2	Orig=Fresh|orig.time=1600
1904	2	8	6	46	0	1	Orig=Light|orig.time=0800
1904	2	8	10	46	0	1	Orig=Light|orig.time=1200
1904	2	8	14	46	0	1	Orig=Light|orig.time=1600
1904	2	9	6	46	0	1	Orig=Light|orig.time=0800
1904	2	9	10	46	0	2	Orig=Fresh|orig.time=1200
1904	2	9	14	46	0	1	Orig=Light|orig.time=1600
1904	2	10	6	46	0	1	Orig=Light|orig.time=0800
1904	2	10	10	46	0	1	Orig=Light|orig.time=1200
1904	2	10	14	46	0	1	Orig=Light|orig.time=1600
1904	2	11	6	46	0	1	Orig=Light|orig.time=0800
1904	2	11	10	46	0	1	Orig=Light|orig.time=1200
1904	2	11	14	46	0	1	Orig=Light|orig.time=1600
1904	2	12	6	46	0	1	Orig=Light|orig.time=0800
1904	2	12	10	46	0	1	Orig=Light|orig.time=1200
1904	2	13	6	46	0	1	Orig=Light|orig.time=0800
1904	2	13	10	46	0	2	Orig=Fresh|orig.time=1200
