SEF	1.0.0
ID	FortNapier
Name	Pietermaritzburg (Fort Napier)
Lat	-29.6128
Lon	30.3696
Alt	690
Source	C3S_SouthAfrica
Link	
Vbl	p
Stat	point
Units	hPa
Meta	Data policy=GNU GPL v3.0|PTC=Y|PGC=Y
Year	Month	Day	Hour	Minute	Period	Value	Meta
1875	1	1	12	43	0	1006.5	Orig=29.77in
1875	1	2	12	43	0	1007.2	Orig=29.79in
1875	1	3	12	43	0	NA	Orig=NAin
1875	1	4	12	43	0	1003.8	Orig=29.69in
1875	1	5	12	43	0	1008.2	Orig=29.82in
1875	1	6	12	43	0	1007.5	Orig=29.8in
1875	1	7	12	43	0	1007.2	Orig=29.79in
1875	1	8	12	43	0	NA	Orig=NAin
1875	1	9	12	43	0	1010.2	Orig=29.88in
1875	1	10	12	43	0	1008.9	Orig=29.84in
1875	1	11	12	43	0	1001.8	Orig=29.63in
1875	1	12	12	43	0	1002.1	Orig=29.64in
1875	1	13	12	43	0	1005.5	Orig=29.74in
1875	1	14	12	43	0	1009.2	Orig=29.85in
1875	1	15	12	43	0	1008.2	Orig=29.82in
1875	1	16	12	43	0	1005.5	Orig=29.74in
1875	1	17	12	43	0	1010.2	Orig=29.88in
1875	1	18	12	43	0	1010.2	Orig=29.88in
1875	1	19	12	43	0	1006.8	Orig=29.78in
1875	1	20	12	43	0	1010.9	Orig=29.9in
1875	1	21	12	43	0	1008.5	Orig=29.83in
1875	1	22	12	43	0	1010.2	Orig=29.88in
1875	1	23	12	43	0	1005.1	Orig=29.73in
1875	1	24	12	43	0	1003.5	Orig=29.68in
1875	1	25	12	43	0	1012.2	Orig=29.94in
1875	1	26	12	43	0	1011.6	Orig=29.92in
1875	1	27	12	43	0	1007.8	Orig=29.81in
1875	1	28	12	43	0	1008.2	Orig=29.82in
1875	1	29	12	43	0	1007.2	Orig=29.79in
1875	1	30	12	43	0	1011.6	Orig=29.92in
1875	1	31	12	43	0	1010.9	Orig=29.9in
1875	2	1	12	43	0	1005.1	Orig=29.73in
1875	2	2	12	43	0	1004.8	Orig=29.72in
1875	2	3	12	43	0	1011.2	Orig=29.91in
1875	2	4	12	43	0	1009.2	Orig=29.85in
1875	2	5	12	43	0	1008.9	Orig=29.84in
1875	2	6	12	43	0	1013.6	Orig=29.98in
1875	2	7	12	43	0	1008.5	Orig=29.83in
1875	2	8	12	43	0	1006.8	Orig=29.78in
1875	2	9	12	43	0	1014.6	Orig=30.01in
1875	2	10	12	43	0	1012.9	Orig=29.96in
1875	2	11	12	43	0	1009.5	Orig=29.86in
1875	2	12	12	43	0	1006.8	Orig=29.78in
