SEF	1.0.0
ID	FortNapier
Name	Pietermaritzburg (Fort Napier)
Lat	-29.6128
Lon	30.3696
Alt	690
Source	C3S_SouthAfrica
Link	
Vbl	ta
Stat	point
Units	C
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1875	1	1	12	43	0	26.7	Orig=80F
1875	1	2	12	43	0	25.4	Orig=77.7F
1875	1	3	12	43	0	NA	Orig=NAF
1875	1	4	12	43	0	30.9	Orig=87.6F
1875	1	5	12	43	0	19.8	Orig=67.6F
1875	1	6	12	43	0	23.7	Orig=74.6F
1875	1	7	12	43	0	26.1	Orig=79F
1875	1	8	12	43	0	NA	Orig=NAF
1875	1	9	12	43	0	20.4	Orig=68.8F
1875	1	10	12	43	0	17.5	Orig=63.5F
1875	1	11	12	43	0	29.1	Orig=84.4F
1875	1	12	12	43	0	25.2	Orig=77.3F
1875	1	13	12	43	0	25.1	Orig=77.2F
1875	1	14	12	43	0	24.3	Orig=75.8F
1875	1	15	12	43	0	27	Orig=80.6F
1875	1	16	12	43	0	29.9	Orig=85.8F
1875	1	17	12	43	0	19.4	Orig=67F
1875	1	18	12	43	0	19.7	Orig=67.5F
1875	1	19	12	43	0	22.8	Orig=73F
1875	1	20	12	43	0	22.1	Orig=71.8F
1875	1	21	12	43	0	27	Orig=80.6F
1875	1	22	12	43	0	26.1	Orig=79F
1875	1	23	12	43	0	29.3	Orig=84.8F
1875	1	24	12	43	0	31.4	Orig=88.5F
1875	1	25	12	43	0	21.4	Orig=70.6F
1875	1	26	12	43	0	26.9	Orig=80.5F
1875	1	27	12	43	0	29.3	Orig=84.8F
1875	1	28	12	43	0	28.9	Orig=84F
1875	1	29	12	43	0	28.9	Orig=84F
1875	1	30	12	43	0	19.3	Orig=66.8F
1875	1	31	12	43	0	21.4	Orig=70.5F
1875	2	1	12	43	0	28.3	Orig=83F
1875	2	2	12	43	0	28.5	Orig=83.3F
1875	2	3	12	43	0	23.6	Orig=74.5F
1875	2	4	12	43	0	28.6	Orig=83.4F
1875	2	5	12	43	0	29.4	Orig=85F
1875	2	6	12	43	0	23.9	Orig=75F
1875	2	7	12	43	0	28.1	Orig=82.5F
1875	2	8	12	43	0	20.3	Orig=68.6F
1875	2	9	12	43	0	18.1	Orig=64.6F
1875	2	10	12	43	0	20.3	Orig=68.5F
1875	2	11	12	43	0	25.8	Orig=78.5F
1875	2	12	12	43	0	22.2	Orig=72F
1875	2	13	12	43	0	20.6	Orig=69F
1875	2	14	12	43	0	25.8	Orig=78.4F
1875	2	15	12	43	0	29.2	Orig=84.5F
1875	2	16	12	43	0	26.1	Orig=79F
1875	2	17	12	43	0	28.9	Orig=84F
1875	2	18	12	43	0	20.3	Orig=68.6F
1875	2	19	12	43	0	21.7	Orig=71F
1875	2	20	12	43	0	22.1	Orig=71.8F
1875	2	21	12	43	0	25.1	Orig=77.2F
