SEF	1.0.0
ID	George
Name	George
Lat	-33.9881
Lon	22.453
Alt	32
Source	C3S_SouthAfrica
Link	https://data-rescue.copernicus-climate.eu/lso/1086300
Vbl	p
Stat	point
Units	hPa
Meta	Data policy=GNU GPL v3.0|PTC=N|PGC=Y
Year	Month	Day	Hour	Minute	Period	Value	Meta
1821	12	1	NA	NA	0	992	Orig=29.324in
1821	12	1	NA	NA	0	992	Orig=29.324in
1821	12	1	NA	NA	0	992	Orig=29.324in
1821	12	2	NA	NA	0	992.9	Orig=29.352in
1821	12	2	NA	NA	0	992.9	Orig=29.352in
1821	12	2	NA	NA	0	991.4	Orig=29.306in
1821	12	3	NA	NA	0	991.4	Orig=29.306in
1821	12	3	NA	NA	0	991.4	Orig=29.306in
1821	12	3	NA	NA	0	991.4	Orig=29.306in
1821	12	4	NA	NA	0	991.2	Orig=29.3in
1821	12	4	NA	NA	0	989.5	Orig=29.25in
1821	12	4	NA	NA	0	986.2	Orig=29.154in
1821	12	5	NA	NA	0	988.8	Orig=29.23in
1821	12	5	NA	NA	0	989.5	Orig=29.252in
1821	12	5	NA	NA	0	989.5	Orig=29.252in
1821	12	6	NA	NA	0	987.4	Orig=29.188in
1821	12	6	NA	NA	0	994.6	Orig=29.4in
1821	12	6	NA	NA	0	993.4	Orig=29.366in
1821	12	7	NA	NA	0	991.2	Orig=29.302in
1821	12	7	NA	NA	0	990.5	Orig=29.28in
1821	12	7	NA	NA	0	990.5	Orig=29.28in
1821	12	8	NA	NA	0	989.5	Orig=29.252in
1821	12	8	NA	NA	0	988.4	Orig=29.218in
1821	12	8	NA	NA	0	991.4	Orig=29.308in
1821	12	9	NA	NA	0	991.4	Orig=29.308in
1821	12	9	NA	NA	0	991.4	Orig=29.308in
1821	12	9	NA	NA	0	991.4	Orig=29.308in
1821	12	10	NA	NA	0	988	Orig=29.206in
1821	12	10	NA	NA	0	988	Orig=29.206in
1821	12	10	NA	NA	0	988	Orig=29.206in
1821	12	11	NA	NA	0	989.6	Orig=29.254in
1821	12	11	NA	NA	0	989.6	Orig=29.254in
1821	12	11	NA	NA	0	986.1	Orig=29.15in
1821	12	12	NA	NA	0	989.9	Orig=29.262in
1821	12	12	NA	NA	0	989.9	Orig=29.262in
1821	12	12	NA	NA	0	989.9	Orig=29.262in
1821	12	13	NA	NA	0	988.6	Orig=29.224in
1821	12	13	NA	NA	0	988.6	Orig=29.224in
1821	12	13	NA	NA	0	987.9	Orig=29.202in
1821	12	14	NA	NA	0	986.2	Orig=29.152in
1821	12	14	NA	NA	0	986.2	Orig=29.152in
1821	12	14	NA	NA	0	986.2	Orig=29.152in
1821	12	15	NA	NA	0	985.2	Orig=29.124in
1821	12	15	NA	NA	0	991.2	Orig=29.302in
1821	12	15	NA	NA	0	991.2	Orig=29.302in
1821	12	16	NA	NA	0	987.7	Orig=29.196in
1821	12	16	NA	NA	0	987.7	Orig=29.196in
1821	12	16	NA	NA	0	987.7	Orig=29.196in
1821	12	17	NA	NA	0	987.7	Orig=29.196in
1821	12	17	NA	NA	0	983.8	Orig=29.082in
1821	12	17	NA	NA	0	987.8	Orig=29.2in
1821	12	18	NA	NA	0	987.8	Orig=29.2in
1821	12	18	NA	NA	0	986.2	Orig=29.154in
1821	12	18	NA	NA	0	979.5	Orig=28.954in
1821	12	19	NA	NA	0	984.3	Orig=29.096in
1821	12	19	NA	NA	0	984.3	Orig=29.096in
1821	12	19	NA	NA	0	986.2	Orig=29.154in
1821	12	20	NA	NA	0	986.2	Orig=29.154in
1821	12	20	NA	NA	0	993.1	Orig=29.356in
1821	12	20	NA	NA	0	990.1	Orig=29.268in
1821	12	21	NA	NA	0	989.1	Orig=29.24in
1821	12	21	NA	NA	0	988.1	Orig=29.208in
1821	12	21	NA	NA	0	988.3	Orig=29.216in
1821	12	22	NA	NA	0	989.5	Orig=29.25in
1821	12	22	NA	NA	0	989.7	Orig=29.256in
1821	12	22	NA	NA	0	988.9	Orig=29.232in
1821	12	23	NA	NA	0	988.1	Orig=29.208in
1821	12	23	NA	NA	0	989.3	Orig=29.244in
1821	12	23	NA	NA	0	989.7	Orig=29.256in
1821	12	24	NA	NA	0	992.9	Orig=29.35in
1821	12	24	NA	NA	0	994.6	Orig=29.4in
1821	12	24	NA	NA	0	994.6	Orig=29.4in
1821	12	25	NA	NA	0	992.2	Orig=29.33in
1821	12	25	NA	NA	0	988.8	Orig=29.23in
1821	12	25	NA	NA	0	990.5	Orig=29.28in
1821	12	26	NA	NA	0	989.5	Orig=29.25in
1821	12	26	NA	NA	0	990.8	Orig=29.288in
1821	12	26	NA	NA	0	989.9	Orig=29.262in
1821	12	27	NA	NA	0	986.6	Orig=29.164in
1821	12	27	NA	NA	0	986	Orig=29.146in
1821	12	27	NA	NA	0	991	Orig=29.294in
1821	12	28	NA	NA	0	989.8	Orig=29.26in
1821	12	28	NA	NA	0	989.3	Orig=29.246in
1821	12	28	NA	NA	0	984.4	Orig=29.1in
1821	12	29	NA	NA	0	986.8	Orig=29.17in
1821	12	29	NA	NA	0	985.3	Orig=29.126in
1821	12	29	NA	NA	0	986.6	Orig=29.164in
1821	12	30	NA	NA	0	987.8	Orig=29.2in
1821	12	30	NA	NA	0	990.8	Orig=29.29in
1821	12	30	NA	NA	0	993.5	Orig=29.37in
1821	12	31	NA	NA	0	992.5	Orig=29.34in
1821	12	31	NA	NA	0	991.4	Orig=29.308in
1821	12	31	NA	NA	0	991.4	Orig=29.308in
1822	1	1	NA	NA	0	991.4	Orig=29.308in
1822	1	1	NA	NA	0	990	Orig=29.264in
1822	1	1	NA	NA	0	988.6	Orig=29.224in
1822	1	2	NA	NA	0	989.2	Orig=29.242in
1822	1	2	NA	NA	0	988.2	Orig=29.212in
1822	1	2	NA	NA	0	989.5	Orig=29.25in
1822	1	3	NA	NA	0	989.5	Orig=29.25in
1822	1	3	NA	NA	0	990.2	Orig=29.27in
1822	1	3	NA	NA	0	992.2	Orig=29.33in
1822	1	4	NA	NA	0	991	Orig=29.296in
1822	1	4	NA	NA	0	989.5	Orig=29.25in
1822	1	4	NA	NA	0	991	Orig=29.294in
1822	1	5	NA	NA	0	990.2	Orig=29.27in
1822	1	5	NA	NA	0	991.8	Orig=29.32in
1822	1	5	NA	NA	0	991.8	Orig=29.32in
1822	1	6	NA	NA	0	992.1	Orig=29.326in
1822	1	6	NA	NA	0	991	Orig=29.294in
1822	1	6	NA	NA	0	991.4	Orig=29.308in
1822	1	7	NA	NA	0	990.3	Orig=29.274in
1822	1	7	NA	NA	0	989.8	Orig=29.26in
1822	1	7	NA	NA	0	990.5	Orig=29.28in
1822	1	8	NA	NA	0	990.1	Orig=29.268in
1822	1	8	NA	NA	0	984.4	Orig=29.1in
1822	1	8	NA	NA	0	985.6	Orig=29.134in
1822	1	9	NA	NA	0	984.6	Orig=29.106in
1822	1	9	NA	NA	0	983.4	Orig=29.07in
1822	1	9	NA	NA	0	982.7	Orig=29.05in
1822	1	10	NA	NA	0	980	Orig=28.97in
1822	1	10	NA	NA	0	983.8	Orig=29.082in
1822	1	10	NA	NA	0	992.7	Orig=29.344in
1822	1	11	NA	NA	0	994.2	Orig=29.39in
1822	1	11	NA	NA	0	994.1	Orig=29.386in
1822	1	11	NA	NA	0	995.2	Orig=29.418in
1822	1	12	NA	NA	0	991.2	Orig=29.3in
1822	1	12	NA	NA	0	989.8	Orig=29.26in
1822	1	12	NA	NA	0	986.4	Orig=29.16in
1822	1	13	NA	NA	0	985.2	Orig=29.124in
1822	1	13	NA	NA	0	985.2	Orig=29.124in
1822	1	13	NA	NA	0	989.1	Orig=29.24in
1822	1	14	NA	NA	0	988.5	Orig=29.22in
1822	1	14	NA	NA	0	989.5	Orig=29.25in
1822	1	14	NA	NA	0	992.9	Orig=29.35in
1822	1	15	NA	NA	0	994	Orig=29.384in
1822	1	15	NA	NA	0	994.6	Orig=29.4in
1822	1	15	NA	NA	0	994.1	Orig=29.386in
1822	1	16	NA	NA	0	992.2	Orig=29.33in
1822	1	16	NA	NA	0	990.2	Orig=29.27in
1822	1	16	NA	NA	0	989	Orig=29.236in
1822	1	17	NA	NA	0	987.7	Orig=29.196in
1822	1	17	NA	NA	0	984.1	Orig=29.09in
1822	1	17	NA	NA	0	983.1	Orig=29.06in
1822	1	18	NA	NA	0	982.7	Orig=29.05in
1822	1	18	NA	NA	0	984.1	Orig=29.09in
1822	1	18	NA	NA	0	986.1	Orig=29.15in
1822	1	19	NA	NA	0	986.1	Orig=29.15in
1822	1	19	NA	NA	0	986.1	Orig=29.15in
1822	1	19	NA	NA	0	988.2	Orig=29.212in
1822	1	20	NA	NA	0	987.8	Orig=29.2in
1822	1	20	NA	NA	0	987.8	Orig=29.2in
1822	1	20	NA	NA	0	986.1	Orig=29.15in
1822	1	21	NA	NA	0	989.5	Orig=29.25in
1822	1	21	NA	NA	0	988.9	Orig=29.232in
1822	1	21	NA	NA	0	990.5	Orig=29.28in
1822	1	22	NA	NA	0	987.8	Orig=29.2in
1822	1	22	NA	NA	0	986.4	Orig=29.16in
1822	1	22	NA	NA	0	989.5	Orig=29.25in
1822	1	23	NA	NA	0	989.1	Orig=29.24in
1822	1	23	NA	NA	0	984.4	Orig=29.1in
1822	1	23	NA	NA	0	988.6	Orig=29.224in
1822	1	24	NA	NA	0	987.5	Orig=29.192in
1822	1	24	NA	NA	0	990.3	Orig=29.274in
1822	1	24	NA	NA	0	989.5	Orig=29.25in
1822	1	25	NA	NA	0	992.4	Orig=29.336in
1822	1	25	NA	NA	0	992.5	Orig=29.34in
1822	1	25	NA	NA	0	993.3	Orig=29.364in
1822	1	26	NA	NA	0	993.4	Orig=29.366in
1822	1	26	NA	NA	0	993.4	Orig=29.366in
1822	1	26	NA	NA	0	992.1	Orig=29.328in
1822	1	27	NA	NA	0	992.1	Orig=29.326in
1822	1	27	NA	NA	0	986.1	Orig=29.15in
1822	1	27	NA	NA	0	984.5	Orig=29.104in
