SEF	1.0.0
ID	George
Name	George
Lat	-33.9881
Lon	22.453
Alt	32
Source	C3S_SouthAfrica
Link	https://data-rescue.copernicus-climate.eu/lso/1086301
Vbl	ta
Stat	point
Units	C
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1821	12	1	NA	NA	0	17.2	Orig=63F
1821	12	1	NA	NA	0	13.9	Orig=57F
1821	12	1	NA	NA	0	18.3	Orig=65F
1821	12	2	NA	NA	0	17.2	Orig=63F
1821	12	2	NA	NA	0	20	Orig=68F
1821	12	2	NA	NA	0	18.3	Orig=65F
1821	12	3	NA	NA	0	17.8	Orig=64F
1821	12	3	NA	NA	0	20	Orig=68F
1821	12	3	NA	NA	0	18.9	Orig=66F
1821	12	4	NA	NA	0	18.3	Orig=65F
1821	12	4	NA	NA	0	22.2	Orig=72F
1821	12	4	NA	NA	0	19.4	Orig=67F
1821	12	5	NA	NA	0	18.9	Orig=66F
1821	12	5	NA	NA	0	22.8	Orig=73F
1821	12	5	NA	NA	0	20	Orig=68F
1821	12	6	NA	NA	0	19.4	Orig=67F
1821	12	6	NA	NA	0	28.9	Orig=84F
1821	12	6	NA	NA	0	22.2	Orig=72F
1821	12	7	NA	NA	0	18.9	Orig=66F
1821	12	7	NA	NA	0	21.1	Orig=70F
1821	12	7	NA	NA	0	20	Orig=68F
1821	12	8	NA	NA	0	17.2	Orig=63F
1821	12	8	NA	NA	0	18.9	Orig=66F
1821	12	8	NA	NA	0	17.8	Orig=64F
1821	12	9	NA	NA	0	16.7	Orig=62F
1821	12	9	NA	NA	0	19.4	Orig=67F
1821	12	9	NA	NA	0	17.2	Orig=63F
1821	12	10	NA	NA	0	17.2	Orig=63F
1821	12	10	NA	NA	0	20	Orig=68F
1821	12	10	NA	NA	0	18.3	Orig=65F
1821	12	11	NA	NA	0	17.8	Orig=64F
1821	12	11	NA	NA	0	21.1	Orig=70F
1821	12	11	NA	NA	0	18.9	Orig=66F
1821	12	12	NA	NA	0	17.2	Orig=63F
1821	12	12	NA	NA	0	20	Orig=68F
1821	12	12	NA	NA	0	18.9	Orig=66F
1821	12	13	NA	NA	0	16.7	Orig=62F
1821	12	13	NA	NA	0	19.4	Orig=67F
1821	12	13	NA	NA	0	17.8	Orig=64F
1821	12	14	NA	NA	0	16.7	Orig=62F
1821	12	14	NA	NA	0	20.6	Orig=69F
1821	12	14	NA	NA	0	19.4	Orig=67F
1821	12	15	NA	NA	0	16.7	Orig=62F
1821	12	15	NA	NA	0	20	Orig=68F
1821	12	15	NA	NA	0	18.9	Orig=66F
1821	12	16	NA	NA	0	17.2	Orig=63F
1821	12	16	NA	NA	0	21.1	Orig=70F
1821	12	16	NA	NA	0	18.9	Orig=66F
1821	12	17	NA	NA	0	17.8	Orig=64F
1821	12	17	NA	NA	0	21.7	Orig=71F
1821	12	17	NA	NA	0	20.6	Orig=69F
1821	12	18	NA	NA	0	17.8	Orig=64F
1821	12	18	NA	NA	0	22.2	Orig=72F
1821	12	18	NA	NA	0	20	Orig=68F
1821	12	19	NA	NA	0	16.1	Orig=61F
1821	12	19	NA	NA	0	18.9	Orig=66F
1821	12	19	NA	NA	0	17.8	Orig=64F
1821	12	20	NA	NA	0	16.1	Orig=61F
1821	12	20	NA	NA	0	18.3	Orig=65F
1821	12	20	NA	NA	0	17.8	Orig=64F
1821	12	21	NA	NA	0	19.4	Orig=67F
1821	12	21	NA	NA	0	23.9	Orig=75F
1821	12	21	NA	NA	0	20.6	Orig=69F
1821	12	22	NA	NA	0	18.3	Orig=65F
1821	12	22	NA	NA	0	21.7	Orig=71F
1821	12	22	NA	NA	0	18.9	Orig=66F
1821	12	23	NA	NA	0	19.4	Orig=67F
1821	12	23	NA	NA	0	21.7	Orig=71F
1821	12	23	NA	NA	0	21.1	Orig=70F
1821	12	24	NA	NA	0	18.3	Orig=65F
1821	12	24	NA	NA	0	21.7	Orig=71F
1821	12	24	NA	NA	0	18.9	Orig=66F
1821	12	25	NA	NA	0	17.8	Orig=64F
1821	12	25	NA	NA	0	21.1	Orig=70F
1821	12	25	NA	NA	0	18.9	Orig=66F
1821	12	26	NA	NA	0	17.8	Orig=64F
1821	12	26	NA	NA	0	21.7	Orig=71F
1821	12	26	NA	NA	0	20	Orig=68F
1821	12	27	NA	NA	0	18.9	Orig=66F
1821	12	27	NA	NA	0	22.8	Orig=73F
1821	12	27	NA	NA	0	20.6	Orig=69F
1821	12	28	NA	NA	0	20.6	Orig=69F
1821	12	28	NA	NA	0	22.2	Orig=72F
1821	12	28	NA	NA	0	20	Orig=68F
1821	12	29	NA	NA	0	18.9	Orig=66F
1821	12	29	NA	NA	0	21.1	Orig=70F
1821	12	29	NA	NA	0	20	Orig=68F
1821	12	30	NA	NA	0	20.6	Orig=69F
1821	12	30	NA	NA	0	21.1	Orig=70F
1821	12	30	NA	NA	0	18.9	Orig=66F
1821	12	31	NA	NA	0	15.6	Orig=60F
1821	12	31	NA	NA	0	21.1	Orig=70F
1821	12	31	NA	NA	0	20	Orig=68F
1822	1	1	NA	NA	0	18.3	Orig=65F
1822	1	1	NA	NA	0	25	Orig=77F
1822	1	1	NA	NA	0	20	Orig=68F
1822	1	2	NA	NA	0	18.9	Orig=66F
1822	1	2	NA	NA	0	21.7	Orig=71F
1822	1	2	NA	NA	0	20.6	Orig=69F
1822	1	3	NA	NA	0	19.4	Orig=67F
1822	1	3	NA	NA	0	25.6	Orig=78F
1822	1	3	NA	NA	0	20.6	Orig=69F
1822	1	4	NA	NA	0	19.4	Orig=67F
1822	1	4	NA	NA	0	25	Orig=77F
1822	1	4	NA	NA	0	23.3	Orig=74F
1822	1	5	NA	NA	0	20	Orig=68F
1822	1	5	NA	NA	0	24.4	Orig=76F
1822	1	5	NA	NA	0	22.8	Orig=73F
1822	1	6	NA	NA	0	20	Orig=68F
1822	1	6	NA	NA	0	25	Orig=77F
1822	1	6	NA	NA	0	20.6	Orig=69F
1822	1	7	NA	NA	0	18.3	Orig=65F
1822	1	7	NA	NA	0	23.3	Orig=74F
1822	1	7	NA	NA	0	21.1	Orig=70F
1822	1	8	NA	NA	0	24.4	Orig=76F
1822	1	8	NA	NA	0	27.2	Orig=81F
1822	1	8	NA	NA	0	21.1	Orig=70F
1822	1	9	NA	NA	0	21.7	Orig=71F
1822	1	9	NA	NA	0	29.4	Orig=85F
1822	1	9	NA	NA	0	21.7	Orig=71F
1822	1	10	NA	NA	0	20	Orig=68F
1822	1	10	NA	NA	0	21.7	Orig=71F
1822	1	10	NA	NA	0	21.1	Orig=70F
1822	1	11	NA	NA	0	18.9	Orig=66F
1822	1	11	NA	NA	0	21.7	Orig=71F
1822	1	11	NA	NA	0	19.4	Orig=67F
1822	1	12	NA	NA	0	17.2	Orig=63F
1822	1	12	NA	NA	0	25	Orig=77F
1822	1	12	NA	NA	0	20	Orig=68F
1822	1	13	NA	NA	0	24.4	Orig=76F
1822	1	13	NA	NA	0	30.6	Orig=87F
1822	1	13	NA	NA	0	20.6	Orig=69F
1822	1	14	NA	NA	0	21.1	Orig=70F
1822	1	14	NA	NA	0	21.1	Orig=70F
1822	1	14	NA	NA	0	20.6	Orig=69F
1822	1	15	NA	NA	0	18.3	Orig=65F
1822	1	15	NA	NA	0	22.8	Orig=73F
1822	1	15	NA	NA	0	17.8	Orig=64F
1822	1	16	NA	NA	0	17.8	Orig=64F
1822	1	16	NA	NA	0	22.8	Orig=73F
1822	1	16	NA	NA	0	18.9	Orig=66F
1822	1	17	NA	NA	0	17.2	Orig=63F
1822	1	17	NA	NA	0	23.9	Orig=75F
1822	1	17	NA	NA	0	19.4	Orig=67F
1822	1	18	NA	NA	0	21.7	Orig=71F
1822	1	18	NA	NA	0	25	Orig=77F
1822	1	18	NA	NA	0	20	Orig=68F
1822	1	19	NA	NA	0	22.8	Orig=73F
1822	1	19	NA	NA	0	25	Orig=77F
1822	1	19	NA	NA	0	20	Orig=68F
1822	1	20	NA	NA	0	20	Orig=68F
1822	1	20	NA	NA	0	26.1	Orig=79F
1822	1	20	NA	NA	0	20	Orig=68F
1822	1	21	NA	NA	0	20.6	Orig=69F
1822	1	21	NA	NA	0	26.7	Orig=80F
1822	1	21	NA	NA	0	21.1	Orig=70F
1822	1	22	NA	NA	0	21.1	Orig=70F
1822	1	22	NA	NA	0	22.2	Orig=72F
1822	1	22	NA	NA	0	21.7	Orig=71F
1822	1	23	NA	NA	0	21.1	Orig=70F
1822	1	23	NA	NA	0	20.6	Orig=69F
1822	1	23	NA	NA	0	21.1	Orig=70F
1822	1	24	NA	NA	0	19.4	Orig=67F
1822	1	24	NA	NA	0	21.1	Orig=70F
1822	1	24	NA	NA	0	20	Orig=68F
1822	1	25	NA	NA	0	19.4	Orig=67F
1822	1	25	NA	NA	0	20	Orig=68F
1822	1	25	NA	NA	0	19.4	Orig=67F
1822	1	26	NA	NA	0	20.6	Orig=69F
1822	1	26	NA	NA	0	19.4	Orig=67F
1822	1	26	NA	NA	0	19.4	Orig=67F
1822	1	27	NA	NA	0	19.4	Orig=67F
1822	1	27	NA	NA	0	20.6	Orig=69F
1822	1	27	NA	NA	0	20	Orig=68F
1822	1	28	NA	NA	0	20	Orig=68F
1822	1	28	NA	NA	0	21.1	Orig=70F
1822	1	28	NA	NA	0	19.4	Orig=67F
1822	1	29	NA	NA	0	20.6	Orig=69F
1822	1	29	NA	NA	0	20.6	Orig=69F
1822	1	29	NA	NA	0	20.6	Orig=69F
1822	1	30	NA	NA	0	20.6	Orig=69F
1822	1	30	NA	NA	0	21.1	Orig=70F
1822	1	30	NA	NA	0	20	Orig=68F
1822	1	31	NA	NA	0	20.6	Orig=69F
1822	1	31	NA	NA	0	20.6	Orig=69F
1822	1	31	NA	NA	0	20	Orig=68F
1822	2	1	NA	NA	0	20	Orig=68F
1822	2	1	NA	NA	0	20	Orig=68F
1822	2	2	NA	NA	0	18.9	Orig=66F
1822	2	2	NA	NA	0	19.4	Orig=67F
1822	2	3	NA	NA	0	23.9	Orig=75F
1822	2	3	NA	NA	0	19.4	Orig=67F
1822	2	4	NA	NA	0	19.4	Orig=67F
1822	2	4	NA	NA	0	20.6	Orig=69F
1822	2	5	NA	NA	0	20	Orig=68F
1822	2	5	NA	NA	0	21.1	Orig=70F
1822	2	6	NA	NA	0	20.6	Orig=69F
1822	2	6	NA	NA	0	26.7	Orig=80F
1822	2	7	NA	NA	0	21.7	Orig=71F
1822	2	7	NA	NA	0	23.3	Orig=74F
1822	2	8	NA	NA	0	20.6	Orig=69F
1822	2	8	NA	NA	0	21.1	Orig=70F
1822	2	9	NA	NA	0	20.6	Orig=69F
1822	2	9	NA	NA	0	18.9	Orig=66F
1822	2	10	NA	NA	0	21.7	Orig=71F
1822	2	10	NA	NA	0	20	Orig=68F
1822	2	11	NA	NA	0	20.6	Orig=69F
1822	2	11	NA	NA	0	19.4	Orig=67F
1822	2	12	NA	NA	0	21.1	Orig=70F
1822	2	12	NA	NA	0	19.4	Orig=67F
1822	2	13	NA	NA	0	19.4	Orig=67F
1822	2	13	NA	NA	0	21.1	Orig=70F
1822	2	14	NA	NA	0	23.9	Orig=75F
1822	2	14	NA	NA	0	23.3	Orig=74F
1822	2	15	NA	NA	0	22.2	Orig=72F
1822	2	15	NA	NA	0	22.2	Orig=72F
1822	2	16	NA	NA	0	21.1	Orig=70F
1822	2	16	NA	NA	0	20.6	Orig=69F
1822	2	17	NA	NA	0	20.6	Orig=69F
1822	2	17	NA	NA	0	22.2	Orig=72F
1822	2	18	NA	NA	0	21.1	Orig=70F
1822	2	18	NA	NA	0	21.1	Orig=70F
1822	2	19	NA	NA	0	20.6	Orig=69F
1822	2	19	NA	NA	0	22.2	Orig=72F
1822	2	20	NA	NA	0	19.4	Orig=67F
1822	2	20	NA	NA	0	19.4	Orig=67F
1822	2	21	NA	NA	0	19.4	Orig=67F
1822	2	21	NA	NA	0	18.9	Orig=66F
1822	2	22	NA	NA	0	18.3	Orig=65F
1822	2	22	NA	NA	0	20	Orig=68F
1822	2	23	NA	NA	0	21.1	Orig=70F
1822	2	23	NA	NA	0	25	Orig=77F
1822	2	24	NA	NA	0	21.1	Orig=70F
1822	2	24	NA	NA	0	23.3	Orig=74F
1822	2	25	NA	NA	0	20	Orig=68F
1822	2	25	NA	NA	0	22.2	Orig=72F
1822	2	26	NA	NA	0	20	Orig=68F
1822	2	26	NA	NA	0	22.2	Orig=72F
1822	2	27	NA	NA	0	21.1	Orig=70F
1822	2	27	NA	NA	0	21.1	Orig=70F
1822	2	28	NA	NA	0	20.6	Orig=69F
1822	2	28	NA	NA	0	19.4	Orig=67F
1822	4	1	NA	NA	0	20.6	Orig=69F
1822	4	1	NA	NA	0	27.2	Orig=81F
1822	4	2	NA	NA	0	30	Orig=86F
1822	4	2	NA	NA	0	25	Orig=77F
1822	4	3	NA	NA	0	21.1	Orig=70F
1822	4	3	NA	NA	0	21.1	Orig=70F
1822	4	4	NA	NA	0	18.9	Orig=66F
1822	4	4	NA	NA	0	21.7	Orig=71F
1822	4	5	NA	NA	0	18.3	Orig=65F
1822	4	5	NA	NA	0	20	Orig=68F
1822	4	6	NA	NA	0	17.8	Orig=64F
1822	4	6	NA	NA	0	18.9	Orig=66F
1822	4	7	NA	NA	0	18.9	Orig=66F
1822	4	7	NA	NA	0	20.6	Orig=69F
1822	4	8	NA	NA	0	18.3	Orig=65F
1822	4	8	NA	NA	0	20.6	Orig=69F
1822	4	9	NA	NA	0	18.9	Orig=66F
1822	4	9	NA	NA	0	20.6	Orig=69F
1822	4	10	NA	NA	0	18.9	Orig=66F
1822	4	10	NA	NA	0	20.6	Orig=69F
1822	4	11	NA	NA	0	18.3	Orig=65F
1822	4	11	NA	NA	0	20.6	Orig=69F
1822	4	12	NA	NA	0	17.8	Orig=64F
1822	4	12	NA	NA	0	20.6	Orig=69F
1822	4	13	NA	NA	0	18.3	Orig=65F
1822	4	13	NA	NA	0	21.1	Orig=70F
1822	4	14	NA	NA	0	18.9	Orig=66F
1822	4	14	NA	NA	0	20.6	Orig=69F
1822	4	15	NA	NA	0	18.9	Orig=66F
1822	4	15	NA	NA	0	20.6	Orig=69F
1822	4	16	NA	NA	0	18.3	Orig=65F
1822	4	16	NA	NA	0	20.6	Orig=69F
1822	4	17	NA	NA	0	16.1	Orig=61F
1822	4	17	NA	NA	0	21.7	Orig=71F
1822	4	18	NA	NA	0	18.9	Orig=66F
1822	4	18	NA	NA	0	20.6	Orig=69F
1822	4	19	NA	NA	0	18.9	Orig=66F
1822	4	19	NA	NA	0	21.1	Orig=70F
1822	4	20	NA	NA	0	19.4	Orig=67F
1822	4	20	NA	NA	0	20.6	Orig=69F
1822	4	21	NA	NA	0	18.9	Orig=66F
1822	4	21	NA	NA	0	20.6	Orig=69F
1822	4	22	NA	NA	0	19.4	Orig=67F
1822	4	22	NA	NA	0	21.1	Orig=70F
1822	4	23	NA	NA	0	18.3	Orig=65F
1822	4	23	NA	NA	0	19.4	Orig=67F
1822	4	24	NA	NA	0	17.8	Orig=64F
1822	4	24	NA	NA	0	19.4	Orig=67F
1822	4	25	NA	NA	0	17.2	Orig=63F
1822	4	25	NA	NA	0	19.4	Orig=67F
1822	4	26	NA	NA	0	17.8	Orig=64F
1822	4	26	NA	NA	0	21.1	Orig=70F
1822	4	27	NA	NA	0	16.1	Orig=61F
1822	4	27	NA	NA	0	18.9	Orig=66F
1822	4	28	NA	NA	0	15.6	Orig=60F
1822	4	28	NA	NA	0	14.4	Orig=58F
1822	4	29	NA	NA	0	12.8	Orig=55F
1822	4	29	NA	NA	0	13.9	Orig=57F
1822	4	30	NA	NA	0	12.8	Orig=55F
1822	4	30	NA	NA	0	13.9	Orig=57F
1822	5	1	NA	NA	0	12.8	Orig=55F
1822	5	1	NA	NA	0	16.1	Orig=61F
1822	5	2	NA	NA	0	13.9	Orig=57F
1822	5	2	NA	NA	0	14.4	Orig=58F
1822	5	3	NA	NA	0	13.9	Orig=57F
1822	5	3	NA	NA	0	15	Orig=59F
1822	5	4	NA	NA	0	13.9	Orig=57F
1822	5	4	NA	NA	0	16.1	Orig=61F
1822	5	5	NA	NA	0	13.9	Orig=57F
1822	5	5	NA	NA	0	15.6	Orig=60F
1822	5	6	NA	NA	0	13.3	Orig=56F
1822	5	6	NA	NA	0	15	Orig=59F
1822	5	7	NA	NA	0	14.4	Orig=58F
1822	5	7	NA	NA	0	17.2	Orig=63F
1822	5	8	NA	NA	0	15	Orig=59F
1822	5	8	NA	NA	0	16.7	Orig=62F
1822	5	9	NA	NA	0	15.6	Orig=60F
1822	5	9	NA	NA	0	16.7	Orig=62F
1822	5	10	NA	NA	0	15	Orig=59F
1822	5	10	NA	NA	0	16.7	Orig=62F
1822	5	11	NA	NA	0	15.6	Orig=60F
1822	5	11	NA	NA	0	17.2	Orig=63F
1822	5	12	NA	NA	0	15.6	Orig=60F
1822	5	12	NA	NA	0	17.2	Orig=63F
1822	5	13	NA	NA	0	15.6	Orig=60F
1822	5	13	NA	NA	0	17.2	Orig=63F
1822	5	14	NA	NA	0	15.6	Orig=60F
1822	5	14	NA	NA	0	17.2	Orig=63F
1822	5	15	NA	NA	0	16.1	Orig=61F
1822	5	15	NA	NA	0	17.8	Orig=64F
1822	5	16	NA	NA	0	15.6	Orig=60F
1822	5	16	NA	NA	0	17.2	Orig=63F
1822	5	17	NA	NA	0	16.1	Orig=61F
1822	5	17	NA	NA	0	18.3	Orig=65F
1822	5	18	NA	NA	0	16.7	Orig=62F
1822	5	18	NA	NA	0	18.3	Orig=65F
1822	5	19	NA	NA	0	16.7	Orig=62F
1822	5	19	NA	NA	0	19.4	Orig=67F
1822	5	20	NA	NA	0	15	Orig=59F
1822	5	20	NA	NA	0	13.9	Orig=57F
1822	5	21	NA	NA	0	12.8	Orig=55F
1822	5	21	NA	NA	0	13.3	Orig=56F
1822	5	22	NA	NA	0	13.3	Orig=56F
1822	5	22	NA	NA	0	13.9	Orig=57F
1822	5	23	NA	NA	0	12.8	Orig=55F
1822	5	23	NA	NA	0	13.9	Orig=57F
1822	5	24	NA	NA	0	12.8	Orig=55F
1822	5	24	NA	NA	0	13.9	Orig=57F
1822	5	25	NA	NA	0	13.3	Orig=56F
1822	5	25	NA	NA	0	15	Orig=59F
1822	5	26	NA	NA	0	11.7	Orig=53F
1822	5	26	NA	NA	0	13.9	Orig=57F
1822	5	27	NA	NA	0	11.7	Orig=53F
1822	5	27	NA	NA	0	12.8	Orig=55F
1822	5	28	NA	NA	0	12.2	Orig=54F
1822	5	28	NA	NA	0	13.9	Orig=57F
1822	5	29	NA	NA	0	12.8	Orig=55F
1822	5	29	NA	NA	0	15	Orig=59F
1822	5	30	NA	NA	0	12.8	Orig=55F
1822	5	30	NA	NA	0	15	Orig=59F
1822	5	31	NA	NA	0	13.9	Orig=57F
1822	5	31	NA	NA	0	15.6	Orig=60F
1822	6	1	NA	NA	0	12.2	Orig=54F
1822	6	1	NA	NA	0	17.8	Orig=64F
1822	6	2	NA	NA	0	12.2	Orig=54F
1822	6	2	NA	NA	0	21.1	Orig=70F
1822	6	3	NA	NA	0	15.6	Orig=60F
1822	6	3	NA	NA	0	17.2	Orig=63F
1822	6	4	NA	NA	0	14.4	Orig=58F
1822	6	4	NA	NA	0	15.6	Orig=60F
1822	6	5	NA	NA	0	14.4	Orig=58F
1822	6	5	NA	NA	0	15.6	Orig=60F
1822	6	6	NA	NA	0	14.4	Orig=58F
1822	6	6	NA	NA	0	16.1	Orig=61F
1822	6	7	NA	NA	0	12.2	Orig=54F
1822	6	7	NA	NA	0	15	Orig=59F
1822	6	8	NA	NA	0	13.9	Orig=57F
1822	6	8	NA	NA	0	15	Orig=59F
1822	6	9	NA	NA	0	13.3	Orig=56F
1822	6	9	NA	NA	0	16.1	Orig=61F
1822	6	10	NA	NA	0	12.8	Orig=55F
1822	6	10	NA	NA	0	15	Orig=59F
1822	6	11	NA	NA	0	12.8	Orig=55F
1822	6	11	NA	NA	0	15	Orig=59F
1822	6	12	NA	NA	0	1.1	Orig=34F
1822	6	12	NA	NA	0	15.6	Orig=60F
1822	6	13	NA	NA	0	12.8	Orig=55F
1822	6	13	NA	NA	0	15.6	Orig=60F
1822	6	14	NA	NA	0	13.3	Orig=56F
1822	6	14	NA	NA	0	15.6	Orig=60F
1822	6	15	NA	NA	0	13.3	Orig=56F
1822	6	15	NA	NA	0	15.6	Orig=60F
1822	6	16	NA	NA	0	12.8	Orig=55F
1822	6	16	NA	NA	0	15.6	Orig=60F
1822	6	17	NA	NA	0	12.8	Orig=55F
1822	6	17	NA	NA	0	15.6	Orig=60F
1822	6	18	NA	NA	0	12.8	Orig=55F
1822	6	18	NA	NA	0	11.1	Orig=52F
1822	6	19	NA	NA	0	13.9	Orig=57F
1822	6	19	NA	NA	0	14.4	Orig=58F
1822	6	20	NA	NA	0	13.3	Orig=56F
1822	6	20	NA	NA	0	13.9	Orig=57F
1822	6	21	NA	NA	0	13.3	Orig=56F
1822	6	21	NA	NA	0	15	Orig=59F
1822	6	22	NA	NA	0	12.8	Orig=55F
1822	6	22	NA	NA	0	15.6	Orig=60F
1822	6	23	NA	NA	0	13.3	Orig=56F
1822	6	23	NA	NA	0	15.6	Orig=60F
1822	6	24	NA	NA	0	13.3	Orig=56F
1822	6	24	NA	NA	0	15.6	Orig=60F
1822	6	25	NA	NA	0	13.9	Orig=57F
1822	6	25	NA	NA	0	16.7	Orig=62F
1822	6	26	NA	NA	0	14.4	Orig=58F
1822	6	26	NA	NA	0	16.7	Orig=62F
1822	6	27	NA	NA	0	13.9	Orig=57F
1822	6	27	NA	NA	0	16.1	Orig=61F
1822	6	28	NA	NA	0	13.9	Orig=57F
1822	6	28	NA	NA	0	16.1	Orig=61F
1822	6	29	NA	NA	0	13.9	Orig=57F
1822	6	29	NA	NA	0	16.7	Orig=62F
1822	6	30	NA	NA	0	13.9	Orig=57F
1822	6	30	NA	NA	0	16.7	Orig=62F
1822	7	1	NA	NA	0	13.3	Orig=56F
1822	7	1	NA	NA	0	15.6	Orig=60F
1822	7	2	NA	NA	0	13.9	Orig=57F
1822	7	2	NA	NA	0	15.6	Orig=60F
1822	7	3	NA	NA	0	12.8	Orig=55F
1822	7	3	NA	NA	0	13.3	Orig=56F
1822	7	4	NA	NA	0	12.2	Orig=54F
1822	7	4	NA	NA	0	13.9	Orig=57F
1822	7	5	NA	NA	0	11.7	Orig=53F
1822	7	5	NA	NA	0	13.9	Orig=57F
1822	7	6	NA	NA	0	12.2	Orig=54F
1822	7	6	NA	NA	0	13.3	Orig=56F
1822	7	7	NA	NA	0	12.2	Orig=54F
1822	7	7	NA	NA	0	14.4	Orig=58F
1822	7	8	NA	NA	0	11.7	Orig=53F
1822	7	8	NA	NA	0	13.3	Orig=56F
1822	7	9	NA	NA	0	12.2	Orig=54F
1822	7	9	NA	NA	0	14.4	Orig=58F
1822	7	10	NA	NA	0	11.1	Orig=52F
1822	7	10	NA	NA	0	12.2	Orig=54F
1822	7	11	NA	NA	0	11.7	Orig=53F
1822	7	11	NA	NA	0	13.3	Orig=56F
1822	7	12	NA	NA	0	10	Orig=50F
1822	7	12	NA	NA	0	12.2	Orig=54F
1822	7	13	NA	NA	0	10.6	Orig=51F
