SEF	1.0.0
ID	Kimberley
Name	Kimberley
Lat	-28.715
Lon	24.8375
Alt	1234
Source	C3S_SouthAfrica
Link	https://data-rescue.copernicus-climate.eu/lso/1086302
Vbl	p
Stat	point
Units	hPa
Meta	Data policy=GNU GPL v3.0|PTC=Y|PGC=Y
Year	Month	Day	Hour	Minute	Period	Value	Meta
1883	1	1	2	20	0	868.7	Orig=25.7in|PTC=?|orig.time= 4.00
1883	1	1	10	20	0	869.5	Orig=25.725in|PTC=?|orig.time=12.00
1883	1	1	11	20	0	868.7	Orig=25.7in|PTC=?|orig.time=13.00
1883	1	1	13	20	0	867.3	Orig=25.66in|PTC=?|orig.time=15.00
1883	1	1	14	20	0	867	Orig=25.65in|PTC=?|orig.time=16.00
1883	1	1	15	20	0	867	Orig=25.65in|PTC=?|orig.time=17.00
1883	1	1	18	20	0	867	Orig=25.65in|PTC=?|orig.time=20.00
1883	1	1	19	20	0	868.7	Orig=25.7in|PTC=?|orig.time=21.00
1883	1	1	22	20	0	867.8	Orig=25.675in|PTC=?|orig.time=24.00
1883	1	2	0	5	0	868	Orig=25.68in|PTC=?|orig.time= 1.45
1883	1	2	5	20	0	867.3	Orig=25.66in|PTC=?|orig.time= 7.00
1883	1	2	11	20	0	866	Orig=25.62in|PTC=?|orig.time=13.00
1883	1	2	12	20	0	867	Orig=25.65in|PTC=?|orig.time=14.00
1883	1	2	13	20	0	861.9	Orig=25.5in|PTC=?|orig.time=15.00
1883	1	2	16	20	0	864.6	Orig=25.58in|PTC=?|orig.time=18.00
1883	1	2	17	20	0	865.3	Orig=25.6in|PTC=?|orig.time=19.00
1883	1	2	19	20	0	866.1	Orig=25.625in|PTC=?|orig.time=21.00
1883	1	2	20	50	0	866.3	Orig=25.63in|PTC=?|orig.time=22.30
1883	1	3	1	20	0	866.1	Orig=25.625in|PTC=?|orig.time= 3.00
1883	1	3	4	20	0	866.7	Orig=25.64in|PTC=?|orig.time= 6.00
1883	1	3	6	20	0	867.3	Orig=25.66in|PTC=?|orig.time= 8.00
1883	1	3	7	20	0	867.3	Orig=25.66in|PTC=?|orig.time= 9.00
1883	1	3	8	20	0	867	Orig=25.65in|PTC=?|orig.time=10.00
1883	1	3	9	20	0	866.4	Orig=25.633in|PTC=?|orig.time=11.00
1883	1	3	10	20	0	866.4	Orig=25.633in|PTC=?|orig.time=12.00
1883	1	3	12	20	0	866.1	Orig=25.625in|PTC=?|orig.time=14.00
1883	1	3	12	50	0	866	Orig=25.62in|PTC=?|orig.time=14.30
1883	1	3	16	20	0	866.1	Orig=25.625in|PTC=?|orig.time=18.00
1883	1	3	19	20	0	866.1	Orig=25.625in|PTC=?|orig.time=21.00
1883	1	4	1	20	0	868	Orig=25.68in|PTC=?|orig.time= 3.00
1883	1	4	4	20	0	870	Orig=25.74in|PTC=?|orig.time= 6.00
1883	1	4	6	20	0	870.4	Orig=25.75in|PTC=?|orig.time= 8.00
1883	1	4	7	20	0	870.4	Orig=25.75in|PTC=?|orig.time= 9.00
1883	1	4	8	20	0	870	Orig=25.74in|PTC=?|orig.time=10.00
1883	1	4	9	20	0	869.7	Orig=25.73in|PTC=?|orig.time=11.00
1883	1	4	10	20	0	869.5	Orig=25.725in|PTC=?|orig.time=12.00
1883	1	4	14	20	0	867.3	Orig=25.66in|PTC=?|orig.time=16.00
1883	1	4	15	20	0	867.3	Orig=25.66in|PTC=?|orig.time=17.00
1883	1	4	16	20	0	867.3	Orig=25.66in|PTC=?|orig.time=18.00
1883	1	4	19	20	0	868	Orig=25.68in|PTC=?|orig.time=21.00
1883	1	4	20	20	0	868.7	Orig=25.7in|PTC=?|orig.time=22.00
1883	1	4	21	20	0	868.7	Orig=25.7in|PTC=?|orig.time=23.00
1883	1	4	23	20	0	868	Orig=25.68in|PTC=?|orig.time= 1.00
1883	1	5	0	20	0	867.8	Orig=25.675in|PTC=?|orig.time= 2.00
1883	1	5	4	20	0	869.5	Orig=25.725in|PTC=?|orig.time= 6.00
1883	1	5	6	20	0	869.7	Orig=25.73in|PTC=?|orig.time= 8.00
1883	1	5	7	20	0	869.7	Orig=25.73in|PTC=?|orig.time= 9.00
1883	1	5	8	20	0	869.7	Orig=25.73in|PTC=?|orig.time=10.00
1883	1	5	11	20	0	868	Orig=25.68in|PTC=?|orig.time=13.00
1883	1	5	12	20	0	868	Orig=25.68in|PTC=?|orig.time=14.00
1883	1	5	12	50	0	867.8	Orig=25.675in|PTC=?|orig.time=14.30
1883	1	5	13	50	0	868	Orig=25.68in|PTC=?|orig.time=15.30
1883	1	5	15	20	0	867	Orig=25.65in|PTC=?|orig.time=17.00
1883	1	5	16	20	0	866.3	Orig=25.63in|PTC=?|orig.time=18.00
1883	1	5	17	20	0	867	Orig=25.65in|PTC=?|orig.time=19.00
1883	1	5	19	20	0	867.8	Orig=25.675in|PTC=?|orig.time=21.00
1883	1	5	21	20	0	868	Orig=25.68in|PTC=?|orig.time=23.00
1883	1	6	3	20	0	868.7	Orig=25.7in|PTC=?|orig.time= 5.00
1883	1	6	4	20	0	869	Orig=25.71in|PTC=?|orig.time= 6.00
1883	1	6	7	20	0	869.4	Orig=25.72in|PTC=?|orig.time= 9.00
1883	1	6	8	20	0	869.5	Orig=25.725in|PTC=?|orig.time=10.00
1883	1	6	11	20	0	867	Orig=25.65in|PTC=?|orig.time=13.00
1883	1	6	13	20	0	865.3	Orig=25.6in|PTC=?|orig.time=15.00
1883	1	6	14	20	0	866.3	Orig=25.63in|PTC=?|orig.time=16.00
1883	1	6	15	20	0	866	Orig=25.62in|PTC=?|orig.time=17.00
1883	1	6	16	20	0	866.1	Orig=25.625in|PTC=?|orig.time=18.00
1883	1	6	17	20	0	866.3	Orig=25.63in|PTC=?|orig.time=19.00
1883	1	6	19	20	0	867.3	Orig=25.66in|PTC=?|orig.time=21.00
1883	1	6	21	20	0	868	Orig=25.68in|PTC=?|orig.time=23.00
1883	1	6	22	20	0	868.7	Orig=25.7in|PTC=?|orig.time=00.00
1883	1	7	4	20	0	867	Orig=25.65in|PTC=?|orig.time= 6.00
1883	1	7	7	20	0	867	Orig=25.65in|PTC=?|orig.time= 9.00
1883	1	7	10	20	0	866.1	Orig=25.625in|PTC=?|orig.time=12.00
1883	1	7	10	20	0	866.1	Orig=25.625in|PTC=?|orig.time=12.00
1883	1	7	11	20	0	865.3	Orig=25.6in|PTC=?|orig.time=13.00
1883	1	7	12	20	0	864.6	Orig=25.58in|PTC=?|orig.time=14.00
1883	1	7	14	20	0	863.3	Orig=25.54in|PTC=?|orig.time=16.00
1883	1	7	16	20	0	863.6	Orig=25.55in|PTC=?|orig.time=18.00
1883	1	7	19	20	0	865.3	Orig=25.6in|PTC=?|orig.time=21.00
1883	1	8	4	20	0	868	Orig=25.68in|PTC=?|orig.time= 6.00
1883	1	8	7	20	0	869.4	Orig=25.72in|PTC=?|orig.time= 9.00
1883	1	8	10	20	0	867.8	Orig=25.675in|PTC=?|orig.time=12.00
1883	1	8	11	20	0	867	Orig=25.65in|PTC=?|orig.time=13.00
1883	1	8	12	50	0	866.1	Orig=25.625in|PTC=?|orig.time=14.30
1883	1	8	13	20	0	866	Orig=25.62in|PTC=?|orig.time=15.00
1883	1	8	17	20	0	868.7	Orig=25.7in|PTC=?|orig.time=19.00
1883	1	8	19	20	0	867	Orig=25.65in|PTC=?|orig.time=21.00
1883	1	8	22	20	0	864.6	Orig=25.58in|PTC=?|orig.time=00.00
1883	1	9	4	20	0	869.5	Orig=25.725in|PTC=?|orig.time= 6.00
1883	1	9	6	20	0	870.4	Orig=25.75in|PTC=?|orig.time= 8.00
1883	1	9	7	20	0	869.9	Orig=25.735in|PTC=?|orig.time= 9.00
1883	1	9	10	20	0	867.8	Orig=25.675in|PTC=?|orig.time=12.00
1883	1	9	12	20	0	866.3	Orig=25.63in|PTC=?|orig.time=14.00
1883	1	9	12	50	0	866.1	Orig=25.625in|PTC=?|orig.time=14.30
1883	1	9	13	20	0	866.1	Orig=25.625in|PTC=?|orig.time=15.00
1883	1	9	16	20	0	866	Orig=25.62in|PTC=?|orig.time=18.00
1883	1	9	19	20	0	867	Orig=25.65in|PTC=?|orig.time=21.00
1883	1	10	4	20	0	867.3	Orig=25.66in|PTC=?|orig.time= 6.00
1883	1	10	7	20	0	867.3	Orig=25.66in|PTC=?|orig.time= 9.00
1883	1	10	11	20	0	866.1	Orig=25.625in|PTC=?|orig.time=13.00
1883	1	10	12	20	0	864.5	Orig=25.575in|PTC=?|orig.time=14.00
1883	1	10	12	50	0	864	Orig=25.56in|PTC=?|orig.time=14.30
1883	1	10	15	20	0	863.6	Orig=25.55in|PTC=?|orig.time=17.00
1883	1	10	16	20	0	864	Orig=25.56in|PTC=?|orig.time=18.00
1883	1	10	17	20	0	864	Orig=25.56in|PTC=?|orig.time=19.00
1883	1	10	18	20	0	864.3	Orig=25.57in|PTC=?|orig.time=20.00
1883	1	10	19	20	0	864	Orig=25.56in|PTC=?|orig.time=21.00
1883	1	11	4	20	0	864.5	Orig=25.575in|PTC=?|orig.time= 6.00
1883	1	11	7	20	0	864.5	Orig=25.575in|PTC=?|orig.time= 9.00
1883	1	11	10	20	0	863.3	Orig=25.54in|PTC=?|orig.time=12.00
1883	1	11	12	20	0	862.6	Orig=25.52in|PTC=?|orig.time=14.00
1883	1	11	13	20	0	861.2	Orig=25.48in|PTC=?|orig.time=15.00
1883	1	11	16	20	0	861.1	Orig=25.475in|PTC=?|orig.time=18.00
1883	1	11	19	20	0	862.9	Orig=25.53in|PTC=?|orig.time=21.00
1883	1	12	4	50	0	866	Orig=25.62in|PTC=?|orig.time=6.30
1883	1	12	5	20	0	866.1	Orig=25.625in|PTC=?|orig.time= 7.00
1883	1	12	7	20	0	866.3	Orig=25.63in|PTC=?|orig.time= 9.00
1883	1	12	11	20	0	866.3	Orig=25.63in|PTC=?|orig.time=13.00
1883	1	12	12	20	0	862.8	Orig=25.525in|PTC=?|orig.time=14.00
1883	1	12	12	50	0	865.3	Orig=25.6in|PTC=?|orig.time=14.30
1883	1	12	20	20	0	868	Orig=25.68in|PTC=?|orig.time=22.00
1883	1	13	5	20	0	870.7	Orig=25.76in|PTC=?|orig.time= 7.00
1883	1	13	7	20	0	870.7	Orig=25.76in|PTC=?|orig.time= 9.00
1883	1	13	11	20	0	869.5	Orig=25.725in|PTC=?|orig.time=13.00
1883	1	13	12	5	0	869.5	Orig=25.725in|PTC=?|orig.time=13.45
1883	1	13	17	5	0	868.7	Orig=25.7in|PTC=?|orig.time=18.45
1883	1	13	18	20	0	868.7	Orig=25.7in|PTC=?|orig.time=20.00
1883	1	13	19	20	0	869.4	Orig=25.72in|PTC=?|orig.time=21.00
1883	1	13	20	20	0	870.4	Orig=25.75in|PTC=?|orig.time=22.00
1883	1	14	4	20	0	870.7	Orig=25.76in|PTC=?|orig.time= 6.00
1883	1	14	7	20	0	870.7	Orig=25.76in|PTC=?|orig.time= 9.00
1883	1	14	11	20	0	868.7	Orig=25.7in|PTC=?|orig.time=13.00
1883	1	14	12	20	0	868.7	Orig=25.7in|PTC=?|orig.time=14.00
1883	1	14	16	20	0	866.7	Orig=25.64in|PTC=?|orig.time=18.00
1883	1	14	19	20	0	868	Orig=25.68in|PTC=?|orig.time=21.00
1883	1	15	5	20	0	868	Orig=25.68in|PTC=?|orig.time= 7.00
1883	1	15	7	20	0	868	Orig=25.68in|PTC=?|orig.time= 9.00
1883	1	15	10	20	0	863.3	Orig=25.54in|PTC=?|orig.time=12.00
1883	1	15	12	20	0	866	Orig=25.62in|PTC=?|orig.time=14.00
1883	1	15	12	50	0	864.6	Orig=25.58in|PTC=?|orig.time=14.30
1883	1	15	13	20	0	864	Orig=25.56in|PTC=?|orig.time=15.00
1883	1	15	16	20	0	864	Orig=25.56in|PTC=?|orig.time=18.00
1883	1	15	21	20	0	865.3	Orig=25.6in|PTC=?|orig.time=23.00
1883	1	15	22	20	0	862.8	Orig=25.525in|PTC=?|orig.time=00.00
1883	1	16	4	20	0	867	Orig=25.65in|PTC=?|orig.time= 6.00
1883	1	16	7	20	0	868	Orig=25.68in|PTC=?|orig.time= 9.00
1883	1	16	10	20	0	866.3	Orig=25.63in|PTC=?|orig.time=12.00
1883	1	16	12	20	0	866	Orig=25.62in|PTC=?|orig.time=14.00
1883	1	16	12	50	0	864.6	Orig=25.58in|PTC=?|orig.time=14.30
1883	1	16	13	20	0	864.6	Orig=25.58in|PTC=?|orig.time=15.00
1883	1	16	16	20	0	864.6	Orig=25.58in|PTC=?|orig.time=18.00
1883	1	16	22	20	0	862.6	Orig=25.52in|PTC=?|orig.time=00.00
1883	1	16	23	20	0	864.6	Orig=25.58in|PTC=?|orig.time= 1.00
1883	1	17	5	20	0	866.1	Orig=25.625in|PTC=?|orig.time= 7.00
1883	1	17	7	20	0	866.3	Orig=25.63in|PTC=?|orig.time= 9.00
1883	1	17	10	20	0	864.6	Orig=25.58in|PTC=?|orig.time=12.00
1883	1	17	12	20	0	863.3	Orig=25.54in|PTC=?|orig.time=14.00
1883	1	17	12	50	0	863.3	Orig=25.54in|PTC=?|orig.time=14.30
1883	1	17	15	20	0	862.6	Orig=25.52in|PTC=?|orig.time=17.00
1883	1	17	17	20	0	862.6	Orig=25.52in|PTC=?|orig.time=19.00
1883	1	18	4	20	0	862.9	Orig=25.53in|PTC=?|orig.time= 6.00
1883	1	18	6	20	0	864	Orig=25.56in|PTC=?|orig.time= 8.00
1883	1	18	7	20	0	864	Orig=25.56in|PTC=?|orig.time= 9.00
1883	1	18	10	20	0	862.8	Orig=25.525in|PTC=?|orig.time=12.00
1883	1	18	11	20	0	861.9	Orig=25.5in|PTC=?|orig.time=13.00
1883	1	18	12	20	0	861.1	Orig=25.475in|PTC=?|orig.time=14.00
1883	1	18	13	20	0	861.1	Orig=25.475in|PTC=?|orig.time=15.00
1883	1	18	16	20	0	861.1	Orig=25.475in|PTC=?|orig.time=18.00
1883	1	18	19	20	0	862.8	Orig=25.525in|PTC=?|orig.time=21.00
1883	1	18	22	20	0	864.5	Orig=25.575in|PTC=?|orig.time=00.00
1883	1	19	4	20	0	862.9	Orig=25.53in|PTC=?|orig.time= 6.00
1883	1	19	7	20	0	864	Orig=25.56in|PTC=?|orig.time= 9.00
1883	1	19	12	20	0	862.6	Orig=25.52in|PTC=?|orig.time=14.00
1883	1	19	12	50	0	861.2	Orig=25.48in|PTC=?|orig.time=14.30
1883	1	19	17	20	0	861.9	Orig=25.5in|PTC=?|orig.time=19.00
1883	1	19	19	20	0	863.6	Orig=25.55in|PTC=?|orig.time=21.00
1883	1	19	21	50	0	863.6	Orig=25.55in|PTC=?|orig.time=23.30
1883	1	20	7	20	0	865.3	Orig=25.6in|PTC=?|orig.time= 9.00
1883	1	20	12	20	0	862.8	Orig=25.525in|PTC=?|orig.time=14.00
1883	1	20	13	5	0	861.2	Orig=25.48in|PTC=?|orig.time=14.45
1883	1	20	16	20	0	861.6	Orig=25.49in|PTC=?|orig.time=18.00
1883	1	20	20	20	0	864.5	Orig=25.575in|PTC=?|orig.time=22.00
1883	1	20	21	50	0	864.5	Orig=25.575in|PTC=?|orig.time=23.30
1883	1	21	4	20	0	865.3	Orig=25.6in|PTC=?|orig.time= 6.00
1883	1	21	8	20	0	866.1	Orig=25.625in|PTC=?|orig.time=10.00
1883	1	21	10	20	0	862.6	Orig=25.52in|PTC=?|orig.time=12.00
1883	1	21	12	20	0	864.5	Orig=25.575in|PTC=?|orig.time=14.00
1883	1	21	12	50	0	864	Orig=25.56in|PTC=?|orig.time=14.30
1883	1	21	16	20	0	863.6	Orig=25.55in|PTC=?|orig.time=18.00
1883	1	21	19	20	0	865.3	Orig=25.6in|PTC=?|orig.time=21.00
1883	1	21	20	20	0	866	Orig=25.62in|PTC=?|orig.time=22.00
1883	1	22	0	45	0	866	Orig=25.62in|PTC=?|orig.time=2.25p
1883	1	22	5	20	0	864.3	Orig=25.57in|PTC=?|orig.time= 7.00
1883	1	22	7	20	0	864.6	Orig=25.58in|PTC=?|orig.time= 9.00
1883	1	22	8	20	0	867.8	Orig=25.675in|PTC=?|orig.time=10.00
1883	1	22	12	20	0	865.3	Orig=25.6in|PTC=?|orig.time=14.00
1883	1	22	16	20	0	864.5	Orig=25.575in|PTC=?|orig.time=18.00
1883	1	22	20	20	0	866	Orig=25.62in|PTC=?|orig.time=22.00
1883	1	22	21	20	0	866.1	Orig=25.625in|PTC=?|orig.time=23.00
1883	1	22	22	20	0	866.3	Orig=25.63in|PTC=?|orig.time=00.00
1883	1	23	6	20	0	868.7	Orig=25.7in|PTC=?|orig.time= 8.00
1883	1	23	7	20	0	869.7	Orig=25.73in|PTC=?|orig.time= 9.00
1883	1	23	8	20	0	868	Orig=25.68in|PTC=?|orig.time=10.00
1883	1	23	11	20	0	866.3	Orig=25.63in|PTC=?|orig.time=13.00
1883	1	23	12	5	0	866.5	Orig=25.635in|PTC=?|orig.time=13.45
1883	1	23	12	20	0	866.5	Orig=25.635in|PTC=?|orig.time=14.00
1883	1	23	12	35	0	866.5	Orig=25.635in|PTC=?|orig.time=14.15
1883	1	23	12	50	0	866.5	Orig=25.635in|PTC=?|orig.time=14.30
1883	1	23	18	20	0	866.5	Orig=25.635in|PTC=?|orig.time=20.00
1883	1	23	20	20	0	868	Orig=25.68in|PTC=?|orig.time=22.00
1883	1	24	7	20	0	869.7	Orig=25.73in|PTC=?|orig.time= 9.00
1883	1	24	11	20	0	869.4	Orig=25.72in|PTC=?|orig.time=13.00
1883	1	24	12	20	0	867.8	Orig=25.675in|PTC=?|orig.time=14.00
1883	1	24	12	50	0	867	Orig=25.65in|PTC=?|orig.time=14.30
1883	1	24	15	20	0	866.1	Orig=25.625in|PTC=?|orig.time=17.00
1883	1	24	19	50	0	866.7	Orig=25.64in|PTC=?|orig.time=21.30
1883	1	25	6	20	0	867.3	Orig=25.66in|PTC=?|orig.time= 8.00
1883	1	25	7	20	0	866.3	Orig=25.63in|PTC=?|orig.time= 9.00
1883	1	25	8	20	0	866.3	Orig=25.63in|PTC=?|orig.time=10.00
1883	1	25	12	20	0	864	Orig=25.56in|PTC=?|orig.time=14.00
1883	1	25	12	50	0	863.3	Orig=25.54in|PTC=?|orig.time=14.30
1883	1	25	16	20	0	863.3	Orig=25.54in|PTC=?|orig.time=18.00
1883	1	25	20	20	0	864.6	Orig=25.58in|PTC=?|orig.time=22.00
