SEF	1.0.0
ID	Kimberley
Name	Kimberley
Lat	-28.715
Lon	24.8375
Alt	1234
Source	C3S_SouthAfrica
Link	https://data-rescue.copernicus-climate.eu/lso/1086304
Vbl	tb
Stat	point
Units	C
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1883	1	1	2	20	0	18.3	Orig=65F|orig.time= 4.00
1883	1	1	6	20	0	20.6	Orig=69F|orig.time= 8.00
1883	1	1	7	20	0	20.8	Orig=69.5F|orig.time= 9.00
1883	1	1	10	20	0	20.3	Orig=68.5F|orig.time=12.00
1883	1	1	11	20	0	21.1	Orig=70F|orig.time=13.00
1883	1	1	12	20	0	21.2	Orig=70.2F|orig.time=14.00
1883	1	1	13	20	0	21.7	Orig=71F|orig.time=15.00
1883	1	1	14	20	0	21.3	Orig=70.3F|orig.time=16.00
1883	1	1	15	20	0	20.6	Orig=69F|orig.time=17.00
1883	1	1	16	20	0	18.6	Orig=65.5F|orig.time=18.00
1883	1	1	18	20	0	19.7	Orig=67.5F|orig.time=20.00
1883	1	1	19	20	0	19.4	Orig=67F|orig.time=21.00
1883	1	1	22	20	0	19.6	Orig=67.3F|orig.time=24.00
1883	1	2	0	5	0	19.4	Orig=67F|orig.time= 1.45
1883	1	2	5	20	0	20.6	Orig=69F|orig.time= 7.00
1883	1	2	7	20	0	21.1	Orig=70F|orig.time= 9.00
1883	1	2	9	20	0	21.7	Orig=71F|orig.time=11.00
1883	1	2	11	20	0	21.9	Orig=71.5F|orig.time=13.00
1883	1	2	12	20	0	21.1	Orig=70F|orig.time=14.00
1883	1	2	13	20	0	20.3	Orig=68.5F|orig.time=15.00
1883	1	2	14	20	0	19.4	Orig=67F|orig.time=16.00
1883	1	2	15	20	0	20.6	Orig=69F|orig.time=17.00
1883	1	2	16	20	0	18.6	Orig=65.5F|orig.time=18.00
1883	1	2	17	20	0	18.3	Orig=65F|orig.time=19.00
1883	1	2	19	20	0	19.7	Orig=67.5F|orig.time=21.00
1883	1	2	20	50	0	19.7	Orig=67.5F|orig.time=22.30
1883	1	2	21	20	0	20	Orig=68F|orig.time=23.00
1883	1	3	1	20	0	18.9	Orig=66F|orig.time= 3.00
1883	1	3	4	20	0	18.9	Orig=66F|orig.time= 6.00
1883	1	3	6	20	0	20.6	Orig=69F|orig.time= 8.00
1883	1	3	7	20	0	20.3	Orig=68.5F|orig.time= 9.00
1883	1	3	8	20	0	20.3	Orig=68.5F|orig.time=10.00
1883	1	3	9	20	0	18.3	Orig=65F|orig.time=11.00
1883	1	3	10	20	0	19.4	Orig=67F|orig.time=12.00
1883	1	3	12	20	0	18.3	Orig=65F|orig.time=14.00
1883	1	3	12	50	0	17.2	Orig=63F|orig.time=14.30
1883	1	3	16	20	0	15.6	Orig=60F|orig.time=18.00
1883	1	3	19	20	0	15.7	Orig=60.2F|orig.time=21.00
1883	1	4	1	20	0	15.6	Orig=60F|orig.time= 3.00
1883	1	4	4	20	0	15.8	Orig=60.5F|orig.time= 6.00
1883	1	4	6	20	0	16.4	Orig=61.5F|orig.time= 8.00
1883	1	4	7	20	0	15.8	Orig=60.5F|orig.time= 9.00
1883	1	4	8	20	0	16	Orig=60.8F|orig.time=10.00
1883	1	4	9	20	0	17.2	Orig=63F|orig.time=11.00
1883	1	4	10	20	0	17.4	Orig=63.2F|orig.time=12.00
1883	1	4	14	20	0	18.6	Orig=65.5F|orig.time=16.00
1883	1	4	15	20	0	19.2	Orig=66.5F|orig.time=17.00
1883	1	4	16	20	0	18.9	Orig=66F|orig.time=18.00
1883	1	4	19	20	0	17.1	Orig=62.8F|orig.time=21.00
1883	1	4	20	20	0	16.7	Orig=62F|orig.time=22.00
1883	1	4	21	20	0	16.4	Orig=61.5F|orig.time=23.00
1883	1	4	23	20	0	15.3	Orig=59.5F|orig.time= 1.00
1883	1	5	0	20	0	16.4	Orig=61.5F|orig.time= 2.00
1883	1	5	4	20	0	16.9	Orig=62.5F|orig.time= 6.00
1883	1	5	6	20	0	18.1	Orig=64.5F|orig.time= 8.00
1883	1	5	7	20	0	19.7	Orig=67.5F|orig.time= 9.00
1883	1	5	8	20	0	20.8	Orig=69.5F|orig.time=10.00
1883	1	5	11	20	0	21.4	Orig=70.5F|orig.time=13.00
1883	1	5	12	20	0	21.7	Orig=71F|orig.time=14.00
1883	1	5	12	50	0	21.8	Orig=71.2F|orig.time=14.30
1883	1	5	13	50	0	18.1	Orig=64.5F|orig.time=15.30
1883	1	5	15	20	0	20.6	Orig=69F|orig.time=17.00
1883	1	5	16	20	0	20.3	Orig=68.5F|orig.time=18.00
1883	1	5	17	20	0	19.7	Orig=67.5F|orig.time=19.00
1883	1	5	19	20	0	19.4	Orig=67F|orig.time=21.00
1883	1	5	21	20	0	19.2	Orig=66.5F|orig.time=23.00
1883	1	6	3	20	0	17.8	Orig=64F|orig.time= 5.00
1883	1	6	4	20	0	18.1	Orig=64.5F|orig.time= 6.00
1883	1	6	7	20	0	21.1	Orig=70F|orig.time= 9.00
1883	1	6	8	20	0	18.9	Orig=66F|orig.time=10.00
1883	1	6	11	20	0	21.4	Orig=70.5F|orig.time=13.00
1883	1	6	13	20	0	20.6	Orig=69F|orig.time=15.00
1883	1	6	14	20	0	19.4	Orig=67F|orig.time=16.00
1883	1	6	15	20	0	20.3	Orig=68.5F|orig.time=17.00
1883	1	6	16	20	0	19.4	Orig=67F|orig.time=18.00
1883	1	6	17	20	0	19.2	Orig=66.5F|orig.time=19.00
1883	1	6	19	20	0	17.8	Orig=64F|orig.time=21.00
1883	1	6	21	20	0	16.9	Orig=62.5F|orig.time=23.00
1883	1	6	22	20	0	18.3	Orig=65F|orig.time=00.00
1883	1	7	4	20	0	16.4	Orig=61.5F|orig.time= 6.00
1883	1	7	7	20	0	16.1	Orig=61F|orig.time= 9.00
1883	1	7	10	20	0	20.8	Orig=69.5F|orig.time=12.00
1883	1	7	10	20	0	19.2	Orig=66.5F|orig.time=12.00
1883	1	7	11	20	0	21.1	Orig=70F|orig.time=13.00
1883	1	7	12	20	0	20	Orig=68F|orig.time=14.00
1883	1	7	14	20	0	20	Orig=68F|orig.time=16.00
1883	1	7	16	20	0	18.9	Orig=66F|orig.time=18.00
1883	1	7	19	20	0	17.2	Orig=63F|orig.time=21.00
1883	1	8	4	20	0	18.3	Orig=65F|orig.time= 6.00
1883	1	8	7	20	0	21.1	Orig=70F|orig.time= 9.00
1883	1	8	10	20	0	22.2	Orig=72F|orig.time=12.00
1883	1	8	11	20	0	21.7	Orig=71F|orig.time=13.00
1883	1	8	12	50	0	22.2	Orig=72F|orig.time=14.30
1883	1	8	13	20	0	21.1	Orig=70F|orig.time=15.00
1883	1	8	17	20	0	19.2	Orig=66.5F|orig.time=19.00
1883	1	8	19	20	0	18.6	Orig=65.5F|orig.time=21.00
1883	1	8	22	20	0	16.1	Orig=61F|orig.time=00.00
1883	1	9	4	20	0	18.1	Orig=64.5F|orig.time= 6.00
1883	1	9	6	20	0	19.4	Orig=67F|orig.time= 8.00
1883	1	9	7	20	0	20.3	Orig=68.5F|orig.time= 9.00
1883	1	9	10	20	0	21.9	Orig=71.5F|orig.time=12.00
1883	1	9	12	20	0	21.1	Orig=70F|orig.time=14.00
1883	1	9	12	50	0	18.9	Orig=66F|orig.time=14.30
1883	1	9	13	20	0	18.6	Orig=65.5F|orig.time=15.00
1883	1	9	16	20	0	17.8	Orig=64F|orig.time=18.00
1883	1	9	19	20	0	18.1	Orig=64.5F|orig.time=21.00
1883	1	10	4	20	0	17.2	Orig=63F|orig.time= 6.00
1883	1	10	7	20	0	20	Orig=68F|orig.time= 9.00
1883	1	10	11	20	0	21.1	Orig=70F|orig.time=13.00
1883	1	10	12	20	0	21.4	Orig=70.5F|orig.time=14.00
1883	1	10	12	50	0	20.8	Orig=69.5F|orig.time=14.30
1883	1	10	15	20	0	18.9	Orig=66F|orig.time=17.00
1883	1	10	16	20	0	18.1	Orig=64.5F|orig.time=18.00
1883	1	10	17	20	0	16.9	Orig=62.5F|orig.time=19.00
1883	1	10	18	20	0	16.4	Orig=61.5F|orig.time=20.00
1883	1	10	19	20	0	15.8	Orig=60.5F|orig.time=21.00
1883	1	11	4	20	0	13.9	Orig=57F|orig.time= 6.00
1883	1	11	7	20	0	18.6	Orig=65.5F|orig.time= 9.00
1883	1	11	10	20	0	19.2	Orig=66.5F|orig.time=12.00
1883	1	11	12	20	0	20.6	Orig=69F|orig.time=14.00
1883	1	11	13	20	0	20	Orig=68F|orig.time=15.00
1883	1	11	16	20	0	18.1	Orig=64.5F|orig.time=18.00
1883	1	11	19	20	0	16.1	Orig=61F|orig.time=21.00
1883	1	12	4	50	0	17.8	Orig=64F|orig.time=6.30
1883	1	12	5	20	0	17.2	Orig=63F|orig.time= 7.00
1883	1	12	7	20	0	16.8	Orig=62.2F|orig.time= 9.00
1883	1	12	11	20	0	18.9	Orig=66F|orig.time=13.00
1883	1	12	12	20	0	19.2	Orig=66.5F|orig.time=14.00
1883	1	12	12	50	0	18.9	Orig=66F|orig.time=14.30
1883	1	12	20	20	0	16.4	Orig=61.5F|orig.time=22.00
1883	1	13	5	20	0	16.1	Orig=61F|orig.time= 7.00
1883	1	13	7	20	0	17.8	Orig=64F|orig.time= 9.00
