SEF	1.0.0
ID	Kimberley
Name	Kimberley
Lat	-28.715
Lon	24.8375
Alt	1234
Source	C3S_SouthAfrica
Link	https://data-rescue.copernicus-climate.eu/lso/1086306
Vbl	Tn
Stat	minimum
Units	C
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1883	1	1	2	20	p1day	18.1	Orig=64.5F|orig.time= 4.00
1883	1	1	11	20	p1day	30	Orig=86F|orig.time=13.00
1883	1	1	12	20	p1day	50	Orig=122F|orig.time=14.00
1883	1	1	18	20	p1day	25.6	Orig=78F|orig.time=20.00
1883	1	1	22	20	p1day	22.8	Orig=73F|orig.time=24.00
1883	1	2	0	5	p1day	25.6	Orig=78F|orig.time= 1.45
1883	4	29	6	20	p1day	4.6	Orig=40.2F|orig.time= 8.00
1883	4	29	7	20	p1day	9	Orig=48.2F|orig.time= 9.00
1883	4	29	9	20	p1day	7.2	Orig=45F|orig.time=11.00
1883	4	29	10	20	p1day	7.2	Orig=45F|orig.time=12.00
1883	4	29	11	20	p1day	8.1	Orig=46.5F|orig.time=13.00
1883	4	29	12	20	p1day	7.8	Orig=46F|orig.time=14.00
1883	4	29	13	20	p1day	7.9	Orig=46.2F|orig.time=15.00
1883	4	29	16	20	p1day	6.8	Orig=44.2F|orig.time=18.00
1883	4	29	18	20	p1day	5	Orig=41F|orig.time=20.00
1883	4	30	0	20	p1day	3.6	Orig=38.5F|orig.time= 2.00
1883	4	30	5	50	p1day	4.4	Orig=40F|orig.time= 7.30
1883	4	30	6	20	p1day	5.6	Orig=42F|orig.time= 8.00
1883	4	30	7	20	p1day	7.1	Orig=44.8F|orig.time= 9.00
1883	4	30	11	20	p1day	10.3	Orig=50.5F|orig.time=13.00
1883	4	30	12	20	p1day	10.3	Orig=50.5F|orig.time=14.00
1883	4	30	13	20	p1day	10.8	Orig=51.5F|orig.time=15.00
1883	4	30	16	20	p1day	8.3	Orig=47F|orig.time=18.00
1883	4	30	17	20	p1day	7.5	Orig=45.5F|orig.time=19.00
1883	4	30	18	20	p1day	6.9	Orig=44.5F|orig.time=20.00
1883	5	1	5	20	p1day	6.4	Orig=43.5F|orig.time= 7.00
1883	5	1	6	20	p1day	7.8	Orig=46F|orig.time= 8.00
1883	5	1	7	20	p1day	8.9	Orig=48F|orig.time= 9.00
1883	5	1	8	10	p1day	10	Orig=50F|orig.time= 9.50
1883	5	1	11	20	p1day	12.2	Orig=54F|orig.time=13.00
1883	5	1	12	20	p1day	13.6	Orig=56.5F|orig.time=14.00
1883	5	1	13	0	p1day	13.3	Orig=56F|orig.time=14.40
1883	5	1	16	20	p1day	9.2	Orig=48.5F|orig.time=18.00
1883	5	1	23	50	p1day	7.8	Orig=46F|orig.time= 1.30
1883	5	2	5	20	p1day	7.2	Orig=45F|orig.time= 7.00
1883	5	2	6	20	p1day	8.6	Orig=47.5F|orig.time= 8.00
1883	5	2	7	20	p1day	9.7	Orig=49.5F|orig.time= 9.00
1883	5	2	11	50	p1day	13.3	Orig=56F|orig.time=13.30
1883	5	2	12	20	p1day	13.3	Orig=56F|orig.time=14.00
