SEF	0.0.1
ID	Kimberley
Name	Kimberley
Lat	-28.715
Lon	24.8375
Alt	1234
Source	C3S_SouthAfrica
Repo	
Var	p
Units	Pa
Meta	PTC=T,PGC=T
Year	Month	Day	HHMM	TimeF	Value	Meta
1883	1	1	0220	0	86868	Orig=25.7in,PTC=?
1883	1	1	1020	0	86953	Orig=25.725in,PTC=?
1883	1	1	1120	0	86868	Orig=25.7in,PTC=?
1883	1	1	1320	0	86733	Orig=25.66in,PTC=?
1883	1	1	1420	0	86699	Orig=25.65in,PTC=?
1883	1	1	1520	0	86699	Orig=25.65in,PTC=?
1883	1	1	1820	0	86699	Orig=25.65in,PTC=?
1883	1	1	1920	0	86868	Orig=25.7in,PTC=?
1883	1	1	2220	0	86784	Orig=25.675in,PTC=?
1883	1	2	0005	0	86801	Orig=25.68in,PTC=?
1883	1	2	0520	0	86733	Orig=25.66in,PTC=?
1883	1	2	1120	0	86598	Orig=25.62in,PTC=?
1883	1	2	1220	0	86699	Orig=25.65in,PTC=?
1883	1	2	1320	0	86192	Orig=25.5in,PTC=?
1883	1	2	1620	0	86463	Orig=25.58in,PTC=?
1883	1	2	1720	0	86530	Orig=25.6in,PTC=?
1883	1	2	1920	0	86615	Orig=25.625in,PTC=?
1883	1	2	2050	0	86632	Orig=25.63in,PTC=?
1883	1	3	0120	0	86615	Orig=25.625in,PTC=?
1883	1	3	0420	0	86666	Orig=25.64in,PTC=?
1883	1	3	0620	0	86733	Orig=25.66in,PTC=?
1883	1	3	0720	0	86733	Orig=25.66in,PTC=?
1883	1	3	0820	0	86699	Orig=25.65in,PTC=?
1883	1	3	0920	0	86642	Orig=25.633in,PTC=?
1883	1	3	1020	0	86642	Orig=25.633in,PTC=?
1883	1	3	1220	0	86615	Orig=25.625in,PTC=?
1883	1	3	1250	0	86598	Orig=25.62in,PTC=?
1883	1	3	1620	0	86615	Orig=25.625in,PTC=?
1883	1	3	1920	0	86615	Orig=25.625in,PTC=?
1883	1	4	0120	0	86801	Orig=25.68in,PTC=?
1883	1	4	0420	0	87004	Orig=25.74in,PTC=?
1883	1	4	0620	0	87037	Orig=25.75in,PTC=?
1883	1	4	0720	0	87037	Orig=25.75in,PTC=?
1883	1	4	0820	0	87004	Orig=25.74in,PTC=?
1883	1	4	0920	0	86970	Orig=25.73in,PTC=?
1883	1	4	1020	0	86953	Orig=25.725in,PTC=?
1883	1	4	1420	0	86733	Orig=25.66in,PTC=?
1883	1	4	1520	0	86733	Orig=25.66in,PTC=?
1883	1	4	1620	0	86733	Orig=25.66in,PTC=?
1883	1	4	1920	0	86801	Orig=25.68in,PTC=?
1883	1	4	2020	0	86868	Orig=25.7in,PTC=?
1883	1	4	2120	0	86868	Orig=25.7in,PTC=?
1883	1	4	2320	0	86801	Orig=25.68in,PTC=?
1883	1	5	0020	0	86784	Orig=25.675in,PTC=?
1883	1	5	0420	0	86953	Orig=25.725in,PTC=?
1883	1	5	0620	0	86970	Orig=25.73in,PTC=?
1883	1	5	0720	0	86970	Orig=25.73in,PTC=?
1883	1	5	0820	0	86970	Orig=25.73in,PTC=?
1883	1	5	1120	0	86801	Orig=25.68in,PTC=?
1883	1	5	1220	0	86801	Orig=25.68in,PTC=?
1883	1	5	1250	0	86784	Orig=25.675in,PTC=?
1883	1	5	1350	0	86801	Orig=25.68in,PTC=?
1883	1	5	1520	0	86699	Orig=25.65in,PTC=?
1883	1	5	1620	0	86632	Orig=25.63in,PTC=?
1883	1	5	1720	0	86699	Orig=25.65in,PTC=?
1883	1	5	1920	0	86784	Orig=25.675in,PTC=?
1883	1	5	2120	0	86801	Orig=25.68in,PTC=?
1883	1	6	0320	0	86868	Orig=25.7in,PTC=?
1883	1	6	0420	0	86902	Orig=25.71in,PTC=?
1883	1	6	0720	0	86936	Orig=25.72in,PTC=?
1883	1	6	0820	0	86953	Orig=25.725in,PTC=?
1883	1	6	1120	0	86699	Orig=25.65in,PTC=?
1883	1	6	1320	0	86530	Orig=25.6in,PTC=?
1883	1	6	1420	0	86632	Orig=25.63in,PTC=?
1883	1	6	1520	0	86598	Orig=25.62in,PTC=?
1883	1	6	1620	0	86615	Orig=25.625in,PTC=?
1883	1	6	1720	0	86632	Orig=25.63in,PTC=?
1883	1	6	1920	0	86733	Orig=25.66in,PTC=?
1883	1	6	2120	0	86801	Orig=25.68in,PTC=?
1883	1	6	2220	0	86868	Orig=25.7in,PTC=?
1883	1	7	0420	0	86699	Orig=25.65in,PTC=?
1883	1	7	0720	0	86699	Orig=25.65in,PTC=?
1883	1	7	1020	0	86615	Orig=25.625in,PTC=?
1883	1	7	1020	0	86615	Orig=25.625in,PTC=?
1883	1	7	1120	0	86530	Orig=25.6in,PTC=?
1883	1	7	1220	0	86463	Orig=25.58in,PTC=?
1883	1	7	1420	0	86328	Orig=25.54in,PTC=?
1883	1	7	1620	0	86361	Orig=25.55in,PTC=?
1883	1	7	1920	0	86530	Orig=25.6in,PTC=?
1883	1	8	0420	0	86801	Orig=25.68in,PTC=?
1883	1	8	0720	0	86936	Orig=25.72in,PTC=?
1883	1	8	1020	0	86784	Orig=25.675in,PTC=?
1883	1	8	1120	0	86699	Orig=25.65in,PTC=?
1883	1	8	1250	0	86615	Orig=25.625in,PTC=?
1883	1	8	1320	0	86598	Orig=25.62in,PTC=?
1883	1	8	1720	0	86868	Orig=25.7in,PTC=?
1883	1	8	1920	0	86699	Orig=25.65in,PTC=?
1883	1	8	2220	0	86463	Orig=25.58in,PTC=?
1883	1	9	0420	0	86953	Orig=25.725in,PTC=?
1883	1	9	0620	0	87037	Orig=25.75in,PTC=?
1883	1	9	0720	0	86987	Orig=25.735in,PTC=?
1883	1	9	1020	0	86784	Orig=25.675in,PTC=?
1883	1	9	1220	0	86632	Orig=25.63in,PTC=?
1883	1	9	1250	0	86615	Orig=25.625in,PTC=?
1883	1	9	1320	0	86615	Orig=25.625in,PTC=?
1883	1	9	1620	0	86598	Orig=25.62in,PTC=?
1883	1	9	1920	0	86699	Orig=25.65in,PTC=?
1883	1	10	0420	0	86733	Orig=25.66in,PTC=?
1883	1	10	0720	0	86733	Orig=25.66in,PTC=?
1883	1	10	1120	0	86615	Orig=25.625in,PTC=?
1883	1	10	1220	0	86446	Orig=25.575in,PTC=?
1883	1	10	1250	0	86395	Orig=25.56in,PTC=?
1883	1	10	1520	0	86361	Orig=25.55in,PTC=?
1883	1	10	1620	0	86395	Orig=25.56in,PTC=?
1883	1	10	1720	0	86395	Orig=25.56in,PTC=?
1883	1	10	1820	0	86429	Orig=25.57in,PTC=?
1883	1	10	1920	0	86395	Orig=25.56in,PTC=?
1883	1	11	0420	0	86446	Orig=25.575in,PTC=?
1883	1	11	0720	0	86446	Orig=25.575in,PTC=?
1883	1	11	1020	0	86328	Orig=25.54in,PTC=?
1883	1	11	1220	0	86260	Orig=25.52in,PTC=?
1883	1	11	1320	0	86125	Orig=25.48in,PTC=?
1883	1	11	1620	0	86108	Orig=25.475in,PTC=?
1883	1	11	1920	0	86294	Orig=25.53in,PTC=?
1883	1	12	0450	0	86598	Orig=25.62in,PTC=?
1883	1	12	0520	0	86615	Orig=25.625in,PTC=?
1883	1	12	0720	0	86632	Orig=25.63in,PTC=?
1883	1	12	1120	0	86632	Orig=25.63in,PTC=?
1883	1	12	1220	0	86277	Orig=25.525in,PTC=?
1883	1	12	1250	0	86530	Orig=25.6in,PTC=?
1883	1	12	2020	0	86801	Orig=25.68in,PTC=?
1883	1	13	0520	0	87071	Orig=25.76in,PTC=?
1883	1	13	0720	0	87071	Orig=25.76in,PTC=?
1883	1	13	1120	0	86953	Orig=25.725in,PTC=?
1883	1	13	1205	0	86953	Orig=25.725in,PTC=?
1883	1	13	1705	0	86868	Orig=25.7in,PTC=?
1883	1	13	1820	0	86868	Orig=25.7in,PTC=?
1883	1	13	1920	0	86936	Orig=25.72in,PTC=?
1883	1	13	2020	0	87037	Orig=25.75in,PTC=?
1883	1	14	0420	0	87071	Orig=25.76in,PTC=?
1883	1	14	0720	0	87071	Orig=25.76in,PTC=?
1883	1	14	1120	0	86868	Orig=25.7in,PTC=?
1883	1	14	1220	0	86868	Orig=25.7in,PTC=?
1883	1	14	1620	0	86666	Orig=25.64in,PTC=?
1883	1	14	1920	0	86801	Orig=25.68in,PTC=?
1883	1	15	0520	0	86801	Orig=25.68in,PTC=?
1883	1	15	0720	0	86801	Orig=25.68in,PTC=?
1883	1	15	1020	0	86328	Orig=25.54in,PTC=?
1883	1	15	1220	0	86598	Orig=25.62in,PTC=?
1883	1	15	1250	0	86463	Orig=25.58in,PTC=?
1883	1	15	1320	0	86395	Orig=25.56in,PTC=?
1883	1	15	1620	0	86395	Orig=25.56in,PTC=?
1883	1	15	2120	0	86530	Orig=25.6in,PTC=?
1883	1	15	2220	0	86277	Orig=25.525in,PTC=?
1883	1	16	0420	0	86699	Orig=25.65in,PTC=?
1883	1	16	0720	0	86801	Orig=25.68in,PTC=?
1883	1	16	1020	0	86632	Orig=25.63in,PTC=?
1883	1	16	1220	0	86598	Orig=25.62in,PTC=?
1883	1	16	1250	0	86463	Orig=25.58in,PTC=?
1883	1	16	1320	0	86463	Orig=25.58in,PTC=?
1883	1	16	1620	0	86463	Orig=25.58in,PTC=?
1883	1	16	2220	0	86260	Orig=25.52in,PTC=?
1883	1	16	2320	0	86463	Orig=25.58in,PTC=?
1883	1	17	0520	0	86615	Orig=25.625in,PTC=?
1883	1	17	0720	0	86632	Orig=25.63in,PTC=?
1883	1	17	1020	0	86463	Orig=25.58in,PTC=?
1883	1	17	1220	0	86328	Orig=25.54in,PTC=?
1883	1	17	1250	0	86328	Orig=25.54in,PTC=?
1883	1	17	1520	0	86260	Orig=25.52in,PTC=?
1883	1	17	1720	0	86260	Orig=25.52in,PTC=?
1883	1	18	0420	0	86294	Orig=25.53in,PTC=?
1883	1	18	0620	0	86395	Orig=25.56in,PTC=?
1883	1	18	0720	0	86395	Orig=25.56in,PTC=?
1883	1	18	1020	0	86277	Orig=25.525in,PTC=?
1883	1	18	1120	0	86192	Orig=25.5in,PTC=?
1883	1	18	1220	0	86108	Orig=25.475in,PTC=?
1883	1	18	1320	0	86108	Orig=25.475in,PTC=?
1883	1	18	1620	0	86108	Orig=25.475in,PTC=?
1883	1	18	1920	0	86277	Orig=25.525in,PTC=?
1883	1	18	2220	0	86446	Orig=25.575in,PTC=?
1883	1	19	0420	0	86294	Orig=25.53in,PTC=?
1883	1	19	0720	0	86395	Orig=25.56in,PTC=?
1883	1	19	1220	0	86260	Orig=25.52in,PTC=?
1883	1	19	1250	0	86125	Orig=25.48in,PTC=?
1883	1	19	1720	0	86192	Orig=25.5in,PTC=?
1883	1	19	1920	0	86361	Orig=25.55in,PTC=?
1883	1	19	2150	0	86361	Orig=25.55in,PTC=?
1883	1	20	0720	0	86530	Orig=25.6in,PTC=?
1883	1	20	1220	0	86277	Orig=25.525in,PTC=?
1883	1	20	1305	0	86125	Orig=25.48in,PTC=?
1883	1	20	1620	0	86159	Orig=25.49in,PTC=?
1883	1	20	2020	0	86446	Orig=25.575in,PTC=?
1883	1	20	2150	0	86446	Orig=25.575in,PTC=?
1883	1	21	0420	0	86530	Orig=25.6in,PTC=?
1883	1	21	0820	0	86615	Orig=25.625in,PTC=?
1883	1	21	1020	0	86260	Orig=25.52in,PTC=?
1883	1	21	1220	0	86446	Orig=25.575in,PTC=?
1883	1	21	1250	0	86395	Orig=25.56in,PTC=?
1883	1	21	1620	0	86361	Orig=25.55in,PTC=?
1883	1	21	1920	0	86530	Orig=25.6in,PTC=?
1883	1	21	2020	0	86598	Orig=25.62in,PTC=?
1883	1	22	0045	0	86598	Orig=25.62in,PTC=?
1883	1	22	0520	0	86429	Orig=25.57in,PTC=?
1883	1	22	0720	0	86463	Orig=25.58in,PTC=?
1883	1	22	0820	0	86784	Orig=25.675in,PTC=?
1883	1	22	1220	0	86530	Orig=25.6in,PTC=?
1883	1	22	1620	0	86446	Orig=25.575in,PTC=?
1883	1	22	2020	0	86598	Orig=25.62in,PTC=?
