SEF	1.0.0
ID	Kimberley
Name	Kimberley
Lat	-28.715
Lon	24.8375
Alt	1234
Source	C3S_SouthAfrica
Link	https://data-rescue.copernicus-climate.eu/lso/1086308
Vbl	wind_force
Stat	point
Units	
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1885	12	31	23	20	0	3	Orig=3|orig.time= 1.00
1886	1	1	6	20	0	3	Orig=3|orig.time= 8.00
1886	1	1	6	45	0	3	Orig=3|orig.time= 8.25
1886	1	1	7	20	0	3	Orig=3|orig.time= 9.00
1886	1	1	8	20	0	2	Orig=2|orig.time=10.00
1886	1	1	12	20	0	2	Orig=2|orig.time=14.00
1886	1	1	18	20	0	2	Orig=2|orig.time=20.00
1886	1	1	20	20	0	1	Orig=1|orig.time=22.00
1886	1	2	6	20	0	3	Orig=3|orig.time= 8.00
1886	1	2	6	45	0	3	Orig=3|orig.time= 8.25
1886	1	2	7	20	0	3	Orig=3|orig.time= 9.00
1886	1	2	8	20	0	1	Orig=1|orig.time=10.00
1886	1	2	12	20	0	1	Orig=1|orig.time=14.00
1886	1	2	18	20	0	0	Orig=0|orig.time=20.00
1886	1	2	19	20	0	0	Orig=0|orig.time=21.00
1886	1	3	6	20	0	1	Orig=1|orig.time= 8.00
1886	1	3	7	20	0	2	Orig=2|orig.time= 9.00
1886	1	3	8	20	0	2	Orig=2|orig.time=10.00
1886	1	3	12	20	0	2	Orig=2|orig.time=14.00
1886	1	3	18	20	0	0	Orig=0|orig.time=20.00
1886	1	3	19	20	0	2	Orig=2|orig.time=21.00
1886	1	4	6	20	0	2	Orig=2|orig.time= 8.00
1886	1	4	6	45	0	2	Orig=2|orig.time= 8.25
1886	1	4	7	45	0	2	Orig=2|orig.time= 9.25
1886	1	4	8	45	0	3	Orig=3|orig.time=10.25
1886	1	4	12	20	0	5	Orig=5|orig.time=14.00
1886	1	4	18	20	0	3	Orig=3|orig.time=20.00
1886	1	4	19	20	0	2	Orig=2|orig.time=21.00
1886	1	5	6	20	0	2	Orig=2|orig.time= 8.00
1886	1	5	6	45	0	2	Orig=2|orig.time= 8.25
1886	1	5	7	20	0	2	Orig=2|orig.time= 9.00
1886	1	5	8	20	0	1	Orig=1|orig.time=10.00
1886	1	5	12	20	0	2	Orig=2|orig.time=14.00
1886	1	5	18	20	0	3	Orig=3|orig.time=20.00
1886	1	5	19	20	0	3	Orig=3|orig.time=21.00
1886	1	6	6	20	0	4	Orig=4|orig.time= 8.00
1886	1	6	6	45	0	4	Orig=4|orig.time= 8.25
1886	1	6	7	20	0	4	Orig=4|orig.time= 9.00
1886	1	6	8	20	0	4	Orig=4|orig.time=10.00
1886	1	6	12	20	0	4	Orig=4|orig.time=14.00
1886	1	6	18	20	0	3	Orig=3|orig.time=20.00
1886	1	6	19	20	0	2	Orig=2|orig.time=21.00
1886	1	6	22	20	0	4	Orig=4|orig.time=00.00
1886	1	7	6	20	0	4	Orig=4|orig.time= 8.00
1886	1	7	6	45	0	3	Orig=3|orig.time= 8.25
1886	1	7	7	20	0	3	Orig=3|orig.time= 9.00
1886	1	7	8	20	0	3	Orig=3|orig.time=10.00
1886	1	7	12	20	0	2	Orig=2|orig.time=14.00
1886	1	7	18	20	0	3	Orig=3|orig.time=20.00
1886	1	7	19	20	0	2	Orig=2|orig.time=21.00
1886	1	7	20	20	0	3	Orig=3|orig.time=22.00
1886	1	7	22	20	0	3	Orig=3|orig.time=00.00
1886	1	8	6	20	0	4	Orig=4|orig.time= 8.00
1886	1	8	6	45	0	4	Orig=4|orig.time= 8.25
1886	1	8	7	20	0	4	Orig=4|orig.time= 9.00
1886	1	8	8	20	0	4	Orig=4|orig.time=10.00
1886	1	8	12	20	0	3	Orig=3|orig.time=14.00
1886	1	8	18	20	0	3	Orig=3|orig.time=20.00
1886	1	8	19	20	0	3	Orig=3|orig.time=21.00
1886	1	8	22	20	0	3	Orig=3|orig.time=00.00
1886	1	9	6	20	0	3	Orig=3|orig.time= 8.00
1886	1	9	6	45	0	3	Orig=3|orig.time= 8.25
1886	1	9	7	45	0	3	Orig=3|orig.time= 9.25
1886	1	9	8	45	0	3	Orig=3|orig.time=10.25
1886	1	9	12	45	0	3	Orig=3|orig.time=14.25
