SEF	0.0.1
ID	Kimberley
Name	Kimberley
Lat	-28.715
Lon	24.8375
Alt	1234
Source	C3S_SouthAfrica
Repo	
Var	rr
Units	mm
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1886	1	9		4	2.1	Orig=0.08096in
1886	1	10		4	0	Orig=0in
1886	1	11		4	0	Orig=0in
1886	1	12		4	0	Orig=0in
1886	1	13		4	0	Orig=0in
1886	1	15		4	2.2	Orig=0.08695in
1886	1	16		4	0.7	Orig=0.02781in
1886	1	17		4	9.1	Orig=0.35839in
1886	1	17		4	16.6	Orig=0.6551in
1886	1	19		4	0	Orig=0in
1886	1	20		4	0	Orig=0in
1886	1	21		4	0	Orig=0in
1886	1	22		4	2.6	Orig=0.10325in
1886	1	23		4	0	Orig=0in
1886	1	24		4	0.2	Orig=0.0088in
1886	1	25		4	0	Orig=0in
1886	1	26		4	0	Orig=0in
1886	1	27		4	0	Orig=0in
1886	1	28		4	0	Orig=0in
1886	1	29		4	2.1	Orig=0.08096in
1886	1	30		4	0	Orig=0in
1886	1	31		4	0	Orig=0in
1886	2	1		4	0	Orig=0in
1886	2	2		4	0	Orig=0in
1886	2	3		4	0	Orig=0in
1886	2	4		4	0	Orig=0in
1886	2	5		4	0	Orig=0in
1886	2	6		4	0.6	Orig=0.025in
1886	2	8		4	0	Orig=0in
1886	2	9		4	0	Orig=0in
1886	2	10		4	0	Orig=0in
1886	2	11		4	2.4	Orig=0.09295in
1886	2	12		4	0	Orig=0in
1886	2	13		4	3.5	Orig=0.13706in
1886	2	14		4	0.6	Orig=0.02358in
1886	2	15		4	0	Orig=0in
1886	2	16		4	5.3	Orig=0.20982in
1886	2	17		4	0	Orig=0in
1886	2	18		4	0	Orig=0in
1886	2	19		4	3	Orig=0.119in
1886	2	20		4	0.2	Orig=0.00957in
1886	2	22		4	0	Orig=0in
1886	2	23		4	0	Orig=0in
1886	2	24		4	0	Orig=0in
1886	2	25		4	0.2	Orig=0.0074in
1886	2	26		4	0	Orig=0in
1886	2	27		4	23.4	Orig=0.92102in
1886	2	28		4	0	Orig=0in
1886	3	1		4	0	Orig=0in
1886	3	2		4	0	Orig=0in
1886	3	3		4	0.1	Orig=0.00282in
1886	3	4		4	25.4	Orig=1.00123in
1886	3	5		4	32.9	Orig=1.29413in
1886	3	6		4	5.3	Orig=0.2077in
1886	3	7		4	0.4	Orig=0.01453in
1886	3	8		4	0.8	Orig=0.03098in
1886	3	9		4	4.2	Orig=0.16581in
1886	3	10		4	0.5	Orig=0.02077in
1886	3	11		4	0	Orig=0in
1886	3	12		4	0	Orig=0in
1886	3	13		4	0	Orig=0in
1886	3	14		4	0	Orig=0in
1886	3	15		4	0	Orig=0in
1886	3	16		4	0	Orig=0in
1886	3	17		4	0	Orig=0in
1886	3	19		4	19.2	Orig=0.7541in
1886	3	20		4	0	Orig=0in
1886	3	21		4	10.7	Orig=0.42035in
1886	3	22		4	0	Orig=0in
1886	3	23		4	0	Orig=0in
1886	3	24		4	0.1	Orig=0.00317in
1886	3	25		4	0	Orig=0in
1886	3	26		4	0	Orig=0in
1886	3	27		4	0	Orig=0in
1886	3	28		4	0	Orig=0in
1886	3	29		4	0	Orig=0in
1886	3	30		4	0	Orig=0in
1886	3	30		4	0	Orig=0in
1886	4	1		4	0	Orig=0in
1886	4	2		4	0	Orig=0in
1886	4	3		4	0	Orig=0in
1886	4	4		4	4.4	Orig=0.17457in
1886	4	5		4	0	Orig=0in
1886	4	6		4	0	Orig=0in
1886	4	7		4	0	Orig=0in
1886	4	8		4	3.7	Orig=0.14716in
1886	4	9		4	3.5	Orig=0.13624in
1886	4	10		4	0	Orig=0in
1886	4	11		4	0	Orig=0in
1886	4	12		4	2.2	Orig=0.086in
1886	4	13		4	0	Orig=0in
1886	4	14		4	0	Orig=0.00186in
1886	4	15		4	0	Orig=0in
1886	4	16		4	0	Orig=0in
1886	4	17		4	0.1	Orig=0.00282in
1886	4	18		4	0	Orig=0in
1886	4	19		4	0	Orig=0in
1886	4	20		4	0	Orig=0in
1886	4	21		4	3.7	Orig=0.14434in
1886	4	22		4	2.9	Orig=0.11336in
1886	4	23		4	0.1	Orig=0.00458in
1886	4	24		4	0	Orig=0in
1886	4	25		4	0	Orig=0in
1886	4	26		4	2	Orig=0.0779in
1886	4	27		4	0.4	Orig=0.01725in
1886	4	28		4	0.4	Orig=0.01619in
1886	4	29		4	0.9	Orig=0.0339in
1886	4	30		4	0	Orig=0in
1886	5	1		4	0	Orig=0in
1886	5	2		4	0	Orig=0in
1886	5	3		4	0	Orig=0in
1886	5	4		4	0	Orig=0in
1886	5	5		4	0	Orig=0in
1886	5	6		4	0	Orig=0in
1886	5	8		4	0	Orig=0in
1886	5	9		4	0.4	Orig=0.01614in
1886	5	10		4	0	Orig=0in
1886	5	11		4	0	Orig=0in
1886	5	12		4	0	Orig=0in
1886	5	13		4	0	Orig=0in
1886	5	14		4	0	Orig=0in
1886	5	15		4	0	Orig=0in
1886	5	17		4	0	Orig=0in
1886	5	18		4	0	Orig=0in
1886	5	19		4	0	Orig=0in
1886	5	20		4	0	Orig=0in
1886	5	21		4	0	Orig=0in
1886	5	22		4	0	Orig=0in
1886	5	23		4	0	Orig=0in
1886	5	24		4	0	Orig=0in
1886	5	25		4	0	Orig=0in
1886	5	26		4	0	Orig=0in
1886	5	27		4	20.3	Orig=0.8in
1886	5	28		4	0	Orig=0in
1886	5	29		4	0	Orig=0in
1886	5	30		4	0	Orig=0in
1886	5	31		4	0	Orig=0in
1886	6	1		4	0	Orig=0in
1886	6	2		4	0	Orig=0in
1886	6	3		4	0	Orig=0in
1886	6	4		4	0	Orig=0in
1886	6	5		4	0	Orig=0in
1886	6	6		4	0	Orig=0in
1886	6	7		4	0	Orig=0in
1886	6	8		4	0	Orig=0in
1886	6	9		4	0	Orig=0in
1886	6	10		4	0	Orig=0in
1886	6	11		4	0	Orig=0in
1886	6	12		4	0	Orig=0in
1886	6	13		4	0	Orig=0in
1886	6	14		4	0	Orig=0in
1886	6	15		4	0	Orig=0in
1886	6	16		4	0	Orig=0in
1886	6	17		4	0	Orig=0in
1886	6	18		4	0	Orig=0in
1886	6	19		4	0	Orig=0in
1886	6	20		4	0	Orig=0in
1886	6	21		4	0	Orig=0in
1886	6	22		4	0	Orig=0in
1886	6	23		4	0	Orig=0in
1886	6	24		4	0	Orig=0in
1886	6	25		4	0	Orig=0in
1886	6	26		4	0	Orig=0in
1886	6	27		4	2.1	Orig=0.08308in
1886	6	28		4	0	Orig=0in
1886	6	29		4	0	Orig=0in
1886	6	30		4	0	Orig=0in
1886	7	1		4	0	Orig=0in
1886	7	2		4	0	Orig=0in
1886	7	3		4	0	Orig=0in
1886	7	4		4	0	Orig=0in
1886	7	5		4	0	Orig=0in
1886	7	6		4	0	Orig=0in
1886	7	7		4	0	Orig=0in
1886	7	8		4	0	Orig=0in
1886	7	9		4	0	Orig=0in
1886	7	10		4	0	Orig=0in
1886	7	11		4	0	Orig=0in
1886	7	12		4	2.7	Orig=0.10561in
1886	7	13		4	5	Orig=0.1968in
1886	7	14		4	0	Orig=0in
