SEF	1.0.0
ID	Kimberley
Name	Kimberley
Lat	-28.715
Lon	24.8375
Alt	1234
Source	C3S_SouthAfrica
Link	https://data-rescue.copernicus-climate.eu/lso/1086303
Vbl	ta
Stat	mean
Units	C
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1898	1	1	NA	NA	day	22.2	Orig=72F|orig.time=NA
1898	1	2	NA	NA	day	23.3	Orig=74F|orig.time=NA
1898	1	3	NA	NA	day	22.6	Orig=72.7F|orig.time=NA
1898	1	4	NA	NA	day	24.7	Orig=76.4F|orig.time=NA
1898	1	5	NA	NA	day	23.6	Orig=74.5F|orig.time=NA
1898	1	6	NA	NA	day	24.2	Orig=75.5F|orig.time=NA
1898	1	7	NA	NA	day	24.8	Orig=76.6F|orig.time=NA
1898	1	8	NA	NA	day	25.5	Orig=77.9F|orig.time=NA
1898	1	9	NA	NA	day	21.4	Orig=70.6F|orig.time=NA
1898	1	10	NA	NA	day	20	Orig=68F|orig.time=NA
1898	1	11	NA	NA	day	21.1	Orig=70F|orig.time=NA
1898	1	12	NA	NA	day	23.8	Orig=74.8F|orig.time=NA
1898	1	13	NA	NA	day	25.4	Orig=77.8F|orig.time=NA
1898	1	14	NA	NA	day	25.4	Orig=77.8F|orig.time=NA
1898	1	15	NA	NA	day	21.8	Orig=71.2F|orig.time=NA
1898	1	16	NA	NA	day	18.8	Orig=65.8F|orig.time=NA
1898	1	17	NA	NA	day	20.9	Orig=69.7F|orig.time=NA
1898	1	18	NA	NA	day	20.9	Orig=69.6F|orig.time=NA
1898	1	19	NA	NA	day	22.5	Orig=72.5F|orig.time=NA
1898	1	20	NA	NA	day	24.1	Orig=75.3F|orig.time=NA
1898	1	21	NA	NA	day	23.8	Orig=74.9F|orig.time=NA
1898	1	22	NA	NA	day	24.5	Orig=76.1F|orig.time=NA
1898	1	23	NA	NA	day	20.2	Orig=68.3F|orig.time=NA
1898	1	24	NA	NA	day	21.9	Orig=71.4F|orig.time=NA
1898	1	25	NA	NA	day	22.5	Orig=72.5F|orig.time=NA
1898	1	26	NA	NA	day	22.1	Orig=71.7F|orig.time=NA
1898	1	27	NA	NA	day	22.4	Orig=72.3F|orig.time=NA
1898	1	28	NA	NA	day	20.2	Orig=68.3F|orig.time=NA
1898	1	29	NA	NA	day	16.8	Orig=62.2F|orig.time=NA
1898	1	30	NA	NA	day	12	Orig=53.6F|orig.time=NA
1898	1	31	NA	NA	day	14.8	Orig=58.7F|orig.time=NA
1898	2	1	NA	NA	day	18.1	Orig=64.6F|orig.time=NA
1898	2	2	NA	NA	day	21.3	Orig=70.4F|orig.time=NA
1898	2	3	NA	NA	day	21.2	Orig=70.1F|orig.time=NA
1898	2	4	NA	NA	day	23.1	Orig=73.6F|orig.time=NA
1898	2	5	NA	NA	day	22.5	Orig=72.5F|orig.time=NA
1898	2	6	NA	NA	day	24.5	Orig=76.1F|orig.time=NA
1898	2	7	NA	NA	day	25.2	Orig=77.3F|orig.time=NA
1898	2	8	NA	NA	day	24.7	Orig=76.4F|orig.time=NA
1898	2	9	NA	NA	day	23.9	Orig=75F|orig.time=NA
1898	2	10	NA	NA	day	25.4	Orig=77.7F|orig.time=NA
1898	2	11	NA	NA	day	23.6	Orig=74.4F|orig.time=NA
1898	2	12	NA	NA	day	20.6	Orig=69.1F|orig.time=NA
1898	2	13	NA	NA	day	17.2	Orig=62.9F|orig.time=NA
1898	2	14	NA	NA	day	18.6	Orig=65.4F|orig.time=NA
1898	2	15	NA	NA	day	19.6	Orig=67.2F|orig.time=NA
1898	2	16	NA	NA	day	21.1	Orig=70F|orig.time=NA
1898	2	17	NA	NA	day	22.6	Orig=72.6F|orig.time=NA
1898	2	18	NA	NA	day	21.9	Orig=71.5F|orig.time=NA
1898	2	19	NA	NA	day	20.2	Orig=68.4F|orig.time=NA
1898	2	20	NA	NA	day	19.8	Orig=67.7F|orig.time=NA
1898	2	21	NA	NA	day	16.8	Orig=62.2F|orig.time=NA
1898	2	22	NA	NA	day	15.8	Orig=60.4F|orig.time=NA
1898	2	23	NA	NA	day	18.1	Orig=64.6F|orig.time=NA
1898	2	24	NA	NA	day	20.3	Orig=68.5F|orig.time=NA
1898	2	25	NA	NA	day	19.2	Orig=66.6F|orig.time=NA
1898	2	26	NA	NA	day	19.7	Orig=67.5F|orig.time=NA
1898	2	27	NA	NA	day	19.2	Orig=66.6F|orig.time=NA
1898	2	28	NA	NA	day	19.9	Orig=67.8F|orig.time=NA
1898	3	1	NA	NA	day	20.7	Orig=69.3F|orig.time=NA
1898	3	2	NA	NA	day	22.3	Orig=72.1F|orig.time=NA
1898	3	3	NA	NA	day	22.7	Orig=72.9F|orig.time=NA
1898	3	4	NA	NA	day	23.1	Orig=73.5F|orig.time=NA
1898	3	5	NA	NA	day	24.1	Orig=75.4F|orig.time=NA
1898	3	6	NA	NA	day	23.6	Orig=74.5F|orig.time=NA
1898	3	7	NA	NA	day	23.2	Orig=73.8F|orig.time=NA
1898	3	8	NA	NA	day	23.7	Orig=74.7F|orig.time=NA
