SEF	0.0.1
ID	Kimberley
Name	Kimberley
Lat	-28.715
Lon	24.8375
Alt	1234
Source	C3S_SouthAfrica
Repo	
Var	w
Units	m/s
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1898	1	1		1	2.4	Orig=5.4mph
1898	1	2		1	3.4	Orig=7.6mph
1898	1	3		1	3.7	Orig=8.3mph
1898	1	4		1	3.1	Orig=6.9mph
1898	1	5		1	2.8	Orig=6.3mph
1898	1	6		1	3.3	Orig=7.4mph
1898	1	7		1	3.1	Orig=6.9mph
1898	1	8		1	5	Orig=11.2mph
1898	1	9		1	3.4	Orig=7.7mph
1898	1	10		1	2.6	Orig=5.8mph
1898	1	11		1	5.1	Orig=11.5mph
1898	1	12		1	2.1	Orig=4.6mph
1898	1	13		1	2.7	Orig=6mph
1898	1	14		1	3.7	Orig=8.2mph
1898	1	15		1	4.6	Orig=10.3mph
1898	1	16		1	6.4	Orig=14.3mph
1898	1	17		1	5.8	Orig=13mph
1898	1	18		1	2.9	Orig=6.5mph
1898	1	19		1	3	Orig=6.6mph
1898	1	20		1	1.5	Orig=3.3mph
1898	1	21		1	3.4	Orig=7.7mph
1898	1	22		1	3.1	Orig=7mph
1898	1	23		1	2.8	Orig=6.3mph
1898	1	24		1	1.7	Orig=3.8mph
1898	1	25		1	2	Orig=4.5mph
1898	1	26		1	2.5	Orig=5.5mph
1898	1	27		1	2.3	Orig=5.2mph
1898	1	28		1	2.3	Orig=5.2mph
1898	1	29		1	4.3	Orig=9.7mph
1898	1	30		1	5.1	Orig=11.5mph
1898	1	31		1	2.4	Orig=5.3mph
1898	2	1		1	3.2	Orig=7.2mph
1898	2	2		1	4.9	Orig=10.9mph
1898	2	3		1	2.5	Orig=5.7mph
1898	2	4		1	3	Orig=6.6mph
1898	2	5		1	1.8	Orig=4mph
1898	2	6		1	1.9	Orig=4.3mph
1898	2	7		1	2.1	Orig=4.6mph
1898	2	8		1	4.8	Orig=10.7mph
1898	2	9		1	2.2	Orig=5mph
1898	2	10		1	2.6	Orig=5.8mph
1898	2	11		1	4.7	Orig=10.6mph
1898	2	12		1	2.8	Orig=6.2mph
1898	2	13		1	2.6	Orig=5.8mph
1898	2	14		1	3.6	Orig=8.1mph
1898	2	15		1	3.3	Orig=7.4mph
1898	2	16		1	2.7	Orig=6mph
1898	2	17		1	2.2	Orig=4.9mph
1898	2	18		1	3.1	Orig=7mph
1898	2	19		1	2.8	Orig=6.2mph
1898	2	20		1	1.6	Orig=3.6mph
1898	2	21		1	4.6	Orig=10.2mph
1898	2	22		1	3.7	Orig=8.3mph
1898	2	23		1	3.3	Orig=7.4mph
1898	2	24		1	2.3	Orig=5.2mph
1898	2	25		1	2.1	Orig=4.6mph
1898	2	26		1	2.6	Orig=5.8mph
1898	2	27		1	3	Orig=6.7mph
1898	2	28		1	2.7	Orig=6.1mph
1898	3	1		1	1.8	Orig=4.1mph
1898	3	2		1	1.8	Orig=4mph
1898	3	3		1	2.2	Orig=5mph
1898	3	4		1	2.3	Orig=5.2mph
1898	3	5		1	1.5	Orig=3.3mph
1898	3	6		1	1.9	Orig=4.3mph
1898	3	7		1	1.6	Orig=3.6mph
1898	3	8		1	3.1	Orig=6.9mph
1898	3	9		1	1.8	Orig=4.1mph
1898	3	10		1	1.4	Orig=3.1mph
1898	3	11		1	2.3	Orig=5.2mph
1898	3	12		1	3	Orig=6.6mph
1898	3	13		1	3.4	Orig=7.6mph
1898	3	14		1	3.1	Orig=6.9mph
1898	3	15		1	1.6	Orig=3.6mph
1898	3	16		1	2.3	Orig=5.2mph
1898	3	17		1	1.5	Orig=3.4mph
1898	3	18		1	5.2	Orig=11.6mph
1898	3	19		1	3.4	Orig=7.6mph
1898	3	20		1	1.7	Orig=3.7mph
1898	3	21		1	1.1	Orig=2.5mph
1898	3	22		1	2.4	Orig=5.3mph
1898	3	23		1	2.8	Orig=6.3mph
1898	3	24		1	3.7	Orig=8.3mph
1898	3	25		1	2	Orig=4.4mph
1898	3	26		1	1.7	Orig=3.9mph
1898	3	27		1	2	Orig=4.5mph
1898	3	28		1	3.4	Orig=7.6mph
1898	3	29		1	2.1	Orig=4.6mph
1898	3	30		1	2.5	Orig=5.5mph
1898	3	31		1	1.3	Orig=2.8mph
1898	4	1		1	1.7	Orig=3.7mph
1898	4	2		1	2.6	Orig=5.8mph
1898	4	3		1	1.6	Orig=3.6mph
1898	4	4		1	2.1	Orig=4.8mph
1898	4	5		1	5.3	Orig=11.8mph
1898	4	6		1	3.3	Orig=7.3mph
1898	4	7		1	2.5	Orig=5.7mph
1898	4	8		1	3	Orig=6.8mph
1898	4	9		1	3.5	Orig=7.8mph
1898	4	10		1	3.9	Orig=8.8mph
1898	4	11		1	4.3	Orig=9.7mph
1898	4	12		1	2.1	Orig=4.6mph
1898	4	13		1	1.9	Orig=4.3mph
1898	4	14		1	2.1	Orig=4.6mph
1898	4	15		1	2.9	Orig=6.4mph
1898	4	16		1	1.7	Orig=3.9mph
1898	4	17		1	3.4	Orig=7.5mph
1898	4	18		1	3.2	Orig=7.2mph
1898	4	19		1	1.9	Orig=4.2mph
