SEF	1.0.0
ID	Kimberley
Name	Kimberley
Lat	-28.715
Lon	24.8375
Alt	1234
Source	C3S_SouthAfrica
Link	https://data-rescue.copernicus-climate.eu/lso/1086311
Vbl	wr
Stat	sum
Units	km
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1899	1	1	NA	NA	day	375.9	Orig=233.6mi|orig.time=NA
1899	1	2	NA	NA	day	383.7	Orig=238.5mi|orig.time=NA
1899	1	3	NA	NA	day	273.5	Orig=170mi|orig.time=NA
1899	1	4	NA	NA	day	407.2	Orig=253.1mi|orig.time=NA
1899	1	5	NA	NA	day	310.4	Orig=192.9mi|orig.time=NA
1899	1	6	NA	NA	day	276.9	Orig=172.1mi|orig.time=NA
1899	1	7	NA	NA	day	312.6	Orig=194.3mi|orig.time=NA
1899	1	8	NA	NA	day	280.9	Orig=174.6mi|orig.time=NA
1899	1	9	NA	NA	day	260	Orig=161.6mi|orig.time=NA
1899	1	10	NA	NA	day	303.8	Orig=188.8mi|orig.time=NA
1899	1	11	NA	NA	day	299.4	Orig=186.1mi|orig.time=NA
1899	1	12	NA	NA	day	211.7	Orig=131.6mi|orig.time=NA
1899	1	13	NA	NA	day	260.8	Orig=162.1mi|orig.time=NA
1899	1	14	NA	NA	day	242.6	Orig=150.8mi|orig.time=NA
1899	1	15	NA	NA	day	275.5	Orig=171.2mi|orig.time=NA
1899	1	16	NA	NA	day	427.5	Orig=265.7mi|orig.time=NA
1899	1	17	NA	NA	day	277.2	Orig=172.3mi|orig.time=NA
1899	1	18	NA	NA	day	345.8	Orig=214.9mi|orig.time=NA
1899	1	19	NA	NA	day	319.2	Orig=198.4mi|orig.time=NA
1899	1	20	NA	NA	day	193.6	Orig=120.3mi|orig.time=NA
1899	1	21	NA	NA	day	176	Orig=109.4mi|orig.time=NA
1899	1	22	NA	NA	day	203.7	Orig=126.6mi|orig.time=NA
1899	1	23	NA	NA	day	216.1	Orig=134.3mi|orig.time=NA
1899	1	24	NA	NA	day	325.5	Orig=202.3mi|orig.time=NA
1899	1	25	NA	NA	day	371.8	Orig=231.1mi|orig.time=NA
1899	1	26	NA	NA	day	277.2	Orig=172.3mi|orig.time=NA
1899	1	27	NA	NA	day	235.9	Orig=146.6mi|orig.time=NA
1899	1	28	NA	NA	day	229	Orig=142.3mi|orig.time=NA
1899	1	29	NA	NA	day	180.4	Orig=112.1mi|orig.time=NA
1899	1	30	NA	NA	day	215	Orig=133.6mi|orig.time=NA
1899	1	31	NA	NA	day	197.9	Orig=123mi|orig.time=NA
1899	2	1	NA	NA	day	341.3	Orig=212.1mi|orig.time=NA
1899	2	2	NA	NA	day	214.6	Orig=133.4mi|orig.time=NA
1899	2	3	NA	NA	day	187.1	Orig=116.3mi|orig.time=NA
1899	2	4	NA	NA	day	290.9	Orig=180.8mi|orig.time=NA
1899	2	5	NA	NA	day	146.7	Orig=91.2mi|orig.time=NA
1899	2	6	NA	NA	day	170.6	Orig=106mi|orig.time=NA
1899	2	7	NA	NA	day	334.4	Orig=207.8mi|orig.time=NA
