SEF	1.0.0
ID	Maputo
Name	Maputo, Mozambique
Lat	-25.9692
Lon	32.5732
Alt	NA
Source	C3S_SouthAfrica
Link	https://datarescue.climate.copernicus.eu/lso/1086344
Vbl	eee
Stat	sum
Units	mm
Meta	alias=Lourenço Marques
Year	Month	Day	Hour	Minute	Period	Value	Meta
1876	10	01	17	49	12hour	5.1	orig=5.1mm|orig.time=8:00PM|orig.date=1876-10-1
1876	10	02	17	49	12hour	6	orig=6mm|orig.time=8:00PM|orig.date=1876-10-2
1876	10	03	17	49	12hour	5.9	orig=5.9mm|orig.time=8:00PM|orig.date=1876-10-3
1876	10	04	17	49	12hour	6.4	orig=6.4mm|orig.time=8:00PM|orig.date=1876-10-4
1876	10	05	17	49	12hour	4.5	orig=4.5mm|orig.time=8:00PM|orig.date=1876-10-5
1876	10	06	17	49	12hour	4.5	orig=4.5mm|orig.time=8:00PM|orig.date=1876-10-6
1876	10	07	17	49	12hour	4.5	orig=4.5mm|orig.time=8:00PM|orig.date=1876-10-7
1876	10	08	17	49	12hour	4.3	orig=4.3mm|orig.time=8:00PM|orig.date=1876-10-8
1876	10	09	17	49	12hour	4.3	orig=4.3mm|orig.time=8:00PM|orig.date=1876-10-9
1876	10	10	17	49	12hour	5.4	orig=5.4mm|orig.time=8:00PM|orig.date=1876-10-10
1876	10	11	17	49	12hour	7.6	orig=7.6mm|orig.time=8:00PM|orig.date=1876-10-11
1876	10	12	17	49	12hour	4	orig=4mm|orig.time=8:00PM|orig.date=1876-10-12
1876	10	13	17	49	12hour	3	orig=3mm|orig.time=8:00PM|orig.date=1876-10-13
1876	10	14	17	49	12hour	3.8	orig=3.8mm|orig.time=8:00PM|orig.date=1876-10-14
1876	10	15	17	49	12hour	NA	orig=NA|orig.time=8:00PM|orig.date=1876-10-15
1876	10	16	17	49	12hour	3.4	orig=3.4mm|orig.time=8:00PM|orig.date=1876-10-16
1876	10	17	17	49	12hour	4.3	orig=4.3mm|orig.time=8:00PM|orig.date=1876-10-17
1876	10	18	17	49	12hour	NA	orig=NA|orig.time=8:00PM|orig.date=1876-10-18
1876	10	19	17	49	12hour	4.3	orig=4.3mm|orig.time=8:00PM|orig.date=1876-10-19
1876	10	20	17	49	12hour	6.4	orig=6.4mm|orig.time=8:00PM|orig.date=1876-10-20
1876	10	21	17	49	12hour	NA	orig=NA|orig.time=8:00PM|orig.date=1876-10-21
1876	10	22	17	49	12hour	4	orig=4mm|orig.time=8:00PM|orig.date=1876-10-22
1876	10	23	17	49	12hour	7.1	orig=7.1mm|orig.time=8:00PM|orig.date=1876-10-23
1876	10	24	17	49	12hour	4.6	orig=4.6mm|orig.time=8:00PM|orig.date=1876-10-24
1876	10	25	17	49	12hour	4.6	orig=4.6mm|orig.time=8:00PM|orig.date=1876-10-25
1876	10	26	17	49	12hour	NA	orig=NA|orig.time=8:00PM|orig.date=1876-10-26
1876	10	27	17	49	12hour	NA	orig=NA|orig.time=8:00PM|orig.date=1876-10-27
1876	10	28	17	49	12hour	6.4	orig=6.4mm|orig.time=8:00PM|orig.date=1876-10-28
1876	10	29	17	49	12hour	6.2	orig=6.2mm|orig.time=8:00PM|orig.date=1876-10-29
1876	10	30	17	49	12hour	6.1	orig=6.1mm|orig.time=8:00PM|orig.date=1876-10-30
1876	10	31	17	49	12hour	6.4	orig=6.4mm|orig.time=8:00PM|orig.date=1876-10-31
1876	11	01	17	49	12hour	6.4	orig=6.4mm|orig.time=8:00PM|orig.date=1876-11-1
1876	11	02	17	49	12hour	NA	orig=NA|orig.time=8:00PM|orig.date=1876-11-2
1876	11	03	17	49	12hour	NA	orig=NA|orig.time=8:00PM|orig.date=1876-11-3
1876	11	04	17	49	12hour	3.5	orig=3.5mm|orig.time=8:00PM|orig.date=1876-11-4
1876	11	05	17	49	12hour	NA	orig=NA|orig.time=8:00PM|orig.date=1876-11-5
1876	11	06	17	49	12hour	4	orig=4mm|orig.time=8:00PM|orig.date=1876-11-6
1876	11	07	17	49	12hour	5.6	orig=5.6mm|orig.time=8:00PM|orig.date=1876-11-7
