SEF	1.0.0
ID	Maputo
Name	Maputo, Mozambique
Lat	-25.9692
Lon	32.5732
Alt	NA
Source	C3S_SouthAfrica
Link	https://datarescue.climate.copernicus.eu/lso/1086345
Vbl	n
Stat	point
Units	%
Meta	alias=Lourenço Marques
Year	Month	Day	Hour	Minute	Period	Value	Meta
1876	10	01	05	49	0	10	orig=1|orig.time=8:00AM|orig.date=1876-10-1
1876	10	01	09	49	0	90	orig=9|orig.time=12:00PM|orig.date=1876-10-1
1876	10	01	17	49	0	10	orig=1|orig.time=20:00PM|orig.date=1876-10-1
1876	10	02	05	49	0	20	orig=2|orig.time=8:00AM|orig.date=1876-10-2
1876	10	02	09	49	0	30	orig=3|orig.time=12:00PM|orig.date=1876-10-2
1876	10	02	17	49	0	0	orig=0|orig.time=20:00PM|orig.date=1876-10-2
1876	10	03	05	49	0	0	orig=0|orig.time=8:00AM|orig.date=1876-10-3
1876	10	03	09	49	0	0	orig=0|orig.time=12:00PM|orig.date=1876-10-3
1876	10	03	17	49	0	0	orig=0|orig.time=20:00PM|orig.date=1876-10-3
1876	10	04	05	49	0	0	orig=0|orig.time=8:00AM|orig.date=1876-10-4
1876	10	04	09	49	0	0	orig=0|orig.time=12:00PM|orig.date=1876-10-4
1876	10	04	17	49	0	0	orig=0|orig.time=20:00PM|orig.date=1876-10-4
1876	10	05	05	49	0	0	orig=0|orig.time=8:00AM|orig.date=1876-10-5
1876	10	05	09	49	0	0	orig=0|orig.time=12:00PM|orig.date=1876-10-5
1876	10	05	17	49	0	0	orig=0|orig.time=20:00PM|orig.date=1876-10-5
1876	10	06	05	49	0	0	orig=0|orig.time=8:00AM|orig.date=1876-10-6
1876	10	06	09	49	0	0	orig=0|orig.time=12:00PM|orig.date=1876-10-6
1876	10	06	17	49	0	50	orig=5|orig.time=20:00PM|orig.date=1876-10-6
1876	10	07	05	49	0	100	orig=10|orig.time=8:00AM|orig.date=1876-10-7
1876	10	07	09	49	0	90	orig=9|orig.time=12:00PM|orig.date=1876-10-7
1876	10	07	17	49	0	20	orig=2|orig.time=20:00PM|orig.date=1876-10-7
1876	10	08	05	49	0	20	orig=2|orig.time=8:00AM|orig.date=1876-10-8
1876	10	08	09	49	0	90	orig=9|orig.time=12:00PM|orig.date=1876-10-8
1876	10	08	17	49	0	0	orig=0|orig.time=20:00PM|orig.date=1876-10-8
1876	10	09	05	49	0	90	orig=9|orig.time=8:00AM|orig.date=1876-10-9
1876	10	09	09	49	0	10	orig=1|orig.time=12:00PM|orig.date=1876-10-9
1876	10	09	17	49	0	0	orig=0|orig.time=20:00PM|orig.date=1876-10-9
1876	10	10	05	49	0	20	orig=2|orig.time=8:00AM|orig.date=1876-10-10
