SEF	1.0.0
ID	Maputo
Name	Maputo, Mozambique
Lat	-25.9692
Lon	32.5732
Alt	NA
Source	C3S_SouthAfrica
Link	https://datarescue.climate.copernicus.eu/lso/1086340
Vbl	ta
Stat	point
Units	C
Meta	alias=Lourenço Marques
Year	Month	Day	Hour	Minute	Period	Value	Meta
1876	10	01	05	49	0	21.5	orig=21.5C|orig.time=8:00AM|orig.date=1876-10-1
1876	10	01	09	49	0	21.8	orig=21.8C|orig.time=12:00PM|orig.date=1876-10-1
1876	10	01	17	49	0	20.7	orig=20.7C|orig.time=20:00PM|orig.date=1876-10-1
1876	10	02	05	49	0	19.9	orig=19.9C|orig.time=8:00AM|orig.date=1876-10-2
1876	10	02	09	49	0	21.4	orig=21.4C|orig.time=12:00PM|orig.date=1876-10-2
1876	10	02	17	49	0	20.0	orig=20.0C|orig.time=20:00PM|orig.date=1876-10-2
1876	10	03	05	49	0	19.7	orig=19.7C|orig.time=8:00AM|orig.date=1876-10-3
1876	10	03	09	49	0	22.0	orig=22.0C|orig.time=12:00PM|orig.date=1876-10-3
1876	10	03	17	49	0	20.6	orig=20.6C|orig.time=20:00PM|orig.date=1876-10-3
1876	10	04	05	49	0	19.5	orig=19.5C|orig.time=8:00AM|orig.date=1876-10-4
1876	10	04	09	49	0	22.8	orig=22.8C|orig.time=12:00PM|orig.date=1876-10-4
1876	10	04	17	49	0	21.6	orig=21.6C|orig.time=20:00PM|orig.date=1876-10-4
1876	10	05	05	49	0	21.6	orig=21.6C|orig.time=8:00AM|orig.date=1876-10-5
1876	10	05	09	49	0	23.5	orig=23.5C|orig.time=12:00PM|orig.date=1876-10-5
1876	10	05	17	49	0	22.3	orig=22.3C|orig.time=20:00PM|orig.date=1876-10-5
1876	10	06	05	49	0	21.8	orig=21.8C|orig.time=8:00AM|orig.date=1876-10-6
1876	10	06	09	49	0	24.1	orig=24.1C|orig.time=12:00PM|orig.date=1876-10-6
1876	10	06	17	49	0	22.7	orig=22.7C|orig.time=20:00PM|orig.date=1876-10-6
1876	10	07	05	49	0	22.3	orig=22.3C|orig.time=8:00AM|orig.date=1876-10-7
1876	10	07	09	49	0	23.3	orig=23.3C|orig.time=12:00PM|orig.date=1876-10-7
1876	10	07	17	49	0	22.8	orig=22.8C|orig.time=20:00PM|orig.date=1876-10-7
1876	10	08	05	49	0	22.5	orig=22.5C|orig.time=8:00AM|orig.date=1876-10-8
1876	10	08	09	49	0	24.1	orig=24.1C|orig.time=12:00PM|orig.date=1876-10-8
1876	10	08	17	49	0	22.8	orig=22.8C|orig.time=20:00PM|orig.date=1876-10-8
1876	10	09	05	49	0	23.0	orig=23.0C|orig.time=8:00AM|orig.date=1876-10-9
1876	10	09	09	49	0	24.5	orig=24.5C|orig.time=12:00PM|orig.date=1876-10-9
1876	10	09	17	49	0	23.2	orig=23.2C|orig.time=20:00PM|orig.date=1876-10-9
1876	10	10	05	49	0	23.5	orig=23.5C|orig.time=8:00AM|orig.date=1876-10-10
1876	10	10	09	49	0	25.8	orig=25.8C|orig.time=12:00PM|orig.date=1876-10-10
1876	10	10	17	49	0	23.5	orig=23.5C|orig.time=20:00PM|orig.date=1876-10-10
1876	10	11	05	49	0	23.7	orig=23.7C|orig.time=8:00AM|orig.date=1876-10-11
1876	10	11	09	49	0	28.0	orig=28.0C|orig.time=12:00PM|orig.date=1876-10-11
1876	10	11	17	49	0	25.0	orig=25.0C|orig.time=20:00PM|orig.date=1876-10-11
1876	10	12	05	49	0	23.8	orig=23.8C|orig.time=8:00AM|orig.date=1876-10-12
1876	10	12	09	49	0	24.7	orig=24.7C|orig.time=12:00PM|orig.date=1876-10-12
1876	10	12	17	49	0	23.4	orig=23.4C|orig.time=20:00PM|orig.date=1876-10-12
1876	10	13	05	49	0	23.0	orig=23.0C|orig.time=8:00AM|orig.date=1876-10-13
1876	10	13	09	49	0	24.5	orig=24.5C|orig.time=12:00PM|orig.date=1876-10-13
1876	10	13	17	49	0	24.8	orig=24.8C|orig.time=20:00PM|orig.date=1876-10-13
1876	10	14	05	49	0	23.0	orig=23.0C|orig.time=8:00AM|orig.date=1876-10-14
1876	10	14	09	49	0	24.0	orig=24.0C|orig.time=12:00PM|orig.date=1876-10-14
1876	10	14	17	49	0	23.5	orig=23.5C|orig.time=20:00PM|orig.date=1876-10-14
1876	10	15	05	49	0	23.1	orig=23.1C|orig.time=8:00AM|orig.date=1876-10-15
1876	10	15	09	49	0	24.5	orig=24.5C|orig.time=12:00PM|orig.date=1876-10-15
1876	10	15	17	49	0	22.9	orig=22.9C|orig.time=20:00PM|orig.date=1876-10-15
1876	10	16	05	49	0	22.5	orig=22.5C|orig.time=8:00AM|orig.date=1876-10-16
1876	10	16	09	49	0	22.7	orig=22.7C|orig.time=12:00PM|orig.date=1876-10-16
1876	10	16	17	49	0	23.0	orig=23.0C|orig.time=20:00PM|orig.date=1876-10-16
1876	10	17	05	49	0	22.7	orig=22.7C|orig.time=8:00AM|orig.date=1876-10-17
1876	10	17	09	49	0	24.2	orig=24.2C|orig.time=12:00PM|orig.date=1876-10-17
1876	10	17	17	49	0	23.7	orig=23.7C|orig.time=20:00PM|orig.date=1876-10-17
1876	10	18	05	49	0	23.6	orig=23.6C|orig.time=8:00AM|orig.date=1876-10-18
1876	10	18	09	49	0	22.3	orig=22.3C|orig.time=12:00PM|orig.date=1876-10-18
1876	10	18	17	49	0	20.4	orig=20.4C|orig.time=20:00PM|orig.date=1876-10-18
1876	10	19	05	49	0	21.5	orig=21.5C|orig.time=8:00AM|orig.date=1876-10-19
1876	10	19	09	49	0	21.2	orig=21.2C|orig.time=12:00PM|orig.date=1876-10-19
1876	10	19	17	49	0	20.5	orig=20.5C|orig.time=20:00PM|orig.date=1876-10-19
1876	10	20	05	49	0	21.2	orig=21.2C|orig.time=8:00AM|orig.date=1876-10-20
1876	10	20	09	49	0	23.8	orig=23.8C|orig.time=12:00PM|orig.date=1876-10-20
1876	10	20	17	49	0	22.5	orig=22.5C|orig.time=20:00PM|orig.date=1876-10-20
1876	10	21	05	49	0	21.5	orig=21.5C|orig.time=8:00AM|orig.date=1876-10-21
1876	10	21	09	49	0	22.0	orig=22.0C|orig.time=12:00PM|orig.date=1876-10-21
1876	10	21	17	49	0	20.7	orig=20.7C|orig.time=20:00PM|orig.date=1876-10-21
1876	10	22	05	49	0	21.3	orig=21.3C|orig.time=8:00AM|orig.date=1876-10-22
1876	10	22	09	49	0	22.4	orig=22.4C|orig.time=12:00PM|orig.date=1876-10-22
1876	10	22	17	49	0	21.2	orig=21.2C|orig.time=20:00PM|orig.date=1876-10-22
1876	10	23	05	49	0	21.5	orig=21.5C|orig.time=8:00AM|orig.date=1876-10-23
1876	10	23	09	49	0	25.5	orig=25.5C|orig.time=12:00PM|orig.date=1876-10-23
1876	10	23	17	49	0	22.5	orig=22.5C|orig.time=20:00PM|orig.date=1876-10-23
1876	10	24	05	49	0	21.4	orig=21.4C|orig.time=8:00AM|orig.date=1876-10-24
1876	10	24	09	49	0	22.7	orig=22.7C|orig.time=12:00PM|orig.date=1876-10-24
1876	10	24	17	49	0	21.7	orig=21.7C|orig.time=20:00PM|orig.date=1876-10-24
1876	10	25	05	49	0	21.8	orig=21.8C|orig.time=8:00AM|orig.date=1876-10-25
1876	10	25	09	49	0	22.8	orig=22.8C|orig.time=12:00PM|orig.date=1876-10-25
1876	10	25	17	49	0	22.3	orig=22.3C|orig.time=20:00PM|orig.date=1876-10-25
1876	10	26	05	49	0	22.3	orig=22.3C|orig.time=8:00AM|orig.date=1876-10-26
1876	10	26	09	49	0	24.1	orig=24.1C|orig.time=12:00PM|orig.date=1876-10-26
1876	10	26	17	49	0	23.3	orig=23.3C|orig.time=20:00PM|orig.date=1876-10-26
1876	10	27	05	49	0	22.5	orig=22.5C|orig.time=8:00AM|orig.date=1876-10-27
1876	10	27	09	49	0	23.0	orig=23.0C|orig.time=12:00PM|orig.date=1876-10-27
1876	10	27	17	49	0	21.5	orig=21.5C|orig.time=20:00PM|orig.date=1876-10-27
1876	10	28	05	49	0	22.2	orig=22.2C|orig.time=8:00AM|orig.date=1876-10-28
1876	10	28	09	49	0	23.6	orig=23.6C|orig.time=12:00PM|orig.date=1876-10-28
1876	10	28	17	49	0	21.7	orig=21.7C|orig.time=20:00PM|orig.date=1876-10-28
1876	10	29	05	49	0	22.3	orig=22.3C|orig.time=8:00AM|orig.date=1876-10-29
1876	10	29	09	49	0	23.8	orig=23.8C|orig.time=12:00PM|orig.date=1876-10-29
1876	10	29	17	49	0	22.2	orig=22.2C|orig.time=20:00PM|orig.date=1876-10-29
1876	10	30	05	49	0	21.5	orig=21.5C|orig.time=8:00AM|orig.date=1876-10-30
1876	10	30	09	49	0	23.3	orig=23.3C|orig.time=12:00PM|orig.date=1876-10-30
1876	10	30	17	49	0	22.3	orig=22.3C|orig.time=20:00PM|orig.date=1876-10-30
1876	10	31	05	49	0	22.3	orig=22.3C|orig.time=8:00AM|orig.date=1876-10-31
1876	10	31	09	49	0	24.1	orig=24.1C|orig.time=12:00PM|orig.date=1876-10-31
1876	10	31	17	49	0	22.6	orig=22.6C|orig.time=20:00PM|orig.date=1876-10-31
1876	11	01	05	49	0	22.2	orig=22.2C|orig.time=8:00AM|orig.date=1876-11-1
1876	11	01	09	49	0	25.0	orig=25.0C|orig.time=12:00PM|orig.date=1876-11-1
1876	11	01	17	49	0	23.3	orig=23.3C|orig.time=20:00PM|orig.date=1876-11-1
1876	11	02	05	49	0	23.5	orig=23.5C|orig.time=8:00AM|orig.date=1876-11-2
1876	11	02	09	49	0	23.4	orig=23.4C|orig.time=12:00PM|orig.date=1876-11-2
1876	11	02	17	49	0	21.5	orig=21.5C|orig.time=20:00PM|orig.date=1876-11-2
1876	11	03	05	49	0	21.2	orig=21.2C|orig.time=8:00AM|orig.date=1876-11-3
1876	11	03	09	49	0	21.7	orig=21.7C|orig.time=12:00PM|orig.date=1876-11-3
