SEF	1.0.0
ID	Stellenbosch
Name	Stellenbosch
Lat	-33.9321
Lon	18.8602
Alt	136
Source	C3S_SouthAfrica
Link	https://data-rescue.copernicus-climate.eu/lso/1086312
Vbl	dd
Stat	point
Units	degree
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1821	1	1	NA	NA	0	292	Orig=WNW|orig.time=AM
1821	1	1	NA	NA	0	270	Orig=W|orig.time=PM
1821	1	2	NA	NA	0	180	Orig=S|orig.time=AM
1821	1	2	NA	NA	0	180	Orig=S|orig.time=PM
1821	1	3	NA	NA	0	270	Orig=W|orig.time=PM
1821	1	4	NA	NA	0	225	Orig=SW|orig.time=AM
1821	1	4	NA	NA	0	225	Orig=SW|orig.time=PM
1821	1	5	NA	NA	0	180	Orig=S|orig.time=AM
1821	1	5	NA	NA	0	180	Orig=S|orig.time=PM
1821	1	6	NA	NA	0	225	Orig=SW|orig.time=PM
1821	1	7	NA	NA	0	180	Orig=S|orig.time=PM
1821	1	8	NA	NA	0	158	Orig=SSE|orig.time=PM
1821	1	9	NA	NA	0	180	Orig=S|orig.time=AM
1821	1	10	NA	NA	0	135	Orig=SE|orig.time=AM
1821	1	10	NA	NA	0	135	Orig=SE|orig.time=PM
1821	1	11	NA	NA	0	135	Orig=SE|orig.time=AM
1821	1	11	NA	NA	0	135	Orig=SE|orig.time=PM
1821	1	12	NA	NA	0	180	Orig=S|orig.time=PM
1821	1	13	NA	NA	0	225	Orig=SW|orig.time=AM
1821	1	13	NA	NA	0	225	Orig=SW|orig.time=PM
1821	1	14	NA	NA	0	180	Orig=S|orig.time=PM
1821	1	15	NA	NA	0	225	Orig=SW|orig.time=AM
1821	1	15	NA	NA	0	225	Orig=SW|orig.time=PM
1821	1	16	NA	NA	0	225	Orig=SW|orig.time=AM
1821	1	16	NA	NA	0	180	Orig=S|orig.time=PM
1821	1	17	NA	NA	0	180	Orig=S|orig.time=PM
1821	1	18	NA	NA	0	270	Orig=W|orig.time=PM
1821	1	19	NA	NA	0	225	Orig=SW|orig.time=PM
1821	1	20	NA	NA	0	225	Orig=SW|orig.time=AM
1821	1	20	NA	NA	0	225	Orig=SW|orig.time=PM
1821	1	21	NA	NA	0	180	Orig=S|orig.time=PM
1821	1	22	NA	NA	0	270	Orig=W|orig.time=PM
1821	1	23	NA	NA	0	225	Orig=SW|orig.time=AM
1821	1	24	NA	NA	0	225	Orig=SW|orig.time=AM
1821	1	24	NA	NA	0	225	Orig=SW|orig.time=PM
1821	1	25	NA	NA	0	180	Orig=S|orig.time=AM
1821	1	25	NA	NA	0	135	Orig=SE|orig.time=PM
1821	1	26	NA	NA	0	180	Orig=S|orig.time=AM
1821	1	26	NA	NA	0	180	Orig=S|orig.time=PM
1821	1	27	NA	NA	0	135	Orig=SE|orig.time=PM
1821	1	28	NA	NA	0	270	Orig=W|orig.time=AM
1821	1	29	NA	NA	0	180	Orig=S|orig.time=PM
1821	1	30	NA	NA	0	135	Orig=SE|orig.time=AM
1821	1	30	NA	NA	0	135	Orig=SE|orig.time=PM
1821	1	31	NA	NA	0	135	Orig=SE|orig.time=AM
1821	1	31	NA	NA	0	135	Orig=SE|orig.time=PM
1821	2	1	NA	NA	0	135	Orig=SE|orig.time=AM
1821	2	1	NA	NA	0	135	Orig=SE|orig.time=PM
1821	2	2	NA	NA	0	135	Orig=SE|orig.time=PM
1821	2	3	NA	NA	0	135	Orig=SE|orig.time=AM
1821	2	3	NA	NA	0	135	Orig=SE|orig.time=PM
1821	2	4	NA	NA	0	135	Orig=SE|orig.time=PM
1821	2	7	NA	NA	0	112	Orig=ESE|orig.time=PM
1821	2	8	NA	NA	0	135	Orig=SE|orig.time=AM
1821	2	8	NA	NA	0	180	Orig=S|orig.time=PM
1821	2	9	NA	NA	0	135	Orig=SE|orig.time=AM
1821	2	9	NA	NA	0	112	Orig=ESE|orig.time=PM
1821	2	10	NA	NA	0	135	Orig=SE|orig.time=PM
1821	2	11	NA	NA	0	135	Orig=SE|orig.time=AM
1821	2	11	NA	NA	0	112	Orig=ESE|orig.time=PM
1821	2	12	NA	NA	0	135	Orig=SE|orig.time=AM
1821	2	12	NA	NA	0	0	Orig=N|orig.time=PM
1821	2	13	NA	NA	0	315	Orig=NW|orig.time=AM
1821	2	13	NA	NA	0	270	Orig=W|orig.time=PM
1821	2	14	NA	NA	0	180	Orig=S|orig.time=AM
1821	2	14	NA	NA	0	225	Orig=SW|orig.time=PM
1821	2	15	NA	NA	0	180	Orig=S|orig.time=AM
1821	2	15	NA	NA	0	180	Orig=S|orig.time=PM
1821	2	16	NA	NA	0	180	Orig=S|orig.time=PM
1821	2	17	NA	NA	0	112	Orig=ESE|orig.time=PM
1821	2	18	NA	NA	0	180	Orig=S|orig.time=AM
1821	2	19	NA	NA	0	135	Orig=SE|orig.time=AM
1821	2	19	NA	NA	0	180	Orig=S|orig.time=PM
1821	2	20	NA	NA	0	135	Orig=SE|orig.time=PM
1821	2	21	NA	NA	0	180	Orig=S|orig.time=AM
1821	2	21	NA	NA	0	135	Orig=SE|orig.time=PM
