SEF	0.0.1
ID	Stellenbosch
Name	Stellenbosch
Lat	-33.9321
Lon	18.8602
Alt	136
Source	C3S_SouthAfrica
Repo	
Var	p
Units	Pa
Meta	PTC=F,PGC=T
Year	Month	Day	HHMM	TimeF	Value	Meta
1821	1	1		0	99790	Orig=29.5in,t=AM
1821	1	1		0	99790	Orig=29.5in,t=PM
1821	1	2		0	100805	Orig=29.8in,t=AM
1821	1	2		0	101143	Orig=29.9in,t=PM
1821	1	3		0	100467	Orig=29.7in,t=AM
1821	1	3		0	99790	Orig=29.5in,t=PM
1821	1	4		0	100128	Orig=29.6in,t=AM
1821	1	4		0	100805	Orig=29.8in,t=PM
1821	1	5		0	101143	Orig=29.9in,t=AM
1821	1	5		0	101143	Orig=29.9in,t=PM
1821	1	6		0	101143	Orig=29.9in,t=AM
1821	1	6		0	101143	Orig=29.9in,t=PM
1821	1	7		0	101143	Orig=29.9in,t=AM
1821	1	7		0	101143	Orig=29.9in,t=PM
1821	1	8		0	101143	Orig=29.9in,t=AM
1821	1	8		0	101143	Orig=29.9in,t=PM
1821	1	9		0	101143	Orig=29.9in,t=AM
1821	1	9		0	101143	Orig=29.9in,t=PM
1821	1	10		0	101143	Orig=29.9in,t=AM
1821	1	10		0	101143	Orig=29.9in,t=PM
1821	1	11		0	100974	Orig=29.85in,t=AM
1821	1	11		0	100974	Orig=29.85in,t=PM
1821	1	12		0	100974	Orig=29.85in,t=AM
1821	1	12		0	100974	Orig=29.85in,t=PM
1821	1	13		0	100974	Orig=29.85in,t=AM
1821	1	13		0	100974	Orig=29.85in,t=PM
1821	1	14		0	100805	Orig=29.8in,t=AM
1821	1	14		0	100805	Orig=29.8in,t=PM
1821	1	15		0	100974	Orig=29.85in,t=AM
1821	1	15		0	100974	Orig=29.85in,t=PM
1821	1	16		0	100974	Orig=29.85in,t=AM
1821	1	16		0	100974	Orig=29.85in,t=PM
1821	1	17		0	100974	Orig=29.85in,t=AM
1821	1	17		0	100974	Orig=29.85in,t=PM
1821	1	18		0	100974	Orig=29.85in,t=AM
1821	1	18		0	100974	Orig=29.85in,t=PM
1821	1	19		0	100974	Orig=29.85in,t=AM
1821	1	19		0	100974	Orig=29.85in,t=PM
1821	1	20		0	100974	Orig=29.85in,t=AM
1821	1	20		0	100974	Orig=29.85in,t=PM
1821	1	21		0	100974	Orig=29.85in,t=AM
1821	1	21		0	100974	Orig=29.85in,t=PM
1821	1	22		0	100974	Orig=29.85in,t=AM
1821	1	22		0	100974	Orig=29.85in,t=PM
1821	1	23		0	100974	Orig=29.85in,t=AM
1821	1	23		0	100974	Orig=29.85in,t=PM
1821	1	24		0	100974	Orig=29.85in,t=AM
1821	1	24		0	100974	Orig=29.85in,t=PM
1821	1	25		0	100805	Orig=29.8in,t=AM
1821	1	25		0	100805	Orig=29.8in,t=PM
1821	1	26		0	100805	Orig=29.8in,t=AM
