SEF	0.0.1
ID	Stellenbosch
Name	Stellenbosch
Lat	-33.9321
Lon	18.8602
Alt	
Source	C3S_SouthAfrica
Repo	
Var	ta
Units	C
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1821	1	1		0	21.1	Orig=70F,t=AM
1821	1	1		0	21.1	Orig=70F,t=PM
1821	1	2		0	21.7	Orig=71F,t=AM
1821	1	2		0	21.7	Orig=71F,t=PM
1821	1	3		0	18.6	Orig=65.5F,t=AM
1821	1	3		0	21.1	Orig=70F,t=PM
1821	1	4		0	18.3	Orig=65F,t=AM
1821	1	4		0	18.3	Orig=65F,t=PM
1821	1	5		0	18.9	Orig=66F,t=AM
1821	1	5		0	21.1	Orig=70F,t=PM
1821	1	6		0	18.3	Orig=65F,t=AM
1821	1	6		0	21.4	Orig=70.5F,t=PM
1821	1	7		0	21.7	Orig=71F,t=AM
1821	1	7		0	21.9	Orig=71.5F,t=PM
1821	1	8		0	21.9	Orig=71.5F,t=AM
1821	1	8		0	21.9	Orig=71.5F,t=PM
1821	1	9		0	22.2	Orig=72F,t=AM
1821	1	9		0	22.2	Orig=72F,t=PM
1821	1	10		0	23.9	Orig=75F,t=AM
1821	1	10		0	23.9	Orig=75F,t=PM
1821	1	11		0	21.9	Orig=71.5F,t=AM
1821	1	11		0	22.8	Orig=73F,t=PM
1821	1	12		0	22.2	Orig=72F,t=AM
1821	1	12		0	22.5	Orig=72.5F,t=PM
1821	1	13		0	22.5	Orig=72.5F,t=AM
1821	1	13		0	22.8	Orig=73F,t=PM
1821	1	14		0	21.7	Orig=71F,t=AM
1821	1	14		0	21.7	Orig=71F,t=PM
1821	1	15		0	21.9	Orig=71.5F,t=AM
1821	1	15		0	21.9	Orig=71.5F,t=PM
1821	1	16		0	21.9	Orig=71.5F,t=AM
1821	1	16		0	22.8	Orig=73F,t=PM
1821	1	17		0	21.9	Orig=71.5F,t=AM
1821	1	17		0	25.6	Orig=78F,t=PM
1821	1	18		0	23.6	Orig=74.5F,t=AM
1821	1	18		0	26.7	Orig=80F,t=PM
1821	1	19		0	22.8	Orig=73F,t=AM
1821	1	19		0	21.1	Orig=70F,t=PM
1821	1	20		0	21.1	Orig=70F,t=AM
1821	1	20		0	21.7	Orig=71F,t=PM
1821	1	21		0	21.1	Orig=70F,t=AM
1821	1	21		0	21.7	Orig=71F,t=PM
1821	1	22		0	21.7	Orig=71F,t=AM
1821	1	22		0	22.2	Orig=72F,t=PM
1821	1	23		0	21.1	Orig=70F,t=AM
1821	1	23		0	22.2	Orig=72F,t=PM
1821	1	24		0	22.2	Orig=72F,t=AM
1821	1	24		0	23.9	Orig=75F,t=PM
1821	1	25		0	23.9	Orig=75F,t=AM
1821	1	25		0	26.1	Orig=79F,t=PM
1821	1	26		0	26.1	Orig=79F,t=AM
1821	1	26		0	26.7	Orig=80F,t=PM
1821	1	27		0	26.7	Orig=80F,t=AM
1821	1	27		0	27.2	Orig=81F,t=PM
1821	1	28		0	26.1	Orig=79F,t=AM
1821	1	28		0	23.3	Orig=74F,t=PM
1821	1	29		0	20.6	Orig=69F,t=AM
1821	1	29		0	21.1	Orig=70F,t=PM
1821	1	30		0	20.6	Orig=69F,t=AM
1821	1	30		0	22.2	Orig=72F,t=PM
1821	1	31		0	21.1	Orig=70F,t=AM
1821	1	31		0	21.7	Orig=71F,t=PM
1821	2	1		0	22.2	Orig=72F,t=AM
1821	2	1		0	25.6	Orig=78F,t=PM
1821	2	2		0	22.8	Orig=73F,t=AM
1821	2	2		0	25.6	Orig=78F,t=PM
1821	2	3		0	23.3	Orig=74F,t=AM
1821	2	3		0	25.6	Orig=78F,t=PM
1821	2	4		0	24.4	Orig=76F,t=AM
1821	2	4		0	30	Orig=86F,t=PM
1821	2	5		0	26.1	Orig=79F,t=AM
1821	2	5		0	28.9	Orig=84F,t=PM
1821	2	6		0	26.7	Orig=80F,t=AM
1821	2	6		0	28.9	Orig=84F,t=PM
1821	2	7		0	27.8	Orig=82F,t=AM
1821	2	7		0	28.9	Orig=84F,t=PM
1821	2	8		0	26.1	Orig=79F,t=AM
1821	2	8		0	26.7	Orig=80F,t=PM
1821	2	9		0	24.4	Orig=76F,t=AM
1821	2	9		0	26.1	Orig=79F,t=PM
1821	2	10		0	24.4	Orig=76F,t=AM
1821	2	10		0	26.1	Orig=79F,t=PM
1821	2	11		0	24.4	Orig=76F,t=AM
1821	2	11		0	26.7	Orig=80F,t=PM
1821	2	12		0	26.4	Orig=79.5F,t=AM
1821	2	12		0	26.1	Orig=79F,t=PM
1821	2	13		0	23.9	Orig=75F,t=AM
1821	2	13		0	23.9	Orig=75F,t=PM
1821	2	14		0	23.3	Orig=74F,t=AM
1821	2	14		0	23.3	Orig=74F,t=PM
1821	2	15		0	22.8	Orig=73F,t=AM
1821	2	15		0	23.3	Orig=74F,t=PM
1821	2	16		0	23.3	Orig=74F,t=AM
1821	2	16		0	25.6	Orig=78F,t=PM
1821	2	17		0	22.8	Orig=73F,t=AM
1821	2	17		0	22.8	Orig=73F,t=PM
1821	2	18		0	24.4	Orig=76F,t=AM
1821	2	18		0	27.2	Orig=81F,t=PM
1821	2	19		0	25.6	Orig=78F,t=AM
1821	2	19		0	25.6	Orig=78F,t=PM
1821	2	20		0	24.4	Orig=76F,t=AM
1821	2	20		0	23.9	Orig=75F,t=PM
1821	2	21		0	23.3	Orig=74F,t=AM
1821	2	21		0	23.3	Orig=74F,t=PM
1821	2	22		0	20.6	Orig=69F,t=AM
1821	2	22		0	22.2	Orig=72F,t=PM
1821	2	23		0	22.2	Orig=72F,t=AM
1821	2	23		0	23.9	Orig=75F,t=PM
1821	2	24		0	22.2	Orig=72F,t=AM
1821	2	24		0	23.3	Orig=74F,t=PM
1821	2	25		0	21.7	Orig=71F,t=AM
1821	2	25		0	23.9	Orig=75F,t=PM
1821	2	26		0	21.7	Orig=71F,t=AM
1821	2	26		0	23.3	Orig=74F,t=PM
1821	2	27		0	21.1	Orig=70F,t=AM
1821	2	27		0	22.8	Orig=73F,t=PM
1821	2	28		0	22.2	Orig=72F,t=AM
1821	2	28		0	25.6	Orig=78F,t=PM
1821	3	1		0	22.2	Orig=72F,t=AM
1821	3	1		0	24.4	Orig=76F,t=PM
1821	3	2		0	20	Orig=68F,t=AM
1821	3	2		0	20	Orig=68F,t=PM
1821	3	3		0	20.6	Orig=69F,t=AM
1821	3	3		0	22.2	Orig=72F,t=PM
1821	3	4		0	22.2	Orig=72F,t=AM
1821	3	4		0	26.7	Orig=80F,t=PM
1821	3	5		0	25.6	Orig=78F,t=AM
1821	3	5		0	27.8	Orig=82F,t=PM
1821	3	6		0	22.2	Orig=72F,t=AM
1821	3	6		0	23.3	Orig=74F,t=PM
1821	3	7		0	22.8	Orig=73F,t=AM
1821	3	7		0	24.4	Orig=76F,t=PM
1821	3	8		0	22.2	Orig=72F,t=AM
1821	3	8		0	24.4	Orig=76F,t=PM
1821	3	9		0	22.2	Orig=72F,t=AM
1821	3	9		0	24.4	Orig=76F,t=PM
1821	3	10		0	23.3	Orig=74F,t=AM
1821	3	10		0	24.4	Orig=76F,t=PM
1821	3	11		0	23.3	Orig=74F,t=AM
1821	3	11		0	24.4	Orig=76F,t=PM
1821	3	12		0	23.3	Orig=74F,t=AM
1821	3	12		0	25.6	Orig=78F,t=PM
1821	3	13		0	24.4	Orig=76F,t=AM
1821	3	13		0	27.8	Orig=82F,t=PM
1821	3	14		0	23.3	Orig=74F,t=AM
1821	3	14		0	25.6	Orig=78F,t=PM
1821	3	15		0	22.2	Orig=72F,t=AM
1821	3	15		0	23.3	Orig=74F,t=PM
1821	3	16		0	22.2	Orig=72F,t=AM
1821	3	16		0	24.4	Orig=76F,t=PM
1821	3	17		0	22.2	Orig=72F,t=AM
1821	3	17		0	24.4	Orig=76F,t=PM
1821	3	18		0	21.1	Orig=70F,t=AM
1821	3	18		0	17.8	Orig=64F,t=PM
1821	3	19		0	18.9	Orig=66F,t=AM
1821	3	19		0	20	Orig=68F,t=PM
1821	3	20		0	21.1	Orig=70F,t=AM
1821	3	20		0	24.4	Orig=76F,t=PM
1821	3	21		0	21.1	Orig=70F,t=AM
1821	3	21		0	23.3	Orig=74F,t=PM
1821	3	22		0	21.7	Orig=71F,t=AM
1821	3	22		0	24.4	Orig=76F,t=PM
1821	3	23		0	21.7	Orig=71F,t=AM
1821	3	23		0	25.6	Orig=78F,t=PM
1821	3	24		0	23.3	Orig=74F,t=AM
1821	3	24		0	25.6	Orig=78F,t=PM
1821	3	25		0	23.3	Orig=74F,t=AM
1821	3	25		0	27.8	Orig=82F,t=PM
1821	3	26		0	23.9	Orig=75F,t=AM
1821	3	26		0	28.3	Orig=83F,t=PM
1821	3	27		0	23.9	Orig=75F,t=AM
1821	3	27		0	25.6	Orig=78F,t=PM
1821	3	28		0	22.2	Orig=72F,t=AM
1821	3	28		0	24.4	Orig=76F,t=PM
1821	3	29		0	19.4	Orig=67F,t=AM
1821	3	29		0	20.6	Orig=69F,t=PM
1821	3	30		0	18.9	Orig=66F,t=AM
1821	3	30		0	21.1	Orig=70F,t=PM
1821	3	31		0	18.9	Orig=66F,t=AM
1821	3	31		0	22.2	Orig=72F,t=PM
1821	4	1		0	19.4	Orig=67F,t=AM
1821	4	1		0	22.2	Orig=72F,t=PM
1821	4	2		0	18.9	Orig=66F,t=AM
1821	4	2		0	22.2	Orig=72F,t=PM
1821	4	3		0	21.1	Orig=70F,t=AM
1821	4	3		0	23.3	Orig=74F,t=PM
1821	4	4		0	20.6	Orig=69F,t=AM
1821	4	4		0	22.2	Orig=72F,t=PM
1821	4	5		0	20.6	Orig=69F,t=AM
1821	4	5		0	20	Orig=68F,t=PM
1821	4	6		0	17.8	Orig=64F,t=AM
1821	4	6		0	17.8	Orig=64F,t=PM
1821	4	7		0	17.8	Orig=64F,t=AM
1821	4	7		0	17.8	Orig=64F,t=PM
1821	4	8		0	18.3	Orig=65F,t=AM
1821	4	8		0	18.9	Orig=66F,t=PM
1821	4	9		0	17.8	Orig=64F,t=AM
1821	4	9		0	17.8	Orig=64F,t=PM
1821	4	10		0	17.8	Orig=64F,t=AM
1821	4	10		0	17.8	Orig=64F,t=PM
1821	4	11		0	16.7	Orig=62F,t=AM
1821	4	11		0	17.8	Orig=64F,t=PM
1821	4	12		0	16.7	Orig=62F,t=AM
1821	4	12		0	18.3	Orig=65F,t=PM
1821	4	13		0	17.2	Orig=63F,t=AM
1821	4	13		0	19.4	Orig=67F,t=PM
1821	4	14		0	17.2	Orig=63F,t=AM
1821	4	14		0	17.8	Orig=64F,t=PM
1821	4	15		0	18.3	Orig=65F,t=AM
1821	4	15		0	17.8	Orig=64F,t=PM
1821	4	16		0	16.7	Orig=62F,t=AM
1821	4	16		0	16.7	Orig=62F,t=PM
1821	4	17		0	15.6	Orig=60F,t=AM
1821	4	17		0	16.7	Orig=62F,t=PM
1821	4	18		0	16.1	Orig=61F,t=AM
1821	4	18		0	17.8	Orig=64F,t=PM
1821	4	19		0	16.7	Orig=62F,t=AM
1821	4	19		0	18.9	Orig=66F,t=PM
1821	4	20		0	16.7	Orig=62F,t=AM
1821	4	20		0	19.4	Orig=67F,t=PM
1821	4	21		0	18.9	Orig=66F,t=AM
1821	4	21		0	18.9	Orig=66F,t=PM
1821	4	22		0	17.8	Orig=64F,t=AM
1821	4	22		0	17.8	Orig=64F,t=PM
1821	4	23		0	16.1	Orig=61F,t=AM
1821	4	23		0	17.8	Orig=64F,t=PM
1821	4	24		0	16.7	Orig=62F,t=AM
1821	4	24		0	17.8	Orig=64F,t=PM
1821	4	25		0	16.7	Orig=62F,t=AM
1821	4	25		0	17.8	Orig=64F,t=PM
1821	4	26		0	16.7	Orig=62F,t=AM
1821	4	26		0	17.8	Orig=64F,t=PM
1821	4	27		0	16.7	Orig=62F,t=AM
1821	4	27		0	17.8	Orig=64F,t=PM
1821	4	28		0	16.1	Orig=61F,t=AM
1821	4	28		0	18.3	Orig=65F,t=PM
1821	4	29		0	16.7	Orig=62F,t=AM
1821	4	29		0	17.8	Orig=64F,t=PM
1821	4	30		0	16.7	Orig=62F,t=AM
1821	4	30		0	18.9	Orig=66F,t=PM
1821	5	1		0	16.7	Orig=62F,t=AM
1821	5	1		0	18.3	Orig=65F,t=PM
1821	5	2		0	16.7	Orig=62F,t=AM
1821	5	2		0	17.8	Orig=64F,t=PM
1821	5	3		0	17.2	Orig=63F,t=AM
1821	5	3		0	18.9	Orig=66F,t=PM
1821	5	4		0	16.7	Orig=62F,t=AM
1821	5	4		0	18.3	Orig=65F,t=PM
1821	5	5		0	15.6	Orig=60F,t=AM
1821	5	5		0	17.8	Orig=64F,t=PM
1821	5	6		0	16.7	Orig=62F,t=AM
1821	5	6		0	18.3	Orig=65F,t=PM
1821	5	7		0	16.7	Orig=62F,t=AM
1821	5	7		0	17.2	Orig=63F,t=PM
1821	5	8		0	14.4	Orig=58F,t=AM
1821	5	8		0	20	Orig=68F,t=PM
1821	5	9		0	15.6	Orig=60F,t=AM
1821	5	9		0	17.2	Orig=63F,t=PM
1821	5	10		0	15.6	Orig=60F,t=AM
1821	5	10		0	17.8	Orig=64F,t=PM
1821	5	11		0	14.4	Orig=58F,t=AM
1821	5	11		0	17.8	Orig=64F,t=PM
1821	5	12		0	15.6	Orig=60F,t=AM
1821	5	12		0	18.9	Orig=66F,t=PM
1821	5	13		0	15.6	Orig=60F,t=AM
1821	5	13		0	16.1	Orig=61F,t=PM
1821	5	14		0	15	Orig=59F,t=AM
1821	5	14		0	15.6	Orig=60F,t=PM
1821	5	15		0	15	Orig=59F,t=AM
1821	5	15		0	15.6	Orig=60F,t=PM
1821	5	16		0	15.6	Orig=60F,t=AM
1821	5	16		0	16.7	Orig=62F,t=PM
1821	5	17		0	15	Orig=59F,t=AM
1821	5	17		0	15.6	Orig=60F,t=PM
1821	5	18		0	13.9	Orig=57F,t=AM
1821	5	18		0	15	Orig=59F,t=PM
1821	5	19		0	13.9	Orig=57F,t=AM
1821	5	19		0	15	Orig=59F,t=PM
1821	5	20		0	13.9	Orig=57F,t=AM
1821	5	20		0	15.6	Orig=60F,t=PM
1821	5	21		0	13.3	Orig=56F,t=AM
1821	5	21		0	15	Orig=59F,t=PM
1821	5	22		0	13.3	Orig=56F,t=AM
1821	5	22		0	15	Orig=59F,t=PM
1821	5	23		0	13.3	Orig=56F,t=AM
1821	5	23		0	15.6	Orig=60F,t=PM
1821	5	24		0	13.3	Orig=56F,t=AM
1821	5	24		0	15.6	Orig=60F,t=PM
1821	5	25		0	13.9	Orig=57F,t=AM
1821	5	25		0	16.1	Orig=61F,t=PM
1821	5	26		0	13.9	Orig=57F,t=AM
1821	5	26		0	16.7	Orig=62F,t=PM
1821	5	27		0	14.4	Orig=58F,t=AM
1821	5	27		0	17.2	Orig=63F,t=PM
1821	5	28		0	15	Orig=59F,t=AM
1821	5	28		0	18.3	Orig=65F,t=PM
1821	5	29		0	16.7	Orig=62F,t=AM
1821	5	29		0	18.9	Orig=66F,t=PM
1821	5	30		0	15.6	Orig=60F,t=AM
1821	5	30		0	17.8	Orig=64F,t=PM
1821	5	31		0	16.7	Orig=62F,t=AM
1821	5	31		0	19.4	Orig=67F,t=PM
1821	6	1		0	16.7	Orig=62F,t=AM
1821	6	1		0	19.4	Orig=67F,t=PM
1821	6	2		0	18.9	Orig=66F,t=AM
1821	6	2		0	21.1	Orig=70F,t=PM
1821	6	3		0	16.7	Orig=62F,t=AM
1821	6	3		0	16.7	Orig=62F,t=PM
1821	6	4		0	16.7	Orig=62F,t=AM
1821	6	4		0	16.7	Orig=62F,t=PM
1821	6	5		0	15.6	Orig=60F,t=AM
1821	6	5		0	16.1	Orig=61F,t=PM
1821	6	6		0	14.4	Orig=58F,t=AM
1821	6	6		0	15.6	Orig=60F,t=PM
1821	6	7		0	15	Orig=59F,t=AM
1821	6	7		0	15.6	Orig=60F,t=PM
1821	6	8		0	15	Orig=59F,t=AM
1821	6	8		0	15	Orig=59F,t=PM
1821	6	9		0	13.9	Orig=57F,t=AM
1821	6	9		0	14.4	Orig=58F,t=PM
1821	6	10		0	13.3	Orig=56F,t=AM
1821	6	10		0	13.9	Orig=57F,t=PM
1821	6	11		0	13.9	Orig=57F,t=AM
1821	6	11		0	14.4	Orig=58F,t=PM
1821	6	12		0	14.4	Orig=58F,t=AM
1821	6	12		0	14.4	Orig=58F,t=PM
1821	6	13		0	12.8	Orig=55F,t=AM
1821	6	13		0	13.9	Orig=57F,t=PM
1821	6	14		0	12.2	Orig=54F,t=AM
1821	6	14		0	13.9	Orig=57F,t=PM
1821	6	15		0	12.8	Orig=55F,t=AM
1821	6	15		0	13.3	Orig=56F,t=PM
1821	6	16		0	12.8	Orig=55F,t=AM
1821	6	16		0	13.3	Orig=56F,t=PM
1821	6	17		0	14.4	Orig=58F,t=AM
1821	6	17		0	14.4	Orig=58F,t=PM
1821	6	18		0	14.4	Orig=58F,t=AM
1821	6	18		0	13.9	Orig=57F,t=PM
1821	6	19		0	12.8	Orig=55F,t=AM
1821	6	19		0	13.3	Orig=56F,t=PM
1821	6	20		0	10.6	Orig=51F,t=AM
1821	6	20		0	12.8	Orig=55F,t=PM
1821	6	21		0	11.1	Orig=52F,t=AM
1821	6	21		0	13.9	Orig=57F,t=PM
1821	6	22		0	12.2	Orig=54F,t=AM
1821	6	22		0	11.1	Orig=52F,t=PM
1821	6	23		0	13.9	Orig=57F,t=AM
1821	6	23		0	17.8	Orig=64F,t=PM
1821	6	24		0	15	Orig=59F,t=AM
1821	6	24		0	15	Orig=59F,t=PM
1821	6	25		0	13.3	Orig=56F,t=AM
1821	6	25		0	13.3	Orig=56F,t=PM
1821	6	26		0	12.8	Orig=55F,t=AM
1821	6	26		0	13.3	Orig=56F,t=PM
1821	6	27		0	11.1	Orig=52F,t=AM
1821	6	27		0	12.8	Orig=55F,t=PM
1821	6	28		0	11.1	Orig=52F,t=AM
1821	6	28		0	14.4	Orig=58F,t=PM
1821	6	29		0	13.3	Orig=56F,t=AM
1821	6	29		0	13.3	Orig=56F,t=PM
1821	6	30		0	13.3	Orig=56F,t=AM
1821	6	30		0	13.3	Orig=56F,t=PM
1821	7	1		0	13.3	Orig=56F,t=AM
1821	7	1		0	13.9	Orig=57F,t=PM
1821	7	2		0	11.1	Orig=52F,t=AM
1821	7	2		0	13.9	Orig=57F,t=PM
1821	7	3		0	12.2	Orig=54F,t=AM
1821	7	3		0	13.9	Orig=57F,t=PM
1821	7	4		0	11.7	Orig=53F,t=AM
1821	7	4		0	13.3	Orig=56F,t=PM
1821	7	5		0	10	Orig=50F,t=AM
1821	7	5		0	13.9	Orig=57F,t=PM
1821	7	6		0	11.7	Orig=53F,t=AM
1821	7	6		0	15	Orig=59F,t=PM
1821	7	7		0	12.2	Orig=54F,t=AM
1821	7	7		0	15.6	Orig=60F,t=PM
1821	7	8		0	13.9	Orig=57F,t=AM
1821	7	8		0	15	Orig=59F,t=PM
1821	7	9		0	12.8	Orig=55F,t=AM
1821	7	9		0	15	Orig=59F,t=PM
1821	7	10		0	12.2	Orig=54F,t=AM
1821	7	10		0	13.3	Orig=56F,t=PM
1821	7	11		0	12.2	Orig=54F,t=AM
