SEF	1.0.0
ID	Swartland
Name	Swartland
Lat	-33.4608
Lon	18.7271
Alt	123
Source	C3S_SouthAfrica
Link	https://data-rescue.copernicus-climate.eu/lso/1086285
Vbl	p
Stat	point
Units	hPa
Meta	Data policy=GNU GPL v3.0|PTC=N|PGC=Y
Year	Month	Day	Hour	Minute	Period	Value	Meta
1821	7	1	NA	NA	0	1015.8	Orig=30.03in|orig.time=AM
1821	7	1	NA	NA	0	1024.6	Orig=30.29in|orig.time=PM
1821	7	2	NA	NA	0	1016.5	Orig=30.05in|orig.time=AM
1821	7	2	NA	NA	0	1015.8	Orig=30.03in|orig.time=PM
1821	7	3	NA	NA	0	1015.8	Orig=30.03in|orig.time=AM
1821	7	3	NA	NA	0	1033	Orig=30.54in|orig.time=PM
1821	7	4	NA	NA	0	1032.7	Orig=30.53in|orig.time=AM
1821	7	4	NA	NA	0	1019.9	Orig=30.15in|orig.time=PM
1821	7	5	NA	NA	0	1015.5	Orig=30.02in|orig.time=AM
1821	7	5	NA	NA	0	1013.4	Orig=29.96in|orig.time=PM
1821	7	6	NA	NA	0	1010.7	Orig=29.88in|orig.time=AM
1821	7	6	NA	NA	0	1010	Orig=29.86in|orig.time=PM
1821	7	7	NA	NA	0	1010.7	Orig=29.88in|orig.time=AM
1821	7	7	NA	NA	0	1015.1	Orig=30.01in|orig.time=PM
1821	7	8	NA	NA	0	1015.1	Orig=30.01in|orig.time=AM
1821	7	8	NA	NA	0	1012.4	Orig=29.93in|orig.time=PM
1821	7	9	NA	NA	0	1014.1	Orig=29.98in|orig.time=AM
1821	7	9	NA	NA	0	1015.5	Orig=30.02in|orig.time=PM
1821	7	10	NA	NA	0	1018.5	Orig=30.11in|orig.time=AM
1821	7	10	NA	NA	0	1020.2	Orig=30.16in|orig.time=PM
1821	7	11	NA	NA	0	1021.5	Orig=30.2in|orig.time=AM
1821	7	11	NA	NA	0	1020.2	Orig=30.16in|orig.time=PM
1821	7	12	NA	NA	0	1018.2	Orig=30.1in|orig.time=AM
1821	7	12	NA	NA	0	1017.1	Orig=30.07in|orig.time=PM
1821	7	13	NA	NA	0	1016.5	Orig=30.05in|orig.time=AM
1821	7	13	NA	NA	0	1017.1	Orig=30.07in|orig.time=PM
1821	7	14	NA	NA	0	1031.7	Orig=30.5in|orig.time=AM
1821	7	14	NA	NA	0	1016.5	Orig=30.05in|orig.time=PM
1821	7	15	NA	NA	0	1015.1	Orig=30.01in|orig.time=AM
1821	7	15	NA	NA	0	1018.2	Orig=30.1in|orig.time=PM
1821	7	16	NA	NA	0	1012.4	Orig=29.93in|orig.time=AM
1821	7	16	NA	NA	0	1013.4	Orig=29.96in|orig.time=PM
1821	7	17	NA	NA	0	1015.8	Orig=30.03in|orig.time=AM
1821	7	17	NA	NA	0	1015.5	Orig=30.02in|orig.time=PM
1821	7	18	NA	NA	0	1025.1	Orig=30.3in|orig.time=AM
1821	7	18	NA	NA	0	1016.5	Orig=30.05in|orig.time=PM
1821	7	19	NA	NA	0	1014.1	Orig=29.98in|orig.time=AM
1821	7	19	NA	NA	0	1011.4	Orig=29.9in|orig.time=PM
1821	7	20	NA	NA	0	1011.1	Orig=29.89in|orig.time=AM
1821	7	20	NA	NA	0	1000.9	Orig=29.59in|orig.time=PM
1821	7	21	NA	NA	0	1011.4	Orig=29.9in|orig.time=AM
1821	7	21	NA	NA	0	1011.1	Orig=29.89in|orig.time=PM
1821	7	22	NA	NA	0	1011.4	Orig=29.9in|orig.time=AM
1821	7	22	NA	NA	0	1011.1	Orig=29.89in|orig.time=PM
1821	7	23	NA	NA	0	1010	Orig=29.86in|orig.time=AM
1821	7	23	NA	NA	0	1019.5	Orig=30.14in|orig.time=PM
1821	7	24	NA	NA	0	1021.2	Orig=30.19in|orig.time=AM
1821	7	24	NA	NA	0	1021.5	Orig=30.2in|orig.time=PM
1821	7	25	NA	NA	0	1018.8	Orig=30.12in|orig.time=AM
1821	7	25	NA	NA	0	1016.5	Orig=30.05in|orig.time=PM
1821	7	26	NA	NA	0	1015.8	Orig=30.03in|orig.time=AM
1821	7	26	NA	NA	0	1014.1	Orig=29.98in|orig.time=PM
1821	7	27	NA	NA	0	1013.8	Orig=29.97in|orig.time=AM
1821	7	27	NA	NA	0	1013.4	Orig=29.96in|orig.time=PM
1821	7	28	NA	NA	0	1012.7	Orig=29.94in|orig.time=AM
1821	7	28	NA	NA	0	1013.8	Orig=29.97in|orig.time=PM
1821	7	29	NA	NA	0	1014.1	Orig=29.98in|orig.time=AM
1821	7	29	NA	NA	0	1014.4	Orig=29.99in|orig.time=PM
1821	7	30	NA	NA	0	1017.8	Orig=30.09in|orig.time=AM
1821	7	30	NA	NA	0	1018.8	Orig=30.12in|orig.time=PM
1821	7	31	NA	NA	0	1021.5	Orig=30.2in|orig.time=AM
1821	7	31	NA	NA	0	1017.8	Orig=30.09in|orig.time=PM
1821	8	1	NA	NA	0	1011.7	Orig=29.91in|orig.time=AM
1821	8	1	NA	NA	0	1014.4	Orig=29.99in|orig.time=PM
1821	8	2	NA	NA	0	1017.8	Orig=30.09in|orig.time=AM
1821	8	2	NA	NA	0	1018.8	Orig=30.12in|orig.time=PM
1821	8	3	NA	NA	0	1018.2	Orig=30.1in|orig.time=AM
1821	8	3	NA	NA	0	1019.9	Orig=30.15in|orig.time=PM
1821	8	4	NA	NA	0	1019.5	Orig=30.14in|orig.time=AM
1821	8	4	NA	NA	0	1019.2	Orig=30.13in|orig.time=PM
1821	8	5	NA	NA	0	1017.8	Orig=30.09in|orig.time=AM
1821	8	5	NA	NA	0	1017.5	Orig=30.08in|orig.time=PM
1821	8	6	NA	NA	0	1018.8	Orig=30.12in|orig.time=AM
1821	8	6	NA	NA	0	1018.2	Orig=30.1in|orig.time=PM
1821	8	7	NA	NA	0	1018.2	Orig=30.1in|orig.time=AM
1821	8	7	NA	NA	0	1017.8	Orig=30.09in|orig.time=PM
1821	8	8	NA	NA	0	1018.2	Orig=30.1in|orig.time=AM
1821	8	8	NA	NA	0	1017.8	Orig=30.09in|orig.time=PM
1821	8	9	NA	NA	0	1019.2	Orig=30.13in|orig.time=AM
1821	8	9	NA	NA	0	1018.8	Orig=30.12in|orig.time=PM
1821	8	10	NA	NA	0	1018.2	Orig=30.1in|orig.time=AM
1821	8	10	NA	NA	0	1014.8	Orig=30in|orig.time=PM
1821	8	11	NA	NA	0	1013.8	Orig=29.97in|orig.time=AM
1821	8	11	NA	NA	0	1013.1	Orig=29.95in|orig.time=PM
1821	8	12	NA	NA	0	1011.4	Orig=29.9in|orig.time=AM
1821	8	12	NA	NA	0	1009	Orig=29.83in|orig.time=PM
1821	8	13	NA	NA	0	1008.7	Orig=29.82in|orig.time=AM
1821	8	13	NA	NA	0	1006.3	Orig=29.75in|orig.time=PM
1821	8	14	NA	NA	0	1010.7	Orig=29.88in|orig.time=AM
1821	8	14	NA	NA	0	1018.2	Orig=30.1in|orig.time=PM
1821	8	15	NA	NA	0	1020.2	Orig=30.16in|orig.time=AM
1821	8	15	NA	NA	0	1019.5	Orig=30.14in|orig.time=PM
1821	8	16	NA	NA	0	1021.5	Orig=30.2in|orig.time=AM
1821	8	16	NA	NA	0	1012.7	Orig=29.94in|orig.time=PM
1821	8	17	NA	NA	0	1012.4	Orig=29.93in|orig.time=AM
1821	8	17	NA	NA	0	1012.1	Orig=29.92in|orig.time=PM
1821	8	18	NA	NA	0	1011.4	Orig=29.9in|orig.time=AM
1821	8	18	NA	NA	0	1011.7	Orig=29.91in|orig.time=PM
1821	8	19	NA	NA	0	1013.4	Orig=29.96in|orig.time=AM
1821	8	19	NA	NA	0	1013.8	Orig=29.97in|orig.time=PM
1821	8	21	NA	NA	0	1015.1	Orig=30.01in|orig.time=AM
1821	8	21	NA	NA	0	1017.1	Orig=30.07in|orig.time=PM
