SEF	0.0.1
ID	Swartland
Name	Swartland
Lat	
Lon	
Alt	
Source	C3S_SouthAfrica
Repo	
Var	p
Units	Pa
Meta	PTC=F,PGC=F
Year	Month	Day	HHMM	TimeF	Value	Meta
1821	8	1		0	101287	Orig=29.91in,t=AM
1821	8	1		0	101558	Orig=29.99in,t=PM
1821	8	2		0	101896	Orig=30.09in,t=AM
1821	8	2		0	101998	Orig=30.12in,t=PM
1821	8	3		0	101930	Orig=30.1in,t=AM
1821	8	3		0	102100	Orig=30.15in,t=PM
1821	8	4		0	102066	Orig=30.14in,t=AM
1821	8	4		0	102032	Orig=30.13in,t=PM
1821	8	5		0	101896	Orig=30.09in,t=AM
1821	8	5		0	101863	Orig=30.08in,t=PM
1821	8	6		0	101998	Orig=30.12in,t=AM
1821	8	6		0	101930	Orig=30.1in,t=PM
1821	8	7		0	101930	Orig=30.1in,t=AM
1821	8	7		0	101896	Orig=30.09in,t=PM
1821	8	8		0	101930	Orig=30.1in,t=AM
1821	8	8		0	101896	Orig=30.09in,t=PM
1821	8	9		0	102032	Orig=30.13in,t=AM
1821	8	9		0	101998	Orig=30.12in,t=PM
1821	8	10		0	101930	Orig=30.1in,t=AM
1821	8	10		0	101592	Orig=30in,t=PM
1821	8	11		0	101490	Orig=29.97in,t=AM
1821	8	11		0	101422	Orig=29.95in,t=PM
1821	8	12		0	101253	Orig=29.9in,t=AM
1821	8	12		0	101016	Orig=29.83in,t=PM
1821	8	13		0	100982	Orig=29.82in,t=AM
1821	8	13		0	100745	Orig=29.75in,t=PM
1821	8	14		0	101185	Orig=29.88in,t=AM
1821	8	14		0	101930	Orig=30.1in,t=PM
1821	8	15		0	102133	Orig=30.16in,t=AM
1821	8	15		0	102066	Orig=30.14in,t=PM
1821	8	16		0	102269	Orig=30.2in,t=AM
1821	8	16		0	101388	Orig=29.94in,t=PM
1821	8	17		0	101355	Orig=29.93in,t=AM
1821	8	17		0	101321	Orig=29.92in,t=PM
1821	8	18		0	101253	Orig=29.9in,t=AM
1821	8	18		0	101287	Orig=29.91in,t=PM
1821	8	19		0	101456	Orig=29.96in,t=AM
1821	8	19		0	101490	Orig=29.97in,t=PM
1821	8	21		0	101626	Orig=30.01in,t=AM
1821	8	21		0	101829	Orig=30.07in,t=PM
1821	8	22		0	101964	Orig=30.11in,t=AM
1821	8	22		0	101930	Orig=30.1in,t=PM
1821	8	23		0	101964	Orig=30.11in,t=AM
1821	8	23		0	101659	Orig=30.02in,t=PM
1821	8	24		0	101422	Orig=29.95in,t=AM
1821	8	24		0	101524	Orig=29.98in,t=PM
1821	8	25		0	101355	Orig=29.93in,t=AM
1821	8	25		0	101592	Orig=30in,t=PM
1821	8	26		0	101592	Orig=30in,t=AM
1821	8	26		0	101253	Orig=29.9in,t=PM
1821	8	27		0	101253	Orig=29.9in,t=AM
1821	8	27		0	101592	Orig=30in,t=PM
1821	8	28		0	101592	Orig=30in,t=AM
1821	8	28		0	101388	Orig=29.94in,t=PM
1821	8	29		0	101050	Orig=29.84in,t=AM
1821	8	29		0	100881	Orig=29.79in,t=PM
1821	8	30		0	100982	Orig=29.82in,t=AM
1821	8	30		0	101084	Orig=29.85in,t=PM
1821	8	31		0	101084	Orig=29.85in,t=AM
1821	8	31		0	100914	Orig=29.8in,t=PM
1821	9	1		0	101084	Orig=29.85in,t=AM
1821	9	1		0	100914	Orig=29.8in,t=PM
1821	9	2		0	101050	Orig=29.84in,t=AM
1821	9	2		0	101287	Orig=29.91in,t=PM
1821	9	3		0	101896	Orig=30.09in,t=AM
1821	9	3		0	101626	Orig=30.01in,t=PM
1821	9	4		0	101118	Orig=29.86in,t=AM
1821	9	4		0	100813	Orig=29.77in,t=PM
1821	9	5		0	100813	Orig=29.77in,t=AM
1821	9	5		0	100576	Orig=29.7in,t=PM
1821	9	6		0	101321	Orig=29.92in,t=AM
1821	9	6		0	101626	Orig=30.01in,t=PM
1821	9	7		0	101727	Orig=30.04in,t=AM
1821	9	7		0	101524	Orig=29.98in,t=PM
1821	9	8		0	101253	Orig=29.9in,t=AM
1821	9	8		0	101185	Orig=29.88in,t=PM
1821	9	9		0	100982	Orig=29.82in,t=AM
1821	9	9		0	101151	Orig=29.87in,t=PM
1821	9	10		0	101084	Orig=29.85in,t=AM
1821	9	10		0	101118	Orig=29.86in,t=PM
1821	9	11		0	101016	Orig=29.83in,t=AM
1821	9	11		0	100982	Orig=29.82in,t=PM
1821	9	12		0	101016	Orig=29.83in,t=AM
1821	9	12		0	101050	Orig=29.84in,t=PM
1821	9	13		0	101185	Orig=29.88in,t=AM
1821	9	13		0	101219	Orig=29.89in,t=PM
1821	9	14		0	101185	Orig=29.88in,t=AM
1821	9	14		0	100948	Orig=29.81in,t=PM
1821	9	15		0	100914	Orig=29.8in,t=AM
1821	9	15		0	101016	Orig=29.83in,t=PM
1821	9	16		0	101185	Orig=29.88in,t=AM
1821	9	16		0	101287	Orig=29.91in,t=PM
1821	9	17		0	101118	Orig=29.86in,t=AM
1821	9	17		0	101355	Orig=29.93in,t=PM
1821	9	18		0	101151	Orig=29.87in,t=AM
1821	9	18		0	101490	Orig=29.97in,t=PM
1821	9	20		0	101185	Orig=29.88in,t=AM
1821	9	20		0	101219	Orig=29.89in,t=PM
1821	9	21		0	101219	Orig=29.89in,t=AM
1821	9	21		0	101219	Orig=29.89in,t=PM
1821	9	22		0	101219	Orig=29.89in,t=AM
1821	9	22		0	101185	Orig=29.88in,t=PM
1821	9	23		0	101185	Orig=29.88in,t=AM
1821	9	23		0	101185	Orig=29.88in,t=PM
1821	9	24		0	101185	Orig=29.88in,t=AM
1821	9	24		0	101693	Orig=30.03in,t=PM
1821	9	25		0	101896	Orig=30.09in,t=AM
1821	9	25		0	101930	Orig=30.1in,t=PM
1821	9	26		0	101829	Orig=30.07in,t=AM
1821	9	26		0	101592	Orig=30in,t=PM
1821	9	27		0	101388	Orig=29.94in,t=AM
1821	9	27		0	101185	Orig=29.88in,t=PM
1821	9	28		0	101253	Orig=29.9in,t=AM
1821	9	28		0	101558	Orig=29.99in,t=PM
1821	9	29		0	101727	Orig=30.04in,t=AM
1821	9	29		0	101592	Orig=30in,t=PM
1821	9	30		0	101422	Orig=29.95in,t=AM
