SEF	0.0.1
ID	Swartland
Name	Swartland
Lat	
Lon	
Alt	
Source	C3S_SouthAfrica
Repo	
Var	dd
Units	degree
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1821	8	1		0	225	Orig=SW,t=AM
1821	8	1		0	225	Orig=SW,t=PM
1821	8	3		0	0	Orig=N,t=AM
1821	8	3		0	135	Orig=SE,t=PM
1821	8	4		0	135	Orig=SE,t=AM
1821	8	4		0	270	Orig=W,t=PM
1821	8	5		0	225	Orig=SW,t=PM
1821	8	6		0	202	Orig=SSW,t=AM
1821	8	6		0	202	Orig=SSW,t=PM
1821	8	7		0	225	Orig=SW,t=AM
1821	8	7		0	135	Orig=SE,t=PM
1821	8	8		0	202	Orig=SSW,t=AM
1821	8	8		0	248	Orig=WSW,t=PM
1821	8	9		0	202	Orig=SSW,t=AM
1821	8	9		0	135	Orig=SE,t=PM
1821	8	11		0	135	Orig=SEbN,t=AM
1821	8	11		0	270	Orig=WbSW,t=PM
1821	8	12		0	270	Orig=W,t=AM
1821	8	12		0	315	Orig=NW,t=PM
1821	8	13		0	45	Orig=NE,t=AM
1821	8	13		0	0	Orig=N,t=PM
1821	8	14		0	315	Orig=NWbN,t=AM
1821	8	14		0	315	Orig=NW,t=PM
1821	8	17		0	45	Orig=NE,t=AM
1821	8	17		0	0	Orig=N,t=PM
1821	8	18		0	0	Orig=N,t=AM
1821	8	18		0	0	Orig=N,t=PM
1821	8	19		0	90	Orig=E,t=AM
1821	8	19		0	45	Orig=NE,t=PM
1821	8	21		0	0	Orig=N,t=AM
1821	8	21		0	270	Orig=W,t=PM
1821	8	23		0	225	Orig=SW,t=AM
1821	8	23		0	225	Orig=SW,t=PM
1821	8	24		0	90	Orig=E,t=AM
1821	8	24		0	0	Orig=N,t=PM
1821	8	25		0	0	Orig=N,t=AM
1821	8	25		0	225	Orig=SW,t=PM
1821	8	26		0	225	Orig=SW,t=AM
1821	8	26		0	225	Orig=SW,t=PM
1821	8	27		0	0	Orig=N,t=AM
1821	8	27		0	0	Orig=N,t=PM
1821	8	28		0	202	Orig=SSW,t=AM
1821	8	28		0	202	Orig=SSW,t=PM
1821	8	29		0	270	Orig=W,t=AM
1821	8	29		0	315	Orig=NW,t=PM
1821	8	30		0	315	Orig=NW,t=AM
1821	8	30		0	315	Orig=NW,t=PM
1821	8	31		0	0	Orig=N,t=AM
1821	8	31		0	0	Orig=N,t=PM
1821	9	1		0	0	Orig=N,t=AM
1821	9	1		0	315	Orig=NW,t=PM
1821	9	2		0	315	Orig=NW,t=AM
1821	9	2		0	270	Orig=W,t=PM
1821	9	3		0	225	Orig=SW,t=AM
1821	9	3		0	225	Orig=SWbN,t=PM
1821	9	4		0	0	Orig=N,t=AM
1821	9	4		0	315	Orig=NW,t=PM
1821	9	5		0	0	Orig=N,t=AM
1821	9	5		0	338	Orig=NNWbN,t=PM
1821	9	6		0	338	Orig=NNWbN,t=AM
1821	9	6		0	315	Orig=NWbW,t=PM
1821	9	9		0	225	Orig=SW,t=PM
1821	9	10		0	45	Orig=NE,t=AM
1821	9	10		0	135	Orig=SE,t=PM
1821	9	11		0	45	Orig=NE,t=AM
1821	9	11		0	315	Orig=NW,t=PM
1821	9	12		0	0	Orig=N,t=AM
1821	9	12		0	0	Orig=N,t=PM
1821	9	13		0	0	Orig=N,t=AM
1821	9	15		0	0	Orig=NbNW,t=AM
1821	9	15		0	270	Orig=W,t=PM
1821	9	16		0	225	Orig=SW,t=PM
1821	9	17		0	225	Orig=SW,t=AM
1821	9	17		0	202	Orig=SSW,t=PM
1821	9	18		0	135	Orig=SE,t=AM
1821	9	18		0	225	Orig=SWbSE,t=PM
1821	9	20		0	90	Orig=E,t=AM
1821	9	20		0	112	Orig=ESE,t=PM
1821	9	21		0	225	Orig=SW,t=PM
1821	9	22		0	248	Orig=WSW,t=PM
1821	9	23		0	45	Orig=NEbNW,t=AM
1821	9	23		0	0	Orig=N,t=PM
1821	9	24		0	22	Orig=NNEbNW,t=AM
1821	9	24		0	315	Orig=NW,t=PM
1821	9	25		0	315	Orig=NW,t=AM
1821	9	25		0	225	Orig=SW,t=PM
1821	9	26		0	90	Orig=E,t=AM
1821	9	26		0	225	Orig=SW,t=PM
1821	9	27		0	315	Orig=NWbSW,t=PM
1821	9	28		0	202	Orig=SSWbWNW,t=AM
1821	9	28		0	225	Orig=SW,t=PM
1821	9	29		0	202	Orig=SSW,t=AM
1821	9	29		0	225	Orig=SW,t=PM
1821	9	30		0	225	Orig=SW,t=AM
1821	9	30		0	225	Orig=SW,t=PM
1821	10	1		0	45	Orig=NE,t=AM
1821	10	1		0	0	Orig=N,t=PM
1821	10	2		0	315	Orig=NW,t=AM
1821	10	2		0	225	Orig=SW,t=PM
