SEF	1.0.0
ID	Swellendam
Name	Swellendam
Lat	-34.0257
Lon	20.4381
Alt	128
Source	C3S_SouthAfrica
Link	https://data-rescue.copernicus-climate.eu/lso/1086318
Vbl	dd
Stat	point
Units	degree
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1821	3	1	NA	NA	0	135	Orig=SE|orig.time=AM
1821	3	1	NA	NA	0	135	Orig=SE|orig.time=PM
1821	3	2	NA	NA	0	315	Orig=NW|orig.time=AM
1821	3	2	NA	NA	0	90	Orig=E|orig.time=PM
1821	3	3	NA	NA	0	135	Orig=SE|orig.time=AM
1821	3	3	NA	NA	0	135	Orig=SE|orig.time=PM
1821	3	4	NA	NA	0	315	Orig=NW|orig.time=AM
1821	3	4	NA	NA	0	315	Orig=NW|orig.time=PM
1821	3	5	NA	NA	0	315	Orig=NW|orig.time=PM
1821	3	6	NA	NA	0	135	Orig=SE|orig.time=PM
1821	3	7	NA	NA	0	135	Orig=SE|orig.time=AM
1821	3	7	NA	NA	0	157.5	Orig=SSE|orig.time=PM
1821	3	8	NA	NA	0	135	Orig=SE|orig.time=AM
1821	3	8	NA	NA	0	225	Orig=SW|orig.time=PM
1821	3	10	NA	NA	0	315	Orig=NW|orig.time=PM
1821	3	11	NA	NA	0	337.5	Orig=NNW|orig.time=PM
1821	3	12	NA	NA	0	90	Orig=E|orig.time=AM
1821	3	12	NA	NA	0	112.5	Orig=ESE|orig.time=PM
1821	3	13	NA	NA	0	135	Orig=SE|orig.time=PM
1821	3	15	NA	NA	0	135	Orig=SE|orig.time=AM
1821	3	15	NA	NA	0	135	Orig=SE|orig.time=PM
1821	3	16	NA	NA	0	135	Orig=SE|orig.time=PM
1821	3	17	NA	NA	0	135	Orig=SE|orig.time=AM
1821	3	17	NA	NA	0	157.5	Orig=SSE|orig.time=PM
1821	3	19	NA	NA	0	135	Orig=SE|orig.time=PM
1821	3	21	NA	NA	0	135	Orig=SE|orig.time=PM
1821	3	22	NA	NA	0	135	Orig=SE|orig.time=AM
1821	3	22	NA	NA	0	135	Orig=SE|orig.time=PM
1821	3	23	NA	NA	0	135	Orig=SE|orig.time=AM
1821	3	23	NA	NA	0	135	Orig=SE|orig.time=PM
1821	3	24	NA	NA	0	135	Orig=SE|orig.time=AM
1821	3	24	NA	NA	0	135	Orig=SE|orig.time=PM
1821	3	25	NA	NA	0	135	Orig=SE|orig.time=AM
1821	3	25	NA	NA	0	135	Orig=SE|orig.time=PM
1821	3	27	NA	NA	0	135	Orig=SE|orig.time=PM
1821	3	28	NA	NA	0	337.5	Orig=NNW|orig.time=PM
1821	3	29	NA	NA	0	315	Orig=NW|orig.time=AM
1821	3	30	NA	NA	0	315	Orig=NW|orig.time=PM
1821	4	3	NA	NA	0	135	Orig=SE|orig.time=PM
1821	4	5	NA	NA	0	135	Orig=SE|orig.time=PM
1821	4	6	NA	NA	0	135	Orig=SE|orig.time=AM
1821	4	6	NA	NA	0	135	Orig=SE|orig.time=PM
1821	4	7	NA	NA	0	135	Orig=SE|orig.time=AM
1821	4	7	NA	NA	0	157.5	Orig=SSE|orig.time=PM
1821	4	9	NA	NA	0	315	Orig=NW|orig.time=AM
1821	4	9	NA	NA	0	337.5	Orig=NNW|orig.time=PM
1821	4	10	NA	NA	0	0	Orig=N|orig.time=AM
1821	4	11	NA	NA	0	157.5	Orig=SSE|orig.time=AM
1821	4	11	NA	NA	0	135	Orig=SE|orig.time=PM
1821	4	12	NA	NA	0	270	Orig=W|orig.time=AM
1821	4	12	NA	NA	0	270	Orig=W|orig.time=PM
1821	4	13	NA	NA	0	315	Orig=NW|orig.time=PM
1821	4	14	NA	NA	0	315	Orig=NW|orig.time=AM
1821	4	14	NA	NA	0	315	Orig=NW|orig.time=PM
1821	4	15	NA	NA	0	337.5	Orig=NNW|orig.time=AM
1821	4	16	NA	NA	0	315	Orig=NW|orig.time=AM
1821	4	17	NA	NA	0	315	Orig=NW|orig.time=PM
1821	4	18	NA	NA	0	0	Orig=N|orig.time=AM
1821	4	19	NA	NA	0	90	Orig=E|orig.time=AM
1821	4	19	NA	NA	0	90	Orig=E|orig.time=PM
1821	4	20	NA	NA	0	90	Orig=E|orig.time=PM
1821	4	21	NA	NA	0	225	Orig=SW|orig.time=AM
1821	4	21	NA	NA	0	225	Orig=SW|orig.time=PM
1821	4	22	NA	NA	0	270	Orig=W|orig.time=AM
1821	4	22	NA	NA	0	225	Orig=SW|orig.time=PM
1821	4	23	NA	NA	0	0	Orig=N|orig.time=AM
1821	4	23	NA	NA	0	0	Orig=N|orig.time=PM
