SEF	0.0.1
ID	Uitenhage
Name	Uitenhage
Lat	-33.7687
Lon	25.4141
Alt	
Source	C3S_SouthAfrica
Repo	
Var	ta
Units	C
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1821	1	1		0	23.3	Orig=74F
1821	1	2		0	22.8	Orig=73F
1821	1	3		0	23.3	Orig=74F
1821	1	4		0	23.3	Orig=74F
1821	1	5		0	21.7	Orig=71F
1821	1	6		0	23.3	Orig=74F
1821	1	7		0	22.8	Orig=73F
1821	1	8		0	23.9	Orig=75F
1821	1	9		0	25	Orig=77F
1821	1	10		0	23.3	Orig=74F
1821	1	11		0	21.7	Orig=71F
1821	1	12		0	23.3	Orig=74F
1821	1	13		0	23.9	Orig=75F
1821	1	14		0	22.8	Orig=73F
1821	1	15		0	23.3	Orig=74F
1821	1	16		0	22.8	Orig=73F
1821	1	17		0	23.3	Orig=74F
1821	1	18		0	26.1	Orig=79F
1821	1	19		0	26.1	Orig=79F
1821	1	20		0	26.7	Orig=80F
1821	1	21		0	24.4	Orig=76F
1821	1	22		0	23.3	Orig=74F
1821	1	23		0	24.4	Orig=76F
1821	1	24		0	23.3	Orig=74F
1821	1	25		0	22.8	Orig=73F
1821	1	26		0	23.3	Orig=74F
1821	1	27		0	23.9	Orig=75F
1821	1	28		0	24.4	Orig=76F
1821	1	29		0	23.3	Orig=74F
1821	1	30		0	24.4	Orig=76F
1821	1	31		0	21.7	Orig=71F
1821	2	1		0	21.7	Orig=71F
1821	2	2		0	21.7	Orig=71F
1821	2	3		0	23.9	Orig=75F
1821	2	4		0	24.4	Orig=76F
1821	2	5		0	24.4	Orig=76F
1821	2	6		0	24.4	Orig=76F
1821	2	7		0	25.6	Orig=78F
1821	2	8		0	27.8	Orig=82F
1821	2	9		0	24.4	Orig=76F
1821	2	10		0	25	Orig=77F
1821	2	11		0	24.4	Orig=76F
1821	2	12		0	26.7	Orig=80F
1821	2	13		0	25.6	Orig=78F
1821	2	14		0	25	Orig=77F
1821	2	15		0	26.1	Orig=79F
1821	2	16		0	23.9	Orig=75F
1821	2	17		0	25.6	Orig=78F
1821	2	18		0	24.4	Orig=76F
1821	2	19		0	25.6	Orig=78F
1821	2	20		0	26.1	Orig=79F
1821	2	21		0	25	Orig=77F
1821	2	22		0	25	Orig=77F
1821	2	23		0	25.6	Orig=78F
1821	2	24		0	25	Orig=77F
1821	2	25		0	26.1	Orig=79F
1821	2	26		0	24.4	Orig=76F
1821	2	27		0	23.9	Orig=75F
1821	2	28		0	23.9	Orig=75F
1821	3	1		0	25.6	Orig=78F,t=AM
1821	3	1		0	26.1	Orig=79F,t=PM
1821	3	2		0	23.3	Orig=74F,t=AM
1821	3	2		0	23.9	Orig=75F,t=PM
1821	3	3		0	20	Orig=68F,t=AM
1821	3	3		0	20.6	Orig=69F,t=PM
1821	3	4		0	20	Orig=68F,t=AM
1821	3	4		0	21.1	Orig=70F,t=PM
