SEF	1.0.0
ID	Uitenhage
Name	Uitenhage
Lat	-33.7687
Lon	25.4141
Alt	103
Source	C3S_SouthAfrica
Link	https://data-rescue.copernicus-climate.eu/lso/1086323
Vbl	p
Stat	point
Units	hPa
Meta	Data policy=GNU GPL v3.0|PTC=N|PGC=Y
Year	Month	Day	Hour	Minute	Period	Value	Meta
1821	7	1	NA	NA	0	1021.6	Orig=30.2in|orig.time=Morning
1821	7	1	NA	NA	0	1023.3	Orig=30.25in|orig.time=Noon
1821	7	2	NA	NA	0	1022.3	Orig=30.22in|orig.time=Morning
1821	7	2	NA	NA	0	1017.5	Orig=30.08in|orig.time=Noon
1821	7	3	NA	NA	0	1016.5	Orig=30.05in|orig.time=Morning
1821	7	3	NA	NA	0	1021.6	Orig=30.2in|orig.time=Noon
1821	7	4	NA	NA	0	1023.3	Orig=30.25in|orig.time=Morning
1821	7	4	NA	NA	0	1021.6	Orig=30.2in|orig.time=Noon
1821	7	5	NA	NA	0	1020.9	Orig=30.18in|orig.time=Morning
1821	7	5	NA	NA	0	1019.9	Orig=30.15in|orig.time=Noon
1821	7	6	NA	NA	0	1018.2	Orig=30.1in|orig.time=Morning
1821	7	6	NA	NA	0	1014.8	Orig=30in|orig.time=Noon
1821	7	7	NA	NA	0	1016.2	Orig=30.04in|orig.time=Morning
1821	7	7	NA	NA	0	1020.6	Orig=30.17in|orig.time=Noon
1821	7	8	NA	NA	0	1020.6	Orig=30.17in|orig.time=Morning
1821	7	8	NA	NA	0	1016.5	Orig=30.05in|orig.time=Noon
1821	7	9	NA	NA	0	1017.5	Orig=30.08in|orig.time=Morning
1821	7	9	NA	NA	0	1019.9	Orig=30.15in|orig.time=Noon
1821	7	10	NA	NA	0	1020.9	Orig=30.18in|orig.time=Morning
1821	7	10	NA	NA	0	1025	Orig=30.3in|orig.time=Noon
1821	7	11	NA	NA	0	1027	Orig=30.36in|orig.time=Morning
1821	7	11	NA	NA	0	1026.3	Orig=30.34in|orig.time=Noon
1821	7	12	NA	NA	0	1023.6	Orig=30.26in|orig.time=Morning
1821	7	12	NA	NA	0	1020.6	Orig=30.17in|orig.time=Noon
1821	7	13	NA	NA	0	1018.9	Orig=30.12in|orig.time=Morning
