SEF	0.0.1
ID	Uitenhage
Name	Uitenhage
Lat	-33.7687
Lon	25.4141
Alt	
Source	C3S_SouthAfrica
Repo	
Var	p
Units	Pa
Meta	PTC=F,PGC=F
Year	Month	Day	HHMM	TimeF	Value	Meta
1821	7	1		0	102269	Orig=30.2in,t=Morning
1821	7	1		0	102438	Orig=30.25in,t=Noon
1821	7	2		0	102337	Orig=30.22in,t=Morning
1821	7	2		0	101863	Orig=30.08in,t=Noon
1821	7	3		0	101761	Orig=30.05in,t=Morning
1821	7	3		0	102269	Orig=30.2in,t=Noon
1821	7	4		0	102438	Orig=30.25in,t=Morning
1821	7	4		0	102269	Orig=30.2in,t=Noon
1821	7	5		0	102201	Orig=30.18in,t=Morning
1821	7	5		0	102100	Orig=30.15in,t=Noon
1821	7	6		0	101930	Orig=30.1in,t=Morning
1821	7	6		0	101592	Orig=30in,t=Noon
1821	7	7		0	101727	Orig=30.04in,t=Morning
1821	7	7		0	102167	Orig=30.17in,t=Noon
1821	7	8		0	102167	Orig=30.17in,t=Morning
1821	7	8		0	101761	Orig=30.05in,t=Noon
1821	7	9		0	101863	Orig=30.08in,t=Morning
1821	7	9		0	102100	Orig=30.15in,t=Noon
1821	7	10		0	102201	Orig=30.18in,t=Morning
1821	7	10		0	102608	Orig=30.3in,t=Noon
1821	7	11		0	102811	Orig=30.36in,t=Morning
1821	7	11		0	102743	Orig=30.34in,t=Noon
1821	7	12		0	102472	Orig=30.26in,t=Morning
1821	7	12		0	102167	Orig=30.17in,t=Noon
1821	7	13		0	101998	Orig=30.12in,t=Morning
1821	7	13		0	101930	Orig=30.1in,t=Noon
1821	7	14		0	102201	Orig=30.18in,t=Morning
1821	7	14		0	102269	Orig=30.2in,t=Noon
1821	7	15		0	102269	Orig=30.2in,t=Morning
1821	7	15		0	102100	Orig=30.15in,t=Noon
1821	7	16		0	101863	Orig=30.08in,t=Morning
1821	7	16		0	101761	Orig=30.05in,t=Noon
1821	7	17		0	102133	Orig=30.16in,t=Morning
1821	7	17		0	101930	Orig=30.1in,t=Noon
1821	7	18		0	101795	Orig=30.06in,t=Morning
1821	7	18		0	102100	Orig=30.15in,t=Noon
1821	7	19		0	102371	Orig=30.23in,t=Morning
1821	7	19		0	101761	Orig=30.05in,t=Noon
1821	7	20		0	101659	Orig=30.02in,t=Morning
1821	7	20		0	101592	Orig=30in,t=Noon
1821	7	21		0	101795	Orig=30.06in,t=Morning
1821	7	21		0	101659	Orig=30.02in,t=Noon
1821	7	22		0	101727	Orig=30.04in,t=Morning
1821	7	22		0	101592	Orig=30in,t=Noon
1821	7	23		0	101185	Orig=29.88in,t=Morning
1821	7	23		0	102100	Orig=30.15in,t=Noon
1821	7	24		0	102371	Orig=30.23in,t=Morning
1821	7	24		0	102709	Orig=30.33in,t=Noon
1821	7	25		0	102608	Orig=30.3in,t=Morning
1821	7	25		0	101964	Orig=30.11in,t=Noon
1821	7	26		0	101930	Orig=30.1in,t=Morning
1821	7	26		0	101930	Orig=30.1in,t=Noon
1821	7	27		0	101863	Orig=30.08in,t=Morning
1821	7	27		0	101761	Orig=30.05in,t=Noon
1821	7	28		0	101761	Orig=30.05in,t=Morning
1821	7	28		0	101592	Orig=30in,t=Noon
1821	7	29		0	101592	Orig=30in,t=Morning
1821	7	29		0	101693	Orig=30.03in,t=Noon
1821	7	30		0	101761	Orig=30.05in,t=Morning
1821	7	30		0	102608	Orig=30.3in,t=Noon
1821	7	31		0	102946	Orig=30.4in,t=Morning
1821	7	31		0	102540	Orig=30.28in,t=Noon
1821	9	1		0	101930	Orig=30.1in,t=Morning
1821	9	1		0	102133	Orig=30.16in,t=Noon
1821	9	2		0	101998	Orig=30.12in,t=Morning
1821	9	2		0	101930	Orig=30.1in,t=Noon
1821	9	3		0	102100	Orig=30.15in,t=Morning
1821	9	3		0	102269	Orig=30.2in,t=Noon
1821	9	4		0	101930	Orig=30.1in,t=Morning
1821	9	4		0	101253	Orig=29.9in,t=Noon
1821	9	5		0	101118	Orig=29.86in,t=Morning
1821	9	5		0	100576	Orig=29.7in,t=Noon
1821	9	6		0	101422	Orig=29.95in,t=Morning
1821	9	6		0	101930	Orig=30.1in,t=Noon
1821	9	7		0	102269	Orig=30.2in,t=Morning
1821	9	7		0	102438	Orig=30.25in,t=Noon
1821	9	8		0	102269	Orig=30.2in,t=Morning
1821	9	8		0	101795	Orig=30.06in,t=Noon
1821	9	9		0	101422	Orig=29.95in,t=Morning
1821	9	9		0	101355	Orig=29.93in,t=Noon
1821	9	10		0	101592	Orig=30in,t=Morning
1821	9	10		0	102438	Orig=30.25in,t=Noon
