SEF	1.0.0
ID	DWR_Abra_Pampa
Name	Abra Pampa
Lat	-22.7227
Lon	-65.697
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1084834
Vbl	dd
Stat	point
Units	degree
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	7	16	18	17	0	270	Orig=W|orig.time=2pm
1902	7	17	18	17	0	270	Orig=W|orig.time=2pm
1902	7	18	18	17	0	270	Orig=W|orig.time=2pm
1902	7	19	18	17	0	270	Orig=W|orig.time=2pm
1902	7	20	18	17	0	0	Orig=N|orig.time=2pm
1902	7	21	18	17	0	270	Orig=W|orig.time=2pm
1902	7	23	18	17	0	0	Orig=N|orig.time=2pm
1902	7	25	18	17	0	0	Orig=N|orig.time=2pm
1902	7	26	18	17	0	270	Orig=W|orig.time=2pm
1902	7	27	18	17	0	0	Orig=N|orig.time=2pm
1902	7	28	18	17	0	0	Orig=N|orig.time=2pm
1902	7	30	18	17	0	0	Orig=N|orig.time=2pm
1902	7	31	18	17	0	0	Orig=N|orig.time=2pm
1902	8	1	18	17	0	270	Orig=W|orig.time=2pm
1902	8	2	18	17	0	270	Orig=W|orig.time=2pm
1902	8	6	18	17	0	0	Orig=N|orig.time=2pm
1902	8	7	18	17	0	270	Orig=W|orig.time=2pm
1902	8	8	18	17	0	270	Orig=W|orig.time=2pm
1902	8	9	18	17	0	0	Orig=N|orig.time=2pm
1902	8	10	18	17	0	0	Orig=N|orig.time=2pm
1902	8	11	18	17	0	270	Orig=W|orig.time=2pm
1902	8	12	18	17	0	270	Orig=W|orig.time=2pm
1902	8	13	18	17	0	0	Orig=N|orig.time=2pm
1902	8	14	18	17	0	270	Orig=W|orig.time=2pm
1902	8	15	18	17	0	270	Orig=W|orig.time=2pm
1902	8	16	18	17	0	270	Orig=W|orig.time=2pm
1902	8	17	18	17	0	270	Orig=W|orig.time=2pm
1902	8	19	18	17	0	270	Orig=W|orig.time=2pm
1902	8	21	18	17	0	270	Orig=W|orig.time=2pm
1902	8	22	18	17	0	270	Orig=W|orig.time=2pm
1902	8	23	18	17	0	270	Orig=W|orig.time=2pm
1902	8	24	18	17	0	270	Orig=W|orig.time=2pm
1902	8	25	18	17	0	270	Orig=W|orig.time=2pm
1902	8	26	18	17	0	270	Orig=W|orig.time=2pm
1902	8	27	18	17	0	270	Orig=W|orig.time=2pm
1902	8	30	18	17	0	270	Orig=W|orig.time=2pm
1902	9	4	11	17	0	0	Orig=N|orig.time=7am
1902	9	13	11	17	0	0	Orig=N|orig.time=7am
1902	9	25	11	17	0	0	Orig=N|orig.time=7am
1902	9	26	11	17	0	270	Orig=W|orig.time=7am
1902	9	30	11	17	0	0	Orig=N|orig.time=7am
1902	10	1	11	17	0	0	Orig=N|orig.time=7am
1902	10	3	11	17	0	0	Orig=N|orig.time=7am
1902	10	5	11	17	0	0	Orig=N|orig.time=7am
1902	10	11	11	17	0	90	Orig=E|orig.time=7am
1902	10	18	11	17	0	0	Orig=N|orig.time=7am
1902	10	26	11	17	0	0	Orig=N|orig.time=7am
1902	10	28	11	17	0	270	Orig=W|orig.time=7am
1902	10	31	11	17	0	0	Orig=N|orig.time=7am
1902	11	1	11	17	0	0	Orig=N|orig.time=7am
1902	11	3	11	17	0	45	Orig=NE|orig.time=7am
1902	11	5	11	17	0	270	Orig=W|orig.time=7am
1902	11	8	11	17	0	0	Orig=N|orig.time=7am
1902	11	15	11	17	0	0	Orig=N|orig.time=7am
1902	11	16	11	17	0	0	Orig=N|orig.time=7am
1902	11	19	11	17	0	0	Orig=N|orig.time=7am
1902	11	21	11	17	0	0	Orig=N|orig.time=7am
1902	11	27	11	17	0	270	Orig=W|orig.time=7am
1902	11	28	11	17	0	0	Orig=N|orig.time=7am
1902	11	29	11	17	0	0	Orig=N|orig.time=7am
1902	11	30	11	17	0	0	Orig=N|orig.time=7am
1902	12	9	11	17	0	0	Orig=N|orig.time=7am
1902	12	17	11	17	0	315	Orig=NW|orig.time=7am
1902	12	28	11	17	0	0	Orig=N|orig.time=7am
1902	12	30	11	17	0	0	Orig=N|orig.time=7am
1902	12	31	11	17	0	0	Orig=N|orig.time=7am
