SEF	0.0.1
ID	DWR_AndalgalA!
Name	Andalgalá
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	dd
Units	degree
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	3	3	1817	0	45	Orig=NE
1902	3	7	1817	0	45	Orig=NE
1902	3	8	1817	0	45	Orig=NE
1902	3	10	1817	0	45	Orig=NE
1902	3	15	1817	0	90	Orig=E
1902	3	24	1817	0	90	Orig=E
1902	7	8	1817	0	135	Orig=SE
1902	7	10	1817	0	315	Orig=NW
1902	7	14	1817	0	180	Orig=S
1902	7	26	1817	0	270	Orig=W
1902	7	27	1817	0	270	Orig=W
1902	8	15	1817	0	90	Orig=E
1902	8	22	1817	0	315	Orig=NW
1902	8	25	1817	0	180	Orig=S
1902	10	11	1117	0	225	Orig=SW
1902	10	16	1117	0	45	Orig=NE
1902	10	18	1117	0	45	Orig=NE
1902	10	20	1117	0	45	Orig=NE
1902	10	21	1117	0	45	Orig=NE
1902	10	22	1117	0	45	Orig=NE
1902	10	23	1117	0	45	Orig=NE
1902	10	25	1117	0	45	Orig=NE
1902	11	6	1117	0	45	Orig=NE
1902	12	1	1117	0	45	Orig=NE
1902	12	3	1117	0	45	Orig=NE
1902	12	10	1117	0	45	Orig=NE
1902	12	11	1117	0	45	Orig=NE
1902	12	25	1117	0	45	Orig=NE
