SEF	1.0.0
ID	DWR_Arroyitos
Name	Arroyitos
Lat	-31.4192
Lon	-63.0509
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1084870
Vbl	dd
Stat	point
Units	degree
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	7	6	18	17	0	180	Orig=S|orig.time=2pm
1902	7	8	18	17	0	270	Orig=W|orig.time=2pm
1902	7	9	18	17	0	135	Orig=SE|orig.time=2pm
1902	7	10	18	17	0	180	Orig=S|orig.time=2pm
1902	7	12	18	17	0	45	Orig=NE|orig.time=2pm
1902	7	15	18	17	0	180	Orig=S|orig.time=2pm
1902	7	16	18	17	0	180	Orig=S|orig.time=2pm
1902	7	17	18	17	0	180	Orig=S|orig.time=2pm
1902	7	18	18	17	0	180	Orig=S|orig.time=2pm
1902	7	19	18	17	0	180	Orig=S|orig.time=2pm
1902	7	21	18	17	0	270	Orig=W|orig.time=2pm
1902	7	23	18	17	0	270	Orig=W|orig.time=2pm
1902	7	24	18	17	0	270	Orig=W|orig.time=2pm
1902	7	25	18	17	0	45	Orig=NE|orig.time=2pm
1902	7	26	18	17	0	270	Orig=W|orig.time=2pm
1902	7	27	18	17	0	270	Orig=W|orig.time=2pm
1902	7	28	18	17	0	45	Orig=NE|orig.time=2pm
1902	7	29	18	17	0	135	Orig=SE|orig.time=2pm
1902	7	30	18	17	0	225	Orig=SW|orig.time=2pm
1902	7	31	18	17	0	270	Orig=W|orig.time=2pm
1902	8	1	18	17	0	0	Orig=N|orig.time=2pm
1902	8	2	18	17	0	225	Orig=SW|orig.time=2pm
1902	8	3	18	17	0	225	Orig=SW|orig.time=2pm
1902	8	4	18	17	0	225	Orig=SW|orig.time=2pm
1902	8	8	18	17	0	270	Orig=W|orig.time=2pm
1902	8	9	18	17	0	270	Orig=W|orig.time=2pm
1902	8	10	18	17	0	270	Orig=W|orig.time=2pm
1902	8	11	18	17	0	270	Orig=W|orig.time=2pm
1902	8	12	18	17	0	270	Orig=W|orig.time=2pm
1902	8	13	18	17	0	270	Orig=W|orig.time=2pm
1902	8	14	18	17	0	270	Orig=W|orig.time=2pm
1902	8	15	18	17	0	270	Orig=W|orig.time=2pm
1902	8	16	18	17	0	270	Orig=W|orig.time=2pm
1902	8	17	18	17	0	270	Orig=W|orig.time=2pm
1902	8	18	18	17	0	270	Orig=W|orig.time=2pm
1902	8	19	18	17	0	270	Orig=W|orig.time=2pm
1902	8	20	18	17	0	270	Orig=W|orig.time=2pm
1902	8	21	18	17	0	270	Orig=W|orig.time=2pm
1902	8	23	18	17	0	270	Orig=W|orig.time=2pm
1902	8	24	18	17	0	270	Orig=W|orig.time=2pm
1902	8	25	18	17	0	45	Orig=NE|orig.time=2pm
1902	8	26	18	17	0	45	Orig=NE|orig.time=2pm
1902	8	28	18	17	0	225	Orig=SW|orig.time=2pm
1902	8	30	18	17	0	45	Orig=NE|orig.time=2pm
1902	9	12	11	17	0	45	Orig=NE|orig.time=7am
1902	9	16	11	17	0	270	Orig=W|orig.time=7am
1902	9	18	11	17	0	225	Orig=SW|orig.time=7am
1902	9	19	11	17	0	225	Orig=SW|orig.time=7am
1902	9	20	11	17	0	225	Orig=SW|orig.time=7am
1902	9	22	11	17	0	270	Orig=W|orig.time=7am
1902	9	23	11	17	0	225	Orig=SW|orig.time=7am
1902	9	25	11	17	0	315	Orig=NW|orig.time=7am
1902	9	28	11	17	0	180	Orig=S|orig.time=7am
1902	10	3	11	17	0	45	Orig=NE|orig.time=7am
1902	10	7	11	17	0	45	Orig=NE|orig.time=7am
1902	10	10	11	17	0	180	Orig=S|orig.time=7am
1902	10	11	11	17	0	225	Orig=SW|orig.time=7am
1902	10	14	11	17	0	180	Orig=S|orig.time=7am
1902	10	17	11	17	0	180	Orig=S|orig.time=7am
1902	10	18	11	17	0	180	Orig=S|orig.time=7am
1902	10	19	11	17	0	180	Orig=S|orig.time=7am
1902	10	22	11	17	0	225	Orig=SW|orig.time=7am
1902	10	26	11	17	0	270	Orig=W|orig.time=7am
1902	10	28	11	17	0	225	Orig=SW|orig.time=7am
1902	10	29	11	17	0	225	Orig=SW|orig.time=7am
1902	10	30	11	17	0	180	Orig=S|orig.time=7am
1902	11	1	11	17	0	225	Orig=SW|orig.time=7am
1902	11	2	11	17	0	225	Orig=SW|orig.time=7am
1902	11	4	11	17	0	180	Orig=S|orig.time=7am
1902	11	5	11	17	0	180	Orig=S|orig.time=7am
1902	11	8	11	17	0	225	Orig=SW|orig.time=7am
1902	11	9	11	17	0	225	Orig=SW|orig.time=7am
1902	11	12	11	17	0	225	Orig=SW|orig.time=7am
1902	11	13	11	17	0	225	Orig=SW|orig.time=7am
1902	11	14	11	17	0	180	Orig=S|orig.time=7am
1902	11	15	11	17	0	225	Orig=SW|orig.time=7am
1902	11	16	11	17	0	225	Orig=SW|orig.time=7am
1902	11	17	11	17	0	225	Orig=SW|orig.time=7am
1902	11	18	11	17	0	225	Orig=SW|orig.time=7am
1902	11	24	11	17	0	225	Orig=SW|orig.time=7am
1902	11	25	11	17	0	180	Orig=S|orig.time=7am
1902	11	26	11	17	0	180	Orig=S|orig.time=7am
1902	11	29	11	17	0	225	Orig=SW|orig.time=7am
1902	11	30	11	17	0	225	Orig=SW|orig.time=7am
1902	12	2	11	17	0	315	Orig=NW|orig.time=7am
1902	12	4	11	17	0	225	Orig=SW|orig.time=7am
1902	12	6	11	17	0	225	Orig=SW|orig.time=7am
1902	12	7	11	17	0	225	Orig=SW|orig.time=7am
1902	12	8	11	17	0	225	Orig=SW|orig.time=7am
