SEF	1.0.0
ID	DWR_B._Mitre
Name	B. Mitre
Lat	-27.3833
Lon	-55.8833
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1084919
Vbl	wind_force
Stat	point
Units	NA
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	9	2	11	17	0	1	orig.time=7am
1902	9	3	11	17	0	1	orig.time=7am
1902	9	4	11	17	0	2	orig.time=7am
1902	9	5	11	17	0	1	orig.time=7am
1902	9	6	11	17	0	3	orig.time=7am
1902	9	7	11	17	0	1	orig.time=7am
1902	9	8	11	17	0	2	orig.time=7am
1902	9	10	11	17	0	1	orig.time=7am
1902	9	11	11	17	0	1	orig.time=7am
1902	9	12	11	17	0	1	orig.time=7am
1902	9	13	11	17	0	1	orig.time=7am
1902	9	14	11	17	0	1	orig.time=7am
1902	9	15	11	17	0	1	orig.time=7am
1902	9	16	11	17	0	1	orig.time=7am
1902	9	17	11	17	0	1	orig.time=7am
1902	10	17	11	17	0	1	orig.time=7am
1902	10	18	11	17	0	1	orig.time=7am
1902	10	19	11	17	0	1	orig.time=7am
1902	10	20	11	17	0	1	orig.time=7am
1902	10	21	11	17	0	1	orig.time=7am
1902	10	22	11	17	0	1	orig.time=7am
1902	10	23	11	17	0	2	orig.time=7am
1902	10	24	11	17	0	2	orig.time=7am
1902	10	25	11	17	0	1	orig.time=7am
1902	10	26	11	17	0	1	orig.time=7am
1902	10	27	11	17	0	1	orig.time=7am
1902	10	28	11	17	0	2	orig.time=7am
1902	10	29	11	17	0	1	orig.time=7am
1902	10	30	11	17	0	1	orig.time=7am
1902	10	31	11	17	0	2	orig.time=7am
1902	11	1	11	17	0	1	orig.time=7am
1902	11	2	11	17	0	2	orig.time=7am
1902	11	3	11	17	0	2	orig.time=7am
1902	11	4	11	17	0	1	orig.time=7am
1902	11	5	11	17	0	1	orig.time=7am
1902	11	6	11	17	0	2	orig.time=7am
1902	11	7	11	17	0	2	orig.time=7am
1902	11	8	11	17	0	2	orig.time=7am
1902	11	9	11	17	0	3	orig.time=7am
1902	11	10	11	17	0	1	orig.time=7am
1902	11	11	11	17	0	2	orig.time=7am
1902	11	12	11	17	0	2	orig.time=7am
1902	11	13	11	17	0	1	orig.time=7am
1902	11	14	11	17	0	2	orig.time=7am
1902	11	15	11	17	0	2	orig.time=7am
1902	11	16	11	17	0	1	orig.time=7am
1902	11	17	11	17	0	2	orig.time=7am
1902	11	18	11	17	0	0	orig.time=7am
1902	11	19	11	17	0	2	orig.time=7am
1902	11	20	11	17	0	2	orig.time=7am
1902	11	21	11	17	0	2	orig.time=7am
1902	11	22	11	17	0	2	orig.time=7am
1902	11	23	11	17	0	2	orig.time=7am
1902	11	24	11	17	0	1	orig.time=7am
1902	11	25	11	17	0	2	orig.time=7am
1902	11	26	11	17	0	3	orig.time=7am
1902	11	27	11	17	0	1	orig.time=7am
