SEF	0.0.1
ID	DWR_B._Mitre
Name	B. Mitre
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	rh
Units	%
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	9	2	1117	0	73	
1902	9	3	1117	0	100	
1902	9	4	1117	0	74	
1902	9	5	1117	0	86	
1902	9	6	1117	0	63	
1902	9	7	1117	0	71	
1902	9	8	1117	0	88	
1902	9	10	1117	0	86	
1902	9	11	1117	0	84	
1902	9	12	1117	0	83	
1902	9	13	1117	0	86	
1902	9	14	1117	0	76	
1902	9	15	1117	0	86	
1902	9	16	1117	0	73	
1902	9	17	1117	0	75	
1902	9	18	1117	0	80	
1902	10	17	1117	0	64	
1902	10	18	1117	0	87	
1902	10	19	1117	0	89	
1902	10	20	1117	0	89	
1902	10	21	1117	0	81	
1902	10	22	1117	0	82	
1902	10	23	1117	0	90	
1902	10	24	1117	0	100	
1902	10	25	1117	0	89	
1902	10	26	1117	0	89	
1902	10	27	1117	0	75	
1902	10	28	1117	0	77	
1902	10	29	1117	0	90	
1902	10	30	1117	0	89	
1902	10	31	1117	0	78	
1902	11	1	1117	0	79	
1902	11	2	1117	0	67	
1902	11	3	1117	0	78	
1902	11	4	1117	0	78	
1902	11	5	1117	0	82	
1902	11	6	1117	0	90	
1902	11	7	1117	0	90	
1902	11	8	1117	0	91	
1902	11	9	1117	0	89	
1902	11	10	1117	0	77	
1902	11	11	1117	0	89	
1902	11	12	1117	0	71	
1902	11	13	1117	0	79	
1902	11	14	1117	0	80	
1902	11	15	1117	0	90	
1902	11	16	1117	0	72	
1902	11	17	1117	0	71	
1902	11	18	1117	0	81	
1902	11	19	1117	0	90	
1902	11	20	1117	0	81	
1902	11	21	1117	0	91	
1902	11	22	1117	0	82	
1902	11	23	1117	0	82	
1902	11	24	1117	0	69	
1902	11	25	1117	0	91	
1902	11	26	1117	0	76	
1902	11	27	1117	0	75	
