SEF	0.0.1
ID	DWR_B._Mitre
Name	B. Mitre
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	mslp
Units	Pa
Meta	PGC=F
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	10	20	1117	0	101205	Orig=759.1mm
1902	10	21	1117	0	101245	Orig=759.4mm
1902	10	22	1117	0	100698	Orig=755.3mm
1902	10	23	1117	0	100832	Orig=756.3mm
1902	10	24	1117	0	100685	Orig=755.2mm
1902	10	25	1117	0	101218	Orig=759.2mm
1902	10	26	1117	0	100872	Orig=756.6mm
1902	10	27	1117	0	101992	Orig=765mm
1902	10	28	1117	0	101725	Orig=763mm
1902	10	29	1117	0	101325	Orig=760mm
1902	10	30	1117	0	101725	Orig=763mm
1902	10	31	1117	0	102072	Orig=765.6mm
1902	11	1	1117	0	101138	Orig=758.6mm
1902	11	2	1117	0	101818	Orig=763.7mm
1902	11	3	1117	0	101565	Orig=761.8mm
1902	11	4	1117	0	101285	Orig=759.7mm
1902	11	5	1117	0	101098	Orig=758.3mm
1902	11	6	1117	0	99992	Orig=750mm
1902	11	7	1117	0	100498	Orig=753.8mm
1902	11	8	1117	0	99952	Orig=749.7mm
1902	11	9	1117	0	100938	Orig=757.1mm
1902	11	10	1117	0	101778	Orig=763.4mm
1902	11	11	1117	0	101765	Orig=763.3mm
1902	11	12	1117	0	101352	Orig=760.2mm
1902	11	13	1117	0	101338	Orig=760.1mm
1902	11	14	1117	0	101085	Orig=758.2mm
1902	11	15	1117	0	101245	Orig=759.4mm
1902	11	16	1117	0	101898	Orig=764.3mm
1902	11	17	1117	0	102032	Orig=765.3mm
1902	11	18	1117	0	101365	Orig=760.3mm
1902	11	19	1117	0	101738	Orig=763.1mm
1902	11	20	1117	0	101632	Orig=762.3mm
1902	11	21	1117	0	101272	Orig=759.6mm
1902	11	22	1117	0	100938	Orig=757.1mm
1902	11	23	1117	0	100898	Orig=756.8mm
1902	11	24	1117	0	101352	Orig=760.2mm
1902	11	25	1117	0	100805	Orig=756.1mm
1902	11	26	1117	0	101805	Orig=763.6mm
1902	11	27	1117	0	102832	Orig=771.3mm
