SEF	1.0.0
ID	DWR_B._Parada
Name	B. Parada
Lat	-34.543
Lon	-58.4868
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1084935
Vbl	mslp
Stat	point
Units	hPa
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	10	13	11	17	0	1019.9	Orig=765mm|orig.time=7am
1902	10	14	11	17	0	1012.9	Orig=759.7mm|orig.time=7am
1902	10	15	11	17	0	1016.7	Orig=762.6mm|orig.time=7am
1902	10	16	11	17	0	1011.4	Orig=758.6mm|orig.time=7am
1902	10	17	11	17	0	1019	Orig=764.3mm|orig.time=7am
1902	10	18	11	17	0	1015.4	Orig=761.6mm|orig.time=7am
1902	10	19	11	17	0	1011.7	Orig=758.8mm|orig.time=7am
1902	10	20	11	17	0	1011.1	Orig=758.4mm|orig.time=7am
1902	10	21	11	17	0	1010.2	Orig=757.7mm|orig.time=7am
1902	10	22	11	17	0	1007	Orig=755.3mm|orig.time=7am
1902	10	23	11	17	0	1011	Orig=758.3mm|orig.time=7am
1902	10	24	11	17	0	1011.8	Orig=758.9mm|orig.time=7am
1902	10	25	11	17	0	1010.7	Orig=758.1mm|orig.time=7am
1902	10	26	11	17	0	1013.4	Orig=760.1mm|orig.time=7am
1902	10	27	11	17	0	1014.1	Orig=760.6mm|orig.time=7am
1902	10	28	11	17	0	1016.8	Orig=762.7mm|orig.time=7am
1902	10	29	11	17	0	1013	Orig=759.8mm|orig.time=7am
1902	10	30	11	17	0	1016	Orig=762.1mm|orig.time=7am
1902	10	31	11	17	0	1015.4	Orig=761.6mm|orig.time=7am
1902	11	1	11	17	0	1012.1	Orig=759.1mm|orig.time=7am
1902	11	2	11	17	0	1017.5	Orig=763.2mm|orig.time=7am
1902	11	3	11	17	0	1009.9	Orig=757.5mm|orig.time=7am
1902	11	4	11	17	0	1008.3	Orig=756.3mm|orig.time=7am
1902	11	5	11	17	0	1011	Orig=758.3mm|orig.time=7am
1902	11	6	11	17	0	1007.8	Orig=755.9mm|orig.time=7am
1902	11	7	11	17	0	1005.4	Orig=754.1mm|orig.time=7am
1902	11	8	11	17	0	1008.6	Orig=756.5mm|orig.time=7am
1902	11	9	11	17	0	1017.5	Orig=763.2mm|orig.time=7am
1902	11	10	11	17	0	1013.4	Orig=760.1mm|orig.time=7am
1902	11	11	11	17	0	1012.5	Orig=759.4mm|orig.time=7am
1902	11	12	11	17	0	1013.7	Orig=760.3mm|orig.time=7am
1902	11	13	11	17	0	1013.7	Orig=760.3mm|orig.time=7am
1902	11	14	11	17	0	1007.3	Orig=755.5mm|orig.time=7am
1902	11	15	11	17	0	1013.7	Orig=760.3mm|orig.time=7am
1902	11	16	11	17	0	1017	Orig=762.8mm|orig.time=7am
1902	11	17	11	17	0	1009.9	Orig=757.5mm|orig.time=7am
1902	11	18	11	17	0	1011.4	Orig=758.6mm|orig.time=7am
1902	11	20	11	17	0	1014.7	Orig=761.1mm|orig.time=7am
1902	11	21	11	17	0	1009.5	Orig=757.2mm|orig.time=7am
1902	11	22	11	17	0	1004.2	Orig=753.2mm|orig.time=7am
1902	11	23	11	17	0	1015	Orig=761.3mm|orig.time=7am
1902	11	25	11	17	0	1013.4	Orig=760.1mm|orig.time=7am
1902	11	26	11	17	0	1025	Orig=768.8mm|orig.time=7am
1902	11	27	11	17	0	1024.6	Orig=768.5mm|orig.time=7am
1902	11	28	11	17	0	1013	Orig=759.8mm|orig.time=7am
1902	11	30	11	17	0	1013.8	Orig=760.4mm|orig.time=7am
1902	12	1	11	17	0	1013.8	Orig=760.4mm|orig.time=7am
1902	12	2	11	17	0	1012.6	Orig=759.5mm|orig.time=7am
1902	12	3	11	17	0	1013.4	Orig=760.1mm|orig.time=7am
1902	12	4	11	17	0	1012.9	Orig=759.7mm|orig.time=7am
1902	12	5	11	17	0	1013.9	Orig=760.5mm|orig.time=7am
1902	12	6	11	17	0	1005	Orig=753.8mm|orig.time=7am
1902	12	7	11	17	0	1008.5	Orig=756.4mm|orig.time=7am
1902	12	8	11	17	0	1015.6	Orig=761.8mm|orig.time=7am
1902	12	9	11	17	0	1015.2	Orig=761.5mm|orig.time=7am
1902	12	10	11	17	0	1009.7	Orig=757.3mm|orig.time=7am
