SEF	0.0.1
ID	DWR_B._Parada
Name	B. Parada
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	mslp
Units	Pa
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	10	13	1117	0	101992	Orig=765mm
1902	10	14	1117	0	101285	Orig=759.7mm
1902	10	15	1117	0	101672	Orig=762.6mm
1902	10	16	1117	0	101138	Orig=758.6mm
1902	10	17	1117	0	101898	Orig=764.3mm
1902	10	18	1117	0	101538	Orig=761.6mm
1902	10	19	1117	0	101165	Orig=758.8mm
1902	10	20	1117	0	101112	Orig=758.4mm
1902	10	21	1117	0	101018	Orig=757.7mm
1902	10	22	1117	0	100698	Orig=755.3mm
1902	10	23	1117	0	101098	Orig=758.3mm
1902	10	24	1117	0	101178	Orig=758.9mm
1902	10	25	1117	0	101072	Orig=758.1mm
1902	10	26	1117	0	101338	Orig=760.1mm
1902	10	27	1117	0	101405	Orig=760.6mm
1902	10	28	1117	0	101685	Orig=762.7mm
1902	10	29	1117	0	101298	Orig=759.8mm
1902	10	30	1117	0	101605	Orig=762.1mm
1902	10	31	1117	0	101538	Orig=761.6mm
1902	11	1	1117	0	101205	Orig=759.1mm
1902	11	2	1117	0	101752	Orig=763.2mm
1902	11	3	1117	0	100992	Orig=757.5mm
1902	11	4	1117	0	100832	Orig=756.3mm
1902	11	5	1117	0	101098	Orig=758.3mm
1902	11	6	1117	0	100778	Orig=755.9mm
1902	11	7	1117	0	100538	Orig=754.1mm
1902	11	8	1117	0	100858	Orig=756.5mm
1902	11	9	1117	0	101752	Orig=763.2mm
1902	11	10	1117	0	101338	Orig=760.1mm
1902	11	11	1117	0	101245	Orig=759.4mm
1902	11	12	1117	0	101365	Orig=760.3mm
1902	11	13	1117	0	101365	Orig=760.3mm
1902	11	14	1117	0	100725	Orig=755.5mm
1902	11	15	1117	0	101365	Orig=760.3mm
1902	11	16	1117	0	101698	Orig=762.8mm
1902	11	17	1117	0	100992	Orig=757.5mm
1902	11	18	1117	0	101138	Orig=758.6mm
1902	11	20	1117	0	101472	Orig=761.1mm
1902	11	21	1117	0	100952	Orig=757.2mm
1902	11	22	1117	0	100418	Orig=753.2mm
1902	11	23	1117	0	101498	Orig=761.3mm
1902	11	25	1117	0	101338	Orig=760.1mm
1902	11	26	1117	0	102498	Orig=768.8mm
1902	11	27	1117	0	102458	Orig=768.5mm
1902	11	28	1117	0	101298	Orig=759.8mm
1902	11	30	1117	0	101378	Orig=760.4mm
1902	12	1	1117	0	101378	Orig=760.4mm
1902	12	2	1117	0	101258	Orig=759.5mm
1902	12	3	1117	0	101338	Orig=760.1mm
1902	12	4	1117	0	101285	Orig=759.7mm
1902	12	5	1117	0	101392	Orig=760.5mm
1902	12	6	1117	0	100498	Orig=753.8mm
1902	12	7	1117	0	100845	Orig=756.4mm
1902	12	8	1117	0	101565	Orig=761.8mm
1902	12	9	1117	0	101525	Orig=761.5mm
1902	12	10	1117	0	100965	Orig=757.3mm
1902	12	11	1117	0	100552	Orig=754.2mm
1902	12	13	1117	0	101738	Orig=763.1mm
1902	12	14	1117	0	102072	Orig=765.6mm
1902	12	15	1117	0	101165	Orig=758.8mm
1902	12	16	1117	0	101658	Orig=762.5mm
1902	12	17	1117	0	101058	Orig=758mm
1902	12	18	1117	0	100992	Orig=757.5mm
1902	12	19	1117	0	100832	Orig=756.3mm
1902	12	20	1117	0	101245	Orig=759.4mm
1902	12	21	1117	0	101005	Orig=757.6mm
1902	12	22	1117	0	100512	Orig=753.9mm
1902	12	23	1117	0	100645	Orig=754.9mm
1902	12	26	1117	0	100805	Orig=756.1mm
1902	12	27	1117	0	101192	Orig=759mm
1902	12	28	1117	0	101138	Orig=758.6mm
1902	12	29	1117	0	102325	Orig=767.5mm
1902	12	30	1117	0	102752	Orig=770.7mm
1902	12	31	1117	0	102085	Orig=765.7mm
