SEF	0.0.1
ID	DWR_BUENOS_AIRES
Name	BUENOS AIRES-Junin
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	mslp
Units	Pa
Meta	PGC=F
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	2	21	1817	0	101018	Orig=757.7mm
1902	2	22	1817	0	101205	Orig=759.1mm
1902	2	24	1817	0	101072	Orig=758.1mm
1902	2	25	1817	0	100818	Orig=756.2mm
1902	2	26	1817	0	100938	Orig=757.1mm
1902	2	27	1817	0	100805	Orig=756.1mm
1902	2	28	1817	0	101258	Orig=759.5mm
1902	3	1	1817	0	101432	Orig=760.8mm
1902	3	2	1817	0	101085	Orig=758.2mm
1902	3	3	1817	0	100898	Orig=756.8mm
1902	3	4	1817	0	100605	Orig=754.6mm
1902	3	5	1817	0	101312	Orig=759.9mm
1902	3	6	1817	0	101205	Orig=759.1mm
1902	3	7	1817	0	101432	Orig=760.8mm
1902	3	8	1817	0	101538	Orig=761.6mm
1902	3	9	1817	0	101458	Orig=761mm
1902	3	10	1817	0	101498	Orig=761.3mm
1902	3	12	1817	0	100685	Orig=755.2mm
1902	3	13	1817	0	100885	Orig=756.7mm
1902	3	14	1817	0	101512	Orig=761.4mm
1902	3	15	1817	0	101485	Orig=761.2mm
1902	3	16	1817	0	101285	Orig=759.7mm
1902	3	19	1817	0	101525	Orig=761.5mm
1902	3	21	1817	0	101538	Orig=761.6mm
1902	3	22	1817	0	101285	Orig=759.7mm
1902	3	23	1817	0	101498	Orig=761.3mm
1902	3	24	1817	0	101218	Orig=759.2mm
1902	3	25	1817	0	100805	Orig=756.1mm
1902	3	26	1817	0	102112	Orig=765.9mm
1902	3	27	1817	0	101845	Orig=763.9mm
1902	3	30	1817	0	101818	Orig=763.7mm
1902	3	31	1817	0	100965	Orig=757.3mm
1902	4	2	1817	0	101472	Orig=761.1mm
1902	4	3	1817	0	102152	Orig=766.2mm
1902	4	4	1817	0	101645	Orig=762.4mm
1902	4	5	1817	0	101658	Orig=762.5mm
1902	4	6	1817	0	101898	Orig=764.3mm
1902	4	7	1817	0	101525	Orig=761.5mm
1902	4	8	1817	0	101245	Orig=759.4mm
1902	4	9	1817	0	101258	Orig=759.5mm
1902	4	10	1817	0	101445	Orig=760.9mm
1902	4	12	1817	0	101005	Orig=757.6mm
1902	4	13	1817	0	101445	Orig=760.9mm
1902	4	14	1817	0	101138	Orig=758.6mm
1902	4	16	1817	0	101472	Orig=761.1mm
1902	4	19	1817	0	101165	Orig=758.8mm
1902	4	20	1817	0	100858	Orig=756.5mm
1902	4	24	1817	0	101845	Orig=763.9mm
1902	4	26	1817	0	102072	Orig=765.6mm
1902	4	27	1817	0	101925	Orig=764.5mm
1902	4	29	1817	0	101752	Orig=763.2mm
1902	5	3	1817	0	100485	Orig=753.7mm
1902	5	4	1817	0	101618	Orig=762.2mm
1902	5	6	1817	0	102032	Orig=765.3mm
1902	5	8	1817	0	101032	Orig=757.8mm
1902	5	16	1817	0	102165	Orig=766.3mm
1902	5	17	1817	0	101365	Orig=760.3mm
1902	5	18	1817	0	101392	Orig=760.5mm
1902	5	19	1817	0	100885	Orig=756.7mm
1902	5	20	1817	0	101018	Orig=757.7mm
1902	5	21	1817	0	101138	Orig=758.6mm
1902	5	22	1817	0	101272	Orig=759.6mm
1902	5	23	1817	0	101112	Orig=758.4mm
1902	5	24	1817	0	100992	Orig=757.5mm
1902	5	25	1817	0	100565	Orig=754.3mm
1902	5	26	1817	0	101205	Orig=759.1mm
1902	5	27	1817	0	100592	Orig=754.5mm
1902	5	28	1817	0	101712	Orig=762.9mm
1902	5	29	1817	0	101725	Orig=763mm
1902	5	30	1817	0	101512	Orig=761.4mm
1902	5	31	1817	0	101125	Orig=758.5mm
1902	6	1	1817	0	100472	Orig=753.6mm
1902	6	2	1817	0	99912	Orig=749.4mm
1902	6	3	1817	0	101218	Orig=759.2mm
1902	6	4	1817	0	101445	Orig=760.9mm
1902	6	5	1817	0	101365	Orig=760.3mm
1902	6	6	1817	0	101378	Orig=760.4mm
1902	6	7	1817	0	101512	Orig=761.4mm
1902	6	8	1817	0	101658	Orig=762.5mm
1902	6	9	1817	0	102432	Orig=768.3mm
1902	6	10	1817	0	100952	Orig=757.2mm
1902	6	11	1817	0	100872	Orig=756.6mm
1902	6	12	1817	0	101672	Orig=762.6mm
1902	6	13	1817	0	101938	Orig=764.6mm
1902	6	14	1817	0	101938	Orig=764.6mm
1902	6	15	1817	0	100712	Orig=755.4mm
1902	6	16	1817	0	100432	Orig=753.3mm
1902	6	17	1817	0	100112	Orig=750.9mm
1902	6	18	1817	0	101192	Orig=759mm
1902	6	19	1817	0	101552	Orig=761.7mm
1902	6	20	1817	0	102445	Orig=768.4mm
1902	6	21	1817	0	102632	Orig=769.8mm
1902	6	22	1817	0	102578	Orig=769.4mm
1902	6	23	1817	0	102685	Orig=770.2mm
1902	6	24	1817	0	102538	Orig=769.1mm
1902	6	25	1817	0	101845	Orig=763.9mm
1902	6	26	1817	0	101378	Orig=760.4mm
1902	6	27	1817	0	101352	Orig=760.2mm
1902	6	28	1817	0	102645	Orig=769.9mm
1902	6	29	1817	0	102285	Orig=767.2mm
1902	6	30	1817	0	101045	Orig=757.9mm
