SEF	0.0.1
ID	DWR_Bolivar
Name	Bolivar
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	mslp
Units	Pa
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	12	8	1117	0	101245	Orig=759.4mm
1902	12	9	1117	0	102018	Orig=765.2mm
1902	12	10	1117	0	101272	Orig=759.6mm
1902	12	11	1117	0	101112	Orig=758.4mm
1902	12	12	1117	0	100592	Orig=754.5mm
1902	12	13	1117	0	101538	Orig=761.6mm
1902	12	14	1117	0	102485	Orig=768.7mm
1902	12	15	1117	0	101805	Orig=763.6mm
1902	12	16	1117	0	101538	Orig=761.6mm
1902	12	17	1117	0	101338	Orig=760.1mm
1902	12	18	1117	0	101232	Orig=759.3mm
1902	12	19	1117	0	101338	Orig=760.1mm
1902	12	20	1117	0	101458	Orig=761mm
1902	12	21	1117	0	101072	Orig=758.1mm
1902	12	22	1117	0	100458	Orig=753.5mm
1902	12	23	1117	0	100405	Orig=753.1mm
1902	12	25	1117	0	101498	Orig=761.3mm
1902	12	26	1117	0	101005	Orig=757.6mm
1902	12	27	1117	0	101005	Orig=757.6mm
1902	12	28	1117	0	101312	Orig=759.9mm
1902	12	29	1117	0	101778	Orig=763.4mm
1902	12	30	1117	0	102765	Orig=770.8mm
1902	12	31	1117	0	102365	Orig=767.8mm
