SEF	0.0.1
ID	DWR_C._Rivadavia
Name	C. Rivadavia
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	Tx
Units	C
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	2	21	1817	13	25	
1902	2	22	1817	13	21	
1902	2	23	1817	13	32	
1902	2	24	1817	13	32	
1902	2	25	1817	13	33	
1902	2	26	1817	13	30	
1902	2	27	1817	13	23	
1902	2	28	1817	13	18	
1902	3	1	1817	13	15	
1902	3	2	1817	13	17	
1902	3	3	1817	13	20	
1902	3	4	1817	13	19	
1902	3	5	1817	13	20	
1902	3	6	1817	13	20	
1902	3	7	1817	13	16	
1902	3	8	1817	13	13	
1902	3	9	1817	13	19	
1902	3	10	1817	13	16	
1902	3	12	1817	13	19	
1902	3	13	1817	13	17	
1902	3	14	1817	13	17	
1902	3	15	1817	13	23	
1902	3	16	1817	13	23	
1902	3	19	1817	13	21	
1902	3	21	1817	13	26	
1902	3	22	1817	13	26	
1902	3	23	1817	13	26	
1902	3	24	1817	13	26	
1902	3	25	1817	13	21	
1902	3	26	1817	13	26	
1902	3	27	1817	13	23	
1902	3	30	1817	13	30	
1902	3	31	1817	13	30	
1902	4	2	1817	13	27	
1902	4	3	1817	13	21	
1902	4	4	1817	13	21	
1902	4	5	1817	13	20	
1902	4	6	1817	13	26	
1902	4	7	1817	13	19	
1902	4	9	1817	13	18	
1902	4	10	1817	13	25	
1902	4	12	1817	13	22	
1902	4	13	1817	13	21	
1902	4	14	1817	13	22	
1902	4	16	1817	13	24	
1902	4	19	1817	13	21	
1902	4	20	1817	13	16	
1902	4	24	1817	13	20	
1902	4	26	1817	13	15	
1902	4	27	1817	13	14	
1902	4	29	1817	13	27	
1902	5	16	1817	13	19	
1902	5	17	1817	13	16	
1902	5	18	1817	13	14	
1902	5	19	1817	13	18	
1902	5	20	1817	13	17	
1902	5	21	1817	13	19	
1902	5	22	1817	13	19	
1902	5	23	1817	13	15	
1902	5	24	1817	13	16	
1902	5	25	1817	13	17	
1902	5	26	1817	13	15	
1902	5	27	1817	13	14	
1902	5	28	1817	13	14	
1902	5	29	1817	13	14	
1902	5	30	1817	13	13	
1902	5	31	1817	13	11	
1902	6	1	1817	13	7	
1902	6	3	1817	13	8	
1902	6	11	1817	13	12	
1902	7	4	1817	13	12	
1902	7	5	1817	13	11	
1902	7	6	1817	13	9	
1902	7	7	1817	13	11	
1902	7	8	1817	13	9	
1902	7	9	1817	13	6	
1902	7	10	1817	13	1	
1902	7	11	1817	13	-4	
1902	7	12	1817	13	5	
1902	7	13	1817	13	6	
1902	7	14	1817	13	0	
1902	7	15	1817	13	4	
1902	7	16	1817	13	5	
1902	7	17	1817	13	4	
1902	9	2	1117	13	10	
1902	9	3	1117	13	11	
1902	9	5	1117	13	10	
1902	9	6	1117	13	19	
1902	9	7	1117	13	13	
1902	9	8	1117	13	14	
1902	9	10	1117	13	15	
1902	9	11	1117	13	12	
1902	9	12	1117	13	8	
1902	9	13	1117	13	9	
1902	9	14	1117	13	18	
1902	9	15	1117	13	19	
1902	9	16	1117	13	9	
1902	9	19	1117	13	11	
1902	9	20	1117	13	14	
1902	10	1	1117	13	9	
1902	11	9	1117	13	12	
1902	12	29	1117	13	16	
